AssetType	Asset	Path	ExpectedBytes	ObservedBytes	ExpectedSHA256	ObservedSHA256	ChecksumPass
decoded mapping profile	LD-48	${ARTICLE52_WORK_DIR}/decoded-maps/LD-48	489231	489231	d6aa35e090100c2b766c0c18e3ecb6deb6828de01e14087f3b17915791701282	d6aa35e090100c2b766c0c18e3ecb6deb6828de01e14087f3b17915791701282	True
decoded mapping profile	M1.48.ST	${ARTICLE52_WORK_DIR}/decoded-maps/M1.48.ST	563902	563902	0460ada6e482e11f4e7aa10f9c35a0376da04efa4fbeb114c20cb928b0120aae	0460ada6e482e11f4e7aa10f9c35a0376da04efa4fbeb114c20cb928b0120aae	True
decoded mapping profile	M2.48.ST	${ARTICLE52_WORK_DIR}/decoded-maps/M2.48.ST	565218	565218	e333d0dc03fbcbcd09dffb3184f6748df0bb1ad9ea984f78925e570c98a00fd1	e333d0dc03fbcbcd09dffb3184f6748df0bb1ad9ea984f78925e570c98a00fd1	True
decoded mapping profile	M2.58.ST	${ARTICLE52_WORK_DIR}/decoded-maps/M2.58.ST	570432	570432	91cf277599c6f5fb71dc1e5d1d478935eea0679039a5bb0a2cff58be0c3b8870	91cf277599c6f5fb71dc1e5d1d478935eea0679039a5bb0a2cff58be0c3b8870	True
decoded mapping profile	N021	${ARTICLE52_WORK_DIR}/decoded-maps/N021	444366	444366	1567109ee8370b9b83cc55ff2db64a963601ffac0ec5cd6b42c59ee651f2a2de	1567109ee8370b9b83cc55ff2db64a963601ffac0ec5cd6b42c59ee651f2a2de	True
decoded mapping profile	RA023	${ARTICLE52_WORK_DIR}/decoded-maps/RA023	481429	481429	88ee4a867adbde78a981369381b469ca3de43279154520fb8079b16ab96beb55	88ee4a867adbde78a981369381b469ca3de43279154520fb8079b16ab96beb55	True
decoded mapping profile	S353	${ARTICLE52_WORK_DIR}/decoded-maps/S353	536195	536195	9832a4865a64ca7631cb9642437475508de3ddea39f914f547fcdaf6e24ad20b	9832a4865a64ca7631cb9642437475508de3ddea39f914f547fcdaf6e24ad20b	True
decoded mapping profile	SID530054	${ARTICLE52_WORK_DIR}/decoded-maps/SID530054	520999	520999	a0f0068e7db4cbd9e2bd824aaae31eaf084ea8e40884ad79b2f1176c31c7c75e	a0f0068e7db4cbd9e2bd824aaae31eaf084ea8e40884ad79b2f1176c31c7c75e	True
decoded mapping profile	SRS011302	${ARTICLE52_WORK_DIR}/decoded-maps/SRS011302	493737	493737	4d4e7c0fa135bb31a7b30b402c6dc0f5b70f73bda0ee8d5bf5ddbc3c52dbb914	4d4e7c0fa135bb31a7b30b402c6dc0f5b70f73bda0ee8d5bf5ddbc3c52dbb914	True
decoded mapping profile	SZAXPI003417-4	${ARTICLE52_WORK_DIR}/decoded-maps/SZAXPI003417-4	512820	512820	eac2fdd75e280efedb77aae9aa074892398e29a793a38fb8afa7c8251d230475	eac2fdd75e280efedb77aae9aa074892398e29a793a38fb8afa7c8251d230475	True
decoded mapping profile	T2D-025	${ARTICLE52_WORK_DIR}/decoded-maps/T2D-025	534809	534809	4959a1801586b79e1129ea11ede1fdbe3d5b34a73deb73e0e6b87c2ac8e93aec	4959a1801586b79e1129ea11ede1fdbe3d5b34a73deb73e0e6b87c2ac8e93aec	True
decoded mapping profile	T2D-063	${ARTICLE52_WORK_DIR}/decoded-maps/T2D-063	536682	536682	555112491485afbf73cc3252687e113708c6b723f6cefa9d5b1b3eb152a48911	555112491485afbf73cc3252687e113708c6b723f6cefa9d5b1b3eb152a48911	True
decoded mapping profile	T2D-105	${ARTICLE52_WORK_DIR}/decoded-maps/T2D-105	544128	544128	3a960150bd32bd763fc8bb60276ef10a81f55a5d24c030440c2258dd03894941	3a960150bd32bd763fc8bb60276ef10a81f55a5d24c030440c2258dd03894941	True
decoded mapping profile	W1.27.ST	${ARTICLE52_WORK_DIR}/decoded-maps/W1.27.ST	571076	571076	701b18ce728ce132e5b5c80ef0eb061f70c183b848b58c6248d4dd6227af349a	701b18ce728ce132e5b5c80ef0eb061f70c183b848b58c6248d4dd6227af349a	True
decoded mapping profile	YSZC12003_36795	${ARTICLE52_WORK_DIR}/decoded-maps/YSZC12003_36795	536379	536379	8205d35894e042a20acee2de1930d589a82429a708735b41a6e5abac8befabe2	8205d35894e042a20acee2de1930d589a82429a708735b41a6e5abac8befabe2	True
pangenome member	Eubacterium_rectale.1.bt2	${ARTICLE52_WORK_DIR}/pangenome/Eubacterium_rectale/Eubacterium_rectale.1.bt2	21126754	21126754	7151ff708c5e7a184519835058eea497786298a17550c501afe75e0282438e7f	7151ff708c5e7a184519835058eea497786298a17550c501afe75e0282438e7f	True
pangenome member	Eubacterium_rectale.2.bt2	${ARTICLE52_WORK_DIR}/pangenome/Eubacterium_rectale/Eubacterium_rectale.2.bt2	12607740	12607740	e23df96c391406df61f94ca7d34f164ba9bb668e152b2a0c4824f712c0a4c601	e23df96c391406df61f94ca7d34f164ba9bb668e152b2a0c4824f712c0a4c601	True
pangenome member	Eubacterium_rectale.3.bt2	${ARTICLE52_WORK_DIR}/pangenome/Eubacterium_rectale/Eubacterium_rectale.3.bt2	12500	12500	d3915360752399dc52d47770abb9345a951fbd80ea4168f6be942cefe79bbfe4	d3915360752399dc52d47770abb9345a951fbd80ea4168f6be942cefe79bbfe4	True
pangenome member	Eubacterium_rectale.4.bt2	${ARTICLE52_WORK_DIR}/pangenome/Eubacterium_rectale/Eubacterium_rectale.4.bt2	12607736	12607736	328d5215e1485d686187fcbb0d2e0e4f550434c0a4f37a6760d8a4903b44d4c9	328d5215e1485d686187fcbb0d2e0e4f550434c0a4f37a6760d8a4903b44d4c9	True
pangenome member	Eubacterium_rectale.rev.1.bt2	${ARTICLE52_WORK_DIR}/pangenome/Eubacterium_rectale/Eubacterium_rectale.rev.1.bt2	21126754	21126754	cee3ac43af5d2482124b1454796fd2b20d409e6ef5a6ca0d95ba992e54533c53	cee3ac43af5d2482124b1454796fd2b20d409e6ef5a6ca0d95ba992e54533c53	True
pangenome member	Eubacterium_rectale.rev.2.bt2	${ARTICLE52_WORK_DIR}/pangenome/Eubacterium_rectale/Eubacterium_rectale.rev.2.bt2	12607740	12607740	44ac707d7557975fa62ba3ac324bf78d2203e29551317637f4b83be77c7e4712	44ac707d7557975fa62ba3ac324bf78d2203e29551317637f4b83be77c7e4712	True
pangenome member	Eubacterium_rectale_pangenome.tsv	${ARTICLE52_WORK_DIR}/pangenome/Eubacterium_rectale/Eubacterium_rectale_pangenome.tsv	3311704	3311704	ea5434098da6629acf56f93397bbbc082f6d6887b53f7e991a3bb3fc987f94b4	ea5434098da6629acf56f93397bbbc082f6d6887b53f7e991a3bb3fc987f94b4	True
pangenome member	Eubacterium_rectale_pangenome_contigs.fna	${ARTICLE52_WORK_DIR}/pangenome/Eubacterium_rectale/Eubacterium_rectale_pangenome_contigs.fna	51400235	51400235	5dd5479fa6e750174700c136f205e964d789cedda04fe23301aadf8fefb7084a	5dd5479fa6e750174700c136f205e964d789cedda04fe23301aadf8fefb7084a	True
pangenome member	panphlan_Eubacterium_rectale_annot.tsv	${ARTICLE52_WORK_DIR}/pangenome/Eubacterium_rectale/panphlan_Eubacterium_rectale_annot.tsv	1251183	1251183	fe4ab218bf1900b03b56855f8606cd458f2acfacca7f132a5c3a3923d22e89fb	fe4ab218bf1900b03b56855f8606cd458f2acfacca7f132a5c3a3923d22e89fb	True
pinned source	panphlan_profiling.py	${ARTICLE52_WORK_DIR}/software/panphlan_profiling.py	46339	46339	901b4dc3710a26145dca064216d62769772b743db55683a956b66253565e7480	901b4dc3710a26145dca064216d62769772b743db55683a956b66253565e7480	True
pinned source	misc.py	${ARTICLE52_WORK_DIR}/software/misc.py	2308	2308	d8f7283e847c506178205d4e05da878c5d6a06e1eb767118ca509be4a4af2c15	d8f7283e847c506178205d4e05da878c5d6a06e1eb767118ca509be4a4af2c15	True
