ArchiveSampleID	Sample	Study	Country	CompressedFile	CompressedBytes	CompressedSHA256	DecodedBytes	DecodedSHA256	CompatibilityTransformation
LD-48	LD-48	QinN_2014	CHN	LD-48_erectale.csv.bz2	133900	f03fabb6930d976f64462c7434769ed3df37abeaba3a30dbc006fafca97986aa	489231	d6aa35e090100c2b766c0c18e3ecb6deb6828de01e14087f3b17915791701282	bzip2 decode; canonical tutorial sample ID; no value transformation
M1	M1.48.ST	BritoIL_2016	FJI	M1_erectale.csv.bz2	158061	67aa8ff33727fdfa671001c8c22730260af325e978b5f5237a7066ab8a86aa98	563902	0460ada6e482e11f4e7aa10f9c35a0376da04efa4fbeb114c20cb928b0120aae	bzip2 decode; canonical tutorial sample ID; no value transformation
M2_48_ST	M2.48.ST	BritoIL_2016	FJI	M2_48_ST_erectale.csv.bz2	158102	0ae527b9d483ad823576db52771572db39e7b62b95eef39cc071d53fd5190970	565218	e333d0dc03fbcbcd09dffb3184f6748df0bb1ad9ea984f78925e570c98a00fd1	bzip2 decode; canonical tutorial sample ID; no value transformation
M2_58_ST	M2.58.ST	BritoIL_2016	FJI	M2_58_ST_erectale.csv.bz2	160644	79bcf9a2ac5e6308e5474dcb9fb41ad2acc8e644b3a5db3ff9c4a57c8df78b6a	570432	91cf277599c6f5fb71dc1e5d1d478935eea0679039a5bb0a2cff58be0c3b8870	bzip2 decode; canonical tutorial sample ID; no value transformation
N021	N021	WenC_2017	CHN	N021_erectale.csv.bz2	121662	1545b96bde18c555051b38c4b31582b0e34b376ae05e66bfd2a8755340f0fa31	444366	1567109ee8370b9b83cc55ff2db64a963601ffac0ec5cd6b42c59ee651f2a2de	bzip2 decode; canonical tutorial sample ID; no value transformation
RA023	RA023	WenC_2017	CHN	RA023_erectale.csv.bz2	133532	3327f79307404c8e9236a4120a22bd23753445cde76ea8dfdac178da904acb3b	481429	88ee4a867adbde78a981369381b469ca3de43279154520fb8079b16ab96beb55	bzip2 decode; canonical tutorial sample ID; no value transformation
S353	S353	KarlssonFH_2013	SWE	S353_erectale.csv.bz2	151852	40fc7b2b0a10efdfa72664b9d0a4e651bb6cd5ff3e3bc9d493a0966c33b22c78	536195	9832a4865a64ca7631cb9642437475508de3ddea39f914f547fcdaf6e24ad20b	bzip2 decode; canonical tutorial sample ID; no value transformation
SID530054	SID530054	FengQ_2015	AUT	SID530054_erectale.csv.bz2	146148	598832eedcb8e2a45de8d06a368191ff3b908611ecfcf9f13ff4a1f7a6ecc982	520999	a0f0068e7db4cbd9e2bd824aaae31eaf084ea8e40884ad79b2f1176c31c7c75e	bzip2 decode; canonical tutorial sample ID; no value transformation
SRS011302	SRS011302	HMP_2012	USA	SRS011302_erectale.csv.bz2	135679	807f995c1ccb5a650f7f9764e1840ce16e8cde9d4a6704ca14753edf5aaf8578	493737	4d4e7c0fa135bb31a7b30b402c6dc0f5b70f73bda0ee8d5bf5ddbc3c52dbb914	bzip2 decode; canonical tutorial sample ID; no value transformation
SZAXPI003417-4	SZAXPI003417-4	YuJ_2015	CHN	SZAXPI003417-4_erectale.csv.bz2	142512	0c2098723afba746110adb2e523368a27d64ca05b9f04a0e719d7e3d706b7d0a	512820	eac2fdd75e280efedb77aae9aa074892398e29a793a38fb8afa7c8251d230475	bzip2 decode; canonical tutorial sample ID; no value transformation
T2D-025	T2D-025	QinJ_2012	CHN	T2D-025_erectale.csv.bz2	148675	b19c17dd2f0c149dcf2a4ebbe3d00655fa169ad1f716367d8a03364f987ff0fe	534809	4959a1801586b79e1129ea11ede1fdbe3d5b34a73deb73e0e6b87c2ac8e93aec	bzip2 decode; canonical tutorial sample ID; no value transformation
T2D-063	T2D-063	QinJ_2012	CHN	T2D-063_erectale.csv.bz2	152494	12bb50d8c8236a1d5e2d84609a7b1b9cdcb97ea159167e725aa043a8b4d4d21a	536682	555112491485afbf73cc3252687e113708c6b723f6cefa9d5b1b3eb152a48911	bzip2 decode; canonical tutorial sample ID; no value transformation
T2D-105	T2D-105	QinJ_2012	CHN	T2D-105_erectale.csv.bz2	152780	044f5d4438cc29aba66a012e37355465ae62a914cb1b6f7bc80068369f05b3e4	544128	3a960150bd32bd763fc8bb60276ef10a81f55a5d24c030440c2258dd03894941	bzip2 decode; canonical tutorial sample ID; no value transformation
W1	W1.27.ST	BritoIL_2016	FJI	W1_erectale.csv.bz2	158259	68205bb458a58863d93af79f2df8f53456f3ece9c9a6db218b4c04a7cdc73c85	571076	701b18ce728ce132e5b5c80ef0eb061f70c183b848b58c6248d4dd6227af349a	bzip2 decode; canonical tutorial sample ID; no value transformation
YSZC12003_36795	YSZC12003_36795	XieH_2016	GBR	YSZC12003_36795_erectale.csv.bz2	148638	1295274bc595c342292d880ee7af16b0cd7ea1987ec15e6f2cebdc344fd3b4c1	536379	8205d35894e042a20acee2de1930d589a82429a708735b41a6e5abac8befabe2	bzip2 decode; canonical tutorial sample ID; no value transformation
