GeneFamily	FeatureLabel	FeatureOrder	Sample	SampleOrder	Country	Present	PrevalencePct
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	M2.48.ST	5	FJI	0	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	M2.58.ST	17	FJI	0	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	N021	10	CHN	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	S353	3	SWE	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	SID530054	2	AUT	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	SZAXPI003417-4	8	CHN	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	T2D-025	9	CHN	1	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	T2D-063	21	CHN	0	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	T2D-105	22	CHN	0	50.0
UniRef90_A0A0M6X1I1	A0A0M6X1I1 | PF00005	12	YSZC12003_36795	4	GBR	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	CCMD34381688ST-21-0	6	DEU	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	G78505	19	RUS	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	G88884	1	NLD	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	G88970	15	NLD	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	G89027	20	NLD	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	H2M514903	16	CHN	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	H3M518116	11	CHN	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	HD-1	7	CHN	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	HD-5	13	CHN	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	HV-6	14	CHN	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	LD-48	12	CHN	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	M1.48.ST	18	FJI	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	M2.48.ST	5	FJI	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	M2.58.ST	17	FJI	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	N021	10	CHN	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	S353	3	SWE	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	SID530054	2	AUT	1	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	SZAXPI003417-4	8	CHN	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	T2D-025	9	CHN	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	T2D-063	21	CHN	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	T2D-105	22	CHN	0	50.0
UniRef90_A0A173UA68	A0A173UA68 | PF00248	4	YSZC12003_36795	4	GBR	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	CCMD34381688ST-21-0	6	DEU	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	G78505	19	RUS	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	G88884	1	NLD	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	G88970	15	NLD	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	G89027	20	NLD	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	H2M514903	16	CHN	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	H3M518116	11	CHN	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	HD-1	7	CHN	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	HD-5	13	CHN	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	HV-6	14	CHN	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	LD-48	12	CHN	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	M1.48.ST	18	FJI	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	M2.48.ST	5	FJI	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	M2.58.ST	17	FJI	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	N021	10	CHN	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	S353	3	SWE	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	SID530054	2	AUT	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	SZAXPI003417-4	8	CHN	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	T2D-025	9	CHN	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	T2D-063	21	CHN	0	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	T2D-105	22	CHN	1	50.0
UniRef90_A0A396FJK2	A0A396FJK2 | K06921	1	YSZC12003_36795	4	GBR	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	CCMD34381688ST-21-0	6	DEU	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	G78505	19	RUS	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	G88884	1	NLD	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	G88970	15	NLD	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	G89027	20	NLD	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	H2M514903	16	CHN	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	H3M518116	11	CHN	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	HD-1	7	CHN	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	HD-5	13	CHN	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	HV-6	14	CHN	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	LD-48	12	CHN	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	M1.48.ST	18	FJI	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	M2.48.ST	5	FJI	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	M2.58.ST	17	FJI	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	N021	10	CHN	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	S353	3	SWE	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	SID530054	2	AUT	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	SZAXPI003417-4	8	CHN	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	T2D-025	9	CHN	1	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	T2D-063	21	CHN	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	T2D-105	22	CHN	0	50.0
UniRef90_C7H6T0	C7H6T0 | K03205	6	YSZC12003_36795	4	GBR	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	CCMD34381688ST-21-0	6	DEU	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	G78505	19	RUS	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	G88884	1	NLD	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	G88970	15	NLD	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	G89027	20	NLD	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	H2M514903	16	CHN	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	H3M518116	11	CHN	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	HD-1	7	CHN	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	HD-5	13	CHN	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	HV-6	14	CHN	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	LD-48	12	CHN	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	M1.48.ST	18	FJI	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	M2.48.ST	5	FJI	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	M2.58.ST	17	FJI	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	N021	10	CHN	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	S353	3	SWE	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	SID530054	2	AUT	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	SZAXPI003417-4	8	CHN	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	T2D-025	9	CHN	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	T2D-063	21	CHN	0	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	T2D-105	22	CHN	1	50.0
UniRef90_D4L0T9	D4L0T9 | PF02142	14	YSZC12003_36795	4	GBR	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	CCMD34381688ST-21-0	6	DEU	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	G78505	19	RUS	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	G88884	1	NLD	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	G88970	15	NLD	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	G89027	20	NLD	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	H2M514903	16	CHN	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	H3M518116	11	CHN	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	HD-1	7	CHN	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	HD-5	13	CHN	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	HV-6	14	CHN	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	LD-48	12	CHN	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	M1.48.ST	18	FJI	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	M2.48.ST	5	FJI	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	M2.58.ST	17	FJI	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	N021	10	CHN	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	S353	3	SWE	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	SID530054	2	AUT	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	SZAXPI003417-4	8	CHN	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	T2D-025	9	CHN	1	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	T2D-063	21	CHN	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	T2D-105	22	CHN	0	50.0
UniRef90_D4LZQ9	D4LZQ9 | K02004	11	YSZC12003_36795	4	GBR	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	CCMD34381688ST-21-0	6	DEU	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	G78505	19	RUS	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	G88884	1	NLD	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	G88970	15	NLD	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	G89027	20	NLD	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	H2M514903	16	CHN	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	H3M518116	11	CHN	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	HD-1	7	CHN	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	HD-5	13	CHN	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	HV-6	14	CHN	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	LD-48	12	CHN	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	M1.48.ST	18	FJI	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	M2.48.ST	5	FJI	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	M2.58.ST	17	FJI	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	N021	10	CHN	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	S353	3	SWE	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	SID530054	2	AUT	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	SZAXPI003417-4	8	CHN	1	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	T2D-025	9	CHN	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	T2D-063	21	CHN	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	T2D-105	22	CHN	0	50.0
UniRef90_A0A174FI77	A0A174FI77 | PF00005	7	YSZC12003_36795	4	GBR	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	CCMD34381688ST-21-0	6	DEU	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	G78505	19	RUS	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	G88884	1	NLD	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	G88970	15	NLD	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	G89027	20	NLD	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	H2M514903	16	CHN	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	H3M518116	11	CHN	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	HD-1	7	CHN	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	HD-5	13	CHN	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	HV-6	14	CHN	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	LD-48	12	CHN	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	M1.48.ST	18	FJI	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	M2.48.ST	5	FJI	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	M2.58.ST	17	FJI	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	N021	10	CHN	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	S353	3	SWE	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	SID530054	2	AUT	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	SZAXPI003417-4	8	CHN	1	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	T2D-025	9	CHN	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	T2D-063	21	CHN	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	T2D-105	22	CHN	0	50.0
UniRef90_A0A174Q0V3	A0A174Q0V3 | PF08241	13	YSZC12003_36795	4	GBR	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	CCMD34381688ST-21-0	6	DEU	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	G78505	19	RUS	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	G88884	1	NLD	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	G88970	15	NLD	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	G89027	20	NLD	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	H2M514903	16	CHN	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	H3M518116	11	CHN	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	HD-1	7	CHN	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	HD-5	13	CHN	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	HV-6	14	CHN	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	LD-48	12	CHN	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	M1.48.ST	18	FJI	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	M2.48.ST	5	FJI	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	M2.58.ST	17	FJI	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	N021	10	CHN	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	S353	3	SWE	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	SID530054	2	AUT	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	SZAXPI003417-4	8	CHN	0	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	T2D-025	9	CHN	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	T2D-063	21	CHN	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	T2D-105	22	CHN	1	50.0
UniRef90_A0A174X5U3	A0A174X5U3 | K11104	16	YSZC12003_36795	4	GBR	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	CCMD34381688ST-21-0	6	DEU	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	G78505	19	RUS	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	G88884	1	NLD	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	G88970	15	NLD	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	G89027	20	NLD	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	H2M514903	16	CHN	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	H3M518116	11	CHN	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	HD-1	7	CHN	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	HD-5	13	CHN	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	HV-6	14	CHN	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	LD-48	12	CHN	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	M1.48.ST	18	FJI	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	M2.48.ST	5	FJI	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	M2.58.ST	17	FJI	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	N021	10	CHN	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	S353	3	SWE	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	SID530054	2	AUT	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	SZAXPI003417-4	8	CHN	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	T2D-025	9	CHN	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	T2D-063	21	CHN	1	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	T2D-105	22	CHN	0	50.0
UniRef90_A0A395V267	A0A395V267 | PF00271	5	YSZC12003_36795	4	GBR	1	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	CCMD34381688ST-21-0	6	DEU	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	G78505	19	RUS	1	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	G88884	1	NLD	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	G88970	15	NLD	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	G89027	20	NLD	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	H2M514903	16	CHN	1	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	H3M518116	11	CHN	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	HD-1	7	CHN	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	HD-5	13	CHN	1	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	HV-6	14	CHN	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	LD-48	12	CHN	1	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	M1.48.ST	18	FJI	1	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	M2.48.ST	5	FJI	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	M2.58.ST	17	FJI	1	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	N021	10	CHN	1	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	S353	3	SWE	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	SID530054	2	AUT	0	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	SZAXPI003417-4	8	CHN	1	50.0
UniRef90_A0A395ZGZ0	A0A395ZGZ0 | PF00112	20	T2D-025	9	CHN	1	50.0
