Branch	CandidateID	SourceBin	Contigs	BinBp	N50Bp	TruthAssignedBinPct	DominantTruthAccession	DominantTruthReference	DominantTruthContigBp	AlignedPurityPct	AlignedContaminationProxyPct	RecoveredReferenceBp	ReferenceBp	DominantGenomeRecoveryPct	TruthProxyTier	CheckM2Completeness	CheckM2Contamination	GUNCPass	QCMinimumPass	CandidateFASTA	CandidateSHA256
MetaBAT2-multisample	metabat2-multisample__009	bin.17.fa	173	344582	1920	100.0	GCA_000156375.1	Desulfovibrio_piger_ATCC_29098	344582	100.0	0.0	339471	2867216	11.839742802774538	Below MQ proxy	10.71	0.0	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__009.fna	753bb1abb9c15432abc4301a0a41824c454e34254d74a31d5c13562369f72315
MetaBAT2-multisample	metabat2-multisample__010	bin.18.fa	147	289139	1876	100.0	GCA_000020225.1	Akkermansia_muciniphila_ATCC_BAA-835	289139	100.0	0.0	289607	2664102	10.870717412471445	Below MQ proxy	9.98	0.0	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__010.fna	e628570295d8b8bc5653473fa02fa88c6799b7aca10188fb8095c34bb00d6d26
MetaBAT2-multisample	metabat2-multisample__011	bin.19.fa	672	6898110	15447	100.0	GCA_000196115.1	Rhodopirellula_baltica_SH_1	6896087	99.97067312640709	0.029326873592907532	6918979	7145576	96.82884906689118	HQ proxy	97.67	3.87	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__011.fna	b8ada533b2a7d7b93fc9e6bd09da7a5ddc3137f6dca040d263ab7cbf2cbbf196
MetaBAT2-multisample	metabat2-multisample__012	bin.2.fa	65	2595739	59244	100.0	GCA_002952055.1	Desulfobulbus_oralis_sp._ONRL	2595739	100.0	0.0	2609947	2774417	94.07190771971193	HQ proxy	99.98	0.21	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__012.fna	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14
MetaBAT2-multisample	metabat2-multisample__013	bin.20.fa	262	2096622	11697	100.0	GCA_003019295.1	Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	2065509	98.51604151821358	1.4839584817864164	2076599	2180101	95.25242179146746	HQ proxy	95.82	0.23	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__013.fna	fef9ca05fc3001568955367326c61f18e78bc3c4b98d7ff9ea838f5b360a5767
MetaBAT2-multisample	metabat2-multisample__014	bin.21.fa	37	1797649	88409	100.0	GCA_000018945.1	Thermotoga_neapolitana_DSM_4359	1790222	99.58684926812742	0.41315073187257667	1793652	1884562	95.17606743635922	HQ proxy	99.55	0.77	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__014.fna	3106af4a83c58d9c757865fdee6fb40f9c9134f3a1689d2a5eee4a3758a9e407
MetaBAT2-multisample	metabat2-multisample__015	bin.22.fa	220	452773	2080	100.0	GCA_000009705.1	Trichormus_sp._PCC_7120	441821	97.58112784993804	2.418872150061958	445520	7211789	6.177662713093797	Below MQ proxy	9.07	0.0	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__015.fna	42aab4388aceeeda3be2f4e81b65a76defc5532e0e10526ffc8df5d276e4cde1
MetaBAT2-multisample	metabat2-multisample__016	bin.23.fa	42	1245710	56733	100.0	GCA_000166095.1	Methanothermus_fervidus_DSM_2088	1207282	96.91517287330117	3.0848271266988263	1206470	1243342	97.03444426392738	HQ proxy	99.67	0.14	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__016.fna	f7a517e76fab62f622448d52fbaaab10e97ae3a379fcfc369adcc05701d34c11
MetaBAT2-multisample	metabat2-multisample__017	bin.24.fa	10	1727173	443866	100.0	GCA_000011105.1	Pyrococcus_horikoshii_OT3	1727173	100.0	0.0	1727077	1738505	99.34265360180154	HQ proxy	99.46	0.19	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__017.fna	455f49ec6b88b1b079e2906d65fe16e298a9daaab79ac5023cdfc98048cab0bd
MetaBAT2-multisample	metabat2-multisample__018	bin.25.fa	1024	5210977	6611	99.95536345679514	GCA_000017325.1	Shewanella_baltica_OS185	2907679	55.824031980641436	44.175968019358564	3991131	5312910	75.1213741621823	Below MQ proxy	99.55	6.95	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__018.fna	eb10464f9e951abd418634afd92c39455180c5d8326a5a6857468ec5de0b96a8
MetaBAT2-multisample	metabat2-multisample__019	bin.26.fa	13	4629413	432090	100.0	GCA_000010305.1	Gemmatimonas_aurantiaca_T-27	4629413	100.0	0.0	4630966	4636964	99.87064812234902	HQ proxy	99.95	0.8	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__019.fna	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf
MetaBAT2-multisample	metabat2-multisample__020	bin.27.fa	22	385806	67932	100.0	GCA_000009705.1	Trichormus_sp._PCC_7120	371979	96.41607440008708	3.5839255999129165	420797	7211789	5.834849022898479	Below MQ proxy	5.47	0.08	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__020.fna	68872e66567bafe33de6c43b98197d24fe115ad5d70af4281a754b0a90167820
MetaBAT2-multisample	metabat2-multisample__021	bin.28.fa	41	1713679	82868	100.0	GCA_000016785.1	Thermotoga_petrophila_RKU-1	1712078	99.90657526876387	0.09342473123612649	1711060	1823511	93.83326999398413	HQ proxy	99.35	0.41	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__021.fna	2954bcf0b54026554032658ae8f6ba72d8bc747edc036d639fb198698f0ca955
MetaBAT2-multisample	metabat2-multisample__022	bin.29.fa	120	2022086	26973	100.0	GCA_000010505.1	Porphyromonas_gingivalis_ATCC_33277	2019899	99.89184436270267	0.10815563729732958	2037684	2354886	86.53004858833931	MQ proxy	96.25	0.61	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__022.fna	423db9b97f774417d6d1c2980d72787a667e1774bfd4d0ddf03fb8bceff7148d
MetaBAT2-multisample	metabat2-multisample__023	bin.3.fa	108	2055695	41813	99.91594083752697	GCA_001639275.1	Methanobrevibacter_oralis_DSM_7256	2038545	99.24916028349044	0.7508397165095602	2042324	2140433	95.41639472013372	HQ proxy	99.71	0.79	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__023.fna	3cd4aaad3d8fc666569fa198394440954364728ed6167563370cb97957455670
MetaBAT2-multisample	metabat2-multisample__024	bin.30.fa	78	2506842	58955	100.0	GCA_000020465.1	Chlorobium_limicola_DSM_245	2491690	99.39557419254983	0.6044258074501698	2506637	2763181	90.71562811122398	HQ proxy	100.0	0.25	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__024.fna	98f90aaa1fb8bbb19e5606f6db6db43f5d5db229d33008d122bf04bcd8dd4eed
MetaBAT2-multisample	metabat2-multisample__025	bin.31.fa	5	1893794	672984	100.0	GCA_000021565.1	Persephonella_marina_EX-H1	1893794	100.0	0.0	1894128	1983966	95.47179739975383	HQ proxy	98.88	0.44	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__025.fna	6368094fa97d5c7e70b54e062f6cda83c8571fab20175eca0d2ffea82607eaf6
MetaBAT2-multisample	metabat2-multisample__026	bin.32.fa	60	2156473	68740	100.0	GCA_000019085.1	Thermoanaerobacter_pseudethanolicus_ATCC_33223	2148307	99.62132611908426	0.3786738809157413	2160904	2362816	91.45460332078333	HQ proxy	99.99	0.34	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__026.fna	df31fe0e9bab5b3ea856f7ba2f31a59bb952b9909581435bd7837af609982beb
MetaBAT2-multisample	metabat2-multisample__027	bin.33.fa	241	5984631	50724	100.0	GCA_000018565.1	Herpetosiphon_aurantiacus_DSM_785	5984631	100.0	0.0	5993410	6785430	88.32763730522605	MQ proxy	99.91	0.41	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__027.fna	1fbb2098165e0f6b06d12849709e9a8e5c6eff30301e6d6b800f22d31299ad86
MetaBAT2-multisample	metabat2-multisample__028	bin.34.fa	196	1990526	14674	100.0	GCA_000006805.1	Halobacterium_salinarum_NRC-1	1990526	100.0	0.0	1983976	2571010	77.1671833248412	MQ proxy	88.85	0.02	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__028.fna	abc987f1a5e8904919ea4599b2cea19609a0832cb2e639df318ccb5ae00ecb9d
MetaBAT2-multisample	metabat2-multisample__029	bin.4.fa	3	205973	161417	100.0	GCA_000016545.1	Caldicellulosiruptor_saccharolyticus_DSM_8903	205973	100.0	0.0	229067	2970275	7.711979530514851	Below MQ proxy	10.42	0.0	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__029.fna	f064f8c8dfb8cad605b76934d85e3aacf0ffcb009dc2562119d547653030aad7
