genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
metabat2-mock1__018	5707	5500	669	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.95	True
metabat2-mock1__019	2336	2283	60	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
metabat2-mock1__020	2205	2188	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
metabat2-mock1__021	368	348	137	phylum	0.98	0.93	0.97	0.31	0.76	0.89	0.82	False
metabat2-mock1__022	387	349	20	genus	0.82	0.74	0.05	0.7	5.03	0.72	0.53	True
metabat2-mock1__023	1976	1956	5	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
metabat2-mock1__024	1662	1659	42	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
metabat2-mock1__025	1791	1756	50	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
metabat2-mock1__026	2362	2169	65	genus	0.71	0.65	0.17	0.21	0.54	0.65	0.42	True
metabat2-mock1__027	3971	3907	13	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
metabat2-mock1__028	1888	1882	34	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.98	True
metabat2-mock1__029	2400	2315	76	kingdom	1.0	0.96	0.0	0.0	0.0	0.99	0.95	True
metabat2-mock1__030	541	520	70	kingdom	0.99	0.95	0.0	0.0	0.0	0.99	0.94	True
metabat2-mock1__031	961	947	230	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
metabat2-mock1__032	2436	2374	71	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.95	True
metabat2-mock1__033	1442	1412	268	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
metabat2-multisample__001	5775	5710	2025	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
metabat2-multisample__002	1660	1588	505	genus	0.97	0.92	0.94	0.04	0.08	0.99	0.91	False
metabat2-multisample__003	1791	1756	50	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
metabat2-multisample__004	233	206	74	phylum	0.99	0.87	0.93	0.12	0.29	0.73	0.63	False
metabat2-multisample__005	1446	1416	269	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
metabat2-multisample__006	2578	2506	87	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
metabat2-multisample__007	2198	2158	527	kingdom	1.0	0.98	0.98	0.07	0.16	0.98	0.97	False
metabat2-multisample__008	2410	2352	72	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
metabat2-multisample__009	425	405	172	kingdom	1.0	0.95	0.0	0.0	0.0	0.9	0.86	True
metabat2-multisample__010	355	346	147	kingdom	1.0	0.97	0.0	0.0	0.0	0.99	0.96	True
metabat2-multisample__011	5713	5506	672	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.95	True
metabat2-multisample__012	2362	2169	65	genus	0.71	0.65	0.17	0.21	0.54	0.65	0.42	True
metabat2-multisample__013	2174	2162	262	kingdom	0.99	0.99	0.0	0.0	0.0	0.98	0.97	True
metabat2-multisample__014	1829	1827	37	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
metabat2-multisample__015	557	542	220	family	0.91	0.89	0.7	0.04	0.09	0.98	0.87	False
metabat2-multisample__016	1362	1355	42	class	0.99	0.99	1.0	0.03	0.05	0.98	0.97	False
metabat2-multisample__017	1881	1855	10	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
metabat2-multisample__018	5255	5095	1024	kingdom	1.0	0.97	0.0	0.0	0.0	0.94	0.92	True
metabat2-multisample__019	3971	3907	13	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
metabat2-multisample__020	396	356	22	class	0.97	0.88	1.0	0.03	0.07	0.71	0.62	False
metabat2-multisample__021	1729	1722	41	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
metabat2-multisample__022	1697	1636	120	kingdom	1.0	0.96	0.0	0.0	0.0	0.97	0.93	True
metabat2-multisample__023	2106	2055	108	kingdom	0.99	0.97	0.0	0.0	0.0	0.98	0.94	True
metabat2-multisample__024	2413	2326	78	kingdom	1.0	0.96	0.0	0.0	0.0	0.99	0.95	True
metabat2-multisample__025	1976	1956	5	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
metabat2-multisample__026	2216	2199	60	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
metabat2-multisample__027	5204	5014	241	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.94	True
metabat2-multisample__028	2220	2204	196	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
metabat2-multisample__029	199	195	3	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
metabat2-multisample__030	536	515	69	kingdom	1.0	0.96	0.0	0.0	0.0	0.99	0.94	True
metabat2-multisample__031	973	959	236	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
metabat2-multisample__032	1836	1810	502	class	0.96	0.95	0.98	0.04	0.08	0.99	0.94	False
metabat2-multisample__033	1877	1827	43	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
metabat2-multisample__034	1459	1452	361	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.98	True
semibin2__001	1700	1691	628	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.98	True
semibin2__002	2434	2415	812	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
semibin2__003	4853	4742	930	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
semibin2__004	2171	2160	258	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.98	True
semibin2__005	462	450	145	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
semibin2__006	2049	2018	471	kingdom	0.99	0.98	0.0	0.0	0.0	0.99	0.96	True
semibin2__007	1456	1449	360	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.98	True
semibin2__008	416	395	182	phylum	0.99	0.94	1.0	0.04	0.08	0.98	0.93	False
semibin2__009	475	446	145	genus	0.9	0.84	1.0	0.09	0.2	0.92	0.77	False
semibin2__010	308	270	52	kingdom	1.0	0.88	1.0	0.3	0.72	0.87	0.76	False
semibin2__011	495	477	193	phylum	1.0	0.96	1.0	0.11	0.24	0.97	0.93	False
semibin2__012	1731	1723	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
semibin2__013	466	444	187	order	0.96	0.91	0.76	0.02	0.05	0.91	0.83	False
semibin2__014	1826	1824	36	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
semibin2__015	1454	1424	272	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
semibin2__016	1720	1642	536	genus	0.96	0.92	0.93	0.04	0.09	0.99	0.91	False
semibin2__017	2107	2056	108	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.95	True
semibin2__018	1276	1251	324	kingdom	0.99	0.97	0.0	0.0	0.0	0.99	0.96	True
semibin2__019	5157	4980	240	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
semibin2__020	2233	2216	199	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
semibin2__021	1719	1698	478	phylum	1.0	0.98	0.88	0.03	0.06	0.99	0.97	False
semibin2__022	875	854	371	family	0.89	0.87	0.65	0.05	0.1	0.98	0.85	False
semibin2__023	2398	2198	70	genus	0.7	0.64	0.17	0.21	0.55	0.65	0.42	True
semibin2__024	290	277	122	kingdom	1.0	0.96	1.0	0.02	0.04	0.98	0.94	False
semibin2__025	556	468	69	family	0.74	0.62	0.65	0.04	0.09	0.84	0.52	False
semibin2__026	750	669	218	phylum	0.97	0.86	0.98	0.13	0.3	0.81	0.7	False
semibin2__027	2545	2450	104	kingdom	1.0	0.96	0.0	0.0	0.0	0.99	0.95	True
semibin2__028	2517	2479	91	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.97	True
semibin2__029	2442	2384	73	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.95	True
semibin2__030	2284	2235	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
semibin2__031	549	528	73	kingdom	0.98	0.95	0.0	0.0	0.0	0.99	0.93	True
semibin2__032	1371	1365	43	class	0.99	0.99	1.0	0.02	0.05	0.99	0.97	False
semibin2__033	237	233	6	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.97	True
semibin2__034	390	353	22	genus	0.78	0.71	0.05	0.68	4.58	0.72	0.51	True
semibin2__035	5659	5455	647	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.95	True
semibin2__036	1798	1763	52	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
semibin2__037	702	689	223	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
semibin2__038	1874	1824	43	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
semibin2__039	1892	1865	13	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
semibin2__040	1726	1666	128	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.93	True
semibin2__041	4016	3950	20	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
semibin2__042	599	593	242	phylum	0.99	0.98	1.0	0.05	0.1	0.94	0.92	False
semibin2__043	1999	1978	8	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
taxvamb__001	2000	1971	5	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
taxvamb__002	2631	2521	101	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.94	True
taxvamb__003	440	419	193	kingdom	1.0	0.95	0.0	0.0	0.0	0.98	0.94	True
taxvamb__004	2429	2221	78	genus	0.7	0.64	0.18	0.21	0.56	0.65	0.42	True
taxvamb__005	446	431	188	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
taxvamb__006	6671	6538	252	phylum	0.97	0.95	1.0	0.21	0.5	0.98	0.94	False
taxvamb__007	1755	1723	48	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
taxvamb__008	2004	1960	83	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
taxvamb__009	432	418	180	class	0.97	0.94	0.81	0.02	0.05	0.92	0.87	False
taxvamb__010	394	355	24	genus	0.78	0.71	0.05	0.69	4.59	0.73	0.51	True
taxvamb__011	5241	5056	550	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.95	True
taxvamb__012	1698	1641	117	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.93	True
taxvamb__013	2190	2173	194	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
taxvamb__014	2084	2073	227	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.98	True
taxvamb__015	1990	1970	6	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
taxvamb__016	263	197	15	order	0.75	0.56	0.09	0.2	0.53	0.71	0.4	True
taxvamb__017	1107	1063	340	class	0.99	0.95	1.0	0.02	0.04	0.98	0.93	False
taxvamb__018	371	345	107	genus	0.82	0.77	0.52	0.1	0.21	0.88	0.68	False
taxvamb__019	673	657	277	family	0.91	0.89	0.71	0.04	0.08	0.98	0.88	False
taxvamb__020	263	229	26	genus	0.8	0.7	0.29	0.43	1.82	0.9	0.63	True
taxvamb__021	1438	1408	266	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
taxvamb__022	1889	1862	12	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
taxvamb__023	501	473	133	kingdom	1.0	0.94	0.0	0.0	0.0	0.98	0.93	True
taxvamb__024	1526	1517	378	kingdom	1.0	0.99	1.0	0.04	0.08	0.99	0.98	False
taxvamb__025	1982	1945	10	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
taxvamb__026	1258	1235	317	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
taxvamb__027	1284	1277	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
taxvamb__028	2053	2023	477	kingdom	0.99	0.98	0.0	0.0	0.0	0.99	0.96	True
taxvamb__029	2363	2360	51	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
taxvamb__030	5102	4903	946	class	0.96	0.93	1.0	0.03	0.07	0.94	0.87	False
taxvamb__031	432	421	136	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
taxvamb__032	1834	1799	510	order	0.99	0.97	1.0	0.07	0.15	0.99	0.96	False
taxvamb__033	4882	4724	189	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
taxvamb__034	1881	1828	43	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
taxvamb__035	2468	2411	77	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.95	True
vamb__001	3971	3907	13	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
vamb__002	1809	1773	54	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
vamb__003	1721	1661	123	kingdom	1.0	0.96	0.0	0.0	0.0	0.97	0.93	True
vamb__004	5300	5113	558	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.95	True
vamb__005	2196	2179	192	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
vamb__006	2072	2061	223	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.98	True
vamb__007	1095	1075	279	kingdom	1.0	0.98	0.92	0.02	0.05	0.98	0.97	False
vamb__008	518	498	65	kingdom	1.0	0.96	0.0	0.0	0.0	0.99	0.95	True
vamb__009	1990	1970	6	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
vamb__010	1439	1409	262	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
vamb__011	342	334	108	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
vamb__012	1881	1855	10	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
vamb__013	3650	3640	94	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
vamb__014	216	172	13	genus	0.68	0.54	0.12	0.11	0.26	0.69	0.38	True
vamb__015	552	549	119	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
vamb__016	4910	4729	890	order	0.92	0.89	1.0	0.02	0.05	0.96	0.86	False
vamb__017	487	479	192	kingdom	1.0	0.98	1.0	0.1	0.22	0.98	0.97	False
vamb__018	279	275	106	class	0.99	0.98	1.0	0.3	0.73	0.96	0.94	False
vamb__019	385	364	109	kingdom	1.0	0.95	0.0	0.0	0.0	0.99	0.93	True
vamb__020	1351	1344	326	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
vamb__021	4956	4797	197	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
vamb__022	2462	2404	74	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.95	True
vamb__023	2459	2366	72	kingdom	1.0	0.96	0.0	0.0	0.0	0.99	0.95	True
vamb__024	1856	1824	408	kingdom	1.0	0.98	0.98	0.03	0.06	0.98	0.97	False
vamb__025	2386	2187	67	genus	0.7	0.64	0.17	0.21	0.55	0.65	0.42	True
vamb__026	11655	11297	546	class	0.94	0.91	1.0	0.52	1.79	0.97	0.88	False
