Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
metabat2-multisample__005	78.77	0.31	Neural Network (Specific Model)	11	0.933	4753	230.82866894197952	1078802	0.57	1465	269	16743	None
metabat2-multisample__006	89.22	0.06	Neural Network (Specific Model)	11	0.889	67277	296.87626854020294	2561003	0.35	2562	87	154938	None
metabat2-multisample__007	77.31	7.39	Neural Network (Specific Model)	11	0.88	3612	225.02564102564102	1702430	0.33	2223	528	14671	None
metabat2-multisample__008	99.98	0.06	Neural Network (Specific Model)	11	0.884	50296	311.25706099058533	2575200	0.5	2443	72	196262	None
metabat2-multisample__009	10.71	0.0	Neural Network (Specific Model)	11	0.871	1920	237.00236406619385	344582	0.65	423	173	4961	None
metabat2-multisample__010	9.98	0.0	Neural Network (Specific Model)	11	0.904	1876	245.24157303370785	289139	0.57	356	147	5447	None
metabat2-multisample__011	97.67	3.87	Neural Network (Specific Model)	11	0.889	15447	353.9004493605254	6898110	0.55	5786	672	86083	None
metabat2-multisample__012	99.98	0.21	Neural Network (Specific Model)	11	0.874	59244	325.89213579716375	2595739	0.6	2327	65	181610	None
metabat2-multisample__013	95.82	0.23	Neural Network (Specific Model)	11	0.916	11697	297.41883116883116	2096622	0.27	2156	262	52178	None
metabat2-multisample__014	99.55	0.77	Neural Network (Specific Model)	11	0.956	88409	314.6912568306011	1797649	0.47	1830	37	307522	None
metabat2-multisample__015	9.07	0.0	Neural Network (Specific Model)	11	0.806	2080	218.79533213644524	452773	0.41	557	220	5815	None
metabat2-multisample__016	99.67	0.14	Neural Network (Specific Model)	11	0.94	56733	288.2875	1245710	0.31	1360	42	134042	None
metabat2-multisample__017	99.46	0.19	Neural Network (Specific Model)	11	0.92	443866	284.5611972207376	1727173	0.42	1871	10	660252	None
metabat2-multisample__018	99.55	6.95	Neural Network (Specific Model)	11	0.853	6611	279.82852292020374	5210977	0.46	5301	1024	32023	None
metabat2-multisample__019	99.95	0.8	Neural Network (Specific Model)	11	0.93	432090	359.7513134851138	4629413	0.64	3997	13	1064594	None
metabat2-multisample__020	5.47	0.08	Neural Network (Specific Model)	11	0.827	67932	264.7890818858561	385806	0.41	403	22	87818	None
metabat2-multisample__021	99.35	0.41	Neural Network (Specific Model)	11	0.955	82868	317.63673232908457	1713679	0.46	1726	41	249950	None
metabat2-multisample__022	96.25	0.61	Neural Network (Specific Model)	11	0.867	26973	334.65237278444823	2022086	0.49	1749	120	77642	None
metabat2-multisample__023	99.71	0.79	Neural Network (Specific Model)	11	0.854	41813	290.57333994053516	2055695	0.28	2018	108	154393	None
metabat2-multisample__024	100.0	0.25	Neural Network (Specific Model)	11	0.889	58955	308.33222866611436	2506842	0.52	2414	78	192840	None
metabat2-multisample__025	98.88	0.44	Neural Network (Specific Model)	11	0.952	672984	306.9979633401222	1893794	0.37	1964	5	708053	None
metabat2-multisample__026	99.99	0.34	Neural Network (Specific Model)	11	0.893	68740	294.5277141548328	2156473	0.34	2183	60	177391	None
metabat2-multisample__027	99.91	0.41	Neural Network (Specific Model)	11	0.891	50724	343.4675800849093	5984631	0.5	5182	241	224039	None
metabat2-multisample__028	88.85	0.02	Neural Network (Specific Model)	11	0.907	14674	270.0049305244285	1990526	0.68	2231	196	70149	None
metabat2-multisample__029	10.42	0.0	Neural Network (Specific Model)	11	0.917	161417	323.8102564102564	205973	0.35	195	3	161417	None
metabat2-multisample__030	87.32	0.21	Neural Network (Specific Model)	11	0.952	8323	244.33394495412844	416109	0.32	545	69	18077	None
metabat2-multisample__031	43.18	0.0	Neural Network (Specific Model)	11	0.914	3150	217.67635270541084	708248	0.46	998	236	8558	None
metabat2-multisample__032	68.6	2.07	Neural Network (Specific Model)	11	0.883	3321	247.10952902519168	1529683	0.57	1826	502	10823	None
metabat2-multisample__033	99.91	0.12	Neural Network (Specific Model)	11	0.883	79303	272.4456289978678	1733559	0.31	1876	43	209565	None
metabat2-multisample__034	68.85	1.62	Neural Network (Specific Model)	11	0.95	3424	241.24405166553365	1116360	0.35	1471	361	14790	None
semibin2__001	26.41	0.37	Neural Network (Specific Model)	11	0.919	2114	249.0962787950384	1373635	0.63	1693	628	8578	None
semibin2__002	31.5	0.93	Neural Network (Specific Model)	11	0.899	2452	244.33114215283484	1980433	0.61	2434	812	8173	None
semibin2__003	96.64	6.52	Neural Network (Specific Model)	11	0.857	6789	284.58343558282206	4868198	0.47	4890	930	32023	None
semibin2__004	97.94	0.16	Neural Network (Specific Model)	11	0.916	11697	296.87563805104406	2092156	0.27	2155	258	52178	None
semibin2__005	16.02	0.23	Neural Network (Specific Model)	11	0.925	1934	194.5301724137931	291147	0.57	464	145	4375	None
semibin2__006	77.56	6.8	Neural Network (Specific Model)	11	0.887	3733	225.18059558117196	1584296	0.33	2082	471	14671	None
semibin2__007	68.71	1.64	Neural Network (Specific Model)	11	0.95	3426	240.97138964577655	1112414	0.35	1468	360	14790	None
semibin2__008	9.56	0.0	Neural Network (Specific Model)	11	0.863	1892	245.08114558472553	356113	0.56	419	182	5475	None
semibin2__009	5.79	0.0	Neural Network (Specific Model)	11	0.831	2394	191.78112449799198	343168	0.54	498	145	7166	None
semibin2__010	5.8	0.02	Neural Network (Specific Model)	11	0.764	8619	203.6798780487805	261126	0.57	328	52	30940	None
semibin2__011	11.72	0.25	Neural Network (Specific Model)	11	0.888	1917	240.33061224489796	396988	0.57	490	193	12387	None
semibin2__012	99.35	0.41	Neural Network (Specific Model)	11	0.954	82868	317.35069444444446	1716008	0.46	1728	42	249950	None
semibin2__013	11.75	0.0	Neural Network (Specific Model)	11	0.863	1918	233.0887445887446	373478	0.65	462	188	4961	None
semibin2__014	99.51	0.78	Neural Network (Specific Model)	11	0.956	88409	314.62233169129723	1794411	0.47	1827	36	307522	None
semibin2__015	78.95	0.29	Neural Network (Specific Model)	11	0.933	4753	230.6408689748812	1083632	0.57	1473	272	16743	None
semibin2__016	52.55	0.4	Neural Network (Specific Model)	11	0.865	2661	229.1374786081004	1389652	0.48	1753	536	9315	None
semibin2__017	99.77	0.53	Neural Network (Specific Model)	11	0.855	41813	291.1232673267327	2059119	0.28	2020	108	154393	None
semibin2__018	59.51	0.0	Neural Network (Specific Model)	11	0.912	3170	221.0847975553858	946551	0.45	1309	324	8558	None
semibin2__019	99.84	0.26	Neural Network (Specific Model)	11	0.892	50724	344.6522585669782	5942474	0.5	5136	240	224039	None
semibin2__020	89.61	0.02	Neural Network (Specific Model)	11	0.907	14503	269.8903254569773	2000542	0.68	2243	199	70149	None
semibin2__021	67.02	1.41	Neural Network (Specific Model)	11	0.878	3321	248.2932551319648	1443223	0.57	1705	478	10823	None
semibin2__022	13.35	0.01	Neural Network (Specific Model)	11	0.821	1935	228.13378684807256	734255	0.42	882	371	5815	None
semibin2__023	99.98	0.21	Neural Network (Specific Model)	11	0.874	59244	323.7510548523207	2625969	0.6	2370	70	181610	None
semibin2__024	9.9	0.0	Neural Network (Specific Model)	11	0.854	1775	231.2294520547945	236494	0.41	292	123	5637	None
semibin2__025	6.55	0.0	Neural Network (Specific Model)	11	0.851	17583	294.5320284697509	582136	0.54	562	70	44590	None
semibin2__026	11.73	0.43	Neural Network (Specific Model)	11	0.785	3064	224.4980694980695	664498	0.4	777	219	12755	None
semibin2__027	100.0	1.92	Neural Network (Specific Model)	11	0.888	58864	304.420125293657	2621240	0.51	2554	104	192840	None
semibin2__028	88.16	0.07	Neural Network (Specific Model)	11	0.887	67277	298.412375249501	2522617	0.35	2505	91	154938	None
semibin2__029	99.99	0.28	Neural Network (Specific Model)	11	0.886	47024	313.73848019401777	2622359	0.51	2474	73	196262	None
semibin2__030	99.99	0.44	Neural Network (Specific Model)	11	0.893	68740	292.94540612516647	2211895	0.34	2253	64	177391	None
semibin2__031	86.5	0.19	Neural Network (Specific Model)	11	0.954	8280	243.5276292335116	426162	0.32	561	73	18077	None
semibin2__032	99.74	0.14	Neural Network (Specific Model)	11	0.942	56733	288.8001458789205	1255643	0.31	1371	43	134042	None
semibin2__033	10.14	0.0	Neural Network (Specific Model)	11	0.908	161417	318.21702127659574	246193	0.35	235	6	161417	None
semibin2__034	5.4	0.05	Neural Network (Specific Model)	11	0.833	67932	274.1675	393629	0.41	400	22	87818	None
semibin2__035	97.31	3.96	Neural Network (Specific Model)	11	0.887	15929	348.1144053017091	6738167	0.55	5734	647	86083	None
semibin2__036	100.0	0.22	Neural Network (Specific Model)	11	0.921	48108	325.00222345747636	1901513	0.53	1799	52	157083	None
semibin2__037	14.24	0.87	Neural Network (Specific Model)	11	0.862	2396	215.40368271954674	527967	0.58	706	223	7550	None
semibin2__038	99.92	0.12	Neural Network (Specific Model)	11	0.883	79303	272.22542735042737	1727858	0.31	1872	43	209565	None
semibin2__039	99.47	0.19	Neural Network (Specific Model)	11	0.92	443866	284.22340425531917	1734578	0.42	1880	13	660252	None
semibin2__040	98.03	0.56	Neural Network (Specific Model)	11	0.868	26973	333.9302979201799	2050369	0.49	1779	128	77642	None
semibin2__041	99.96	0.92	Neural Network (Specific Model)	11	0.93	432090	358.54243999010146	4666117	0.64	4041	20	1064594	None
semibin2__042	8.29	0.04	Neural Network (Specific Model)	11	0.954	2175	288.0233333333333	542601	0.64	600	242	10555	None
semibin2__043	100.0	0.48	Neural Network (Specific Model)	11	0.952	672984	307.70292044310173	1920309	0.37	1986	8	708053	None
taxvamb__001	46.29	0.61	Neural Network (Specific Model)	11	0.93	509735	364.0769230769231	2361972	0.64	2015	5	1064594	None
taxvamb__002	100.0	0.59	Neural Network (Specific Model)	11	0.885	55634	306.1877365632097	2736388	0.51	2642	101	192840	None
taxvamb__003	10.26	0.0	Neural Network (Specific Model)	11	0.865	1867	244.05393258426966	375739	0.56	445	193	5475	None
taxvamb__004	99.98	0.21	Neural Network (Specific Model)	11	0.874	56680	323.52605252188414	2656340	0.6	2399	79	181610	None
taxvamb__005	11.3	0.23	Neural Network (Specific Model)	11	0.893	1844	240.70627802690584	360205	0.56	446	188	5447	None
taxvamb__006	100.0	157.45	Neural Network (Specific Model)	11	0.896	58018	293.91907864828005	6479920	0.34	6599	254	177391	None
taxvamb__007	100.0	0.06	Neural Network (Specific Model)	11	0.922	48450	326.83447488584477	1859642	0.53	1752	48	157083	None
taxvamb__008	99.41	0.33	Neural Network (Specific Model)	11	0.86	44823	289.0025974025974	1937978	0.28	1925	83	154393	None
taxvamb__009	11.01	0.0	Neural Network (Specific Model)	11	0.861	1828	238.19529411764705	352111	0.65	425	181	4961	None
taxvamb__010	5.38	0.05	Neural Network (Specific Model)	11	0.824	67932	272.9282178217822	399999	0.41	404	24	87818	None
taxvamb__011	91.95	3.3	Neural Network (Specific Model)	11	0.889	17235	356.1011299435028	6370188	0.55	5310	550	86083	None
taxvamb__012	95.95	0.54	Neural Network (Specific Model)	11	0.868	26973	335.024	2022800	0.49	1750	117	77642	None
taxvamb__013	88.43	0.02	Neural Network (Specific Model)	11	0.908	14759	270.2839618355293	1963322	0.68	2201	194	70149	None
taxvamb__014	93.15	0.16	Neural Network (Specific Model)	11	0.915	12924	292.98790517658443	1982480	0.27	2067	227	52178	None
taxvamb__015	100.0	0.48	Neural Network (Specific Model)	11	0.952	672984	307.4919110212336	1910339	0.37	1978	6	708053	None
taxvamb__016	4.59	0.0	Neural Network (Specific Model)	11	0.826	26708	292.95075757575756	280186	0.52	264	16	44590	None
taxvamb__017	32.13	0.05	Neural Network (Specific Model)	11	0.868	2801	229.23002633889377	899532	0.48	1139	340	7832	None
taxvamb__018	6.92	0.02	Neural Network (Specific Model)	11	0.82	2988	234.08707124010553	323653	0.42	379	108	10955	None
taxvamb__019	9.88	0.0	Neural Network (Specific Model)	11	0.808	1916	213.04117647058823	537045	0.41	680	277	5815	None
taxvamb__020	4.38	0.02	Neural Network (Specific Model)	11	0.787	15332	208.20863309352518	219932	0.57	278	26	30940	None
taxvamb__021	77.72	0.36	Neural Network (Specific Model)	11	0.931	4771	230.8359643102265	1075080	0.57	1457	266	16743	None
taxvamb__022	99.47	0.19	Neural Network (Specific Model)	11	0.92	443866	284.3226837060703	1732760	0.42	1878	12	660252	None
taxvamb__023	7.06	0.01	Neural Network (Specific Model)	11	0.881	4549	313.0711462450593	538667	0.55	506	133	16730	None
taxvamb__024	71.45	1.57	Neural Network (Specific Model)	11	0.945	3426	241.72999349381914	1174271	0.35	1537	378	14790	None
taxvamb__025	65.55	0.01	Neural Network (Specific Model)	11	0.93	372866	354.6599597585513	2270897	0.64	1988	10	466493	None
taxvamb__026	59.44	0.01	Neural Network (Specific Model)	11	0.914	3170	220.9411309062742	930429	0.45	1291	317	8558	None
taxvamb__027	64.21	1.19	Neural Network (Specific Model)	11	0.947	66793	310.713728549142	1254797	0.46	1282	42	307522	None
taxvamb__028	77.63	6.32	Neural Network (Specific Model)	11	0.884	3710	226.44769673704414	1599453	0.33	2084	477	14671	None
taxvamb__029	99.99	33.59	Neural Network (Specific Model)	11	0.958	90576	316.8736263736264	2334006	0.47	2366	51	249950	None
taxvamb__030	98.4	7.47	Neural Network (Specific Model)	11	0.845	6865	284.03990656024916	5173479	0.47	5137	950	39897	None
taxvamb__031	15.98	0.16	Neural Network (Specific Model)	11	0.924	1954	196.76102088167053	273836	0.57	431	136	4375	None
taxvamb__032	67.02	1.29	Neural Network (Specific Model)	11	0.878	3293	245.69808219178083	1528897	0.57	1825	510	10823	None
taxvamb__033	98.03	0.45	Neural Network (Specific Model)	11	0.892	52966	343.655094494659	5618393	0.5	4868	189	224039	None
taxvamb__034	99.91	0.12	Neural Network (Specific Model)	11	0.883	79303	272.10005321979776	1734637	0.31	1879	43	209565	None
taxvamb__035	100.0	0.04	Neural Network (Specific Model)	11	0.883	47024	311.9416	2643322	0.51	2500	77	196262	None
vamb__001	99.95	0.8	Neural Network (Specific Model)	11	0.93	432090	359.7513134851138	4629413	0.64	3997	13	1064594	None
vamb__002	100.0	0.05	Neural Network (Specific Model)	11	0.921	48108	324.37887168141594	1906417	0.53	1808	54	157083	None
vamb__003	97.39	1.36	Neural Network (Specific Model)	11	0.868	26973	335.03050847457627	2046752	0.49	1770	123	77642	None
vamb__004	93.45	3.44	Neural Network (Specific Model)	11	0.889	16960	357.25311743904706	6462447	0.55	5373	558	86083	None
vamb__005	87.98	0.01	Neural Network (Specific Model)	11	0.906	14674	269.9546690843155	1968516	0.68	2206	192	70149	None
vamb__006	93.21	0.21	Neural Network (Specific Model)	11	0.915	13059	293.81088964511423	1978493	0.27	2057	223	52178	None
vamb__007	52.28	0.05	Neural Network (Specific Model)	11	0.915	3150	220.4261565836299	807066	0.44	1124	279	8558	None
vamb__008	85.54	0.23	Neural Network (Specific Model)	11	0.953	8323	246.38825757575756	406209	0.32	528	65	18077	None
vamb__009	100.0	0.48	Neural Network (Specific Model)	11	0.952	672984	307.4919110212336	1910339	0.37	1978	6	708053	None
vamb__010	77.28	1.75	Neural Network (Specific Model)	11	0.929	4901	230.84594222833562	1074998	0.57	1454	262	16743	None
vamb__011	11.05	0.12	Neural Network (Specific Model)	11	0.924	1878	194.28947368421052	214423	0.57	342	108	4375	None
vamb__012	99.46	0.19	Neural Network (Specific Model)	11	0.92	443866	284.5611972207376	1727173	0.42	1871	10	660252	None
vamb__013	100.0	89.55	Neural Network (Specific Model)	11	0.954	82868	314.4864494935669	3591739	0.47	3653	94	307522	None
vamb__014	3.85	0.0	Neural Network (Specific Model)	11	0.852	29289	353.4407582938389	262208	0.55	211	13	44590	None
vamb__015	26.89	0.01	Neural Network (Specific Model)	11	0.89	4690	269.95081967213116	498294	0.58	549	119	10823	None
vamb__016	96.95	6.55	Neural Network (Specific Model)	11	0.846	6991	282.9702248328945	4949456	0.47	4937	890	37803	None
vamb__017	8.08	0.01	Neural Network (Specific Model)	11	0.826	1813	206.15432098765433	362668	0.4	486	192	4235	None
vamb__018	6.14	0.0	Neural Network (Specific Model)	11	0.908	2033	240.24187725631768	219307	0.65	277	106	4004	None
vamb__019	5.1	0.0	Neural Network (Specific Model)	11	0.87	4040	288.63496143958866	386401	0.55	389	109	14263	None
vamb__020	62.93	1.76	Neural Network (Specific Model)	11	0.949	3534	243.05592347314203	1039774	0.35	1359	326	14790	None
vamb__021	99.41	0.42	Neural Network (Specific Model)	11	0.892	52893	343.344541219364	5692387	0.5	4937	197	224039	None
vamb__022	100.0	0.05	Neural Network (Specific Model)	11	0.884	47024	312.3751503006012	2640305	0.51	2495	74	196262	None
vamb__023	99.99	0.56	Neural Network (Specific Model)	11	0.888	58864	308.19391480730224	2559549	0.51	2465	72	192840	None
vamb__024	72.69	3.61	Neural Network (Specific Model)	11	0.883	3843	223.51993620414672	1426167	0.33	1881	408	14671	None
vamb__025	99.95	0.2	Neural Network (Specific Model)	11	0.874	59244	323.9372349448685	2614762	0.6	2358	67	181610	None
vamb__026	100.0	156.78	Neural Network (Specific Model)	11	0.874	54662	289.5849322302412	11267614	0.34	11362	555	209565	None
