contigs	predictions
k141_7282	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus aurantiacus
k141_47200	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum
k141_3645	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia xenovorans
k141_43561	Archaea;Methanobacteriota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis
k141_32671	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_43566	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_10908	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_24	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_29063	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_47208	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_54464	
k141_32674	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium limicola
k141_29064	Archaea;Methanobacteriota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis
k141_14544	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_43571	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia
k141_47212	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus islandicus
k141_32677	Archaea
k141_25415	
k141_3663	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
k141_32678	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_14547	Archaea;Methanobacteriota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium
k141_29065	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_43575	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobaculum tepidum
k141_32682	Bacteria;Aquificota;Aquificia;Aquificales;Hydrogenothermaceae;Sulfurihydrogenibium;Sulfurihydrogenibium sp. YO3AOP1
k141_47221	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_18177	
k141_10919	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_54483	Archaea;Methanobacteriota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus
k141_10920	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus aurantiacus
k141_29070	Bacteria
k141_47226	Bacteria;Pseudomonadota;Gammaproteobacteria
k141_7295	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas gingivalis
k141_18181	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia xenovorans
k141_43582	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_10922	
k141_29074	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_28	Bacteria;Bacillota;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter
k141_54488	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobaculum tepidum
k141_32695	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus aurantiacus
k141_25422	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_47229	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_3670	
k141_10925	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_25424	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_43587	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum
k141_7297	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus hospitalis
k141_47232	Archaea;Methanobacteriota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis
k141_54495	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus hospitalis
k141_3674	Bacteria;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae
k141_47234	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus islandicus
k141_18186	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_33	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_18187	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_47238	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_54498	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_43598	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus islandicus
k141_3683	Bacteria
k141_29082	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
k141_39936	Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus;Desulfobulbus oralis
k141_32716	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_10934	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_18194	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_39943	
k141_43602	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_32723	Archaea;Methanobacteriota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis
k141_54500	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum
k141_29094	Archaea;Thermoproteota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum calidifontis
k141_43606	
k141_18198	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus hospitalis
k141_3697	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_50	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_43607	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_10945	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_18199	Archaea;Methanobacteriota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis
k141_51	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola
k141_54504	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_32727	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella baltica
k141_18201	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_54508	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus aurantiacus
k141_47249	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_54	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum;Hydrogenobaculum sp. Y04AAS1
k141_3703	
k141_18202	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_47253	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_54515	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum
k141_43620	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_39944	Archaea;Methanobacteriota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium
k141_32731	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium limicola
k141_3707	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
k141_10957	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_3709	
k141_18213	Archaea;Thermoproteota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum calidifontis
k141_39946	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_62	Bacteria;Bacillota
k141_54522	
k141_21780	Archaea;Methanobacteriota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus jannaschii
k141_18215	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum
k141_54525	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_7310	Bacteria;Thermotogota;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga;Thermotoga neapolitana
k141_10963	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
k141_3724	Bacteria;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae
k141_43635	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum;Hydrogenobaculum sp. Y04AAS1
k141_7313	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_32732	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
k141_18225	
k141_7317	Bacteria;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema
k141_50836	Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus;Desulfobulbus oralis
k141_32736	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_54534	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_50840	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobaculum tepidum
k141_10967	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_32741	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium limicola
k141_7322	Archaea;Methanobacteriota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis
k141_50841	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
k141_10969	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_7325	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum;Hydrogenobaculum sp. Y04AAS1
k141_50842	
k141_29097	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_18233	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_47257	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
k141_32743	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_39955	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_50844	
k141_7332	Archaea;Thermoproteota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum calidifontis
k141_18234	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus islandicus
k141_54549	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus aurantiacus
k141_18235	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus islandicus
k141_50845	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_29103	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum;Hydrogenobaculum sp. Y04AAS1
k141_32747	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus islandicus
k141_32748	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_54550	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_39965	Bacteria;Thermotogota;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga
k141_18236	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_21793	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas
k141_32749	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_18238	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium limicola
k141_50846	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_21796	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_29116	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum;Hydrogenobaculum sp. Y04AAS1
k141_54555	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_32752	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_39974	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Wolinella;Wolinella succinogenes
k141_29117	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_54558	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_21797	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_39977	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_54559	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
k141_7343	Bacteria;Bacillota;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter
k141_32758	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_39979	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_29119	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_54561	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
k141_7347	Bacteria;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae
k141_7349	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus aurantiacus
k141_32766	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobaculum tepidum
k141_39986	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_54562	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium nucleatum
k141_3728	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium limicola
k141_54563	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_3732	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia
k141_32772	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_25437	
k141_50848	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_43636	Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus;Desulfobulbus oralis
k141_21819	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_7350	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_32779	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_43639	Bacteria;Bacillota
k141_18262	Archaea;Methanobacteriota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium salinarum
k141_18263	
k141_32781	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_25445	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum
k141_50852	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula
k141_21829	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus islandicus
k141_40009	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_50853	Archaea;Methanobacteriota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus;Methanopyrus kandleri
k141_25450	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_3735	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_32789	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus hospitalis
k141_29123	
k141_18274	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_7374	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus islandicus
k141_25452	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_79	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_18275	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_18276	
k141_3739	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_29128	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobaculum tepidum
k141_25460	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus aurantiacus
k141_32800	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Wolinella;Wolinella succinogenes
k141_29131	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_3743	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_40019	Archaea;Methanobacteriota;Halobacteria;Halobacteriales
k141_94	Archaea;Methanobacteriota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis
k141_3744	
k141_50857	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas gingivalis
k141_29136	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_32811	Bacteria;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae
k141_32812	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Wolinella;Wolinella succinogenes
k141_50858	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;Chlorobium phaeobacteroides
k141_100	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
k141_21837	Bacteria;Pseudomonadota;Gammaproteobacteria
k141_25464	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_29137	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae
k141_21840	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobaculum tepidum
k141_105	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobaculum tepidum
k141_25465	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_50869	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
k141_3764	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_18306	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobaculum tepidum
k141_29147	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_21844	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula baltica
k141_109	
k141_3767	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus hospitalis
k141_40022	Bacteria;Bacillota
k141_21846	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Hydrogenobaculum
k141_40023	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas
k141_3770	Bacteria;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae
k141_29148	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_18318	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
k141_21848	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
