Sample	Spring	BroadRegion	TemperatureC	PH	Conductivity	FilteredSequences	Recruitment	EstimatedCatalogReads	EqualSampleWeight	CatalogReadWeight
AA03.0.4	AA03	ALV	55.1	8.44962963	2.46	6872690	0.091605	629572.76745	0.0416666666666667	0.0125037864557486
AA03.0.5	AA03	ALV	37	9.222962963	2.56	839045	0.053505	44893.102725	0.0416666666666667	0.000891610626811249
AA03.1.2	AA03	ALV	41.5	8.94		4106019	0.18992	779815.12848	0.0416666666666667	0.0154877122162856
AA03.1.3	AA03	ALV	62.2	7.92	2.98	883165	0.09961	87972.06565	0.0416666666666667	0.00174719107914092
AA03.1.4	AA03	ALV	45.5	8.17		818639	0.159855	130863.537345	0.0416666666666667	0.00259904781528804
AA03.1.5	AA03	ALV	65.5	8.42	3.01	6181192	0.082825	511957.2274	0.0416666666666667	0.0101678537841063
AA03.1.6	AA03	ALV	28.1	8.9		4803852	0.14917	716590.60284	0.0416666666666667	0.0142320258075952
AA03.1.7	AA03	ALV	60.3	8.57	2.97	703151	0.118725	83481.602475	0.0416666666666667	0.00165800711895309
AA03.1.8	AA03	ALV	29.2	9.02		3486732	0.097865	341229.02718	0.0416666666666667	0.00677706392168626
AA03.2.1	AA03	ALV	92.8	8.1	2.95	21768662	0.11752	2558253.15824	0.0416666666666667	0.0508088228147796
AA03.2.2	AA03	ALV	63	6.53	1.777	28328521	0.136065	3854520.209865	0.0416666666666667	0.076553656837368
AA03.2.3	AA03	ALV	45.3	6.66	2.88	29076921	0.139895	4067715.863295	0.0416666666666667	0.0807878821114054
AA03.2.4	AA03	ALV	45.4	7.76	2.88	37389256	0.174675	6530968.2918	0.0416666666666667	0.129709919316703
AA03.2.5	AA03	ALV	67.7	8.35	2.85	24172730	0.089475	2162855.01675	0.0416666666666667	0.0429559197322404
AA03.2.6	AA03	ALV	35.4	8.32		27257011	0.194865	5311437.448515	0.0416666666666667	0.105489123835987
AA03.2.7	AA03	ALV	54.5	8.56	2.87	24962180	0.09992	2494221.0256	0.0416666666666667	0.0495370967264997
AA03.3.1	AA03	ALV	71.9	8.76		19493161	0.141435	2757015.226035	0.0416666666666667	0.0547563862732151
AA03.3.2	AA03	ALV	70.8	8.46		24319296	0.119405	2903845.53888	0.0416666666666667	0.0576725462025602
AA03.3.3	AA03	ALV	66.9	8.52	2.9	21158313	0.155885	3298263.622005	0.0416666666666667	0.0655059845923051
AA03.3.4	AA03	ALV	71.7	8.7	2.58	19446940	0.111825	2174654.0655	0.0416666666666667	0.0431902576731086
AA03.3.5	AA03	ALV	64.4	8.54	2.9	26385216	0.099465	2624405.50944	0.0416666666666667	0.0521226580308433
AA03.3.6	AA03	ALV	56.7	8.68	2.87	31575396	0.108045	3411563.66082	0.0416666666666667	0.0677562081788634
AA03.3.7	AA03	ALV	57	8.7	2.89	23227704	0.120705	2803700.01132	0.0416666666666667	0.0556835810569101
AB02.0.1	AB02	ALV	76.9	6.717	1.96	3019743	0.08262	249491.16666	0.125	0.0351989229344688
AB02.0.2	AB02	ALV	68.5	6.737428571	1.9	4012998	0.10017	401982.00966	0.125	0.0567127644977811
AB02.1.1	AB02	ALV		6.83	2.34	562547	0.08778	49380.37566	0.125	0.00696672375459346
AB02.1.2	AB02	ALV	53.8	7.17		3328130	0.083005	276251.43065	0.125	0.0389743370403064
AB02.2.1	AB02	ALV	72.6	6.86	2.25	22744111	0.08838	2010124.53018	0.125	0.283594082202169
AB02.2.2	AB02	ALV	47.8	7.39		20886268	0.044625	932049.7095	0.125	0.131496222230959
AB02.3.1	AB02	ALV	72.1	6.99	2.25	21630353	0.043195	934323.097835	0.125	0.131816958319034
AB02.3.2	AB02	ALV	65.3	7.04	2.28	30233838	0.073905	2234431.79739	0.125	0.315239989020689
AB03.0.1	AB03	ALV	87.3	6.99962963	1.97	343452	0.114215	39227.37018	0.125	0.00504602391978677
AB03.0.2	AB03	ALV	70	6.913703704	1.99	1057289	0.081575	86248.350175	0.125	0.0110945810547118
AB03.0.3	AB03	ALV	43.6	8.224074074	2.01	1843178	0.08276	152541.41128	0.125	0.0196222078244071
AB03.1.1	AB03	ALV	89.6	7.12	2.37	1257636	0.07335	92247.6006	0.125	0.0118662963393825
AB03.1.2	AB03	ALV	67.6	7.07	2.37	5243723	0.097915	513439.137545	0.125	0.066046389485668
AB03.1.3	AB03	ALV	43.7	8.38	2.49	970036	0.16652	161530.39472	0.125	0.0207785082657743
AB03.2.1	AB03	ALV	38	8.31	2.38	21960230	0.170715	3748940.66445	0.125	0.482246048610236
AB03.3.1	AB03	ALV	44.5	7.77	2.27	22255980	0.133885	2979741.8823	0.125	0.383299944500033
AB04.0.1	AB04	ALV	71	6.978148148	1.95	543624	0.08632	46925.62368	0.25	0.00710143236245208
AB04.1.1	AB04	ALV	67.7	6.85	2.38	14965980	0.109405	1637353.0419	0.25	0.247786837310886
AB04.2.1	AB04	ALV	71.1	6.9	2.28	28729507	0.094425	2712783.698475	0.25	0.410535831767613
AB04.3.1	AB04	ALV	70.2	6.98	2.24	17495033	0.12637	2210847.32021	0.25	0.334575898559048
AB07.0.1	AB07	ALV	56.3	7.074814815	1.99	1952267	0.100155	195529.301385	0.166666666666667	0.0253887065538165
AB07.0.2	AB07	ALV	56.3	7.074814815	1.99	175439	0.046915	8230.720685	0.166666666666667	0.00106872653212438
AB07.1.1	AB07	ALV	52.8	7.35	2.34	3682373	0.08087	297793.50451	0.166666666666667	0.0386673089203654
AB07.2.1	AB07	ALV	52.2	7.16	2.26	620412	0.08907	55260.09684	0.166666666666667	0.00717530504568086
AB07.3.1	AB07	ALV	50.2	7.29	2.24	18429530	0.15082	2779541.7146	0.166666666666667	0.360912499795211
AB07.3.2	AB07	ALV	49.9	7.28	2.24	32438397	0.134565	4365072.892305	0.166666666666667	0.566787453152802
AB08.0.2	AB08	ALV	66.1	7.332592593		546531	0.150795	82414.142145	0.1	0.00574222921686606
AB08.0.3	AB08	ALV	52.6	7.794444444		6896106	0.081485	561929.19741	0.1	0.0391525795354476
AB08.1.2	AB08	ALV	48.5	8.04		1022205	0.13825	141319.84125	0.1	0.00984650085807943
AB08.1.3	AB08	ALV	59	7.67		725125	0.07204	52238.005	0.1	0.0036396981238249
AB08.2.1	AB08	ALV	90	6.99	2.32	21851714	0.097665	2134147.64781	0.1	0.14869735530098
AB08.2.2	AB08	ALV	47.9	7.43	2.87	28577519	0.102945	2941912.693455	0.1	0.204978618743668
AB08.2.4	AB08	ALV	51.8	7.85		23463911	0.06943	1629099.34073	0.1	0.113507968269067
AB08.3.2	AB08	ALV	53.7	8.14		19286383	0.09048	1745031.93384	0.1	0.121585605262146
AB08.3.3	AB08	ALV	50.9	8.17		19131922	0.13455	2574200.1051	0.1	0.179358137679307
AB08.3.4	AB08	ALV	54	8.12		22469861	0.110815	2489997.646715	0.1	0.173491307010614
AB09.0.3	AB09	ALV	44.2	7.848148148	2.09	924763	0.085785	79330.793955	0.2	0.0147680292838274
AB09.1.2	AB09	ALV	36.3	7.73		4662570	0.137045	638981.90565	0.2	0.118951330549242
AB09.2.2	AB09	ALV	46	7.28	2.4	23528934	0.069635	1638437.31909	0.2	0.305007539969436
AB09.3.1	AB09	ALV	61.8	7.91	2.34	22901640	0.082555	1890644.8902	0.2	0.351957893168576
AB09.3.2	AB09	ALV	42.3	7.53		17224233	0.06528	1124397.93024	0.2	0.209315207028918
AB11A.0.1	AB11	ALV	59.8	6.817037037	2.05	1461759	0.06454	94341.92586	0.0555555555555556	0.00360755694438594
AB11A.1.1	AB11	ALV	50	7.1	2.43	3691892	0.17456	644456.66752	0.0555555555555556	0.0246434880894597
AB11A.2.1	AB11	ALV	55.4	6.98	2.36	20595876	0.176775	3640835.9799	0.0555555555555556	0.139222546104789
AB11A.3.1	AB11	ALV	55.1	7.18	2.35	18670243	0.17976	3356162.88168	0.0555555555555556	0.128336883097576
AB11B.0.1	AB11	ALV	64	6.870740741	2.07	3475216	0.059195	205715.41112	0.0555555555555556	0.00786638658462897
AB11B.1.1	AB11	ALV	52.2	7.09	2.48	10112594	0.063295	640076.63723	0.0555555555555556	0.0244759993664421
AB11B.2.1	AB11	ALV	54.4	7.04	2.41	26666486	0.248705	6632088.40063	0.0555555555555556	0.253605556038563
AB11B.3.1	AB11	ALV	57.9	7.22	2.38	23966417	0.07551	1809704.14767	0.0555555555555556	0.0692015846157219
AB11C.0.1	AB11	ALV	77.2	6.817037037	2.06	1668919	0.081095	135340.986305	0.0555555555555556	0.00517532698801582
AB11C.1.1	AB11	ALV	70.1	7.26	2.48	3989958	0.088335	352452.93993	0.0555555555555556	0.0134775078993041
AB11C.2.1	AB11	ALV	74.1	7.05	2.42	23090919	0.05467	1262380.54173	0.0555555555555556	0.0482723841840359
AB11C.3.1	AB11	ALV	72.2	7.32	2.38	24043880	0.05158	1240183.3304	0.0555555555555556	0.0474235812456861
AB11D.1.1	AB11	ALV	75.4	7.07	2.49	2068258	0.088185	182389.33173	0.0555555555555556	0.00697441666858583
AB11D.3.1	AB11	ALV	74.2	7.24	2.43	22098214	0.073115	1615710.91661	0.0555555555555556	0.0617834444675877
AB11E.3.1	AB11	ALV	89.9	7.07	2.33	22556492	0.131245	2960426.79254	0.0555555555555556	0.113204263495982
AB11F.0.1	AB11	ALV	80.9	6.645185185	2.07	380961	0.09816	37395.13176	0.0555555555555556	0.0014299588018503
AB11F.1.1	AB11	ALV	78.4	7.04	2.52	4991884	0.060675	302882.5617	0.0555555555555556	0.01158197777747
AB11F.3.1	AB11	ALV	73	7.1	2.38	23748728	0.043735	1038650.61908	0.0555555555555556	0.0397171376299145
AB20.0.1	AB20	ALV	27	5.904074074	3.62	3383700	0.25124	850120.788	0.25	0.0598821005533531
AB20.1.1	AB20	ALV	23.8	5.89	4.62	2446437	0.108635	265768.683495	0.25	0.0187206185916487
AB20.2.1	AB20	ALV	27.5	6.02	3.72	30927776	0.25056	7749263.55456	0.25	0.545854407913381
AB20.3.1	AB20	ALV	26	6.76	3.2	22465596	0.237315	5331422.91474	0.25	0.375542872941617
AB22.0.1	AB22	ALV	80	7.343333333	2.05	539777	0.271785	146703.291945	0.0416666666666667	0.00407254325720544
AB22.0.2	AB22	ALV	72.5	7.633333333	2.07	699653	0.126075	88208.751975	0.0416666666666667	0.00244871095474103
AB22.0.3	AB22	ALV	36.3	7.987777778	2.15	818762	0.19109	156457.23058	0.0416666666666667	0.00434331657450807
AB22.0.4	AB22	ALV	48.7	7.740740741	2.01	2429904	0.098785	240038.06664	0.0416666666666667	0.00666355469469531
AB22.0.5	AB22	ALV	71.8	7.321851852	2.04	292835	0.060495	17715.053325	0.0416666666666667	0.00049177711020153
AB22.0.6	AB22	ALV	46.3	8.116666667	2.03	2556797	0.13201	337522.77197	0.0416666666666667	0.00936976990028996
AB22.0.7	AB22	ALV	45.6	8.256296296	2.01	1035835	0.168105	174129.042675	0.0416666666666667	0.00483389329051711
AB22.1.1	AB22	ALV	76.6	7.5	2.47	2776565	0.31565	876422.74225	0.0416666666666667	0.0243298530120911
AB22.1.2	AB22	ALV	47.9	7.03	2.6	695970	0.07865	54738.0405	0.0416666666666667	0.00151955034406786
AB22.1.3	AB22	ALV	30	8.21		723262	0.11029	79768.56598	0.0416666666666667	0.00221440794689589
AB22.1.4	AB22	ALV	33.5	8.09	2.51	5770119	0.175415	1012165.424385	0.0416666666666667	0.0280981252677071
AB22.1.5	AB22	ALV	52.2	7.08	2.49	1032782	0.090565	93533.90183	0.0416666666666667	0.0025965392880256
AB22.1.6	AB22	ALV	33.5	7.53	2.55	1672502	0.143145	239410.29879	0.0416666666666667	0.00664612760297356
AB22.1.7	AB22	ALV	33.5	7.53	2.55	274486	0.16306	44757.68716	0.0416666666666667	0.00124249166214965
AB22.2.1	AB22	ALV	83.1	7.14	2.39	22148304	0.127165	2816489.07816	0.0416666666666667	0.0781868862803266
AB22.2.2	AB22	ALV	38.1	8.07	2.41	26899673	0.18892	5081886.22316	0.0416666666666667	0.141075235583497
AB22.2.3	AB22	ALV	37.8	7.96	2.4	20999649	0.143585	3015234.601665	0.0416666666666667	0.083704143125207
AB22.2.4	AB22	ALV	43	7.63	2.37	26804281	0.22538	6041148.85178	0.0416666666666667	0.167704757649983
AB22.2.5	AB22	ALV	54.5	7.26	2.4	25945819	0.160085	4153536.434615	0.0416666666666667	0.115303866573697
AB22.3.1	AB22	ALV	86.2	6.8	2.39	20943040	0.096615	2023411.8096	0.0416666666666667	0.056170737632975
AB22.3.2	AB22	ALV	55.3	6.78	2.41	21647058	0.11818	2558249.31444	0.0416666666666667	0.071018045046181
AB22.3.3	AB22	ALV	33.7	6.76	2.4	20936948	0.17709	3707724.12132	0.0416666666666667	0.102927934810902
AB22.3.4	AB22	ALV	23.4	6.77		2243575	0.05963	133784.37725	0.0416666666666667	0.00371390891278146
AB22.3.5	AB22	ALV	45.7	6.77	2.3	25407541	0.1153	2929489.4773	0.0416666666666667	0.0813238234783797
AB31.0.1	AB31	ALV	75.3	6.763333333	1.99	870252	0.125245	108994.71174	0.25	0.0182915970453564
AB31.1.1	AB31	ALV	73	6.86	2.39	808528	0.07945	64237.5496	0.25	0.0107804071748655
AB31.2.1	AB31	ALV	74	6.84	2.27	21463515	0.101905	2187239.496075	0.25	0.367064629698081
AB31.3.1	AB31	ALV	66.8	7.94	2.33	33835719	0.106345	3598259.537055	0.25	0.603863366081697
AB32.0.1	AB32	ALV	69.9	6.827777778	1.94	2666189	0.08373	223240.00497	0.25	0.0576253767793166
AB32.1.1	AB32	ALV	66.6	6.9	2.38	1642709	0.085565	140558.395585	0.25	0.0362826120979989
AB32.2.1	AB32	ALV	64	6.94	2.23	20595983	0.07315	1506596.15645	0.25	0.388900596832402
AB32.3.1	AB32	ALV	72.5	6.93	2.19	22113495	0.090605	2003593.214475	0.25	0.517191414290282
AB35.1.1	AB35	ALV	33.1	7.25	2.6	1215174	0.047875	58176.45525	0.2	0.0107719588296379
AB35.2.1	AB35	ALV	35.4	7.46	2.5	24166930	0.063395	1532062.52735	0.2	0.2836768654626
AB35.2.2	AB35	ALV	35.5	6.76	2.62	23809852	0.066605	1585855.19246	0.2	0.293637121229497
AB35.3.1	AB35	ALV	34.1	6.76	2.45	18931551	0.069525	1316216.083275	0.2	0.243710714223098
AB35.3.2	AB35	ALV	36.5	6.76	2.45	20799566	0.043675	908421.04505	0.2	0.168203340255167
AM01.0.1	AM01	BLR	56	8.696666667	0.37	6752556	0.124725	842212.5471	0.0303030303030303	0.00936894921921892
AM01.0.2	AM01	BLR	55.1	8.707407407	0.36	7934369	0.10529	835409.71201	0.0303030303030303	0.00929327305323874
AM01.0.3	AM01	BLR	55.1	8.632222222	0.37	1845995	0.13864	255928.7468	0.0303030303030303	0.00284700511855808
AM01.0.4	AM01	BLR	51	8.73962963	0.37	376199	0.08543	32138.68057	0.0303030303030303	0.000357517431044964
AM01.0.5	AM01	BLR	47.5	8.728888889	0.36	2307191	0.180745	417013.237295	0.0303030303030303	0.0046389428148653
AM01.0.6	AM01	BLR	45.7	8.428148148	0.36	2083006	0.127745	266093.60147	0.0303030303030303	0.00296008109629302
AM01.0.7	AM01	BLR	51.9	8.664444444	0.37	1799827	0.22986	413708.23422	0.0303030303030303	0.00460217726668431
AM01.1.1	AM01	BLR	53.7	8.48	0.421	6222033	0.125155	778718.540115	0.0303030303030303	0.00866262855323558
AM01.1.2	AM01	BLR	51.9	8.99	0.429	4879872	0.245415	1197593.78688	0.0303030303030303	0.0133222847524244
AM01.1.3	AM01	BLR	53	8.44	0.422	829477	0.119035	98736.794695	0.0303030303030303	0.00109836883664482
AM01.1.4	AM01	BLR	31.8	8.88		5206096	0.254005	1322374.41448	0.0303030303030303	0.0147103706549107
AM01.1.5	AM01	BLR	49.9	8.7		1033809	0.11664	120583.48176	0.0303030303030303	0.00134139597085807
AM01.2.10	AM01	BLR	36.5			22926962	0.187005	4287456.52881	0.0303030303030303	0.0476945666938159
AM01.2.11	AM01	BLR	35.9			21501301	0.191545	4118466.700045	0.0303030303030303	0.0458146883546539
AM01.2.12	AM01	BLR	35.8			34860285	0.21727	7574094.12195	0.0303030303030303	0.0842558133982638
AM01.2.13	AM01	BLR	38.8			23987360	0.22051	5289452.7536	0.0303030303030303	0.0588409830945585
AM01.2.1	AM01	BLR	53.6	8.42	0.414	27216491	0.16793	4570465.33363	0.0303030303030303	0.0508428160639783
AM01.2.2	AM01	BLR	52.6	8.52	0.411	25354348	0.180065	4565430.67262	0.0303030303030303	0.0507868094377399
AM01.2.3	AM01	BLR	48.2	8.63	0.413	25239609	0.176035	4443054.570315	0.0303030303030303	0.0494254719795302
AM01.2.4	AM01	BLR	46	8.57		27220121	0.21081	5738273.70801	0.0303030303030303	0.0638337616335006
AM01.2.5	AM01	BLR	30.8	9.54		19834795	0.12741	2527151.23095	0.0303030303030303	0.0281125609367654
AM01.2.6	AM01	BLR	49.9	8.54	0.414	25316054	0.122195	3093495.21853	0.0303030303030303	0.0344126903738266
AM01.2.7	AM01	BLR	47.9	8.48	0.413	26647556	0.28846	7686754.00376	0.0303030303030303	0.0855090655795042
AM01.2.8	AM01	BLR	34.8			18518574	0.13575	2513896.4205	0.0303030303030303	0.027965111642114
AM01.2.9	AM01	BLR	34.8			21851262	0.178815	3907333.41453	0.0303030303030303	0.0434659973534475
AM01.3.1	AM01	BLR	52.4	6.78	0.4017	23050499	0.124935	2879814.092565	0.0303030303030303	0.0320356566604664
AM01.3.2	AM01	BLR	50.8	6.78		23008892	0.07525	1731419.123	0.0303030303030303	0.019260669882475
AM01.3.3	AM01	BLR	52.4	6.78	0.3997	21197384	0.108475	2299386.2294	0.0303030303030303	0.0255788552341075
AM01.3.4	AM01	BLR	52.2	6.78	0.4018	21292011	0.177155	3771986.208705	0.0303030303030303	0.0419603666160476
AM01.3.5	AM01	BLR	51.8	6.78	0.4018	21992577	0.13074	2875309.51698	0.0303030303030303	0.0319855468158015
AM01.3.6	AM01	BLR	47.5	6.77	0.3988	27226972	0.13758	3745886.80776	0.0303030303030303	0.0416700313996611
AM01.3.7	AM01	BLR	50	6.78	0.4024	14508860	0.16444	2385836.9384	0.0303030303030303	0.0265405510736855
AM01.3.8	AM01	BLR	48.4	6.77	0.4015	25288915	0.13083	3308548.74945	0.0303030303030303	0.0368049910080796
AM02.0.1	AM02	BLR	58.6	8.664444444	0.37	2569198	0.100735	258808.16053	0.0344827586206897	0.00365965523478483
AM02.0.2	AM02	BLR	58	8.621481481	0.37	2638103	0.10286	271355.27458	0.0344827586206897	0.00383707665581147
AM02.0.3	AM02	BLR	55.6	8.75037037	0.37	2076967	0.106935	222100.466145	0.0344827586206897	0.00314059314015132
AM02.0.4	AM02	BLR	57.2	8.621481481	0.37	2265724	0.18999	430464.90276	0.0344827586206897	0.00608695309896987
AM02.0.5	AM02	BLR	57	8.653703704	0.37	3745678	0.156005	584344.49639	0.0344827586206897	0.00826287467424536
AM02.0.6	AM02	BLR	57	8.653703704	0.37	5799321	0.17544	1017432.87624	0.0344827586206897	0.014386924832466
AM02.0.7	AM02	BLR	55.2	8.825555556	0.37	3871919	0.13037	504782.08003	0.0344827586206897	0.00713782895340052
AM02.0.8	AM02	BLR	55.3	8.73962963	0.37	2319816	0.12346	286404.48336	0.0344827586206897	0.00404987873893865
AM02.1.1	AM02	BLR	56.2	8.5	0.429	819085	0.112295	91979.150075	0.0344827586206897	0.00130062350960535
AM02.1.2	AM02	BLR	56.2	8.5	0.429	682494	0.193875	132318.52425	0.0344827586206897	0.00187103906978383
AM02.1.3	AM02	BLR	52	8.53	0.431	1961463	0.27363	536715.12069	0.0344827586206897	0.00758937545477298
AM02.1.4	AM02	BLR	55.6	8.43	0.431	240094	0.179355	43062.05937	0.0344827586206897	0.00060891546337376
AM02.1.5	AM02	BLR	55.2	8.5	0.431	522222	0.197515	103146.67833	0.0344827586206897	0.0014585370126198
AM02.2.1	AM02	BLR	55.2	8.41	0.419	21020194	0.15408	3238791.49152	0.0344827586206897	0.0457978612886273
AM02.2.2	AM02	BLR	56.4	8.44	0.417	29916165	0.123395	3691505.180175	0.0344827586206897	0.0521994214911811
AM02.2.3	AM02	BLR	50	8.82	0.423	27049146	0.151815	4106466.09999	0.0344827586206897	0.0580671418108272
AM02.2.4	AM02	BLR	55.4	8.48	0.419	36692543	0.17921	6575670.63103	0.0344827586206897	0.092982722792778
AM02.2.5	AM02	BLR	54.8	8.49	0.415	32922928	0.210205	6920564.08024	0.0344827586206897	0.0978596598810815
AM02.2.6	AM02	BLR	48.5	8.7	0.415	33693487	0.166115	5596993.593005	0.0344827586206897	0.0791438216621595
AM02.2.7	AM02	BLR	51.2	8.55	0.418	28519859	0.21802	6217899.65918	0.0344827586206897	0.0879236921683045
AM02.2.8	AM02	BLR	51.4	8.56	0.414	18798936	0.17389	3268946.98104	0.0344827586206897	0.0462242724761778
AM02.3.1	AM02	BLR	56.7	6.78	0.4045	19705087	0.148935	2934777.132345	0.0344827586206897	0.0414989715676612
AM02.3.2	AM02	BLR	56.5	6.75	0.4058	24459254	0.08295	2028895.1193	0.0344827586206897	0.0286894224238147
AM02.3.3	AM02	BLR	56.2	6.78	0.4069	21584664	0.13817	2982353.02488	0.0344827586206897	0.0421717145128942
AM02.3.4	AM02	BLR	55.7	6.78	0.4068	21926990	0.154195	3381032.22305	0.0344827586206897	0.0478092045039161
AM02.3.5	AM02	BLR	52.7	6.78	0.405	22414339	0.13214	2961830.75546	0.0344827586206897	0.041881521071703
AM02.3.6	AM02	BLR	55.2	6.78	0.4074	28531401	0.18178	5186438.07378	0.0344827586206897	0.0733383955425785
AM02.3.7	AM02	BLR	44.9	6.77	0.405	19615354	0.133875	2626005.51675	0.0344827586206897	0.0371328122585763
AM02.3.8	AM02	BLR	52.1	6.78	0.407	26393609	0.171185	4518189.956665	0.0344827586206897	0.0638890887087952
AR01A.0.1	AR01	BLR	76.5	7.751481481	0.94	935944	0.05094	47676.98736	0.0909090909090909	0.00300885729632867
AR01A.3.1	AR01	BLR	74.6	6.79	0.985	23779681	0.054115	1286837.437315	0.0909090909090909	0.0812113018638962
AR01B.0.1	AR01	BLR	57.6	8.062962963	0.93	890682	0.10497	93494.88954	0.0909090909090909	0.00590038918436125
AR01B.1.1	AR01	BLR	55.3	8.1	1.056	942662	0.15597	147026.99214	0.0909090909090909	0.00927875821341948
AR01B.2.1	AR01	BLR	55.3	8.05	1.012	28038938	0.14713	4125368.94794	0.0909090909090909	0.260348800257269
AR01B.3.1	AR01	BLR	86.5	7.8	1.126	25736566	0.073575	1893567.84345	0.0909090909090909	0.119501582154034
AR01C.0.2	AR01	BLR	83.6	7.622592593	0.91	4466110	0.069055	308407.22605	0.0909090909090909	0.0194633382628442
AR01C.3.1	AR01	BLR	81.3	6.8	1.044	23496805	0.15425	3624382.17125	0.0909090909090909	0.228731917524604
AR01D.1.1	AR01	BLR	37.9	8.41	1.137	1215459	0.06896	83818.05264	0.0909090909090909	0.00528969159367465
AR01D.1.2	AR01	BLR	62.5	7.5	0.946	821894	0.111645	91760.35563	0.0909090909090909	0.00579092410907397
AR01D.3.1	AR01	BLR	80.5	6.79	1.049	20811238	0.199085	4143205.31723	0.0909090909090909	0.261474439540494
AR08.1.1	AR08	BLR	28.9	8.01		2044576	0.14644	299407.70944	0.25	0.129606088466284
AR08.1.2	AR08	BLR	65.7	7.77		940299	0.0619	58204.5081	0.25	0.0251952718253465
AR08.1.3	AR08	BLR	28.9			5089702	0.07316	372362.59832	0.25	0.161186430201352
AR08.1.4	AR08	BLR	29	6.61		8281985	0.190795	1580161.328075	0.25	0.684012209507017
AR10.2.1	AR10	BLR	49.6	7.55	2.35	48006507	0.2739	13148982.2673	0.1	0.238706111964028
AR10.2.2	AR10	BLR	49.6	7.55	2.35	22239074	0.24559	5461694.18366	0.1	0.0991513834922626
AR10.2.3	AR10	BLR	47.7	7.7	2.32	22152738	0.26303	5826834.67614	0.1	0.105780129771531
AR10.2.4	AR10	BLR	46.3	7.79	2.34	23903476	0.212845	5087735.34922	0.1	0.0923625493765025
AR10.2.5	AR10	BLR	46.6	4.74	2.34	26820015	0.157955	4236355.469325	0.1	0.0769066321957831
AR10.3.1	AR10	BLR	45.3	6.77	2.23	26331284	0.15236	4011834.43024	0.1	0.0728306859967082
AR10.3.2	AR10	BLR	45.6	6.77	2.25	28564365	0.154315	4407909.984975	0.1	0.0800210261913187
AR10.3.3	AR10	BLR	44.3	6.77	2.25	23243285	0.14907	3464876.49495	0.1	0.0629012329419543
AR10.3.4	AR10	BLR	42.8	6.77	2.25	20832584	0.228215	4754308.15756	0.1	0.0863095251251749
AR10.3.5	AR10	BLR	42.2	6.77	2.26	21304342	0.219855	4683866.11041	0.1	0.0850307229447369
AR11.2.1	AR11	BLR	40.7	9.05	2.57	9299019	0.043165	401392.155135	0.25	0.0627576803994753
