MicrobeID	MetaboliteID	DiscoveryRho	DiscoveryP	DiscoveryQ	ValidationRho	ValidationP	ValidationQ	SameDirection	Replicated	Microbe	Phylum	MicrobeRawFeature	Metabolite	HMDB	ChemicalClass	MetaboliteRawFeature	CombinedMagnitude
MB113	MT037	-0.4281976088427701	2.730002085527624e-08	5.977292497261258e-06	-0.5721590909090909	6.386340753069664e-07	0.00014101040382777816	True	True	CAG-103	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103	N-oleoylethanolamine	HMDB0002088	Organonitrogen compounds	C8-pos_Cluster_0341: N-oleoylethanolamine 	0.5001783498759305
MB135	MT149	0.4855128275389445	1.5230856790289488e-10	1.2478493572895885e-07	0.5687500000000001	7.700354388837521e-07	0.00016192745229098328	True	True	Copromorpha	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Copromorpha	5alpha-cholestanol	HMDB0000908		HILIC-pos_Cluster_1370: 5alpha-cholestanol	0.5271314137694723
MB155	MT057	0.3831284708264519	8.638127992800608e-07	6.672393001792131e-05	0.5650349650349651	9.419526946099961e-07	0.0001817091270773398	True	True	Fusobacterium_C	Fusobacteriota	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_C	erythronic acid	HMDB0000613		HILIC-neg_Cluster_0122: erythronic acid	0.4740817179307085
MB164	MT026	-0.3059617801553285	0.0001081123923663	0.0021275138642919	-0.5649475524475525	9.464017035278115e-07	0.0001817091270773398	True	True	Klebsiella	Proteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	deoxycholic acid	HMDB0000626	Bile acids, alcohols and derivatives	C18-neg_Cluster_0833: deoxycholic acid	0.4354546663014405
MB090	MT037	0.4478038090941316	5.148702182557587e-09	1.7913251785287342e-06	0.5598339160839161	1.2438757353061523e-06	0.00022538462447465886	True	True	Ruminococcus_B	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B	N-oleoylethanolamine	HMDB0002088	Organonitrogen compounds	C8-pos_Cluster_0341: N-oleoylethanolamine 	0.5038188625890239
MB118	MT103	-0.3914730430859463	4.732603588336584e-07	4.277532595607565e-05	-0.5593531468531469	1.2759546222523712e-06	0.00022538462447465886	True	True	Evtepia	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia	creatinine	HMDB0000562	Amino acids, peptides, and analogues	HILIC-pos_Cluster_0036: creatinine	0.4754130949695466
MB113	MT023	-0.5222798979537584	3.1725510678568043e-12	8.161778939303433e-09	-0.5570367132867132	1.4416951407393925e-06	0.00024486637467327526	True	True	CAG-103	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103	adrenic acid	HMDB0002226	Very long-chain fatty acids	C18-neg_Cluster_0506: adrenic acid	0.5396583056202358
MB090	MT151	0.3702673067887403	2.1148654914174184e-06	0.0001278889375024	0.5561188811188811	1.5127881254715506e-06	0.00024742490229934694	True	True	Ruminococcus_B	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B	C16 carnitine	HMDB0000222	Acyl carnitines	HILIC-pos_Cluster_1486: C16 carnitine	0.4631930939538107
MB113	MT027	-0.4699816312719538	6.839719681959098e-10	4.34288001205993e-07	-0.5532342657342657	1.7582223532598488e-06	0.00027636263064496203	True	True	CAG-103	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103	alpha-muricholate	HMDB0000506		C18-neg_Cluster_0927: alpha-muricholate	0.5116079485031098
MB004	MT026	-0.4601559730591988	1.7028328512340847e-09	8.649709751128656e-07	-0.5519667832167832	1.8774635234032747e-06	0.00027636263064496203	True	True	Streptomyces	Actinobacteriota	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	deoxycholic acid	HMDB0000626	Bile acids, alcohols and derivatives	C18-neg_Cluster_0833: deoxycholic acid	0.506061378137991
MB070	MT055	0.2142115948567561	0.007440289761477	0.0447269558217623	0.5523601398601399	1.8396699887595877e-06	0.00027636263064496203	True	True	Dorea	Firmicutes_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	malate	HMDB0000156		HILIC-neg_Cluster_0118: malate	0.383285867358448
