Spring	HotSpringName	BroadRegion	BroadRegionName	LatitudeMedian	LongitudeMedian	Samples	SamplingYears	YearsObserved	MedianPH	PHSamples	MedianTemperatureC	TemperatureSamples	MedianConductivity	ConductivitySamples	MeanRecruitment	MedianRecruitment	TotalFilteredSequences	EstimatedCatalogReads	TemperatureRegime
AY02	AY02	YEL	Yellowstone National Park	44.5170115	-110.816755	22	2020,2021,2022,2023	4	8.67	21	57.95	22	1.4625	16	0.131457727272727	0.1350275	339552960	44880436.904105	50–<70
AY03	Rabbit Creek Source Pool	YEL	Yellowstone National Park	44.521246	-110.81194	29	2020,2021,2022,2023	4	9.2	29	69.8	29	2.13	22	0.117526896551724	0.083415	492830432	77570208.63726	50–<70
AY04	AY04	YEL	Yellowstone National Park	44.52242	-110.81308	31	2020,2021,2022,2023	4	9.06	31	51.8	31	1.928	21	0.103276612903226	0.10065	402861237	40922351.75945	50–<70
AY05	AY05	YEL	Yellowstone National Park	44.481889	-110.85091	14	2020,2022,2023	3	8.875177778	14	58.3	14	2.21	11	0.09435	0.086115	232143763	23326165.67159	50–<70
AY06	AY06	YEL	Yellowstone National Park	44.480001	-110.851015	18	2020,2021,2022,2023	4	9.08	17	40.55	18	2.205	12	0.126816666666667	0.0794125	328133198	45437353.397895	30–<50
AY07	Mushroom Spring	YEL	Yellowstone National Park	44.5386805	-110.79794	30	2020,2021,2022,2023	4	7.54	29	63.75	30	1.613	29	0.110856833333333	0.1077125	484419422	55289212.362215	50–<70
AY08	Octopus Spring	YEL	Yellowstone National Park	44.5340445	-110.79787	24	2020,2021,2022,2023	4	8.0432	22	69.75	24	1.721	15	0.102249583333333	0.0886975	383093998	42563043.77502	50–<70
AY10	AY10	YEL	Yellowstone National Park	44.521332	-110.81119	1	2023	1	3.14	1	88.8	1	0.3076	1	0.597195	0.597195	56789540	33914429.3403	80–100
AY11	AY11	YEL	Yellowstone National Park	44.521407	-110.810845	14	2020,2021,2022,2023	4	3.63	14	51.5	14	0.276	11	0.304982857142857	0.33939	208199148	68865321.935245	50–<70
AY12	AY12	YEL	Yellowstone National Park	44.4819155	-110.850705	2	2021	1	7.085	2	67.55	2	1.876	2	0.1000525	0.1000525	1754105	175683.04373	50–<70
LB01	Buffalo Valley Hot Springs	GBD	Buffalo Valley	40.365773	-117.32642	1	2023	1	6.78	1	63.9	1	1.644	1	0.11444	0.11444	27954109	3199068.23396	50–<70
LB02	Buffalo Valley Hot Springs	GBD	Buffalo Valley	40.365718	-117.32644	1	2023	1	7.13	1	56.3	1	1.035	1	0.272255	0.272255	25208327	6863093.067385	50–<70
LB04	Buffalo Valley Hot Springs	GBD	Buffalo Valley	40.365868	-117.32687	1	2023	1	7.02	1	61.8	1	1.623	1	0.09597	0.09597	32336651	3103348.39647	50–<70
LB07	Buffalo Valley Hot Springs	GBD	Buffalo Valley	40.365647	-117.32719	1	2023	1	6.78	1	52.7	1	1.595	1	0.09446	0.09446	15958527	1507442.46042	50–<70
LC02	Smith Creek Valley Group	GBD	Smith Creek Valley	39.312429	-117.55143	1	2023	1	7.94	1	56.8	1	0.8284	1	0.18536	0.18536	18504665	3430024.7044	50–<70
LC04	Smith Creek Valley Group	GBD	Smith Creek Valley	39.312363	-117.55135	1	2023	1	8.03	1	69	1	0.82	1	0.20073	0.20073	28273669	5675373.57837	50–<70
LC05	Smith Creek Valley Group	GBD	Smith Creek Valley	39.312485	-117.55133	1	2023	1	9.02	1	55.2	1		0	0.080205	0.080205	22061251	1769422.636455	50–<70
LD01	Dixie Springs	GBD	Dixie Valley, Stillwater range	39.7973965	-118.069135	2	2023	1	8.195	2	67.35	2	1.1335	2	0.1577475	0.1577475	55832519	8748676.90051	50–<70
LE01	Bartine Hot Springs	GBD	Monitor Valley	39.558689	-116.36008	3	2023	1	7.07	3	47	3	0.5692	3	0.139798333333333	0.169705	47223944	7790451.00909	30–<50
LH02	Hydra (Hyder) Hot Springs	GBD	Dixie Valley	40.003223	-117.71878	2	2023	1	7.415	2	54.9	2	1.7605	2	0.13826	0.13826	54222748	7319694.10056	50–<70
LH03	Hydra (Hyder) Hot Springs	GBD	Dixie Valley	40.003531	-117.71915	3	2023	1	6.53	3	62.2	3	1.781	3	0.122125	0.12147	70056039	8576333.524185	50–<70
LP01	Pott's Springs	GBD	Monitor Valley	39.080016	-116.64015	1	2023	1	7.03	1	41.3	1	0.5217	1	0.03778	0.03778	19597933	740409.90874	30–<50
LP02	Pott's Springs	GBD	Monitor Valley	39.08004	-116.64027	1	2023	1	7.03	1	45	1	0.5266	1	0.076765	0.076765	18961782	1455601.19523	30–<50
LP03	Pott's Springs	GBD	Monitor Valley	39.080092	-116.64044	2	2023	1	6.94	2	42.65	2	0.52165	2	0.0811025	0.0811025	37899416	2979533.78062	30–<50
LR01	Abel Spring	GBD	Railroad Valley	38.365124	-115.86788	3	2023	1	7.03	3	43.6	3	1.0385	2	0.151648333333333	0.129405	55261701	8542759.585035	30–<50
LS01	Seyferth (Chicken) Hot Springs	ALK	Upper Alkali Lake	41.615504	-120.10383	3	2023	1	6.8	3	81.7	3	1.8425	2	0.119983333333333	0.108495	68306172	8151123.581355	80–100
LS02	Seyferth (Chicken) Hot Springs	ALK	Upper Alkali Lake	41.615518	-120.10375	3	2023	1	6.8	3	82.3	3	1.811	2	0.103625	0.083185	62079347	6469128.803465	80–100
LT01	Travertine Hot Springs	SIE	Bridgeport	38.246586	-119.20461	3	2023	1	6.77	3	42.7	3	4.78	3	0.524945	0.714175	72150773	37809480.394805	30–<50
LT12	Travertine Hot Springs	SIE	Bridgeport	38.245867	-119.20533	3	2023	1	6.77	3	44.2	3	4.74	3	0.142993333333333	0.123445	86565169	11730667.526305	30–<50
LT16	Travertine Hot Springs	SIE	Bridgeport	38.2461185	-119.20393	4	2023	1	6.765	4	38.575	4	4.9	3	0.18825375	0.1595825	88385533	16520950.45674	30–<50
LU02	Hot Sulphur Springs	GBD	Carlin	40.7663665	-116.04248	2	2023	1	7.32	2	59	2	1.166	2	0.122725	0.122725	39806655	4858764.663855	50–<70
LU04	Hot Sulphur Springs	GBD	Carlin	40.766161	-116.04244	3	2023	1	7.02	3	61.4	3	1.183	2	0.142588333333333	0.14581	70675193	10362842.465655	50–<70
LV02	Shepherd hot spring	SIE	Long Valley	37.6668195	-118.80323	4	2023	1	6.77	4	46.95	4	2.12	4	0.15106125	0.1383675	107482703	16233331.376505	30–<50
