MAG	Taxonomy	Springs	NonzeroSprings	Prevalence	MeanRelativeAbundance	MaximumRelativeAbundance	RelaxedFilter	PrimaryFilter	StrictFilter
AA03.MAG06	Bacteria;Spirochaetota;Leptospiria;Leptospirales;Leptospiraceae;CALDSP01	56	43	0.767857142857143	0.00201608042368298	0.00847998304003392	TRUE	TRUE	TRUE
AA03.MAG07	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Schleiferiaceae;Schleiferia;Schleiferia thermophila	56	25	0.446428571428571	0.000127399022093143	0.00165399338402646	FALSE	FALSE	FALSE
AA03.MAG09	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;CAKUMP01	56	40	0.714285714285714	0.00215692555900388	0.0171299828700171	TRUE	TRUE	TRUE
AA03.MAG10	Archaea;Thermoproteota;Nitrososphaeria_A;Caldarchaeales;Caldarchaeaceae;HRBIN01	56	27	0.482142857142857	0.000885157671789599	0.00896825642135196	FALSE	FALSE	FALSE
AA03.MAG12	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;UBA6663	56	40	0.714285714285714	0.0106506506019199	0.0601778194665416	TRUE	TRUE	TRUE
AA03.MAG13	Bacteria;Bacteroidota_A;Kapaibacteriia;Kapaibacteriales;NICIL-2;NICIL-2	56	27	0.482142857142857	0.000234380073413134	0.00223700046604176	FALSE	FALSE	FALSE
AA03.MAG15	Bacteria;Pseudomonadota;Gammaproteobacteria;Competibacterales;Competibacteraceae;REEE01	56	23	0.410714285714286	0.00101372718437123	0.0103096969070909	FALSE	FALSE	FALSE
AA03.MAG19	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Laspinemataceae;Planktothricoides	56	24	0.428571428571429	0.000605736152520113	0.00906205437232623	FALSE	FALSE	FALSE
AA03.MAG20	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;CALEVZ01	56	30	0.535714285714286	0.0017620346895535	0.0159141113987798	FALSE	FALSE	FALSE
AA03.MAG21	Bacteria;Bacteroidota;Bacteroidia;SpSt-205;SpSt-205;JAPYWM01	56	34	0.607142857142857	0.00106405918067125	0.00486502919017514	TRUE	FALSE	FALSE
AA03.MAG23	Bacteria;Chloroflexota;Anaerolineae;Promineifilales;Promineifilaceae;JACSRF01	56	29	0.517857142857143	0.000961400751910839	0.0244522989045978	FALSE	FALSE	FALSE
AA03.MAG28	Bacteria;Armatimonadota;HRBIN17;HRBIN17;HRBIN17;Fervidibacter	56	27	0.482142857142857	0.00251676825169545	0.0241605181203886	FALSE	FALSE	FALSE
AA03.MAG29	Bacteria;Bacteroidota_A;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium	56	45	0.803571428571429	0.00374533494495268	0.0310852422286894	TRUE	TRUE	TRUE
AA03.MAG30	Bacteria;Bipolaricaulota;Bipolaricaulia;RBG-16-55-9;DRXL01;JANXCC01	56	36	0.642857142857143	0.00224524269025068	0.0119030119030119	TRUE	FALSE	FALSE
AA03.MAG32	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;JAAUTZ01	56	30	0.535714285714286	0.00340375336033672	0.0284474512054122	FALSE	FALSE	FALSE
AA03.MAG36	Bacteria;Bacteroidota;Bacteroidia;CAIKAF01;CAIKAF01	56	29	0.517857142857143	0.00113181453630971	0.0102110183798331	FALSE	FALSE	FALSE
AA03.MAG38	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;M3007	56	26	0.464285714285714	0.000814357009261445	0.011499045996184	FALSE	FALSE	FALSE
AA03.MAG39	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium	56	28	0.5	0.0005593965919507	0.00264714588245244	FALSE	FALSE	FALSE
AA03.MAG43	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Thermocrinis	56	27	0.482142857142857	0.0017452257388741	0.0141419434322263	FALSE	FALSE	FALSE
AA03.MAG44	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;CAKZQX01;CAKZQX01 sp034435975	56	25	0.446428571428571	0.000764870553243655	0.0124367081223604	FALSE	FALSE	FALSE
AA03.MAG46	Bacteria;Cyanobacteriota;Cyanobacteriia;Pseudanabaenales;Pseudanabaenaceae	56	30	0.535714285714286	0.00109494301869498	0.0146214707570585	FALSE	FALSE	FALSE
AA03.MAG47	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;Thermochlorobacter	56	25	0.446428571428571	0.00123297164647752	0.00863049568475216	FALSE	FALSE	FALSE
AA03.MAG49	Bacteria;Cyanobacteriota;Cyanobacteriia;Thermostichales;Thermostichaceae;Thermostichus	56	27	0.482142857142857	0.00100226499138763	0.00732335774452582	FALSE	FALSE	FALSE
AA03.MAG51	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;Thermochlorobacter	56	33	0.589285714285714	0.0023247224351757	0.0174268431584116	FALSE	FALSE	FALSE
AA03.MAG52	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuricystis	56	37	0.660714285714286	0.00238940653670806	0.0643872339031915	TRUE	FALSE	FALSE
AA03.MAG53	Bacteria;Cyanobacteriota;Cyanobacteriia;Thermostichales;Thermostichaceae;JAUQVP01	56	30	0.535714285714286	0.00114270077771984	0.00656601313202626	FALSE	FALSE	FALSE
AA03.MAG54	Bacteria;Cyanobacteriota;Cyanobacteriia;Elainellales;Elainellaceae;Thermoleptolyngbya	56	32	0.571428571428571	0.00175792580173317	0.0154369845630154	FALSE	FALSE	FALSE
AA03.MAG55	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrosocaldaceae;JBBIQH01	56	19	0.339285714285714	0.000419800809661998	0.00519133073766796	FALSE	FALSE	FALSE
AA03.MAG56	Bacteria;Armatimonadota;HRBIN16;HRBIN16;HRBIN16;HRBIN16	56	44	0.785714285714286	0.00192962207399362	0.0108039027648751	TRUE	TRUE	FALSE
AA03.MAG58	Bacteria;Bipolaricaulota;Bipolaricaulia;Bipolaricaulales;Bipolaricaulaceae;DTER01	56	37	0.660714285714286	0.0063800713437858	0.0894946264623852	TRUE	FALSE	FALSE
AA03.MAG63	Bacteria;Bacteroidota;Bacteroidia;SpSt-205;SpSt-205;JAPYWM01	56	25	0.446428571428571	0.00122939355549323	0.00815326019157524	FALSE	FALSE	FALSE
AA03.MAG64	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Thermoguttaceae;DTLM01	56	39	0.696428571428571	0.00107307058901896	0.0075970037985019	TRUE	FALSE	FALSE
AA03.MAG65	Bacteria;Acidobacteriota;Blastocatellia;HR10;HR10;HR10	56	21	0.375	0.000211908973737156	0.00212325159243869	FALSE	FALSE	FALSE
AA03.MAG68	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	56	35	0.625	0.00084253480223055	0.00486724513275487	FALSE	FALSE	FALSE
AA03.MAG72	Bacteria;Cyanobacteriota;Cyanobacteriia;Thermostichales;Thermostichaceae;Thermostichus	56	36	0.642857142857143	0.00238472943227092	0.016594961790617	TRUE	FALSE	FALSE
AA03.MAG76	Bacteria;Planctomycetota;Planctomycetia;Gemmatales;HRBIN36;HRBIN36	56	34	0.607142857142857	0.00166210009145651	0.0124149751700497	TRUE	FALSE	FALSE
AA03.MAG77	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Methylacidiphilales;JANWVL01;JANWVL01	56	38	0.678571428571429	0.00687809971008015	0.0814612715375718	TRUE	FALSE	FALSE
AA03.MAG78	Bacteria;Bacteroidota_A;Kapaibacteriia;Kapaibacteriales;HRBIN21;HRBIN21	56	33	0.589285714285714	0.000264608185968434	0.00352525073442724	FALSE	FALSE	FALSE
AA03.MAG79	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;JADJNW01	56	33	0.589285714285714	0.00302611999374416	0.0407081628326513	FALSE	FALSE	FALSE
AA03.MAG80	Bacteria;Sysuimicrobiota;Sysuimicrobiia;Sysuimicrobiales;Sysuimicrobiaceae;Tepidifontimicrobium	56	23	0.410714285714286	0.000653117861336834	0.0063857531928766	FALSE	FALSE	FALSE
AA03.MAG84	Archaea;Thermoproteota;Nitrososphaeria_A;Caldarchaeales;Calditenuaceae;HRBIN02	56	21	0.375	0.00232236573287769	0.0220895276119095	FALSE	FALSE	FALSE
AA03.MAG86	Bacteria;Chloroflexota;Anaerolineae;B4-G1;DUEL01;SpSt-77	56	37	0.660714285714286	0.00223866721555838	0.0100950201900404	TRUE	FALSE	FALSE
AA03.MAG87	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;JANWWM01	56	46	0.821428571428571	0.00944733958624077	0.0746287014851941	TRUE	TRUE	TRUE
AA03.MAG88	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;JANWWM01	56	27	0.482142857142857	0.00123555439255879	0.0138187958543612	FALSE	FALSE	FALSE
AA03.MAG92	Bacteria;Deinococcota;Deinococci;Deinococcales;Trueperaceae	56	25	0.446428571428571	0.000343205986160884	0.00597550124489609	FALSE	FALSE	FALSE
AA03.MAG93	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp000016665	56	44	0.785714285714286	0.00271354670795185	0.0100652897170779	TRUE	TRUE	TRUE
AA03.MAG94	Bacteria;Cyanobacteriota;Cyanobacteriia;B231;B231;Trichothermofontia	56	17	0.303571428571429	0.000381682873114183	0.00430865804935057	FALSE	FALSE	FALSE
AB02.MAG01	Bacteria;Calescibacteriota;Calescibacteriia;Calescibacteriales;Calescibacteriaceae;Calescibacterium	56	17	0.303571428571429	0.000145204650975355	0.00144700180875226	FALSE	FALSE	FALSE
AB02.MAG04	Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;GBS-DC;HRBIN15	56	31	0.553571428571429	0.00168108440548629	0.00997098005803988	FALSE	FALSE	FALSE
AB02.MAG05	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;Thermochlorobacter	56	39	0.696428571428571	0.00178807287762711	0.0113610454441818	TRUE	FALSE	FALSE
AB02.MAG07	Bacteria;Armatimonadota;HRBIN17;HRBIN17;HRBIN17;Fervidibacter;Fervidibacter sp041446875	56	16	0.285714285714286	0.000412663448016478	0.00372301116903351	FALSE	FALSE	FALSE
AB02.MAG08	Bacteria;CALINM01;CALINM01;CALINM01;CALINM01	56	34	0.607142857142857	0.000744702758014737	0.0120647379352621	FALSE	FALSE	FALSE
AB02.MAG10	Bacteria;Bacteroidota;Bacteroidia;SpSt-205;SpSt-205;JAPYWM01	56	18	0.321428571428571	0.000848603426119669	0.00868676085845107	FALSE	FALSE	FALSE
AB02.MAG11	Bacteria;Cyanobacteriota;Cyanobacteriia;Thermostichales;Thermostichaceae;Thermostichus	56	16	0.285714285714286	0.00025606153971543	0.00354675177337589	FALSE	FALSE	FALSE
AB02.MAG12	Archaea;Thermoproteota;Nitrososphaeria_A;Caldarchaeales;Calditenuaceae;HRBIN02	56	15	0.267857142857143	0.000538070636980189	0.0126632563316282	FALSE	FALSE	FALSE
AB02.MAG14	Bacteria;Bacteroidota_A;Kapaibacteriia;Kapaibacteriales;HRBIN21;HRBIN21	56	11	0.196428571428571	0.000146575103709443	0.00213537286462714	FALSE	FALSE	FALSE
AB02.MAG15	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	56	44	0.785714285714286	0.00454074893419272	0.0501493997012006	TRUE	TRUE	TRUE
AB02.MAG16	Bacteria;Sysuimicrobiota;Sysuimicrobiia;Sysuimicrobiales;Sysuimicrobiaceae;Tepidifontimicrobium	56	26	0.464285714285714	0.000891268309300122	0.00571450714313393	FALSE	FALSE	FALSE
AB02.MAG17	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrosocaldaceae;JBBIQH01	56	14	0.25	7.28709246847297e-05	0.0017158876496367	FALSE	FALSE	FALSE
AB02.MAG18	Bacteria;Chloroflexota;Anaerolineae;Thermoflexales;Thermoflexaceae;Thermoflexus;Thermoflexus hugenholtzii_A	56	21	0.375	0.000963835601902782	0.00739625369812685	FALSE	FALSE	FALSE
AB02.MAG20	Archaea;Thermoproteota;Nitrososphaeria_A;Caldarchaeales;Caldarchaeaceae	56	19	0.339285714285714	0.000906348426124421	0.0075988712005644	FALSE	FALSE	FALSE
AB02.MAG21	Bacteria;Deinococcota;Deinococci;Deinococcales;Thermaceae;Thermus	56	35	0.625	0.00238618648696085	0.0127974808037788	TRUE	FALSE	FALSE
AB02.MAG22	Bacteria;Bipolaricaulota;Bipolaricaulia;RBG-16-55-9;DRXL01;JANXCC01	56	30	0.535714285714286	0.00184067050502646	0.012174506087253	FALSE	FALSE	FALSE
AB02.MAG24	Bacteria;Acidobacteriota;Blastocatellia;HR10;HR10;HR10	56	9	0.160714285714286	6.71014400232031e-05	0.000773000579750435	FALSE	FALSE	FALSE
AB02.MAG25	Bacteria;Spirochaetota;Leptospiria;Leptospirales;Leptonemataceae;SKYB61	56	41	0.732142857142857	0.00118559232041561	0.00725761774238226	TRUE	TRUE	FALSE
AB02.MAG26	Bacteria;Chloroflexota;Anaerolineae;J036;Brachytrichaceae;629B-23;629B-23 sp017743375	56	29	0.517857142857143	0.00159225326924832	0.011715894556949	FALSE	FALSE	FALSE
AB02.MAG27	Bacteria;Armatimonadota;HRBIN17;HRBIN17;HRBIN17;Fervidibacter	56	21	0.375	0.0014811488882338	0.0107505134381418	FALSE	FALSE	FALSE
AB02.MAG30	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Villigracilaceae;630D-37	56	35	0.625	0.00225838573955924	0.0565979434020566	TRUE	FALSE	FALSE
AB02.MAG31	Bacteria;Chloroflexota;Dehalococcoidia;SM23-28-2;HRBIN24;JAVVHA01	56	12	0.214285714285714	0.000294839709085463	0.00511075255537628	FALSE	FALSE	FALSE
AB02.MAG32	Bacteria;Bacteroidota_A;Kryptoniia;Kryptoniales;Kryptoniaceae;Kryptonium	56	8	0.142857142857143	6.50077435024612e-05	0.000791000988751236	FALSE	FALSE	FALSE
AB02.MAG34	Bacteria;Bacteroidota;Bacteroidia;SpSt-205;SpSt-205;JAPYWM01	56	20	0.357142857142857	0.00103636241474804	0.00813050406525203	FALSE	FALSE	FALSE
AB02.MAG35	Archaea;Thermoproteota;Nitrososphaeria_A;Caldarchaeales;Calditenuaceae;HRBIN02	56	13	0.232142857142857	0.000532544491460932	0.00925938796279565	FALSE	FALSE	FALSE
AB03.MAG01	Bacteria;Cyanobacteriota;Cyanobacteriia;Thermostichales;Thermostichaceae;Thermostichus	56	24	0.428571428571429	0.000768065878471349	0.00501936998063002	FALSE	FALSE	FALSE
AB03.MAG04	Bacteria;Planctomycetota;Phycisphaerae;UBA1845;Fen-1342;CALGJV01	56	32	0.571428571428571	0.00141087794915864	0.0126959746080508	FALSE	FALSE	FALSE
AB03.MAG12	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp000016665	56	39	0.696428571428571	0.00322433089964905	0.0222681558770911	TRUE	FALSE	FALSE
AB03.MAG15	Archaea;Thermoproteota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum sp036833835	56	12	0.214285714285714	0.000268695025709268	0.00687224656387672	FALSE	FALSE	FALSE
AB03.MAG17	Archaea;Thermoproteota;Nitrososphaeria_A;Caldarchaeales;Calditenuaceae;Calditenuis	56	15	0.267857142857143	0.000667963793186885	0.00882549362603238	FALSE	FALSE	FALSE
AB03.MAG18	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;Phototrophicaceae	56	38	0.678571428571429	0.00101096928726052	0.0120275481101924	TRUE	FALSE	FALSE
AB03.MAG21	Bacteria;Thermotogota;Thermotogae;Thermotogales;DSM-5069;Pseudothermotoga_A	56	23	0.410714285714286	0.000576643407568187	0.00633726267452535	FALSE	FALSE	FALSE
AB03.MAG26	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;Phototrophicaceae;DAOTWC01;DAOTWC01 sp034435995	56	41	0.732142857142857	0.00252983754206542	0.00825499587250206	TRUE	TRUE	TRUE
AB03.MAG30	Bacteria;Armatimonadota;HRBIN16;HRBIN16;HRBIN16;HRBIN16	56	47	0.839285714285714	0.00272081568642848	0.00894837052581474	TRUE	TRUE	TRUE
AB03.MAG31	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;Thermochlorobacter	56	31	0.553571428571429	0.00105961142728286	0.00420117857181656	FALSE	FALSE	FALSE
AB03.MAG32	Bacteria;Bacteroidota;Bacteroidia;SpSt-205;SpSt-205;JAPYWM01	56	35	0.625	0.00220786421049357	0.0128570514282057	TRUE	FALSE	FALSE
AB03.MAG38	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;M3007	56	17	0.303571428571429	0.000180144356458781	0.00177449946765016	FALSE	FALSE	FALSE
AB03.MAG40	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Laspinemataceae;Planktothricoides	56	11	0.196428571428571	0.00117203863695946	0.041809902443561	FALSE	FALSE	FALSE
AB03.MAG41	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;DSM-9756;Desulfosoma	56	42	0.75	0.00139926419171042	0.0103697448151276	TRUE	TRUE	FALSE
AB03.MAG43	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;CAKZQX01;CAKZQX01 sp034435975	56	39	0.696428571428571	0.0015773414401947	0.0146019415922336	TRUE	FALSE	FALSE
AB03.MAG47	Bacteria;Deinococcota;Deinococci;Deinococcales;Thermaceae;Thermus	56	36	0.642857142857143	0.00145495349032544	0.00839698740451889	TRUE	FALSE	FALSE
AB03.MAG48	Bacteria;Armatimonadota;HRBIN17;HRBIN17;HRBIN17;Fervidibacter	56	20	0.357142857142857	0.000829474727568075	0.0068115034057517	FALSE	FALSE	FALSE
AB03.MAG49	Bacteria;Thermotogota;Thermotogae;Thermotogales;Fervidobacteriaceae;Fervidobacterium	56	22	0.392857142857143	0.000295851824563954	0.00420134453691876	FALSE	FALSE	FALSE
AB03.MAG51	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	56	34	0.607142857142857	0.00108401607589143	0.0101909694270917	TRUE	FALSE	FALSE
AB03.MAG53	Archaea;Thermoplasmatota;E2;DHVEG-1;DHVEG-1;JAWABU01	56	17	0.303571428571429	0.000490358884582593	0.00499412250293875	FALSE	FALSE	FALSE
AB04.MAG03	Bacteria;Bacteroidota_A;Rhodothermia;Rhodothermales;Rhodothermaceae;Rhodothermus	56	17	0.303571428571429	4.99828659666795e-05	0.000422000527500659	FALSE	FALSE	FALSE
AB04.MAG04	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;J014	56	19	0.339285714285714	0.000227308964069955	0.00273234061957499	FALSE	FALSE	FALSE
AB04.MAG06	Bacteria;Bacteroidota_A;Kryptoniia;Kryptoniales;Kryptoniaceae;Kryptonium	56	29	0.517857142857143	0.00165937283509389	0.00980177069872116	FALSE	FALSE	FALSE
AB04.MAG07	Bacteria;Chloroflexota;Anaerolineae;J036;Brachytrichaceae;629B-23;629B-23 sp017743375	56	37	0.660714285714286	0.00078663311771874	0.00284597438623052	FALSE	FALSE	FALSE
AB04.MAG09	Bacteria;Acidobacteriota;Blastocatellia;HR10;HR10;HR10	56	10	0.178571428571429	0.000277914875737529	0.00554400277200139	FALSE	FALSE	FALSE
AB04.MAG11	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrosocaldaceae;JBBIQH01	56	17	0.303571428571429	0.000563571011557342	0.00764399235600764	FALSE	FALSE	FALSE
AB04.MAG12	Bacteria;Chloroflexota;Dehalococcoidia;SM23-28-2;HRBIN24;JAVVHA01	56	12	0.214285714285714	9.05133743983706e-05	0.00211150105575053	FALSE	FALSE	FALSE
AB04.MAG14	Bacteria;Bacteroidota;Bacteroidia;SpSt-205;SpSt-205;JAPYWM01	56	35	0.625	0.0044786176033233	0.0280614579078131	TRUE	FALSE	FALSE
AB04.MAG15	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium	56	26	0.464285714285714	0.00192392487275831	0.0170129914935042	FALSE	FALSE	FALSE
AB04.MAG16	Bacteria;Chloroflexota;Anaerolineae;B4-G1;DUEL01;SpSt-77	56	37	0.660714285714286	0.00194662467869879	0.00867349132650867	TRUE	FALSE	FALSE
AB04.MAG17	Bacteria;Armatimonadota;HRBIN17;HRBIN17;HRBIN17;Fervidibacter	56	21	0.375	0.000654545848941639	0.00449700224850112	FALSE	FALSE	FALSE
AB04.MAG18	Bacteria;Cyanobacteriota;Cyanobacteriia;Thermostichales;Thermostichaceae;Thermostichus	56	16	0.285714285714286	0.000241966434932893	0.00177700222125278	FALSE	FALSE	FALSE
AB04.MAG19	Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales;CALJEL01;CALJEL01	56	41	0.732142857142857	0.00176051229061968	0.0308942654471327	TRUE	TRUE	FALSE
AB04.MAG20	Bacteria;Bipolaricaulota;Bipolaricaulia;RBG-16-55-9;DRXL01;JANXCC01	56	24	0.428571428571429	0.000715397375728561	0.00627000313500157	FALSE	FALSE	FALSE
AB04.MAG21	Bacteria;Deinococcota;Deinococci;Deinococcales;Thermaceae;Thermus	56	31	0.553571428571429	0.00210164363241018	0.0168179495461514	FALSE	FALSE	FALSE
