CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC3	Peptidase	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_155	153042	153827	-	Peptidase|M48.UPC
CGC3	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_156	153863	156241	-	TC|1.B.14.6.5
CGC3	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_157	156339	156773	+	null
CGC3	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_158	156800	157618	+	CAZyme|CE1_e22+Peptidase|S09.UPW
CGC4	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_164	163152	164579	-	TC|2.A.35.1.6
CGC4	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_165	164674	165546	-	null
CGC4	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_166	165668	166102	-	null
CGC4	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_167	166150	167325	-	TC|2.A.1.36.3
CGC4	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_168	167345	169663	-	CAZyme|GT51_e214
CGC5	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_189	191106	192656	+	TC|2.A.21.2.4
CGC5	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_190	192751	194160	-	CAZyme|GH23_e996+STP|SBP_bac_3
CGC5	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_191	194157	194774	-	null
CGC5	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_192	194876	195175	+	null
CGC5	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_193	195191	197245	+	TC|5.A.1.1.3
CGC6	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_271	293308	294711	+	CAZyme|PL27_e0
CGC6	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_272	294837	296585	-	CAZyme|GH43_24|CBM32_e51
CGC6	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_273	296627	298108	-	CAZyme|GH43_24+Sulfatase|S1_6
CGC6	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_274	298121	299581	-	null
CGC6	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_275	299864	303976	+	STP|Reg_prop+STP|Y_Y_Y+STP|HisKA+STP|HATPase_c+STP|Response_reg+STP|HTH_18
CGC6	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_276	304251	307184	+	TC|1.B.14.6.17
CGC7	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_292	330174	331592	+	TC|1.A.30.2.9
CGC7	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_293	331576	332022	+	null
CGC7	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_294	332027	332452	+	TC|1.A.30.2.10
CGC7	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_295	332427	333950	+	null
CGC7	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_296	334208	336898	-	null
CGC7	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_297	337216	339555	+	CAZyme|GH35_e53|CBM32_e237
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_302	344839	345732	+	TC|3.A.1.148.3
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_303	345748	349053	+	TC|9.B.359.3.3
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_304	349074	350570	+	TC|2.A.6.3.14
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_305	350578	351639	+	TC|2.A.6.1.6
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_306	351688	354804	+	TC|2.A.6.3.6
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_307	354807	358001	+	TC|2.A.6.3.6
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_308	358006	359517	+	TC|3.A.1.148.4
CGC8	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_309	359533	360234	+	null
CGC8	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_310	360384	362600	-	null
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_311	362872	364107	+	TC|2.A.6.2.29
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_312	364111	367215	+	TC|2.A.6.2.22
CGC8	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_313	367215	368588	+	TC|2.A.6.2.20
CGC8	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_314	368717	370363	+	null
CGC8	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_315	370521	371414	+	CAZyme|GH25_e295
CGC9	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_323	380228	381832	+	TC|1.B.9.4.2
CGC9	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_324	382145	385333	+	TC|1.B.14.6.13
CGC9	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_325	385353	386567	+	null
CGC9	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_326	386576	386947	+	TC|8.A.46.2.2
CGC9	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_327	387094	387897	-	null
CGC9	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_328	387935	388405	-	null
CGC9	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_329	388527	389513	-	CAZyme|GH179_e0
CGC10	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_346	403273	405093	+	CAZyme|GH141_e0
CGC10	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_347	405215	407461	+	CAZyme|GH31_3
CGC10	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_348	407471	409279	+	STP|B12-binding_2+STP|B12-binding
CGC10	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_349	409308	410879	+	TC|2.A.21.3.19
CGC11	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_367	432012	433937	-	CAZyme|GH43_4
CGC11	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_368	433972	435777	-	null
CGC11	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_369	435803	438946	-	TC|1.B.14.6.17
CGC11	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_370	438957	440732	-	null
CGC11	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_371	440745	443828	-	TC|1.B.14.6.17
CGC11	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_372	443848	446157	-	null
CGC11	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_373	446387	450649	-	STP|Reg_prop+STP|Y_Y_Y+STP|HisKA+STP|HATPase_c+STP|Response_reg+STP|HTH_18
CGC11	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_374	450805	452346	+	CAZyme|GH43_4
CGC11	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_375	452372	454354	+	CAZyme|GH51_2
CGC11	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_376	454377	455321	+	CAZyme|GH43_29
CGC11	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_377	455441	456595	-	null
CGC11	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_378	456639	457949	-	TC|2.A.1.7.2
CGC12	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_399	480554	481705	+	CAZyme|GT4_e4720
CGC12	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_400	481722	482828	+	CAZyme|GT4_e6983
CGC12	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_401	482830	483435	+	null
CGC12	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_402	483531	484547	+	CAZyme|GT4_e1576
CGC12	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_403	485128	486117	+	null
CGC12	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_404	486123	486569	+	null
CGC12	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_405	486611	487405	+	TC|1.B.18.3.3
CGC12	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_406	487418	488563	+	null
CGC12	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_407	488578	489867	+	TC|8.A.3.3.4
CGC13	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_444	524995	526401	+	TC|2.A.1.1.55
CGC13	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_445	526439	527629	+	null
CGC13	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_446	527840	529870	+	CAZyme|GH89_e5+TC|2.A.29.14.11
CGC13	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_447	530005	533124	+	TC|1.B.14.6.17
CGC14	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_461	552283	555507	-	TC|1.B.14.6.17
CGC14	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_462	555562	556725	-	null
CGC14	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_463	557455	559089	+	CAZyme|CBM93_e0|GH33_e121+Sulfatase|S1_8
CGC14	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_464	559086	561098	+	CAZyme|GH20_e112
CGC14	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_465	561110	563188	+	CAZyme|CE20_e48+Sulfatase|S1_8
CGC14	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_466	563266	565860	+	CAZyme|GH2_13
CGC14	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_467	565899	568223	+	CAZyme|GH20_e12+Sulfatase|S1_16
CGC14	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_468	568223	570298	+	CAZyme|GH20_e188|CBM32_e198+Sulfatase|S1_16
CGC14	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_469	570314	572833	+	CAZyme|GH2_1+Sulfatase|S1_20
CGC15	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_486	588568	589674	+	CAZyme|GT4_e4192
CGC15	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_487	589831	590655	+	CAZyme|GT2
CGC15	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_488	590713	592119	+	TC|9.B.18.1.1
CGC15	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_489	592173	592973	+	TC|1.B.18.3.3
CGC15	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_490	592986	595424	+	TC|8.A.3.3.4
CGC15	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_491	595675	598419	+	TC|1.B.14.6.1
CGC15	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_492	598438	600171	+	TC|8.A.46.1.1
CGC16	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_505	613244	615391	-	TC|1.B.14.10.1
CGC16	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_506	615409	616071	-	null
CGC16	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_507	616088	616951	-	null
CGC16	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_508	617477	618376	+	TC|2.A.4.1.7
CGC16	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_509	618425	620023	+	TC|2.A.81.1.2
CGC16	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_510	620545	622872	+	TC|1.B.14.1.4
CGC16	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_511	623018	623335	+	null
CGC16	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_512	623432	625771	+	TC|1.B.14.1.4
CGC16	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_513	626052	626621	+	null
CGC16	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_514	626800	629103	+	CAZyme|GH20_e12+Sulfatase|S1_16
CGC16	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_515	629234	629842	+	STP|TetR_N
CGC16	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_516	629904	631733	+	TC|3.A.1.135.11
CGC16	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_517	631730	633460	+	TC|3.A.1.135.11
CGC17	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_530	644318	645232	-	CAZyme|GT2
CGC17	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_531	645248	646408	-	TC|9.B.18.1.2
CGC18	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_586	712455	714221	-	CAZyme|CBM50_e831|CBM50_e831|CBM50_e831
CGC18	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_587	714364	717204	+	null
CGC18	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_588	717247	717726	+	null
CGC18	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_589	717802	719316	+	TC|2.A.17.1.7
CGC18	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_590	719407	719904	-	null
CGC18	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_591	720018	720398	+	STP|PadR
CGC18	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_592	720420	721514	+	TC|9.B.270.1.1
CGC19	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_617	749938	751098	+	CAZyme|GT4_e4449+TC|2.A.38.4.5
CGC19	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_618	751156	751275	+	null
CGC19	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_619	751630	752769	+	CAZyme|GT4_e4555
CGC19	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_620	752791	753981	+	CAZyme|GT4_e5593
CGC19	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_621	754828	755013	+	null
CGC19	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_622	755202	755795	+	TC|9.B.18.1.3
CGC19	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_623	755823	757097	+	null
CGC19	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_624	757219	757326	+	null
CGC19	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_625	757320	758273	+	TC|1.B.18.3.3
CGC19	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_626	758286	760724	+	TC|8.A.3.3.4
CGC20	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_688	825613	828720	+	TC|2.A.6.3.6
CGC20	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_689	828717	830216	+	null
CGC20	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_690	830248	833493	+	TC|2.A.6.3.15
CGC20	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_691	833584	834138	-	null
CGC20	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_692	834315	835454	+	null
CGC20	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_693	836314	837480	+	CAZyme|CE9_e7+Peptidase|M38.UPW
CGC20	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_694	837499	838671	+	CAZyme|CE9_e7+Peptidase|M38.UNW
CGC20	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_695	838793	839152	-	TC|8.A.88.2.3
CGC20	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_696	839386	840648	+	TC|2.A.6.1.5
CGC20	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_697	840704	841798	+	TC|3.A.1.122.35
CGC20	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_698	841814	844939	+	TC|2.A.6.1.17
CGC20	Sulfatase	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_699	845037	846368	-	Sulfatase|S1_15
CGC20	TF	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_700	846392	847066	-	TF|CUSR_ECOLI
CGC20	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_701	847186	849201	+	CAZyme|GH97_e10
CGC20	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_702	849389	851101	-	TC|4.C.1.1.4
CGC20	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_703	851405	852877	-	TC|2.A.36.6.11
CGC20	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_704	853046	854230	+	TC|2.A.40.1.4
CGC21	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_770	932936	934390	+	TC|2.A.68.1.2
CGC21	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_771	934484	935071	+	STP|Sigma70_r2+STP|Sigma70_r4_2
CGC21	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_772	935148	936173	+	STP|FecR
CGC21	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_773	936299	939685	+	TC|1.B.14.6.17
CGC21	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_774	939715	941520	+	TC|8.A.46.3.4
CGC21	Sulfatase	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_775	941594	943042	+	Sulfatase|S1_7
CGC21	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_776	943044	945092	+	CAZyme|GH2_2+Sulfatase|S1_20
CGC22	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_792	960466	962478	+	CAZyme|CBM48_e145|GH13_8
CGC22	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_793	962540	963016	-	null
CGC22	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_794	963212	964909	-	CAZyme|GH13_38+TC|8.A.9.1.2
CGC23	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_885	1061861	1063183	-	CAZyme|CBM32_e10
CGC23	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_886	1063214	1065088	-	null
CGC23	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_887	1065133	1068345	-	TC|1.B.14.6.17
CGC24	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_933	1122272	1123735	-	CAZyme|CBM50_e1247
CGC24	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_934	1123751	1124023	-	null
CGC24	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_935	1124016	1125326	-	null
CGC24	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_936	1125323	1126282	-	TC|3.A.5.1.1
CGC25	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1012	1199001	1200683	-	CAZyme|PL1_2
CGC25	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1013	1200747	1205165	-	STP|Reg_prop+STP|Y_Y_Y+STP|HisKA+STP|HATPase_c+STP|Response_reg+STP|HTH_18
CGC25	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1014	1205423	1205674	-	null
CGC25	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1015	1205904	1208552	-	CAZyme|GH2_6+Sulfatase|S1_20
CGC25	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1016	1208581	1210992	-	CAZyme|GH139_e0
CGC25	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1017	1211002	1212435	-	CAZyme|CE20_e13+Sulfatase|S1_7
CGC25	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1018	1212438	1215755	-	CAZyme|GH106_e44|GH106_e50
CGC25	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1019	1215879	1217393	-	null
CGC25	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1020	1217557	1220208	-	TC|3.A.3.4.5
CGC26	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1024	1222940	1225792	-	CAZyme|GH2_11+Sulfatase|S1_19
CGC26	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1025	1225844	1229122	-	CAZyme|GH2_10+Sulfatase|S1_19
CGC26	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1026	1229478	1230977	+	TC|9.B.238.3.2
CGC26	STP	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1027	1230974	1231819	-	STP|AraC_binding+STP|HTH_18
CGC26	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1028	1232033	1236271	-	CAZyme|GH137_e4|GH2_8|CBM57_e0|CBM97_e1
CGC26	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1029	1236402	1239101	-	CAZyme|GH138_e0
CGC27	TC	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1041	1255841	1256839	-	TC|9.B.265.1.5
CGC27	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1042	1257068	1259536	+	CAZyme|GH95_e1+Sulfatase|S1_11
CGC27	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1043	1259550	1260752	+	CAZyme|GH105_e2
CGC27	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1044	1260789	1262240	+	CAZyme|GH140_e18
CGC27	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1045	1262233	1266105	+	CAZyme|CBM67_e35|GH78_e2|GH33_e82+Sulfatase|S1_8
CGC28	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1049	1270084	1272045	-	CAZyme|CE19_e5
CGC28	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1050	1272083	1273420	-	CAZyme|GH28_e278+Sulfatase|S1_15
CGC28	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1051	1273457	1276318	-	CAZyme|CBM67_e80|GH78_e86+Sulfatase|S1_8
CGC28	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1052	1276351	1279680	-	CAZyme|GH143_e0|GH142_e6+Sulfatase|S1_19
CGC28	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1053	1279732	1280661	-	CAZyme|GH43_18+Sulfatase|S1_16
CGC28	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1054	1280905	1281573	-	null
CGC28	CAZyme	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1055	1281647	1283386	-	CAZyme|PL1_2
CGC28	null	GCA_000011065.1|AE015928.1	GCA_000011065.1|AE015928.1_1056	1283613	1285883	-	null
