Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results	Substrate
megahit-co__c000749_1	-	GH65(201-373)	GH65_e52(201-373)	GH65	3	GH65_e52	-
megahit-co__c000771_1	-	-	GT4_e2489(177-229)	GT4	2	GT4_e2489	-
megahit-co__c000792_15	-	-	-	CBM38	1	-	-
megahit-co__c000801_1	-	CE1(7-215)	-	-	1	-	-
megahit-co__c000802_13	-	GT2(7-159)	GT2(6-213)	GT2	3	GT2	-
megahit-co__c000802_17	-	-	-	GT4	1	-	-
megahit-co__c000802_19	-	GT9(111-333)	GT9_e223(112-327)	GT9	3	GT9_e223	-
megahit-co__c000802_21	-	GT4(185-337)	GT4_e2902(185-335)	GT4	3	GT4_e2902	-
megahit-co__c000802_22	-	GT4(179-324)	GT4_e3165(177-325)	GT4	3	GT4_e3165	-
megahit-co__c000802_24	-	GT4(173-323)	GT4_e3165(173-320)	GT4	3	GT4_e3165	-
megahit-co__c000802_8	-	-	-	GT0	1	-	-
megahit-co__c000804_36	-	-	-	GT2	1	-	-
megahit-co__c000804_37	-	GT2(5-132)	GT2(5-136)	-	2	GT2	-
megahit-co__c000804_38	-	GT2(5-134)	GT2(5-136)	-	2	GT2	-
megahit-co__c000809_7	-	GH133(290-631)	GH133_e1(289-631)	GH133	3	GH133_e1	alpha-glucan
megahit-co__c000809_8	-	GT4(239-383)	GT4_e4120(239-382)	GT4	3	GT4_e4120	-
megahit-co__c000809_9	-	GH57_3(6-319)	GH57_e10(6-320)	GH57_3	3	GH57_3	-
megahit-co__c000818_2	-	PL43(334-768)	PL43_e8(334-768)	GH0+PL43	3	PL43_e8	fucoidan
megahit-co__c000818_3	-	GH174(659-1138)	GH174_e0(659-1136)	GH174	3	GH174_e0	fucoidan
megahit-co__c000818_4	-	-	-	GH187	1	-	-
megahit-co__c000846_11	-	-	-	GH13_31	1	-	-
megahit-co__c000847_1	-	GT2(10-170)	GT2(10-177)	GT2	3	GT2	-
megahit-co__c000855_1	-	GT2(1-118)	GT2(1-156)	GT2	3	GT2	-
megahit-co__c000857_1	-	-	-	GH23	1	-	-
megahit-co__c000876_10	-	GT4(232-383)	GT4_e4722(231-383)	GT4	3	GT4_e4722	-
megahit-co__c000900_3	-	GT119(22-201)+GT119(286-477)	GT119_e135(22-480)	GT119	3	GT119_e135	peptidoglycan
megahit-co__c000908_13	-	-	-	GT0	1	-	-
megahit-co__c000908_60	-	-	-	GH13_48	1	-	-
megahit-co__c000926_20	-	GT4(231-380)	GT4_e7328(233-380)	GT4	3	GT4_e7328	-
megahit-co__c000926_21	-	GT4(214-366)	GT4_e2476(216-368)	GT4	3	GT4_e2476	-
megahit-co__c000931_1	-	-	-	GH79	1	-	-
megahit-co__c000932_1	-	GT4(216-378)	GT4_e2917(217-377)	GT4	3	GT4_e2917	-
megahit-co__c000932_18	-|-	-	CBM50_e152(27-70)+CBM50_e970(77-119)	CBM50	2	CBM50_e152|CBM50_e970	chitin
megahit-co__c000945_103	-	CE9(7-377)	CE9_e92(7-377)	CE9	3	CE9_e92	host glycan
megahit-co__c000945_13	-	-	-	CBM50	1	-	-
megahit-co__c000945_18	-	GH1(4-461)	GH1_e194(5-461)	GH1	3	GH1_e194	-
megahit-co__c000945_19	-	GH4(7-186)	GH4_e47(7-184)	GH4	3	GH4_e47	-
megahit-co__c000945_75	-	GT5(87-380)	GT4_e1800(206-355)	GT4	3	GT4_e1800	-
megahit-co__c000947_19	-	GH65(571-985)	GH65_e15(571-984)	GH65	3	GH65_e15	-
megahit-co__c000949_42	-	GT66(22-794)	GT66_e12(22-778)	GT66	3	GT66_e12	-
megahit-co__c000952_10	-	-	-	GT0	1	-	-
megahit-co__c000952_15	-	-	-	GT32	1	-	-
megahit-co__c000968_1	-	-	-	GH0	1	-	-
megahit-co__c000987_2	-	GH188(14-270)	GH188_e1(15-270)	-	2	GH188_e1	glycolipid
megahit-co__c001001_3	-	GT2(4-166)	GT2(4-168)	GT2	3	GT2	-
megahit-co__c001001_4	-	-	GT66_e28(35-259)	GT66	2	GT66_e28	-
megahit-co__c001005_1	-	-	-	GT1	1	-	-
megahit-co__c001006_8	-	CE19(60-398)	CE19_e8(63-391)	-	2	CE19_e8	pectin
megahit-co__c001013_2	-	GH186(65-541)	GH186_e1(67-541)	GH186	3	GH186_e1	beta-glucan
megahit-co__c001020_3	-	-	-	GT121	1	-	-
megahit-co__c001022_2	-	GT2(9-153)	GT2(9-142)	GT2	3	GT2	-
megahit-co__c001024_2	-	-	GT4_e4653(194-272)	GT4	2	GT4_e4653	-
megahit-co__c001026_1	-	GT119(6-216)	GT119_e70(1-216)	AAM71283.1+GT119	3	GT119_e70	peptidoglycan
megahit-co__c001026_2	-	GT28(192-306)	GT28_e119(193-306)	AAM71282.1+GT28	3	GT28_e119	-
megahit-co__c001027_6	-	-	-	CBM47	1	-	-
megahit-co__c001028_1	-	-	-	GH6	1	-	-
megahit-co__c001032_10	-	-	-	GH13	1	-	-
megahit-co__c001033_1	-	-	-	GH0	1	-	-
megahit-co__c001050_1	-	-	-	GH23	1	-	-
megahit-co__c001051_1	-	GH188(3-159)	GH177_e4(4-259)	-	2	GH177_e4	host glycan
megahit-co__c001067_4	-	CBM13(217-308)	CBM13_e530(171-305)	CBM13	3	CBM13_e530	xylan
megahit-co__c001070_2	-	GH171(47-400)	GH171_e8(47-400)	GH171	3	GH171_e8	peptidoglycan
megahit-co__c001072_3	-	-	-	GH39	1	-	-
megahit-co__c001074_2	-	-	GT41_e93(1-179)	AAR35973.1+GT41	2	GT41_e93	-
megahit-co__c001079_10	-	-	-	GH89	1	-	-
megahit-co__c001079_3	-	-	-	GH13	1	-	-
megahit-co__c001079_7	-	-	-	GT33	1	-	-
megahit-co__c001086_16	-	GT2(4-126)	GT2(4-228)	GT2	3	GT2	-
megahit-co__c001086_17	-	GT2(4-176)	GT2(4-176)	GT2	3	GT2	-
megahit-co__c001086_22	-	-	-	GT2	1	-	-
megahit-co__c001099_2	-	AA6(6-194)	AA6_e2(6-193)	-	2	AA6_e2	lignin
megahit-co__c001116_1	-	-	-	GT0	1	-	-
megahit-co__c001119_9	-	GT51(83-246)	GT51_e54(82-246)	GT51	3	GT51_e54	-
megahit-co__c001124_2	3.2.1.26:13	GH32(7-291)	GH32_e0(7-290)	GH32	3	GH32_e0	fructan
megahit-co__c001133_1	-	-	GT121_e70(160-278)	GT121	2	GT121_e70	bacterial outer membrane (OM) polysaccharides
megahit-co__c001152_1	-	GH116(1-351)	GH116_e15(1-351)	AAC38131.1+GH116	3	GH116_e15	-
megahit-co__c001169_1	-	-	-	GT0	1	-	-
megahit-co__c001187_28	-	-	-	CBM2	1	-	-
megahit-co__c001187_49	-	-	-	GT1	1	-	-
megahit-co__c001187_8	-	GT21(35-265)	GT2(49-264)	GT2	3	GT2	-
megahit-co__c001187_9	-	GT21(44-270)	GT2(54-272)	GT2	3	GT2	-
megahit-co__c001190_1	-	-	-	GT4	1	-	-
megahit-co__c001202_1	2.4.1.1:156	GT35(129-840)	GT35_e0(129-840)	GT35	3	GT35_e0	-
megahit-co__c001202_4	2.4.1.18:4|2.4.1.18:14	CBM48(131-217)+GH13_9(285-585)	CBM48_e134(131-221)+GH13_e200(285-585)	CBM48+GH13_9	3	CBM48_e134|GH13_9	alpha-glucan
megahit-co__c001206_1	-	-	-	GT2	1	-	-
megahit-co__c001209_1	-	-	-	GH23	1	-	-
megahit-co__c001219_3	-	-	-	CBM47	1	-	-
megahit-co__c001221_1	-	GH13_4(1-171)	GH13_e129(1-171)	GH13_4	3	GH13_4	-
megahit-co__c001238_11	-	-	-	GH47	1	-	-
megahit-co__c001239_20	-	-	-	GT33	1	-	-
megahit-co__c001240_2	-	-	-	GT1	1	-	-
megahit-co__c001242_5	-	-	-	GH73	1	-	-
megahit-co__c001242_6	-	GH73(230-367)	GH73_e121(230-366)	GH73	3	GH73_e121	-
megahit-co__c001248_1	-	GT4(197-286)	GT4_e7602(198-285)	GT4	3	GT4_e7602	-
megahit-co__c001255_7	-	GH177(58-413)	GH177_e10(58-350)	-	2	GH177_e10	host glycan
megahit-co__c001256_2	-	GT19(6-274)	GT19_e2(6-274)	GT19	3	GT19_e2	-
megahit-co__c001259_2	-	GT28(125-252)	GT1_e356(1-274)	GT1	3	GT1_e356	-
megahit-co__c001263_33	-	-	-	GT119	1	-	-
megahit-co__c001270_38	-	-	-	GH13_31	1	-	-
megahit-co__c001307_1	-	GT19(1-237)	GT19_e66(1-228)	GT19	3	GT19_e66	-
megahit-co__c001307_7	-	-	-	CBM38	1	-	-
megahit-co__c001308_2	-	CE14(12-122)	CE14_e25(12-118)	CE14	3	CE14_e25	-
megahit-co__c001314_10	-	-	-	CE8	1	-	-
megahit-co__c001318_7	-	CE9(6-379)	CE9_e13(6-379)	CE9	3	CE9_e13	host glycan
megahit-co__c001319_1	-	GT2(6-131)	GT2(6-233)	GT2	3	GT2	-
megahit-co__c001323_1	-	GH2_2(11-370)	GH2_e122(7-370)	GH2_2	3	GH2_2	-
megahit-co__c001337_2	-	GT2(25-147)	GT2(100-285)	GT2	3	GT2|GT2	-
megahit-co__c001364_24	-	-	-	GH13	1	-	-
megahit-co__c001364_29	-	GT4(191-338)	GT4_e3781(193-338)	GT4	3	GT4_e3781	-
megahit-co__c001364_3	-	-	GT4_e450(276-385)	GT0	2	GT4_e450	-
megahit-co__c001380_1	3.2.1.4:19;3.2.1.73:3;3.2.1.91:5;3.2.1.-:2	GH9(54-414)	GH9_e1(54-415)	CBM3+CBM4+GH9	3	GH9_e1	beta-glucan;cellulose
megahit-co__c001381_2	3.2.1.52:18	GH20(2-174)	GH20_e12(1-174)	GH20	3	GH20_e12	host glycan
megahit-co__c001385_4	-	GH13_23(29-377)	GH13_e140(29-377)	GH13_23	3	GH13_23	-
megahit-co__c001385_7	-	GH13_46(202-549)	GH13_e217(202-548)	GH13_46	3	GH13_46	-
megahit-co__c001385_8	3.2.1.20:2	GH13_38(124-547)	GH13_e113(124-546)	GH13_38	3	GH13_38	alpha-glucan
megahit-co__c001388_1	-	-	-	GH39	1	-	-
megahit-co__c001403_1	-	GT19(14-354)	GT19_e2(14-354)	AAM71526.1+GT19	3	GT19_e2	-
megahit-co__c001404_1	-	-	-	GH28	1	-	-
megahit-co__c001410_14	-	-	-	GH101	1	-	-
megahit-co__c001419_3	-	-	-	CBM5	1	-	-
megahit-co__c001419_7	-	-	-	GH1	1	-	-
megahit-co__c001440_1	-	-	-	GT2	1	-	-
megahit-co__c001442_2	-	GH109(1-153)	GH109_e7(3-153)	-	2	GH109_e7	host glycan
megahit-co__c001446_8	-	-	-	CE4	1	-	-
megahit-co__c001447_6	-	GT2(5-124)	GT2(5-137)	GT2	3	GT2	-
megahit-co__c001451_16	-	-	-	GT2	1	-	-
megahit-co__c001451_2	-	GT9(108-323)	GT9_e223(104-319)	GT9	3	GT9_e223	-
megahit-co__c001451_35	-	-	-	GT4	1	-	-
megahit-co__c001451_42	-	GT51(53-122)	GT51_e181(53-122)	-	2	GT51_e181	-
megahit-co__c001452_26	-	GH3(164-384)	GH3_e120(164-384)	GH3	3	GH3_e120	-
megahit-co__c001452_28	-	-	-	GH28	1	-	-
megahit-co__c001452_38	-	GT9(67-310)	GT9_e298(68-310)	GT9	3	GT9_e298	-
megahit-co__c001453_2	-	-	-	CBM50	1	-	-
megahit-co__c001458_2	-	GT2(18-151)	GT2(18-138)	-	2	GT2	-
megahit-co__c001465_15	-	PL29(364-621)	CBM12_e59(29-61)	CBM12	3	CBM12_e59|PL29	chitin
megahit-co__c001466_2	-	-	-	GT2	1	-	-
megahit-co__c001502_22	-	-	-	GT1	1	-	-
megahit-co__c001507_2	1.14.99.53:2|-	AA10(34-200)+CBM73(425-479)	AA10_e66(34-199)+CBM73_e37(429-478)	AA10+CBM73	3	AA10_e66|CBM73_e37	chitin
megahit-co__c001519_111	3.2.1.99:8	GH43_4(30-355)	GH43_e38(30-355)	GH43_4	3	GH43_4	arabinan
megahit-co__c001519_115	-	GH51_2(194-632)	GH51_e8(194-631)	GH51_2	3	GH51_2	-
megahit-co__c001519_116	-|-|-	-	GH39_e7(109-349)+CBM35_e35(434-553)+CBM35_e35(669-807)	CBM35+GH39	2	GH39_e7|CBM35_e35|CBM35_e35	xylan
megahit-co__c001519_118	-	-	-	GH43_26	1	-	-
megahit-co__c001519_21	-	-	-	GT4	1	-	-
megahit-co__c001519_52	-	-	-	GH16	1	-	-
megahit-co__c001519_56	-	GT28(182-327)	GT28_e27(182-321)	GT28	3	GT28_e27	-
megahit-co__c001524_1	-	-	-	GH189+GH94+GT84	1	-	-
megahit-co__c001533_1	-	-	-	CBM13	1	-	-
megahit-co__c001556_103	-	-	-	GT47	1	-	-
megahit-co__c001556_147	-	GT2(5-220)	GT2(7-176)	GT2	3	GT2	-
megahit-co__c001556_148	-	GT94(118-359)	GT4_e558(211-354)	GT4	3	GT4_e558	-
megahit-co__c001556_93	-	GT117(15-230)	GT117_e5(18-213)	-	2	GT117_e5	-
megahit-co__c001556_96	-	GT5(7-484)	GT5_e4(7-484)	GT5	3	GT5_e4	-
megahit-co__c001574_1	-	GT2(10-174)	GT2(10-179)	GT2	3	GT2	-
megahit-co__c001577_2	-	-	-	GT33	1	-	-
megahit-co__c001589_28	-	-	-	GT50	1	-	-
megahit-co__c001589_9	-	CE4(99-223)	CE4_e320(100-222)	CE4	3	CE4_e320	-
megahit-co__c001602_1	-	GH65(151-391)	GH65_e15(151-391)	GH65	3	GH65_e15	-
megahit-co__c001607_3	3.2.1.199:4	GH188(5-132)	GH188_e0(6-134)	-	2	GH188_e0	glycolipid
megahit-co__c001621_1	-	GH3(98-321)	GH3_e120(100-321)	AAM73340.1+GH3	3	GH3_e120	-
megahit-co__c001623_3	-	CBM51(49-171)	CBM51_e36(47-171)	CBM51+GH110	3	CBM51_e36	host glycan
megahit-co__c001646_9	-	GH109(35-186)	-	-	1	-	-
megahit-co__c001652_3	-	-	-	CBM6	1	-	-
megahit-co__c001657_26	-	GT83(10-464)	GT83_e131(15-472)	GT83	3	GT83_e131	-
megahit-co__c001657_44	-	-	-	GT2	1	-	-
megahit-co__c001657_63	-	-	-	GH13_48	1	-	-
megahit-co__c001657_65	-	-	-	GH1	1	-	-
megahit-co__c001666_1	-	GT5(2-359)	GT5_e46(7-359)	GT5	3	GT5_e46	-
megahit-co__c001670_1	-	GH147(2-726)	GH147_e2(2-726)	GH147	3	GH147_e2	-
megahit-co__c001701_4	-	GT2(63-186)	GT2(63-265)	GT2	3	GT2	-
megahit-co__c001707_2	-	GT2(13-125)	GT2(12-252)	GT2	3	GT2	-
megahit-co__c001716_7	-	GT28(185-346)	GT28_e253(185-347)	GT28	3	GT28_e253	-
megahit-co__c001716_8	-	GT119(40-389)	GT119_e39(43-388)	GT119	3	GT119_e39	peptidoglycan
megahit-co__c001727_43	-	GT4(200-346)	GT4_e2566(200-344)	GT4	3	GT4_e2566	-
megahit-co__c001727_6	-	-	GT1_e6(2-297)	GT1	2	GT1_e6	-
megahit-co__c001727_8	-	GT30(53-216)	GT30_e58(54-216)	GT30	3	GT30_e58	-
megahit-co__c001727_97	-	-	-	GT1	1	-	-
megahit-co__c001735_1	-	-	-	GH26	1	-	-
megahit-co__c001743_2	2.4.99.-:11	GT9(70-319)	GT9_e84(69-318)	GT9	3	GT9_e84	-
megahit-co__c001743_3	-	GT9(76-313)	GT9_e371(77-298)	GT9	3	GT9_e371	-
megahit-co__c001746_6	-	-	-	GH28	1	-	-
megahit-co__c001766_11	-	-	-	GT51	1	-	-
megahit-co__c001767_3	-	-	-	GH47	1	-	-
megahit-co__c001777_1	-	-	-	GH28	1	-	-
megahit-co__c001780_3	2.4.1.1:9	GT35(161-509)	GT35_e7(17-489)	GT35	3	GT35_e7	-
megahit-co__c001804_2	-	-	-	GT4	1	-	-
megahit-co__c001805_3	-	GH177(72-426)	GH177_e7(72-426)	GH177	3	GH177_e7	host glycan
megahit-co__c001815_5	-	GH23(423-536)	GH23_e502(424-537)	GH23	3	GH23_e502	-
megahit-co__c001817_1	-	GT4(24-174)	GT4_e2902(24-171)	GT4	3	GT4_e2902	-
megahit-co__c001817_2	-	GT4(199-349)	GT4_e3210(202-349)	GT4	3	GT4_e3210	-
megahit-co__c001817_3	-	-	-	GT4	1	-	-
megahit-co__c001819_1	-	GT2(9-182)	GT2(9-182)	AAM71688.1+GT2	3	GT2	-
megahit-co__c001825_27	-	GT2(9-146)	GT2(9-276)	GT2	3	GT2	-
megahit-co__c001843_3	-	-	-	GH92	1	-	-
megahit-co__c001844_3	-	-	-	GT4	1	-	-
megahit-co__c001846_2	2.4.1.230:11	GH65(308-697)	GH65_e4(308-696)	GH65	3	GH65_e4	alpha-glucan
megahit-co__c001846_7	2.4.1.64:4	GH65(336-711)	GH65_e2(336-710)	GH65	3	GH65_e2	alpha-glucan
megahit-co__c001846_9	-	-	-	CE12	1	-	-
megahit-co__c001849_1	-	-	-	GT50	1	-	-
megahit-co__c001867_1	-	GH23(262-354)	GH23_e1229(260-354)	GH23	3	GH23_e1229	-
megahit-co__c001875_22	-	-	-	GT1	1	-	-
megahit-co__c001879_10	-	GT30(28-203)	GT30_e16(31-203)	GT30	3	GT30_e16	-
megahit-co__c001888_3	-	-	-	GT119	1	-	-
megahit-co__c001896_11	-	-	-	GH43_26+GH43_26	1	-	-
megahit-co__c001924_1	3.2.1.22:2	GH36(1-334)	GH36_e24(1-334)	GH36	3	GH36_e24	alpha-galactan
megahit-co__c001941_3	-	-	GT4_e1675(1-61)	-	1	-	-
megahit-co__c001962_5	-	-	-	GH43_31	1	-	-
megahit-co__c001965_2	-	CBM48(32-113)	CBM48_e169(33-111)	CBM48+GH13_9	3	CBM48_e169	alpha-glucan
megahit-co__c001977_1	-	-	-	GH28	1	-	-
megahit-co__c001984_1	-	-	GT83_e84(2-278)	-	1	-	-
megahit-co__c001988_2	-	-	-	GH76	1	-	-
megahit-co__c001999_3	3.2.1.-:8	GH92(258-748)	GH92_e0(259-748)	GH92	3	GH92_e0	host glycan
megahit-co__c001999_8	-	GH13_38(35-398)	GH13_e269(35-398)	GH13_38	3	GH13_38	-
megahit-co__c002006_22	-	-	-	GT2	1	-	-
megahit-co__c002011_10	-	PL39(352-740)	-	-	1	-	-
megahit-co__c002011_19	-	GH88(50-370)	GH88_e25(51-370)	GH88	3	GH88_e25	host glycan
megahit-co__c002011_21	-	GH39(12-301)	GH39_e6(15-301)	GH39	3	GH39_e6	-
megahit-co__c002011_26	-	GH109(4-148)	GH109_e8(4-154)	-	2	GH109_e8	host glycan
megahit-co__c002011_27	3.2.1.199:4	GH188(3-200)	GH188_e0(3-202)	-	2	GH188_e0	glycolipid
megahit-co__c002012_3	-	-	-	GH102	1	-	-
megahit-co__c002017_3	-	GT4(241-393)	GT4_e3436(241-387)	GT4	3	GT4_e3436	-
megahit-co__c002017_4	-	GT2(4-142)	GT2(4-160)	GT2	3	GT2	-
megahit-co__c002018_1	-	-	-	GT0	1	-	-
megahit-co__c002035_55	2.4.1.-:2	GT87(82-322)	GT87_e4(81-322)	-	2	GT87_e4	-
