seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
2013843002_____DCKB1_C2547	27099	No terminal repeats	NA	48	11	0.9756	NA	9	35.2742	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C3886	5085	No terminal repeats	NA	6	11	0.9745	NA	0	4.7776	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
UHGV-0001715	29667	No terminal repeats	NA	32	15	0.9733	NA	11	27.8460	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C1474	13497	No terminal repeats	NA	9	11	0.9724	NA	1	2.9144	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843001_____PLMO_C42	6040	No terminal repeats	NA	9	11	0.9721	NA	6	10.6186	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
UHGV-0215553	15637	No terminal repeats	NA	3	15	0.9682	NA	0	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
2014031003_____YNP3_C2415	10680	No terminal repeats	NA	22	11	0.9673	NA	0	28.8161	Viruses;Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae
2013338001_____MeugFOFF_C2873	15684	No terminal repeats	NA	23	11	0.9659	NA	5	19.2072	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013954001_____YNP14_C4148	8751	No terminal repeats	NA	15	11	0.9652	NA	0	20.6055	Viruses;Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae
2013843001_____PLMO_C457	8998	No terminal repeats	NA	13	11	0.9644	NA	6	11.8864	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
UHGV-0018535	76866	No terminal repeats	NA	78	4	0.9642	NA	3	26.9924	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C5216	5456	No terminal repeats	NA	6	11	0.9638	NA	2	4.6219	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C1475	15877	No terminal repeats	NA	7	11	0.9607	NA	0	5.0626	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2012990006_____JC3AJCVIAssemblies_1106445189670	23404	No terminal repeats	NA	47	11	0.9600	NA	0	24.0559	Viruses;;;;;;Globuloviridae
2013843001_____PLMO_C1011	20515	No terminal repeats	NA	27	11	0.9594	NA	14	23.9244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843001_____PLMO_C312	16344	No terminal repeats	NA	20	11	0.9570	NA	4	10.8592	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843001_____PLMO_C1550	11657	No terminal repeats	NA	22	11	0.9534	NA	1	11.2140	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843001_____PLMO_C1410	6539	No terminal repeats	NA	17	11	0.9442	NA	0	7.9971	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013954001_____YNP14_C558	7545	No terminal repeats	NA	14	11	0.9371	NA	1	14.6390	Viruses;Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae
2013843003_____YNP4_C4539	8423	No terminal repeats	NA	18	11	0.9351	NA	0	12.0280	Viruses;;;;;;Globuloviridae
2013843001_____PLMO_C1010	7812	No terminal repeats	NA	11	11	0.9260	NA	5	6.1448	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843003_____YNP4_C4540	5953	No terminal repeats	NA	12	11	0.9171	NA	0	12.0280	Viruses;;;;;;Globuloviridae
2013843001_____PLMO_C2782	26715	No terminal repeats	NA	45	11	0.9116	NA	4	28.2312	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013338001_____MeugFOFF_C3211	9837	No terminal repeats	NA	14	11	0.9076	NA	4	3.6657	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
2013843002_____DCKB1_C717	26277	DTR	NA	38	11	0.8269	NA	0	4.3212	Unclassified
2013843001_____PLMO_C1280	23319	No terminal repeats	NA	44	11	0.8115	NA	0	3.8082	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
