Standard	WorkbookSheet	SourceRow	ManuscriptSection	ItemNumber	TopLevelItem	Item	Recommendation	ItemSource	AdditionalGuidance
STORMS	Checklist	16	Methods	3.4	3	Eligibility criteria	List any criteria for inclusion and exclusion of recruited participants.	Modified STROBE	Among potential recruited participants, how were some chosen and others not? This could include criteria such as sex, diet, age, health status, or BMI. If there is a primary and validation sample, describe inclusion/exclusion criteria for each.
STORMS	Checklist	17	Methods	3.5	3	Antibiotics Usage	List what is known about antibiotics usage before or during sample collection.	STORMS	If participants were excluded due to current or recent antibiotics usage, state this here. Other factors (e.g. proton pump inhibitors, probiotics, etc.) that may influence the microbiome should also be described as well.
STORMS	Checklist	18	Methods	3.6	3	Analytic sample size	Explain how the final analytic sample size was calculated, including the number of cases and controls if relevant, and reasons for dropout at each stage of the study. This should include the number of individuals in whom microbiome sequencing was attempted and the number in whom microbiome sequencing was successful.	STORMS	Consider use of a flow diagram (see template at https://stormsmicrobiome.org/figures). Also state sample size in abstract. If power analysis was used to calculate sample size, describe those calculations.
STORMS	Checklist	19	Methods	3.7	3	Longitudinal Studies	For longitudinal studies, state how many follow-ups were conducted, describe sample size at follow-up by group or condition, and discuss any loss to follow-up.	STORMS	If there is loss to follow-up, discuss the likelihood that drop-out is associated with exposures, treatments, or outcomes of interest.
STORMS	Checklist	20	Methods	3.8	3	Matching	For matched studies, give matching criteria.	Modified STROBE	"""Matched"" refers to matching between comparable study participants as cases and controls or exposed / unexposed. Indicate whether participants were individual or frequency matched and in what ratio were they matched (e.g. 1 case to 1 control)."
STORMS	Checklist	21	Methods	3.9	3	Ethics	State the name of the institutional review board that approved the study and protocols, protocol number and date of approval, and procedures for obtaining informed consent from participants.	STORMS	
STORMS	Checklist	22	Methods	4	4	Laboratory methods	State the laboratory/center where laboratory work was done.	STORMS	Provide a reference to complete lab protocols if previously published elsewhere such as on protocols.io. Note any modifications of lab protocols and the reason for protocol modifications.
STORMS	Checklist	23	Methods	4.1	4	Specimen collection	State the body site(s) sampled from and how specimens were collected.	MIxS: sample collection device or method; host body site	Use terms from the Uber-anatomy Ontology (https://www.ebi.ac.uk/ols/ontologies/uberon) to describe body sites in a standardized format.
STORMS	Checklist	24	Methods	4.2	4	Shipping	Describe how samples were stored and shipped to the laboratory.	STORMS	Include length of time from collection to receipt by the lab and if temperature control was used during shipping.
STORMS	Checklist	25	Methods	4.3	4	Storage	Describe how the laboratory stored samples, including time between collection and storage and any preservation buffers or refrigeration used.	STORMS	State where each procedure or lot of samples was done if not all in the same place. Include reagent/lot/catalogue #s for storage buffers.
STORMS	Checklist	26	Methods	4.4	4	DNA extraction	Provide DNA extraction method, including kit and version if relevant.	MIxS: nucleic acid extraction	If any DNA quantification methods were used prior to DNA amplification or at the pooling step of library preparation, state so here.
STORMS	Checklist	27	Methods	4.5	4	Human DNA sequence depletion or microbial DNA enrichment	Describe whether human DNA sequence depletion or enrichment of microbial or viral DNA was performed.	STORMS	
STORMS	Checklist	28	Methods	4.6	4	Primer selection	Provide primer selection and DNA amplification methods as well as variable region sequenced (if applicable).	MIxS: pcr primers	
STORMS	Checklist	29	Methods	4.7	4	Positive Controls	Describe any positive controls (mock communities) if used.	STORMS	If used, should be deposited under guidance provided in the 8.X items.
STORMS	Checklist	30	Methods	4.8	4	Negative Controls	Describe any negative controls if used.	STORMS	If used, should be deposited under guidance provided in the 8.X items.
STORMS	Checklist	31	Methods	4.9	4	Contaminant mitigation and identification	Provide any laboratory or computational methods used to control for or identify microbiome contamination from the environment, reagents, or laboratory.	STORMS	Includes filtering of reagents and other steps to minimize contamination. It is relevant to state whether the specimens of interest have low microbial load, which makes contamination especially relevant.
STORMS	Checklist	32	Methods	4.10	4	Replication	Describe any biological or technical replicates included in the sequencing, including which steps were replicated between them.	STORMS	Replication may be biological (redundant biological specimens) or technical (aliquots taken at different stages of analysis) and used in extraction, sequencing, preprocessing, and/or data analysis.
STORMS	Checklist	33	Methods	4.11	4	Sequencing strategy	Major divisions of strategy, such as shotgun or amplicon sequencing.	MIxS: sequencing method	For amplicon sequencing (for example, 16S variable region), state the region selected. State the model of sequencer used.
STORMS	Checklist	34	Methods	4.12	4	Sequencing methods	State whether experimental quantification was used (QMP/cell count based, spike-in based) or whether relative abundance methods were applied.	STORMS	These include read length, sequencing depth per sample (average and minimum), whether reads are paired, and other parameters.
STORMS	Checklist	35	Methods	4.13	4	Batch effects	Detail any blocking or randomization used in study design to avoid confounding of batches with exposures or outcomes. Discuss any likely sources of batch effects, if known.	STORMS	Sources of batch effects include sample collection, storage, library preparation, and sequencing and are commonly unavoidable in all but the smallest of studies.
STORMS	Checklist	36	Methods	4.14	4	Metatranscriptomics	Detail whether any mRNA enrichment was performed and whether/how retrotranscription was performed prior to sequencing. Provide size range of isolated transcripts. Describe whether the sequencing library was stranded or not. Provide details on sequencing methods and platforms.	STORMS	Provide details on any internal standards which may have been used as well as parameters and versions of any software or databases used.
STORMS	Checklist	37	Methods	4.15	4	Metaproteomics	Detail which protease was used for digestion. Provide details on proteomic methods and platforms (e.g. LC-MS/MS, instrument type, column type, mass range, resolution, scan speed, maximum injection time, isolation window, normalised collision energy, and resolution).	STORMS	Provide details on any internal standards which may have been used as well as parameters and versions of any software or databases used.
STORMS	Checklist	38	Methods	4.16	4	Metabolomics	Specify the analytic method used (such as nuclear magnetic resonance spectroscopy or mass spectrometry). For mass spectrometry, detail which fractions were obtained (polar and/or non polar) and how these were analyzed. Provide details on metabolomics methods and platforms (e.g. derivatization, instrument type, injection type, column type and instrument settings).	STORMS	Provide details on any internal standards which may have been used as well as parameters and versions of any software or databases used.
STORMS	Checklist	39	Methods	5	5	Data sources/ measurement	For each non-microbiome variable, including the health condition, intervention, or other variable of interest, state how it was defined, how it was measured or collected, and any transformations applied to the variable prior to analysis.	MIxS: host disease status	State any sources of potential bias in measurements, for example multiple interviewers or measurement instruments, and whether these potential biases were assessed or accounted for in study design. Use terms from a standardized ontology such as the Experimental Factor Ontology (https://www.ebi.ac.uk/efo/) to describe variables of interest in a standardized format.
STORMS	Checklist	40	Methods	6	6	Research design for causal inference	Discuss any potential for confounding by variables that may influence both the outcome and exposure of interest. State any variables controlled for and the rationale for controlling for them.	STORMS	For causal inference, this item refers to describing the assumptions that would be required to draw causal inferences from observational data. See Vujkovic-Cvijin, I., Sklar, J., Jiang, L. et al. Host variables confound gut microbiota studies of human disease. Nature 587, 448–454 (2020). https://doi.org/10.1038/s41586-020-2881-9 for more details on confounding in observational microbiome studies. For example, hypothesized confounders may be controlled for by multivariable adjustment. Consider using a directed acyclic graph (DAG) to describe your causal model and justify any variables controlled for. DAGs can be made using www.dagitty.net.
STORMS	Checklist	41	Methods	6.1	6	Selection bias	Discuss potential for selection or survival bias.	STORMS	Selection bias can occur when some members of the target study population are more likely to be included in the study/final analytic sample than others. Some examples include survival bias (where part of the target study population is more likely to die before they can be studied), convenience sampling (where members of the target study population are not selected at random), and loss to follow-up (when probability of dropping out is related to one of the things being studied).
STORMS	Checklist	42	Methods	7	7	Bioinformatic and Statistical Methods	Describe any transformations to quantitative variables used in analyses (e.g. use of percentages instead of counts, normalization, rarefaction, categorization).	STORMS	If a variable is analyzed using different transformations, state rationale for the transformation and for each analyses which version of the variable is used. In case of any complex or multistep transformations, give enumerated instructions for reproducing those transformations.
STORMS	Checklist	43	Methods	7.1	7	Quality Control	Describe any methods to identify or filter low quality reads or samples.	MIxS: sequence quality check	If samples were excluded based on quality or read depth, list the criteria used, the number of samples excluded, and the final sample size after quality control.
STORMS	Checklist	44	Methods	7.2	7	Sequence analysis	Describe any taxonomic, functional profiling, or other sequence analysis performed.	MIxS: feature prediction; similarity search method	
STORMS	Checklist	45	Methods	7.3	7	Statistical methods	Describe all statistical methods.	Modified STROBE	Describe any statistical tests used, exploratory data analysis performed, dimension reduction methods/unsupervised analysis, alpha/beta metrics, and/or methods for adjusting for measurement bias. If multiple statistical methods are possible, discuss why the methods used were selected. If a multiple hypothesis testing correction method was used, describe the type of correction used. State which taxonomic levels are analyzed.
STORMS	Checklist	46	Methods	7.4	7	Longitudinal analysis	If the study is longitudinal, include a section that explicitly states what analysis methods were used (if any) to account for grouping of measurements by individual or patterns over time.	STORMS	
STORMS	Checklist	47	Methods	7.5	7	Subgroup analysis	Describe any methods used to examine subgroups and interactions.	STROBE	
STORMS	Checklist	48	Methods	7.6	7	Missing data	Explain how missing data were addressed.	STROBE	"""Missing data"" refers to participant measurements such as covariates, exposures, outcomes, or time points that should have been collected but were not, not to zeros in taxonomic abundance tables or data points not applicable to that observation."
STORMS	Checklist	49	Methods	7.7	7	Sensitivity analyses	Describe any sensitivity analyses.	STROBE	
STORMS	Checklist	50	Methods	7.8	7	Findings	State criteria used to select findings for reporting.	STORMS	For example, false discovery rate with total number of tests, effect size threshold, significance threshold, microbes of interest.
STORMS	Checklist	51	Methods	7.9	7	Software	Cite all software (including read mapping software) and databases (including any used for taxonomic reference or annotating amplicons, if applicable) used. Include version numbers.	Modified STREGA	Installed packages, add-ons or libraries should be stated and cited in addition to the software used. All parameters employed that differ from the default of that software/version should be provided. This is in addition to, not a replacement for, publishing of code as outlined in the section Reproducible Research.
STORMS	Checklist	52	Methods	8	8	Reproducible research	Make a statement about whether and how others can reproduce the reported analysis.	STORMS	"Any protected information that has been excluded or provided under controlled access should be listed along with any relevant data access procedures. ""On request from authors"" is not sufficiently detailed; formal data access procedures and conditions should be defined. If data are unavailable, state so clearly. Consider using a specialized rubric for reproducible research (such as: https://mbio.asm.org/content/9/3/e00525-18.short). Consider preregistering the study protocol (such as on osf.io or https://plos.org/open-science/preregistration/)."
STORMS	Checklist	53	Methods	8.1	8	Raw data access	State where raw data may be accessed including demultiplexing information.	STORMS	Robust, long-term databases such as those hosted by NCBI and EBI are preferred. If using a private repository, provide rationale.
STORMS	Checklist	54	Methods	8.2	8	Processed data access	State where processed data may be accessed.	STORMS	Unfiltered data should be provided. Robust, long-term databases such as those hosted by NCBI and EBI-EMBL are preferred. Repositories like zenodo (https://zenodo.org/) or publisso (https://www.publisso.de/en/working-for-you/doi-service/) can be used to provide a DOI and long-term storage for processed datasets, even those which cannot be published openly.
STORMS	Checklist	55	Methods	8.3	8	Participant data access	State where individual participant data such as demographics and other covariates may be accessed, and how they can be matched to the microbiome data.	STORMS	If re-categorized, transformed, or otherwise derived variables were used in the analysis, these variables or code for deriving them should be provided. Examples of how participant data can be matched to microbiome data are: using the same set of anonymized identifiers, or using different anonymized identifiers but providing a map. Provided data should be sufficient to independently replicate the current analysis.
STORMS	Checklist	56	Methods	8.4	8	Source code access	State where code may be accessed.	STORMS	If a standard or formalized workflow was employed, reference it here.
STORMS	Checklist	57	Methods	8.5	8	Full results	Provide full results of all analyses, in computer-readable format, in supplementary materials.	STORMS	For example, any fold-changes, p-values, or FDR values calculated, provided as a spreadsheet. Use a machine-readable, plain-text format such as csv or tsv.
STORMS	Checklist	59	Results	9	9	Descriptive data	Give characteristics of study participants (e.g. dietary, demographic, clinical, social) and information on exposures and potential confounders.	STROBE	Typically reported in a table included in the paper or as a supplementary table. Indicate number of participants with missing data for each variable of interest. This includes environmental and lifestyle factors that may affect the relationship between the microbiome and the condition of interest. Participant diet and medication use should be summarized, if known. At minimum, age and sex of all participants should be summarized.
STORMS	Checklist	60	Results	10	10	Microbiome data	Report descriptive findings for microbiome analyses with all applicable outcomes and covariates.	STORMS	This includes measures of diversity as well as relative abundances. These descriptive findings should be reported both for the sample overall and for individual groups.
STORMS	Checklist	61	Results	10.1	10	Taxonomy	Identify taxonomy using standardized taxon classifications that are sufficient to uniquely identify taxa.	STORMS	If not using full taxonomic hierarchy, make sure it is clear whether names stated are species, genera, family, etc. Italicize genus/species pairs. Consult journal guidelines or standardized references on taxonomic nomenclature. For instance, https://wwwnc.cdc.gov/eid/page/scientific-nomenclature
STORMS	Checklist	62	Results	10.2	10	Differential abundance	Report results of differential abundance analysis by the variable of interest and (if applicable) by time, clearly indicating the direction of change and total number of taxa tested.	STORMS	If there are more than two groups, include omnibus (multigroup) test results if applicable to the research question. If applicable, reported effect sizes should include a measure of uncertainty such as the confidence interval.
STORMS	Checklist	63	Results	10.3	10	Other data types	Report other data analyzed--e.g. metabolic function, functional potential, MAG assembly, and RNAseq.	STORMS	
STORMS	Checklist	64	Results	10.4	10	Other statistical analysis	Report any statistical data analysis not covered above.	STORMS	This could include subgroup analysis, sensitivity analyses, and cluster analysis. Visualizations should be easily interpretable and colorblind-friendly. The caption and/or main text should provide a detailed description of visualizations for visually-impaired readers.
STORMS	Checklist	66	Discussion	11	11	Key results	Summarise key results with reference to study objectives	STROBE	
STORMS	Checklist	67	Discussion	12	12	Interpretation	Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence.	STROBE	"Define or clarify any subjective terms such as ""dominant,"" ""dysbiosis,"" and similar words used in interpretation of results. When interpreting the findings, consider how the interpretation of the findings may be summarized or quoted for the general public such as in press releases or news articles. If causal language is used in the interpretation (such as ""alters,"" ""affects,"" ""results in,"" ""causes,"" or ""impacts""), assumptions made for causal inference should be explicitly stated as part of 6.0 and 13.0. Distinguish between function potential (ie inferred from metagenomics) and observed activity (ie metatranscriptomic, metabolomic, proteomic) if discussing microbial function."
STORMS	Checklist	68	Discussion	13	13	Limitations	Discuss limitations of the study, taking into account sources of potential bias or imprecision.	STROBE	Also consider limitations resulting from the methods (especially novel methods), the study design, and the sample size.
STORMS	Checklist	69	Discussion	13.1	13	Bias	Discuss any potential for bias to influence study findings.	STORMS	May include sampling method, representativeness of study participants, or potential confounding.
STORMS	Checklist	70	Discussion	13.2	13	Generalizability	Discuss the generalisability (external validity) of the study results	STROBE	To what populations or other settings do you expect the conclusions to generalize?
STORMS	Checklist	71	Discussion	14	14	Ongoing/future work	Describe potential future research or ongoing research based on the study's findings.	STORMS	
STORMS	Checklist	73	Other information	15	15	Funding	Give the source of funding and the role of the funders for the present study and, if applicable, for the original study on which the present article is based	STROBE	
STORMS	Checklist	74	Other information	15.1	15	Acknowledgements	Include acknowledgements of those who contributed to the research but did not meet critera for authorship.	STORMS	For general guidelines on authorship, see http://www.icmje.org and https://www.elsevier.com/authors/journal-authors/policies-and-ethics/credit-author-statement
STORMS	Checklist	75	Other information	15.2	15	Conflicts of Interest	Include a conflicts of interest statement.	STORMS	
STORMS	Checklist	76	Other information	16	16	Supplements	Indicate where supplements may be accessed and what materials they contain.	STORMS	
STORMS	Checklist	77	Other information	17	17	Supplementary data	Provide supplementary data files of results with for all taxa and all outcome variables analyzed. Indicate the taxonomic level of all taxa.	STORMS	Depending on the analysis performed, examples of the supplemental results included could be mean relative abundance, differential abundance, raw p-value, multiple hypothesis testing-adjusted p-values, and standard error. All discussed taxa should include the taxonomic level (e.g. class, order, genus).
STREAMS	STREAMS_final	3	Abstract	1	1	Structured or unstructured abstract	Abstract should include information on background, methods, results, conclusions, and significance in a structured or unstructured format.	STORMS	While the information included in this section is recommended, the word limit for the abstract (determined by the journal) must be considered. A graphical or video abstract may also be required or encouraged which should outline the major points of the manuscript.
STREAMS	STREAMS_final	4	Abstract	1.1	1	Study design	State study design in abstract.	STORMS	See 3.0 for additional information on study design.
STREAMS	STREAMS_final	5	Abstract	1.2	1	Environmental & sample information	Describe the specific environmental system and the sample types studied.	STREAMS	Describe the specific source(s) of the microbiome(s) - environment(s) sampled (e.g., soil) or specific host site/tissue(s) (e.g., midgut). Add the scientific names of any specific microbes or other organisms that are studied in the paper.
STREAMS	STREAMS_final	6	Abstract	1.3	1	Host information (if applicable)	Describe any associated host(s) in terms of taxonomy and/or identifying characteristics or conditions (e.g., a diseased state).	STREAMS	Include number of individuals included in the study. Include the host NCBI taxonomy ID or other relevant identifying information if possible. More details about the host(s) can be reported later in the manuscript (Item 3.4).
STREAMS	STREAMS_final	7	Abstract	1.4	1	Experiments & omics methods	State any experimental and omics strategies used to obtain the results.	Modified STORMS	Note any experiments performed and the data types generated (e.g., soil biogeochemistry, observational data) along with the omics methods utilized - for example, targeted ITS or 16S rRNA gene amplicon sequencing, metagenomics, metatranscriptomics, metabolomics, metaproteomics. Describe if the study was based on existing datasets.
STREAMS	STREAMS_final	8	Abstract	1.5	1	Analyses & results	Briefly describe the analyses performed, the results obtained, and the significance of the results.	STREAMS	Include a mention of the analyses performed (e.g., functional annotations), key results, and how these represent significant contributions to the broader context of the field.
STREAMS	STREAMS_final	10	Introduction	2	2	Background & rationale	Summarize the underlying motivation, background, scientific evidence, or theory driving the hypothesis or research question(s) and study objective(s).	Modified STORMS	Include proper references and citations to previous work in the field. If applicable, include references (including DOIs when possible) to previously generated datasets available through public repositories that this study is reusing or building upon, or are relevant to the background of the study. Describe the knowledge gap(s) in the field and how this study addresses those.
STREAMS	STREAMS_final	11	Introduction	2.1	2	Hypotheses or questions	State the research question(s), aim(s), and/or objective(s) along with hypotheses (if applicable).	Modified STORMS; NCBI SRA Bioproject (Goals & scope of the study)	Describe how the research questions or hypotheses contribute to the broader significance of this area of research.
STREAMS	STREAMS_final	13	Methods	3	3	Study design	Describe the overall study design.	STORMS	Describe if the study is observational or experimental, alternatively identify which aspects of the study were observational and which were experimental. Describe the spatiotemporal aspects of the study. Ensure biological and technical replicates are considered and reported here and/or in Item 6.2. Describe if the study was performed in the field, in a greenhouse, growth chamber, laboratory conditions, or other set-up. Briefly describe any key limitations to the study design. Include all other study design information relevant to the methods and results (e.g., randomization). Describe if the study is an analysis or combined analysis of existing data and/or describe how previously published data is used alongside newly generated data.
STREAMS	STREAMS_final	14	Methods	3.1	3	Samples	State and describe all sample types involved in the study.	STREAMS; MIxS; NCBI SRA Biosample information: isolation_source	Define the ID/naming scheme and if the samples have unique identifiers. Report sample metadata using MIxS standards ( https://genomicsstandardsconsortium.github.io/mixs/ ) whenever possible (report full metadata in supplementary information and/or in public repository). Provide a justification if no metadata standards are used. If samples are constructed (e.g., a synthetic community) describe in detail the methods and all steps used to construct these samples, referring to standards in this field ( https://doi.org/10.1038/s41564-024-01833-4 ) and noting how many organisms are within the synthetic community, their taxonomy, and other relevant characteristics. Describe and cite (e.g., publications, DOIs, accessions, catalogue information) publicly available samples and data being used if the study involves sample, synthetic community, and/or data reuse.
STREAMS	STREAMS_final	15	Methods	3.2	3	Environmental context & geographic location	State the environmental context(s) and geographical region(s) where the samples originated.	ENVO; MIxS: geographic location (country and/or sea, region) (MIXS:0000010); MIxS: lat_lon (MIXS:0000009); Specific ENVO fields (MIxS standard) & NCBI Biosample: env_broad_scale, env_local_scale, env_medium; NCBI SRA isolation_source	Geographic coordinates (latitude and longitude) should be reported according to MIxS to prevent potential ambiguities. Also use the ENVO standards ( https://sites.google.com/site/environmentontology/ ) to report on the environment Justification should be provided if geographic coordinates are not provided (e.g., in cases where there are issues with privacy, requests from indigenous communities to not share specific locations, collected on the International Space Station). State the spatial scale of the overall study if applicable.
STREAMS	STREAMS_final	16	Methods	3.3	3	Relevant dates	State the start and end dates for sample and data collection. Indicate if the study is longitudinal/a time-series and indicate sampling frequency or other relevant dates throughout the study.	Modified STORMS; MIxS (MIXS:0000011); NCBI Biosample collection_date	Report collection date according to MIxS (ISO8601 standard); report on sampling time if possible (ISO8601 formatted) and report on other temporal factors of importance e.g. seasonality. For time-series studies, state how many follow-ups were conducted, describe sample size at follow-up by group or condition, and discuss any loss at each time point. Provide justification if dates cannot be provided (e.g., due to privacy). For data reuse applications, report any relevant dates (e.g., original sampling date, date of data access).
STREAMS	STREAMS_final	17	Methods	3.4	3	Host(s) (if applicable)	Describe any associated non-human host(s) including taxonomy and any relevant characteristics or conditions.	STREAMS; MIxS host-associated extension; OBO Foundry; NCBI Biosample host	If the microbiome originated from a host (e.g., plant, animal), describe characteristics such as the taxonomy (including an NCBI taxonomy ID if possible; and/or references to the most current taxonomy; or state if taxonomy is unknown or could only be assessed to a certain taxonomic level), number of host(s) included in the study, how host(s) were selected (e.g., which plants out of a large field were chosen), defining characteristics, age or growth stage, genetic information, cultivar information, sex, feeding or watering regime, habitat information and if sampled populations were from natural environments or maintained in laboratory conditions, relevant conditions and other phenotypes (e.g., diseased plant host vs. healthy plant host, level of disease severity), and other pertinent information to the host and study. For reporting taxonomy, report what tool/database/standard was used for taxonomic hierarchy classification, the taxonomy version number, and any previously known taxonomic names if applicable. If there are multiple hosts (e.g., bacterial symbiont within a fungus within an animal gut), indicate this relationship and note how the hosts will be referred to within the study. Utilize existing ontologies whenever possible: e.g., Plants: https://obofoundry.org/ontology/to.html MIxS host-associated extension.
STREAMS	STREAMS_final	18	Methods	3.5	3	Ethics	State permit information and the guidelines followed for research ethics.	Modified STORMS	Provide statements regarding ethics protocols (e.g. Nagoya Protocol); provide permit information or indicate if permits/permissions were not necessary and provide justification; describe if provenance and due diligence were performed to ensure CARE principles were followed ( https://www.gida-global.org/care ); If applicable, state the name of the institutional review board (IRB) (and indigenous community if applicable) that approved the study and protocols, protocol number and date of approval, and procedures for working with animal hosts. Describe other permissions that were obtained (e.g., from a private landowner). Utilize Local Contexts Labels and Notices for indigenous data when applicable ( https://localcontexts.org ). List IACUC approval information if applicable. Include CITES ( https://www.fws.gov/international-affairs/cites ) or USDA APHIS ( https://www.aphis.usda.gov ) permits and information when applicable. The provided list of permits is not exhaustive, and significant research should be done by the team during the experimental design phase to ensure all relevant permits and permissions (and/or exceptions) are obtained. Depending on the journal, this information can be reported in the Acknowledgements as described in Item 14.0 or in the Supplementary Information (Item 16.0).
STREAMS	STREAMS_final	19	Methods	3.6	3	Environmental conditions & experimental treatments	List the experimental treatment(s), the conditions the environment or host was exposed to, and the relevant history of the environmental site(s) (e.g., agriculture practice, overall land use history, treatments, climate, presence of wildfires).	MIxS; STREAMS; NCBI Biosample samp_mat_process	List any relevant natural environmental conditions (e.g., weather), as well as the experimental treatments applied to the samples, hosts, or environments (e.g., drought regime in the field prior to collecting plants). Refer to the MIxS guidelines for specifics (e.g., experimental factor term; https://doi.org/10.1038/ismej.2013.176 for built environments; https://doi.org/10.1094/PBIOMES-09-19-0051-P for agricultural samples; https://doi.org/10.1093/gigascience/giae071 for SIP).
STREAMS	STREAMS_final	20	Methods	3.7	3	Sample collection	State how samples were collected and if any samples were immediately pooled, include information about specific sampling location and methods used.	MIxS: sample collection device (MIXS:0000002), sample collection method (MIXS:0001225), host body site; NCBI Biosample collection_method and collection_device	Provide information on where exactly samples were collected from (Reference Item 3.2 for geographic location of sampling) and how they were collected. Indicate if the sampling that was done was destructive or if an existing sample (e.g., museum specimen) was destroyed during the study. Describe the tools and methods used for sampling. If applicable, describe any methods or design choices that were employed to minimize sampling effects on the larger environment. Provide a reference to complete lab protocols if previously published elsewhere such as on protocols.io. Note any modifications of lab protocols and the reason for protocol modifications. Provide a diagram or schematic to indicate specific sampling locations if desired. For host associated studies, include specific information on host tissue or body site if applicable. Explain how the chosen host niche (e.g., rhizosphere) was defined and targeted, if applicable. Include instrument, sampling tool, and reagent information (catalogue #s, vendor).
STREAMS	STREAMS_final	21	Methods	3.8	3	Eligibility/selection criteria	List any criteria for inclusion and exclusion of environments, hosts, or samples.	Modified STORMS	If any environments, hosts, or samples were excluded, describe the inclusion or exclusion criteria and how many were excluded. Describe reasons for exclusion at each stage of the study.
STREAMS	STREAMS_final	22	Methods	3.9	3	Analytic sample size	Explain how the final analytic sample size was calculated, including the number of controls, if relevant.	Modified STORMS	Include the number of host individuals included (if applicable) and the number of samples within the final analysis group. Clearly list the number of discrete samples at every stage. Consider use of a flow diagram describing the sample selection process (see template at https://stormsmicrobiome.org/figures ). Also state sample size in abstract if relevant. If power analysis was used to calculate sample size, describe those calculations. Refer to replicates as described in 6.2.
STREAMS	STREAMS_final	23	Methods	4	4	Storage & preservation	Describe how the samples were stored and preserved from immediately after sampling through the laboratory steps. Include information on long-term storage, especially if samples will be made publicly available.	Modified STORMS; MIxS (MIXS:0000110)	State the amount of time between collection and storage and how the sample was preserved. The time it takes to collect a sample itself may also be reported as this can affect omics results. Indicate any preservation buffers or refrigeration/freezing used. Indicate if liquid nitrogen was used for flash freezing and indicate specifics about other freezing methods (e.g., put onto dry ice, put into a -80C freezer). Include the time between storage and use of the sample(s) including any acclimation time prior to experiments. If samples are reused e.g., from a museum collection, report what is known about storage and preservation history. Describe if and how the samples will be stored long-term and/or deposited into a repository (Item 17). Include vendor/catalogue #s for reagents (e.g., preservatives) if applicable.
STREAMS	STREAMS_final	24	Methods	4.1	4	Shipping	Describe how samples were transported or shipped to the laboratory.	STORMS	Include length of time from collection to shipment to receipt by the lab and if temperature control was used during shipping.
STREAMS	STREAMS_final	25	Methods	4.2	4	Extraction methods	Provide extraction methods for nucleic acids, proteins, metabolites, lipids, or other biomolecules, including kit and protocol information.	Modified STORMS; MIxS (MIXS:0000037) for nucleic acid extraction	Provide a reference to complete lab protocols if previously published elsewhere such as on protocols.io. Denote any kit that was used for extraction. Describe any modifications to lab and kit protocols and the reason for protocol modifications. Ensure the referenced methods include all relevant extraction and clean-up information, including specifics on the cell lysis methods and buffers/reagents used. Include instrument and reagent information (catalogue #s, vendor) for kits or all chemicals used in custom protocols.
