ProcessID	Element	Process	Variable	SpearmanRho	PermutationP	BootstrapLow95	BootstrapHigh95	IndependentSprings	NonzeroCommunitySprings	MinimumNonzeroSprings	Permutations	Bootstraps	FDR
n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	Temperature	0.1502178930454116	0.2748	-0.14921190977693638	0.4251139516526321	56	53	12	9999	2000	0.45999999999999996
hao	Nitrogen	Hydroxylamine oxidation	Temperature	0.02504149030754726	0.8518	-0.2657893736778907	0.30775429149288813	56	49	12	9999	2000	0.9085866666666667
nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	Temperature	0.04991965425303126	0.7097	-0.23829910024279377	0.34515524491722854	56	46	12	9999	2000	0.873476923076923
anammox	Nitrogen	Anaerobic ammonium oxidation	Temperature					56	0	12	9999	2000	
sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	Temperature	0.24553802470183528	0.0649	-0.03350996969434358	0.5067585873629905	56	48	12	9999	2000	0.20768
dsr	Sulfur	DsrAB sulfite/sulfide axis	Temperature	-0.14676578674334412	0.2821	-0.4423124170865096	0.16350395082391866	56	53	12	9999	2000	0.45999999999999996
sox	Sulfur	Thiosulfate oxidation by Sox	Temperature	0.14431016675964248	0.2875	-0.14646581149285962	0.42267785416435477	56	51	12	9999	2000	0.45999999999999996
sulfur_reduction	Sulfur	Elemental sulfur reduction	Temperature					56	1	12	9999	2000	
phs	Sulfur	Thiosulfate/polysulfide reduction	Temperature					56	0	12	9999	2000	
cbb	Carbon	Calvin-Benson-Bassham fixation	pH	-0.27233723936811444	0.0446	-0.5235455398365254	0.0013086705234892216	56	55	12	9999	2000	0.0792888888888889
rtca	Carbon	Reverse TCA fixation	pH	-0.016717447485483736	0.9018	-0.26246226883638907	0.23201136603792508	56	18	12	9999	2000	0.96192
wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	pH	-0.1379555865216784	0.3097	-0.40300797395535715	0.12808450547118538	56	44	12	9999	2000	0.45047272727272725
three_hp	Carbon	3-hydroxypropionate bicycle	pH	0.02134499061971481	0.8757	-0.25742530992022283	0.2876095093098211	56	45	12	9999	2000	0.96192
mcr	Carbon	Methyl-coenzyme M reductase	pH					56	2	12	9999	2000	
cummo	Carbon/Nitrogen	Copper membrane monooxygenase	pH	-0.12248118494259089	0.3695	-0.37259347226288714	0.15651461895192603	56	21	12	9999	2000	0.49266666666666664
n_fix	Nitrogen	Nitrogen fixation	pH	0.34080263070510336	0.0089	0.07088303336163292	0.563952193951314	56	46	12	9999	2000	0.025066666666666668
nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	pH	-0.32450046774546587	0.0143	-0.5577008699685609	-0.04740177299109623	56	46	12	9999	2000	0.03268571428571428
dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	pH	-0.022565260498776996	0.8708	-0.3420015301219972	0.26959739922745857	56	53	12	9999	2000	0.96192
nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	pH	-0.3490435521697187	0.0094	-0.5862199537152447	-0.07865515273873651	56	53	12	9999	2000	0.025066666666666668
no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	pH	-0.4501120948359531	0.001	-0.6762113421808273	-0.17923467574571564	56	44	12	9999	2000	0.0072
n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	pH	-0.2038395198389522	0.129	-0.4890240072149959	0.08074158940165312	56	53	12	9999	2000	0.2064
hao	Nitrogen	Hydroxylamine oxidation	pH	-0.3975362247564617	0.0018	-0.6386101831947372	-0.12574324991028893	56	49	12	9999	2000	0.0072
nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	pH	-0.2964559476592756	0.0291	-0.5515393644413155	0.002752367593311831	56	46	12	9999	2000	0.0582
anammox	Nitrogen	Anaerobic ammonium oxidation	pH					56	0	12	9999	2000	
sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	pH	-0.4544741502454678	0.0006	-0.6499004301311252	-0.19246874045860277	56	48	12	9999	2000	0.0072
dsr	Sulfur	DsrAB sulfite/sulfide axis	pH	-0.4038497833508392	0.0018	-0.6176619290492125	-0.13878968911520378	56	53	12	9999	2000	0.0072
sox	Sulfur	Thiosulfate oxidation by Sox	pH	0.005300866949014574	0.9722	-0.2839562228603186	0.27841216321188883	56	51	12	9999	2000	0.9722
sulfur_reduction	Sulfur	Elemental sulfur reduction	pH					56	1	12	9999	2000	
phs	Sulfur	Thiosulfate/polysulfide reduction	pH					56	0	12	9999	2000	
