ProcessID	Phylum	CarrierMAGs	MeanRecoveredMAGAbundance	Element	Process
nitrate_to_nitrite	Pseudomonadota	10	0.013386150000000001	Nitrogen	Respiratory nitrate reduction
nitrate_to_nitrite	Thermodesulfobiota	1	0.00021471800000000003	Nitrogen	Respiratory nitrate reduction
nitrate_to_nitrite	Thermoproteota	2	0.0013830519999999998	Nitrogen	Respiratory nitrate reduction
nitrate_to_nitrite	Verrucomicrobiota	1	0.002407319999999999	Nitrogen	Respiratory nitrate reduction
dnra_nitrite	Acidobacteriota	6	0.0058524879999999994	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Armatimonadota	1	0.000136658	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Bacteroidota	3	0.0041253159999999995	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Bacteroidota_A	8	0.012618556	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Bipolaricaulota	7	0.016704417999999995	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Chloroflexota	37	0.05216199600000001	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Deinococcota	2	0.0045094160000000005	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Desulfobacterota_B	1	0.0013829400000000005	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Myxococcota	1	0.0008577180000000005	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Nitrospirota	1	0.0014934340000000005	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Planctomycetota	4	0.006599583999999999	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Pseudomonadota	1	0.0017311560000000002	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Verrucomicrobiota	6	0.0073494699999999994	Nitrogen	Dissimilatory nitrite reduction to ammonium
dnra_nitrite	Zhuqueibacterota	1	0.00076498	Nitrogen	Dissimilatory nitrite reduction to ammonium
nitrite_to_no	Acidobacteriota	2	0.0009406340000000001	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Aquificota	3	0.0023151660000000004	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Armatimonadota	3	0.003975008000000002	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Bacteroidota	2	0.0009834580000000002	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Bacteroidota_A	4	0.0011337440000000001	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Chloroflexota	26	0.044042500000000005	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Cyanobacteriota	2	0.001313602	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Deinococcota	3	0.004094265999999998	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Desulfobacterota_B	2	0.0015172480000000001	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Nitrospirota	2	0.00174829	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Pseudomonadota	6	0.011004622	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Spirochaetota	2	0.002908207999999998	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Sysuimicrobiota	1	0.001087664	Nitrogen	Nitrite reduction to nitric oxide
nitrite_to_no	Thermoproteota	31	0.024135484000000002	Nitrogen	Nitrite reduction to nitric oxide
no_to_n2o	Acidobacteriota	2	0.0020264059999999997	Nitrogen	Nitric oxide reduction to nitrous oxide
no_to_n2o	Deinococcota	2	0.0035355879999999984	Nitrogen	Nitric oxide reduction to nitrous oxide
no_to_n2o	Desulfobacterota	4	0.003887644	Nitrogen	Nitric oxide reduction to nitrous oxide
no_to_n2o	Desulfobacterota_B	1	0.0007468820000000001	Nitrogen	Nitric oxide reduction to nitrous oxide
no_to_n2o	Nitrospirota	1	0.0010738140000000002	Nitrogen	Nitric oxide reduction to nitrous oxide
no_to_n2o	Pseudomonadota	6	0.005074856000000001	Nitrogen	Nitric oxide reduction to nitrous oxide
no_to_n2o	Spirochaetota	2	0.002908207999999998	Nitrogen	Nitric oxide reduction to nitrous oxide
n2o_to_n2	Acidobacteriota	1	0.0009385500000000005	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Armatimonadota	12	0.016790478000000005	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Bacteroidota	29	0.020762496000000005	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Bacteroidota_A	46	0.038858406	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Bipolaricaulota	4	0.007310425999999998	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Calescibacteriota	3	0.0014437419999999998	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Chloroflexota	15	0.014356263999999999	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Desulfobacterota_B	4	0.006156862	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Planctomycetota	2	0.0023416440000000004	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Pseudomonadota	2	0.001316586	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Spirochaetota	2	0.002908207999999998	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Sysuimicrobiota	7	0.01009361	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Thermoproteota	20	0.015576668	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	WOR-3	2	0.00025582999999999997	Nitrogen	Nitrous oxide reduction to dinitrogen
n2o_to_n2	Zhuqueibacterota	1	0.00076498	Nitrogen	Nitrous oxide reduction to dinitrogen
hao	Acidobacteriota	19	0.017797728	Nitrogen	Hydroxylamine oxidation
hao	Armatimonadota	5	0.005857618	Nitrogen	Hydroxylamine oxidation
hao	Bacteroidota_A	8	0.010492838000000003	Nitrogen	Hydroxylamine oxidation
hao	Bipolaricaulota	5	0.011234591999999998	Nitrogen	Hydroxylamine oxidation
hao	CALINM01	1	0.0006203920000000001	Nitrogen	Hydroxylamine oxidation
hao	Chloroflexota	1	0.0023218220000000003	Nitrogen	Hydroxylamine oxidation
hao	Desulfobacterota	8	0.007328714	Nitrogen	Hydroxylamine oxidation
hao	Nitrospirota	9	0.010431018	Nitrogen	Hydroxylamine oxidation
hao	Planctomycetota	3	0.0046296079999999995	Nitrogen	Hydroxylamine oxidation
hao	Pseudomonadota	2	0.0017161340000000002	Nitrogen	Hydroxylamine oxidation
hao	Verrucomicrobiota	1	0.002407319999999999	Nitrogen	Hydroxylamine oxidation
hao	Zhuqueibacterota	3	0.0026806819999999993	Nitrogen	Hydroxylamine oxidation
nar_nxr	Acidobacteriota	2	0.0008572879999999999	Nitrogen	NarGH/NxrAB oxidoreductase family
nar_nxr	Bacteroidota_A	1	0.004245242000000002	Nitrogen	NarGH/NxrAB oxidoreductase family
nar_nxr	Chloroflexota	2	0.0034062780000000004	Nitrogen	NarGH/NxrAB oxidoreductase family
nar_nxr	Deinococcota	5	0.015627804000000002	Nitrogen	NarGH/NxrAB oxidoreductase family
nar_nxr	Pseudomonadota	8	0.010685564000000002	Nitrogen	NarGH/NxrAB oxidoreductase family
nar_nxr	Thermodesulfobiota	1	0.00021471800000000003	Nitrogen	NarGH/NxrAB oxidoreductase family
nar_nxr	Thermoproteota	5	0.005082718	Nitrogen	NarGH/NxrAB oxidoreductase family
sulfate_to_sulfite	Acidobacteriota	7	0.008469023999999999	Sulfur	Dissimilatory sulfate reduction to sulfite
sulfate_to_sulfite	Bacteroidota_A	1	0.0008874440000000001	Sulfur	Dissimilatory sulfate reduction to sulfite
sulfate_to_sulfite	Desulfobacterota	5	0.004277547999999999	Sulfur	Dissimilatory sulfate reduction to sulfite
sulfate_to_sulfite	Myxococcota	1	0.0008577180000000005	Sulfur	Dissimilatory sulfate reduction to sulfite
sulfate_to_sulfite	Nitrospirota	8	0.010985275999999999	Sulfur	Dissimilatory sulfate reduction to sulfite
sulfate_to_sulfite	Pseudomonadota	9	0.016203790000000003	Sulfur	Dissimilatory sulfate reduction to sulfite
sulfate_to_sulfite	Thermodesulfobiota	1	0.00021471800000000003	Sulfur	Dissimilatory sulfate reduction to sulfite
sulfate_to_sulfite	Thermoproteota	7	0.004431644	Sulfur	Dissimilatory sulfate reduction to sulfite
dsr	Acidobacteriota	7	0.008469023999999999	Sulfur	DsrAB sulfite/sulfide axis
dsr	Bacteroidota_A	1	0.0008874440000000001	Sulfur	DsrAB sulfite/sulfide axis
dsr	Chloroflexota	3	0.006759833999999999	Sulfur	DsrAB sulfite/sulfide axis
dsr	Desulfobacterota	5	0.004277547999999999	Sulfur	DsrAB sulfite/sulfide axis
dsr	Halobacteriota	1	0.0005515800000000001	Sulfur	DsrAB sulfite/sulfide axis
dsr	Myxococcota	1	0.0008577180000000005	Sulfur	DsrAB sulfite/sulfide axis
dsr	Nitrospirota	10	0.01377143	Sulfur	DsrAB sulfite/sulfide axis
dsr	Pseudomonadota	8	0.012889546	Sulfur	DsrAB sulfite/sulfide axis
dsr	Thermodesulfobiota	1	0.00021471800000000003	Sulfur	DsrAB sulfite/sulfide axis
dsr	Thermoproteota	6	0.005357044	Sulfur	DsrAB sulfite/sulfide axis
sox	Aquificota	2	0.0014473200000000002	Sulfur	Thiosulfate oxidation by Sox
sox	Deinococcota	3	0.007486325999999999	Sulfur	Thiosulfate oxidation by Sox
sox	Pseudomonadota	11	0.016067852000000004	Sulfur	Thiosulfate oxidation by Sox
sulfur_reduction	Thermoproteota	1	0.000684708	Sulfur	Elemental sulfur reduction
