hotspring	ProcessID	Element	Process	RawCommunityIndex	CommunityIndex	CompleteGateFraction	Samples	Temperature	pH
AA01	sox	Sulfur	Thiosulfate oxidation by Sox	1.7928940503600003e-05	1.7928940503600003e-05	0.9545454545454546	22	51.7	8.23
AA01	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	8.245429325499999e-05	7.999967226926249e-05	0.9545454545454546	22	51.7	8.23
AA01	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	22	51.7	8.23
AA01	three_hp	Carbon	3-hydroxypropionate bicycle	3.284313027e-05	3.284313027e-05	0.9090909090909091	22	51.7	8.23
AA01	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	7.2578450416999995e-06	7.2466544134999994e-06	0.8181818181818182	22	51.7	8.23
AA03	anammox	Nitrogen	Anaerobic ammonium oxidation	2.4328524013500004e-06	0.0	0.0	24	58.65	8.49
AA03	cbb	Carbon	Calvin-Benson-Bassham fixation	9.44511536675e-05	9.44511536675e-05	1.0	24	58.65	8.49
AA03	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	1.7316313833333332e-07	0.0	0.3333333333333333	24	58.65	8.49
AA03	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	3.41003493375e-05	3.41003493375e-05	1.0	24	58.65	8.49
AA03	dsr	Sulfur	DsrAB sulfite/sulfide axis	4.58943347725e-06	4.58943347725e-06	1.0	24	58.65	8.49
AA03	hao	Nitrogen	Hydroxylamine oxidation	3.7381671765e-06	3.7381671765e-06	1.0	24	58.65	8.49
AA03	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	24	58.65	8.49
AA03	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	2.1248653345e-05	2.1248653345e-05	1.0	24	58.65	8.49
AA03	n_fix	Nitrogen	Nitrogen fixation	3.637517716666666e-05	3.637517716666666e-05	1.0	24	58.65	8.49
AA03	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	2.66707445525e-06	2.66707445525e-06	1.0	24	58.65	8.49
AA03	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	4.787692308525e-06	4.787692308525e-06	1.0	24	58.65	8.49
AA03	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	7.2985572040500004e-06	7.2985572040500004e-06	1.0	24	58.65	8.49
AA03	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	1.9507220982500002e-06	0.0	0.4166666666666667	24	58.65	8.49
AA03	phs	Sulfur	Thiosulfate/polysulfide reduction	6.386370235e-06	0.0	0.0	24	58.65	8.49
AA03	rtca	Carbon	Reverse TCA fixation	3.996877617e-07	1.4872805695e-07	0.5416666666666666	24	58.65	8.49
AA03	sox	Sulfur	Thiosulfate oxidation by Sox	1.85937535314e-05	1.85937535314e-05	1.0	24	58.65	8.49
AA03	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	8.54034058974875e-05	8.38481158747625e-05	0.9583333333333334	24	58.65	8.49
AA03	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	24	58.65	8.49
AA03	three_hp	Carbon	3-hydroxypropionate bicycle	2.9818511226416666e-05	2.3153986312833334e-05	0.75	24	58.65	8.49
AA03	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	7.4886105581e-06	7.4886105581e-06	0.9583333333333334	24	58.65	8.49
AB02	anammox	Nitrogen	Anaerobic ammonium oxidation	1.6219483231666665e-05	0.0	0.0	8	68.5	6.925000000000001
AB02	cbb	Carbon	Calvin-Benson-Bassham fixation	0.00010326898095	0.00010326898095	1.0	8	68.5	6.925000000000001
AB02	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	2.6653966808e-06	2.6653966808e-06	1.0	8	68.5	6.925000000000001
AB02	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	6.13943819025e-05	6.13943819025e-05	1.0	8	68.5	6.925000000000001
AB02	dsr	Sulfur	DsrAB sulfite/sulfide axis	5.826827985e-06	5.826827985e-06	1.0	8	68.5	6.925000000000001
AB02	hao	Nitrogen	Hydroxylamine oxidation	8.6183453735e-05	8.6183453735e-05	1.0	8	68.5	6.925000000000001
AB02	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	8	68.5	6.925000000000001
AB02	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.00012884608925	0.00012884608925	1.0	8	68.5	6.925000000000001
AB02	n_fix	Nitrogen	Nitrogen fixation	0.0	0.0	0.0	8	68.5	6.925000000000001
AB02	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	9.5299187165e-06	9.5299187165e-06	1.0	8	68.5	6.925000000000001
AB02	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	1.2658930334766667e-05	1.2658930334766667e-05	1.0	8	68.5	6.925000000000001
AB02	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	4.8658449694999995e-05	4.8658449694999995e-05	1.0	8	68.5	6.925000000000001
AB02	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	1.5772648616e-05	1.5772648616e-05	1.0	8	68.5	6.925000000000001
AB02	phs	Sulfur	Thiosulfate/polysulfide reduction	1.7207870616666667e-05	0.0	0.0	8	68.5	6.925000000000001
AB02	rtca	Carbon	Reverse TCA fixation	1.9394160043749997e-06	0.0	0.0	8	68.5	6.925000000000001
AB02	sox	Sulfur	Thiosulfate oxidation by Sox	2.9236453812800004e-05	2.9236453812800004e-05	1.0	8	68.5	6.925000000000001
AB02	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.00010887255682562501	0.00010887255682562501	1.0	8	68.5	6.925000000000001
AB02	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	8	68.5	6.925000000000001
AB02	three_hp	Carbon	3-hydroxypropionate bicycle	7.297030355341666e-07	7.297030355341666e-07	0.625	8	68.5	6.925000000000001
AB02	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	3.10575100813e-05	3.10575100813e-05	1.0	8	68.5	6.925000000000001
AB03	anammox	Nitrogen	Anaerobic ammonium oxidation	2.7519445781666664e-06	0.0	0.0	8	56.05	7.445
AB03	cbb	Carbon	Calvin-Benson-Bassham fixation	6.0067681475e-05	6.0067681475e-05	0.875	8	56.05	7.445
AB03	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0	0.0	0.0	8	56.05	7.445
AB03	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	2.97640843275e-05	2.72352271675e-05	0.875	8	56.05	7.445
AB03	dsr	Sulfur	DsrAB sulfite/sulfide axis	1.5295716942499998e-05	1.5295716942499998e-05	1.0	8	56.05	7.445
AB03	hao	Nitrogen	Hydroxylamine oxidation	9.442181875e-06	9.442181875e-06	1.0	8	56.05	7.445
AB03	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	8	56.05	7.445
AB03	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	1.6738404414999998e-05	1.6738404414999998e-05	1.0	8	56.05	7.445
AB03	n_fix	Nitrogen	Nitrogen fixation	3.655098097e-05	3.655098097e-05	0.75	8	56.05	7.445
AB03	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	6.9363080927499995e-06	6.9363080927499995e-06	1.0	8	56.05	7.445
AB03	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	6.637357376858334e-06	6.637357376858334e-06	1.0	8	56.05	7.445
AB03	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	8.255833734499999e-06	8.255833734499999e-06	0.875	8	56.05	7.445
AB03	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	9.339112912575001e-06	8.786808863825e-06	0.875	8	56.05	7.445
AB03	phs	Sulfur	Thiosulfate/polysulfide reduction	1.0526126855e-05	0.0	0.0	8	56.05	7.445
AB03	rtca	Carbon	Reverse TCA fixation	2.7389096964625e-06	9.531780752249999e-07	0.625	8	56.05	7.445
AB03	sox	Sulfur	Thiosulfate oxidation by Sox	1.24048513529e-05	1.24048513529e-05	0.875	8	56.05	7.445
AB03	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	9.788388130387501e-05	7.8143633721875e-05	0.75	8	56.05	7.445
AB03	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	8	56.05	7.445
AB03	three_hp	Carbon	3-hydroxypropionate bicycle	3.2174355385e-05	3.2174355385e-05	0.75	8	56.05	7.445
AB03	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	1.1396371938800001e-05	8.56150841e-06	0.75	8	56.05	7.445
AB04	anammox	Nitrogen	Anaerobic ammonium oxidation	2.2081640898333333e-05	0.0	0.0	4	70.6	6.9390740740000005
AB04	cbb	Carbon	Calvin-Benson-Bassham fixation	9.2872539505e-05	9.2872539505e-05	1.0	4	70.6	6.9390740740000005
AB04	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	5.398917493999999e-06	5.398917493999999e-06	1.0	4	70.6	6.9390740740000005
AB04	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	9.373960355249999e-05	9.373960355249999e-05	1.0	4	70.6	6.9390740740000005
AB04	dsr	Sulfur	DsrAB sulfite/sulfide axis	1.4370102512499999e-05	1.4370102512499999e-05	1.0	4	70.6	6.9390740740000005
AB04	hao	Nitrogen	Hydroxylamine oxidation	0.00011557390515000001	0.00011557390515000001	1.0	4	70.6	6.9390740740000005
AB04	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	4	70.6	6.9390740740000005
AB04	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.00017187365475	0.00017187365475	1.0	4	70.6	6.9390740740000005
AB04	n_fix	Nitrogen	Nitrogen fixation	0.0	0.0	0.0	4	70.6	6.9390740740000005
AB04	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	1.6952473911750002e-05	1.6952473911750002e-05	1.0	4	70.6	6.9390740740000005
AB04	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	2.5908594970166667e-05	2.5908594970166667e-05	1.0	4	70.6	6.9390740740000005
AB04	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	6.624492269499999e-05	6.624492269499999e-05	1.0	4	70.6	6.9390740740000005
AB04	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	2.0583876585e-05	2.0583876585e-05	1.0	4	70.6	6.9390740740000005
AB04	phs	Sulfur	Thiosulfate/polysulfide reduction	3.980690658333333e-05	0.0	0.0	4	70.6	6.9390740740000005
AB04	rtca	Carbon	Reverse TCA fixation	4.1411057e-06	4.1411057e-06	1.0	4	70.6	6.9390740740000005
AB04	sox	Sulfur	Thiosulfate oxidation by Sox	4.53481988927e-05	4.53481988927e-05	1.0	4	70.6	6.9390740740000005
AB04	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	9.124476173975e-05	9.124476173975e-05	1.0	4	70.6	6.9390740740000005
AB04	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	4	70.6	6.9390740740000005
AB04	three_hp	Carbon	3-hydroxypropionate bicycle	7.0459044015e-07	7.0459044015e-07	0.75	4	70.6	6.9390740740000005
AB04	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	7.592268259e-05	7.592268259e-05	1.0	4	70.6	6.9390740740000005
AB07	anammox	Nitrogen	Anaerobic ammonium oxidation	3.356697021833334e-05	0.0	0.0	6	52.5	7.220000000000001
AB07	cbb	Carbon	Calvin-Benson-Bassham fixation	4.1676672740000004e-05	4.1676672740000004e-05	1.0	6	52.5	7.220000000000001
AB07	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	4.2290216598333334e-06	4.2290216598333334e-06	1.0	6	52.5	7.220000000000001
AB07	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	4.5341027174175004e-05	4.5341027174175004e-05	1.0	6	52.5	7.220000000000001
AB07	dsr	Sulfur	DsrAB sulfite/sulfide axis	7.9962327775e-06	7.9962327775e-06	1.0	6	52.5	7.220000000000001
AB07	hao	Nitrogen	Hydroxylamine oxidation	4.576672081e-05	4.576672081e-05	1.0	6	52.5	7.220000000000001
AB07	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	6	52.5	7.220000000000001
AB07	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	8.699003036e-05	8.699003036e-05	1.0	6	52.5	7.220000000000001
AB07	n_fix	Nitrogen	Nitrogen fixation	5.3152597265e-05	5.3152597265e-05	0.8333333333333334	6	52.5	7.220000000000001
AB07	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	1.95971266125e-06	0.0	0.0	6	52.5	7.220000000000001
AB07	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	3.3470957385000003e-06	0.0	0.0	6	52.5	7.220000000000001
AB07	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.00010070091065500001	0.00010070091065500001	1.0	6	52.5	7.220000000000001
AB07	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	5.972328114250001e-06	5.972328114250001e-06	1.0	6	52.5	7.220000000000001
AB07	phs	Sulfur	Thiosulfate/polysulfide reduction	5.535760418333333e-06	0.0	0.0	6	52.5	7.220000000000001
AB07	rtca	Carbon	Reverse TCA fixation	8.0734954775e-07	0.0	0.0	6	52.5	7.220000000000001
AB07	sox	Sulfur	Thiosulfate oxidation by Sox	1.30622114817e-05	1.30622114817e-05	1.0	6	52.5	7.220000000000001
AB07	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	6.883847427427501e-05	6.883847427427501e-05	1.0	6	52.5	7.220000000000001
AB07	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	6	52.5	7.220000000000001
AB07	three_hp	Carbon	3-hydroxypropionate bicycle	4.615809894333333e-05	4.615809894333333e-05	0.8333333333333334	6	52.5	7.220000000000001
AB07	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	2.4120776513999998e-05	1.22620206376e-05	0.8333333333333334	6	52.5	7.220000000000001
AB08	anammox	Nitrogen	Anaerobic ammonium oxidation	9.82756092075e-06	0.0	0.0	10	53.150000000000006	7.822222222
AB08	cbb	Carbon	Calvin-Benson-Bassham fixation	5.985792529e-05	5.985792529e-05	1.0	10	53.150000000000006	7.822222222
AB08	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	7.056894701666666e-08	0.0	0.0	10	53.150000000000006	7.822222222
AB08	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	3.8045738373175e-05	3.8045738373175e-05	1.0	10	53.150000000000006	7.822222222
AB08	dsr	Sulfur	DsrAB sulfite/sulfide axis	7.3135514775e-06	7.3135514775e-06	0.8	10	53.150000000000006	7.822222222
AB08	hao	Nitrogen	Hydroxylamine oxidation	1.9055798425e-05	1.9055798425e-05	1.0	10	53.150000000000006	7.822222222
AB08	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	10	53.150000000000006	7.822222222
AB08	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	4.9583516685000004e-05	4.9583516685000004e-05	1.0	10	53.150000000000006	7.822222222
AB08	n_fix	Nitrogen	Nitrogen fixation	3.9613482098333336e-05	3.9613482098333336e-05	0.8	10	53.150000000000006	7.822222222
AB08	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	2.41564313375e-06	2.41564313375e-06	0.7	10	53.150000000000006	7.822222222
AB08	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	5.299951524616667e-06	5.299951524616667e-06	0.7	10	53.150000000000006	7.822222222
AB08	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	2.948268276225e-05	2.948268276225e-05	1.0	10	53.150000000000006	7.822222222
AB08	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	1.4316921780875001e-05	1.2717111543875001e-05	0.7	10	53.150000000000006	7.822222222
AB08	phs	Sulfur	Thiosulfate/polysulfide reduction	8.013707045000001e-06	0.0	0.0	10	53.150000000000006	7.822222222
AB08	rtca	Carbon	Reverse TCA fixation	2.9142517324149996e-06	0.0	0.4	10	53.150000000000006	7.822222222
AB08	sox	Sulfur	Thiosulfate oxidation by Sox	1.3214834065599999e-05	1.3214834065599999e-05	1.0	10	53.150000000000006	7.822222222
AB08	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	8.281439736899999e-05	8.281439736899999e-05	0.8	10	53.150000000000006	7.822222222
AB08	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	10	53.150000000000006	7.822222222
AB08	three_hp	Carbon	3-hydroxypropionate bicycle	3.1729889916666664e-05	3.1729889916666664e-05	0.9	10	53.150000000000006	7.822222222
AB08	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	6.303233234599999e-06	6.303233234599999e-06	0.8	10	53.150000000000006	7.822222222
AB09	anammox	Nitrogen	Anaerobic ammonium oxidation	7.283017524333334e-06	0.0	0.0	5	44.2	7.73
AB09	cbb	Carbon	Calvin-Benson-Bassham fixation	4.0599506675e-05	4.0599506675e-05	1.0	5	44.2	7.73
AB09	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	4.797594868666667e-07	0.0	0.4	5	44.2	7.73
AB09	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	1.4516792794999999e-05	1.4516792794999999e-05	1.0	5	44.2	7.73
AB09	dsr	Sulfur	DsrAB sulfite/sulfide axis	2.156907748e-06	2.156907748e-06	0.6	5	44.2	7.73
AB09	hao	Nitrogen	Hydroxylamine oxidation	7.838955792e-06	7.838955792e-06	0.8	5	44.2	7.73
AB09	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	5	44.2	7.73
AB09	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	4.360032909e-05	4.360032909e-05	1.0	5	44.2	7.73
AB09	n_fix	Nitrogen	Nitrogen fixation	4.51709986e-05	4.51709986e-05	1.0	5	44.2	7.73
AB09	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	1.948696188e-07	0.0	0.2	5	44.2	7.73
AB09	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	3.3819565333333335e-06	0.0	0.2	5	44.2	7.73
AB09	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	2.1849052573e-05	2.1849052573e-05	1.0	5	44.2	7.73
AB09	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	4.69859788275e-06	4.69859788275e-06	0.6	5	44.2	7.73
AB09	phs	Sulfur	Thiosulfate/polysulfide reduction	3.5250097433333333e-06	0.0	0.0	5	44.2	7.73
AB09	rtca	Carbon	Reverse TCA fixation	1.068682496e-06	0.0	0.4	5	44.2	7.73
AB09	sox	Sulfur	Thiosulfate oxidation by Sox	3.2269869084000004e-06	0.0	0.4	5	44.2	7.73
AB09	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	8.904487031174999e-05	8.904487031174999e-05	0.6	5	44.2	7.73
AB09	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	5	44.2	7.73
AB09	three_hp	Carbon	3-hydroxypropionate bicycle	6.9886134695e-05	6.9886134695e-05	1.0	5	44.2	7.73
AB09	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	3.9461682819999995e-06	3.9461682819999995e-06	0.6	5	44.2	7.73
AB11	anammox	Nitrogen	Anaerobic ammonium oxidation	1.661307844666667e-05	0.0	0.0	18	71.15	7.07
AB11	cbb	Carbon	Calvin-Benson-Bassham fixation	4.3388471534999996e-05	4.3388471534999996e-05	1.0	18	71.15	7.07
AB11	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	1.2622816056666666e-06	1.0415485360999999e-06	0.7777777777777778	18	71.15	7.07
AB11	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	3.9796425867490005e-05	3.9796425867490005e-05	1.0	18	71.15	7.07
AB11	dsr	Sulfur	DsrAB sulfite/sulfide axis	5.78805564365e-07	2.255753645075e-07	0.5555555555555556	18	71.15	7.07
AB11	hao	Nitrogen	Hydroxylamine oxidation	2.1965091505e-05	2.1965091505e-05	1.0	18	71.15	7.07
AB11	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	18	71.15	7.07
AB11	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	6.637364851e-05	6.637364851e-05	1.0	18	71.15	7.07
AB11	n_fix	Nitrogen	Nitrogen fixation	8.094844908999999e-07	0.0	0.4444444444444444	18	71.15	7.07
AB11	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	1.002204151e-05	1.002204151e-05	1.0	18	71.15	7.07
AB11	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	1.032616184625e-05	1.032616184625e-05	0.8333333333333334	18	71.15	7.07
AB11	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	4.9839235340000005e-05	4.9839235340000005e-05	1.0	18	71.15	7.07
AB11	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	9.199467304250002e-06	9.199467304250002e-06	0.8333333333333334	18	71.15	7.07
AB11	phs	Sulfur	Thiosulfate/polysulfide reduction	1.5403760483333334e-05	0.0	0.0	18	71.15	7.07
AB11	rtca	Carbon	Reverse TCA fixation	1.5531473491e-06	0.0	0.4444444444444444	18	71.15	7.07
AB11	sox	Sulfur	Thiosulfate oxidation by Sox	1.8026925942400004e-05	1.8026925942400004e-05	0.9444444444444444	18	71.15	7.07
AB11	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	8.8682325068475e-05	8.187146517135e-05	0.7777777777777778	18	71.15	7.07
AB11	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	18	71.15	7.07
AB11	three_hp	Carbon	3-hydroxypropionate bicycle	2.0932921909166668e-05	2.0932921909166668e-05	0.6111111111111112	18	71.15	7.07
AB11	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	7.1214761096e-06	4.22682007679e-06	0.6666666666666666	18	71.15	7.07
AB20	anammox	Nitrogen	Anaerobic ammonium oxidation	2.67147557555e-05	0.0	0.0	4	26.5	5.962037037
AB20	cbb	Carbon	Calvin-Benson-Bassham fixation	0.000121639124245	0.000121639124245	1.0	4	26.5	5.962037037
AB20	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	7.4837891275e-06	7.4837891275e-06	1.0	4	26.5	5.962037037
AB20	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	3.97357906245e-05	3.97357906245e-05	1.0	4	26.5	5.962037037
AB20	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.00010978526731	0.00010978526731	1.0	4	26.5	5.962037037
AB20	hao	Nitrogen	Hydroxylamine oxidation	4.0611010254999996e-05	4.0611010254999996e-05	1.0	4	26.5	5.962037037
AB20	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	4	26.5	5.962037037
AB20	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	7.1852481585e-06	7.1852481585e-06	1.0	4	26.5	5.962037037
AB20	n_fix	Nitrogen	Nitrogen fixation	1.2033329007666666e-05	1.2033329007666666e-05	1.0	4	26.5	5.962037037
AB20	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.00011234931795500001	0.00011234931795500001	1.0	4	26.5	5.962037037
AB20	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.00020630065367916668	0.00020630065367916668	1.0	4	26.5	5.962037037
AB20	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	8.01442672665e-05	8.01442672665e-05	1.0	4	26.5	5.962037037
AB20	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.000220687899475	0.000220687899475	1.0	4	26.5	5.962037037
AB20	phs	Sulfur	Thiosulfate/polysulfide reduction	6.904971771666665e-05	0.0	0.0	4	26.5	5.962037037
AB20	rtca	Carbon	Reverse TCA fixation	6.395595235e-06	0.0	0.0	4	26.5	5.962037037
AB20	sox	Sulfur	Thiosulfate oxidation by Sox	0.000149421769733	0.000149421769733	1.0	4	26.5	5.962037037
AB20	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.00016992885213125002	0.00016992885213125002	1.0	4	26.5	5.962037037
AB20	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	4	26.5	5.962037037
AB20	three_hp	Carbon	3-hydroxypropionate bicycle	1.4552230991666665e-06	0.0	0.0	4	26.5	5.962037037
AB20	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	2.8998340447e-05	2.8998340447e-05	1.0	4	26.5	5.962037037
AB22	anammox	Nitrogen	Anaerobic ammonium oxidation	9.567670574166667e-06	0.0	0.0	24	46.0	7.515000000000001
AB22	cbb	Carbon	Calvin-Benson-Bassham fixation	5.67095037525e-05	5.67095037525e-05	1.0	24	46.0	7.515000000000001
AB22	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0	0.0	0.2916666666666667	24	46.0	7.515000000000001
AB22	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	4.21250099675e-05	4.21250099675e-05	1.0	24	46.0	7.515000000000001
AB22	dsr	Sulfur	DsrAB sulfite/sulfide axis	1.2083324981500001e-05	1.2083324981500001e-05	0.9583333333333334	24	46.0	7.515000000000001
