ThresholdPctExclusive	ThresholdLabel	Infant	InfantPair	TimePoint	Mother	MotherPair	MatchedPair	InfantDetectedSpecies	MotherDetectedSpecies	SharedSpecies	JaccardSimilarity
0.01	>0.01%	MV_FEI3_t1Q14	3	T1	MV_FEM2_t1Q14	2	False	21	62	7	0.09210526
0.01	>0.01%	MV_FEI3_t1Q14	3	T1	MV_FEM3_t1Q14	3	True	21	67	4	0.04761905
0.01	>0.01%	MV_FEI3_t1Q14	3	T1	MV_FEM4_t1Q14	4	False	21	44	5	0.08333333
0.01	>0.01%	MV_FEI3_t1Q14	3	T1	MV_FEM5_t1Q14	5	False	21	60	3	0.03846154
0.01	>0.01%	MV_FEI4_t1Q14	4	T1	MV_FEM1_t1Q14	1	False	9	51	2	0.03448276
0.01	>0.01%	MV_FEI4_t1Q14	4	T1	MV_FEM2_t1Q14	2	False	9	62	4	0.05970149
0.01	>0.01%	MV_FEI4_t1Q14	4	T1	MV_FEM3_t1Q14	3	False	9	67	3	0.04109589
0.01	>0.01%	MV_FEI4_t1Q14	4	T1	MV_FEM4_t1Q14	4	True	9	44	4	0.08163265
0.01	>0.01%	MV_FEI4_t1Q14	4	T1	MV_FEM5_t1Q14	5	False	9	60	2	0.02985075
0.01	>0.01%	MV_FEI4_t2F15	4	T2	MV_FEM4_t2F15	4	True	20	47	5	0.08064516
0.01	>0.01%	MV_FEI4_t2F15	4	T2	MV_FEM5_t2Q14	5	False	20	51	2	0.02898551
0.01	>0.01%	MV_FEI5_t1Q14	5	T1	MV_FEM1_t1Q14	1	False	20	51	1	0.01428571
0.01	>0.01%	MV_FEI5_t1Q14	5	T1	MV_FEM2_t1Q14	2	False	20	62	5	0.06493506
0.01	>0.01%	MV_FEI5_t1Q14	5	T1	MV_FEM3_t1Q14	3	False	20	67	3	0.03571429
0.01	>0.01%	MV_FEI5_t1Q14	5	T1	MV_FEM4_t1Q14	4	False	20	44	5	0.08474576
0.01	>0.01%	MV_FEI5_t1Q14	5	T1	MV_FEM5_t1Q14	5	True	20	60	3	0.03896104
0.01	>0.01%	MV_FEI5_t2Q14	5	T2	MV_FEM4_t2F15	4	False	34	47	11	0.15714286
0.01	>0.01%	MV_FEI5_t2Q14	5	T2	MV_FEM5_t2Q14	5	True	34	51	14	0.1971831
0.01	>0.01%	MV_FEI5_t3Q15	5	T3	MV_FEM5_t3Q15	5	True	37	70	26	0.32098765
0.1	>0.1%	MV_FEI1_t1Q14	1	T1	MV_FEM1_t1Q14	1	True	18	29	1	0.02173913
0.1	>0.1%	MV_FEI1_t1Q14	1	T1	MV_FEM2_t1Q14	2	False	18	43	2	0.03389831
0.1	>0.1%	MV_FEI1_t1Q14	1	T1	MV_FEM3_t1Q14	3	False	18	39	2	0.03636364
0.1	>0.1%	MV_FEI1_t1Q14	1	T1	MV_FEM4_t1Q14	4	False	18	30	6	0.14285714
0.1	>0.1%	MV_FEI1_t1Q14	1	T1	MV_FEM5_t1Q14	5	False	18	36	2	0.03846154
0.1	>0.1%	MV_FEI2_t1Q14	2	T1	MV_FEM1_t1Q14	1	False	7	29	1	0.02857143
0.1	>0.1%	MV_FEI2_t1Q14	2	T1	MV_FEM2_t1Q14	2	True	7	43	2	0.04166667
0.1	>0.1%	MV_FEI2_t1Q14	2	T1	MV_FEM3_t1Q14	3	False	7	39	0	0.0
0.1	>0.1%	MV_FEI2_t1Q14	2	T1	MV_FEM4_t1Q14	4	False	7	30	2	0.05714286
0.1	>0.1%	MV_FEI2_t1Q14	2	T1	MV_FEM5_t1Q14	5	False	7	36	1	0.02380952
0.1	>0.1%	MV_FEI3_t1Q14	3	T1	MV_FEM1_t1Q14	1	False	15	29	1	0.02325581
0.1	>0.1%	MV_FEI3_t1Q14	3	T1	MV_FEM2_t1Q14	2	False	15	43	3	0.05454545
0.1	>0.1%	MV_FEI3_t1Q14	3	T1	MV_FEM3_t1Q14	3	True	15	39	1	0.01886792
0.1	>0.1%	MV_FEI3_t1Q14	3	T1	MV_FEM4_t1Q14	4	False	15	30	5	0.125
0.1	>0.1%	MV_FEI3_t1Q14	3	T1	MV_FEM5_t1Q14	5	False	15	36	1	0.02
0.1	>0.1%	MV_FEI4_t1Q14	4	T1	MV_FEM1_t1Q14	1	False	8	29	1	0.02777778
0.1	>0.1%	MV_FEI4_t1Q14	4	T1	MV_FEM2_t1Q14	2	False	8	43	2	0.04081633
0.1	>0.1%	MV_FEI4_t1Q14	4	T1	MV_FEM3_t1Q14	3	False	8	39	2	0.04444444
0.1	>0.1%	MV_FEI4_t1Q14	4	T1	MV_FEM4_t1Q14	4	True	8	30	4	0.11764706
0.1	>0.1%	MV_FEI4_t1Q14	4	T1	MV_FEM5_t1Q14	5	False	8	36	0	0.0
0.1	>0.1%	MV_FEI4_t2F15	4	T2	MV_FEM4_t2F15	4	True	14	26	2	0.05263158
0.1	>0.1%	MV_FEI4_t2F15	4	T2	MV_FEM5_t2Q14	5	False	14	36	1	0.02040816
0.1	>0.1%	MV_FEI5_t1Q14	5	T1	MV_FEM1_t1Q14	1	False	15	29	0	0.0
0.1	>0.1%	MV_FEI5_t1Q14	5	T1	MV_FEM2_t1Q14	2	False	15	43	1	0.01754386
0.1	>0.1%	MV_FEI5_t1Q14	5	T1	MV_FEM3_t1Q14	3	False	15	39	2	0.03846154
0.1	>0.1%	MV_FEI5_t1Q14	5	T1	MV_FEM4_t1Q14	4	False	15	30	3	0.07142857
0.1	>0.1%	MV_FEI5_t1Q14	5	T1	MV_FEM5_t1Q14	5	True	15	36	1	0.02
0.1	>0.1%	MV_FEI5_t2Q14	5	T2	MV_FEM4_t2F15	4	False	20	26	3	0.06976744
0.1	>0.1%	MV_FEI5_t2Q14	5	T2	MV_FEM5_t2Q14	5	True	20	36	8	0.16666667
0.1	>0.1%	MV_FEI5_t3Q15	5	T3	MV_FEM5_t3Q15	5	True	26	51	18	0.30508475
1.0	>1%	MV_FEI1_t1Q14	1	T1	MV_FEM1_t1Q14	1	True	7	6	0	0.0
1.0	>1%	MV_FEI1_t1Q14	1	T1	MV_FEM2_t1Q14	2	False	7	17	1	0.04347826
1.0	>1%	MV_FEI1_t1Q14	1	T1	MV_FEM3_t1Q14	3	False	7	13	0	0.0
1.0	>1%	MV_FEI1_t1Q14	1	T1	MV_FEM4_t1Q14	4	False	7	10	0	0.0
1.0	>1%	MV_FEI1_t1Q14	1	T1	MV_FEM5_t1Q14	5	False	7	13	0	0.0
1.0	>1%	MV_FEI2_t1Q14	2	T1	MV_FEM1_t1Q14	1	False	4	6	0	0.0
1.0	>1%	MV_FEI2_t1Q14	2	T1	MV_FEM2_t1Q14	2	True	4	17	0	0.0
1.0	>1%	MV_FEI2_t1Q14	2	T1	MV_FEM3_t1Q14	3	False	4	13	0	0.0
1.0	>1%	MV_FEI2_t1Q14	2	T1	MV_FEM4_t1Q14	4	False	4	10	0	0.0
1.0	>1%	MV_FEI2_t1Q14	2	T1	MV_FEM5_t1Q14	5	False	4	13	0	0.0
1.0	>1%	MV_FEI3_t1Q14	3	T1	MV_FEM1_t1Q14	1	False	3	6	0	0.0
1.0	>1%	MV_FEI3_t1Q14	3	T1	MV_FEM2_t1Q14	2	False	3	17	1	0.05263158
1.0	>1%	MV_FEI3_t1Q14	3	T1	MV_FEM3_t1Q14	3	True	3	13	0	0.0
1.0	>1%	MV_FEI3_t1Q14	3	T1	MV_FEM4_t1Q14	4	False	3	10	0	0.0
1.0	>1%	MV_FEI3_t1Q14	3	T1	MV_FEM5_t1Q14	5	False	3	13	0	0.0
1.0	>1%	MV_FEI4_t1Q14	4	T1	MV_FEM1_t1Q14	1	False	4	6	0	0.0
1.0	>1%	MV_FEI4_t1Q14	4	T1	MV_FEM2_t1Q14	2	False	4	17	2	0.10526316
1.0	>1%	MV_FEI4_t1Q14	4	T1	MV_FEM3_t1Q14	3	False	4	13	1	0.0625
1.0	>1%	MV_FEI4_t1Q14	4	T1	MV_FEM4_t1Q14	4	True	4	10	1	0.07692308
1.0	>1%	MV_FEI4_t1Q14	4	T1	MV_FEM5_t1Q14	5	False	4	13	0	0.0
1.0	>1%	MV_FEI4_t2F15	4	T2	MV_FEM4_t2F15	4	True	9	7	1	0.06666667
1.0	>1%	MV_FEI4_t2F15	4	T2	MV_FEM5_t2Q14	5	False	9	23	0	0.0
1.0	>1%	MV_FEI5_t1Q14	5	T1	MV_FEM1_t1Q14	1	False	4	6	0	0.0
1.0	>1%	MV_FEI5_t1Q14	5	T1	MV_FEM2_t1Q14	2	False	4	17	0	0.0
1.0	>1%	MV_FEI5_t1Q14	5	T1	MV_FEM3_t1Q14	3	False	4	13	0	0.0
1.0	>1%	MV_FEI5_t1Q14	5	T1	MV_FEM4_t1Q14	4	False	4	10	0	0.0
1.0	>1%	MV_FEI5_t1Q14	5	T1	MV_FEM5_t1Q14	5	True	4	13	0	0.0
1.0	>1%	MV_FEI5_t2Q14	5	T2	MV_FEM4_t2F15	4	False	9	7	0	0.0
1.0	>1%	MV_FEI5_t2Q14	5	T2	MV_FEM5_t2Q14	5	True	9	23	1	0.03225806
1.0	>1%	MV_FEI5_t3Q15	5	T3	MV_FEM5_t3Q15	5	True	10	19	4	0.16
