BranchID	DatabaseID	ControlID	Confidence	MinimumHitGroups	BrackenReadLength	PrimaryMatrix	HitGroupMatrix	Tool	Outcome	WallSeconds	MaxRSSMiB	UserSeconds	SystemSeconds	ExitStatus
standard16-mock-c005-h2	standard16	mock	0.05	2	150	Yes	No	Kraken2	classified	14.13	15578.32421875	2.94	13.13	0
standard16-mock-c005-h2	standard16	mock	0.05	2	150	Yes	No	Bracken	estimated	0.25	23.03515625	0.22	0.02	0
standard16-human-c005-h2	standard16	human	0.05	2	100	Yes	No	Kraken2	classified	12.83	15320.53125	0.32	12.65	0
standard16-human-c005-h2	standard16	human	0.05	2	100	Yes	No	Bracken	estimated	0.26	24.1875	0.23	0.02	0
standard16-mock-c010-h2	standard16	mock	0.10	2	150	Yes	Yes	Kraken2	classified	13.79	15578.0390625	2.92	12.83	0
standard16-mock-c010-h2	standard16	mock	0.10	2	150	Yes	Yes	Bracken	estimated	0.25	23.015625	0.23	0.02	0
standard16-human-c010-h2	standard16	human	0.10	2	100	Yes	Yes	Kraken2	classified	12.85	15321.02734375	0.34	12.63	0
standard16-human-c010-h2	standard16	human	0.10	2	100	Yes	Yes	Bracken	estimated	0.25	23.625	0.23	0.02	0
standard16-mock-c020-h2	standard16	mock	0.20	2	150	Yes	No	Kraken2	classified	13.77	15562.84375	2.8	12.85	0
standard16-mock-c020-h2	standard16	mock	0.20	2	150	Yes	No	Bracken	estimated	0.25	22.515625	0.24	0.01	0
standard16-human-c020-h2	standard16	human	0.20	2	100	Yes	No	Kraken2	classified	11.44	15315.9140625	0.32	11.23	0
standard16-human-c020-h2	standard16	human	0.20	2	100	Yes	No	Bracken	no_eligible_species_above_threshold	0.25	23.625	0.24	0.01	1
standard16-mock-c050-h2	standard16	mock	0.50	2	150	Yes	No	Kraken2	classified	13.81	15563.52734375	2.68	12.98	0
standard16-mock-c050-h2	standard16	mock	0.50	2	150	Yes	No	Bracken	no_eligible_species_above_threshold	0.24	23.0625	0.21	0.02	1
standard16-human-c050-h2	standard16	human	0.50	2	100	Yes	No	Kraken2	classified	12.79	15315.2109375	0.31	12.6	0
standard16-human-c050-h2	standard16	human	0.50	2	100	Yes	No	Bracken	no_eligible_species_above_threshold	0.26	23.625	0.24	0.02	1
pluspf8-mock-c000-h2	pluspf8	mock	0.0	2	150	Yes	No	Kraken2	classified	6.62	7936.2578125	2.42	5.86	0
pluspf8-mock-c000-h2	pluspf8	mock	0.0	2	150	Yes	No	Bracken	estimated	0.27	24.1875	0.24	0.02	0
pluspf8-human-c000-h2	pluspf8	human	0.0	2	100	Yes	No	Kraken2	classified	6.07	7688.75	0.31	5.85	0
pluspf8-human-c000-h2	pluspf8	human	0.0	2	100	Yes	No	Bracken	estimated	0.26	24.1328125	0.23	0.02	0
pluspf8-mock-c005-h2	pluspf8	mock	0.05	2	150	Yes	No	Kraken2	classified	7.55	7936.328125	2.41	6.74	0
pluspf8-mock-c005-h2	pluspf8	mock	0.05	2	150	Yes	No	Bracken	estimated	0.27	24.16015625	0.24	0.02	0
pluspf8-human-c005-h2	pluspf8	human	0.05	2	100	Yes	No	Kraken2	classified	6.56	7689.1640625	0.29	6.36	0
pluspf8-human-c005-h2	pluspf8	human	0.05	2	100	Yes	No	Bracken	estimated	0.27	23.57421875	0.24	0.02	0
pluspf8-mock-c010-h2	pluspf8	mock	0.10	2	150	Yes	No	Kraken2	classified	7.5	7935.9296875	2.43	6.58	0
pluspf8-mock-c010-h2	pluspf8	mock	0.10	2	150	Yes	No	Bracken	estimated	0.27	24.12890625	0.25	0.02	0
pluspf8-human-c010-h2	pluspf8	human	0.10	2	100	Yes	No	Kraken2	classified	6.52	7685.14453125	0.29	6.33	0
pluspf8-human-c010-h2	pluspf8	human	0.10	2	100	Yes	No	Bracken	estimated	0.26	24.125	0.23	0.02	0
pluspf8-mock-c020-h2	pluspf8	mock	0.20	2	150	Yes	No	Kraken2	classified	7.5	7932.4140625	2.36	6.67	0
pluspf8-mock-c020-h2	pluspf8	mock	0.20	2	150	Yes	No	Bracken	no_eligible_species_above_threshold	0.25	23.484375	0.23	0.02	1
pluspf8-human-c020-h2	pluspf8	human	0.20	2	100	Yes	No	Kraken2	classified	6.67	7685.04296875	0.32	6.46	0
pluspf8-human-c020-h2	pluspf8	human	0.20	2	100	Yes	No	Bracken	no_eligible_species_above_threshold	0.26	24.1328125	0.23	0.02	1
pluspf8-mock-c050-h2	pluspf8	mock	0.50	2	150	Yes	No	Kraken2	classified	7.44	7931.859375	2.31	6.65	0
pluspf8-mock-c050-h2	pluspf8	mock	0.50	2	150	Yes	No	Bracken	no_eligible_species_above_threshold	0.26	23.625	0.23	0.02	1
pluspf8-human-c050-h2	pluspf8	human	0.50	2	100	Yes	No	Kraken2	classified	6.51	7687.12890625	0.28	6.32	0
pluspf8-human-c050-h2	pluspf8	human	0.50	2	100	Yes	No	Bracken	no_eligible_species_above_threshold	0.26	23.55859375	0.23	0.03	1
standard16-mock-c010-h1	standard16	mock	0.10	1	150	No	Yes	Kraken2	classified	13.84	15577.125	2.89	12.85	0
standard16-mock-c010-h1	standard16	mock	0.10	1	150	No	Yes	Bracken	estimated	0.26	23.015625	0.23	0.02	0
standard16-human-c010-h1	standard16	human	0.10	1	100	No	Yes	Kraken2	classified	12.74	15321.203125	0.33	12.52	0
standard16-human-c010-h1	standard16	human	0.10	1	100	No	Yes	Bracken	estimated	0.26	23.625	0.25	0.01	0
standard16-mock-c010-h3	standard16	mock	0.10	3	150	No	Yes	Kraken2	classified	13.83	15578.60546875	2.91	12.81	0
standard16-mock-c010-h3	standard16	mock	0.10	3	150	No	Yes	Bracken	estimated	0.25	23.01171875	0.23	0.02	0
standard16-human-c010-h3	standard16	human	0.10	3	100	No	Yes	Kraken2	classified	12.76	15320.6484375	0.32	12.55	0
standard16-human-c010-h3	standard16	human	0.10	3	100	No	Yes	Bracken	estimated	0.26	23.625	0.23	0.02	0
standard16-mock-c010-h4	standard16	mock	0.10	4	150	No	Yes	Kraken2	classified	13.79	15578.0390625	2.87	12.81	0
standard16-mock-c010-h4	standard16	mock	0.10	4	150	No	Yes	Bracken	estimated	0.25	23.015625	0.23	0.02	0
standard16-human-c010-h4	standard16	human	0.10	4	100	No	Yes	Kraken2	classified	12.93	15322.3515625	0.33	12.73	0
standard16-human-c010-h4	standard16	human	0.10	4	100	No	Yes	Bracken	estimated	0.26	24.1875	0.23	0.02	0
