BranchID	DatabaseID	ControlID	Confidence	MinimumHitGroups	BrackenReadLength	PrimaryMatrix	HitGroupMatrix	InputFragments	ClassifiedFragments	UnclassifiedFragments	ClassifiedFraction	SpeciesResolvedFragments	SpeciesResolvedFraction	DetectedSpecies	BrackenSpecies	BrackenEstimatedFragments	BrackenOutcome	HumanCladeFragments	HumanCompatibleAncestorFragments
standard16-mock-c010-h2	standard16	mock	0.10	2	150	Yes	Yes	99991	65882	34109	0.6588792991369223	31766	0.3176885919732776	63	49	61591	estimated	1	237
standard16-human-c010-h2	standard16	human	0.10	2	100	Yes	Yes	20000	10728	9272	0.5364	70	0.0035	2	1	10727	estimated	69	10658
standard16-mock-c020-h2	standard16	mock	0.20	2	150	Yes	No	99991	7519	92472	0.07519676770909382	2872	0.028722585032652938	52	34	6517	estimated	0	82
standard16-human-c020-h2	standard16	human	0.20	2	100	Yes	No	20000	1382	18618	0.0691	4	0.0002	1	0	0	no_eligible_species_above_threshold	4	1378
standard16-mock-c050-h2	standard16	mock	0.50	2	150	Yes	No	99991	0	99991	0.0	0	0.0	0	0	0	no_eligible_species_above_threshold	0	0
standard16-human-c050-h2	standard16	human	0.50	2	100	Yes	No	20000	0	20000	0.0	0	0.0	0	0	0	no_eligible_species_above_threshold	0	0
pluspf8-mock-c000-h2	pluspf8	mock	0.0	2	150	Yes	No	99991	85224	14767	0.8523167085037653	59177	0.5918232640937684	218	63	82938	estimated	7	48
pluspf8-human-c000-h2	pluspf8	human	0.0	2	100	Yes	No	20000	12832	7168	0.6416	5909	0.29545	2	1	12830	estimated	5908	6922
pluspf8-mock-c005-h2	pluspf8	mock	0.05	2	150	Yes	No	99991	55291	44700	0.5529597663789741	27911	0.2791351221609945	62	50	51762	estimated	0	232
pluspf8-human-c005-h2	pluspf8	human	0.05	2	100	Yes	No	20000	8502	11498	0.4251	43	0.00215	2	1	8501	estimated	42	8459
pluspf8-mock-c010-h2	pluspf8	mock	0.10	2	150	Yes	No	99991	10867	89124	0.10867978118030623	4610	0.04610414937344361	50	39	9587	estimated	0	111
pluspf8-human-c010-h2	pluspf8	human	0.10	2	100	Yes	No	20000	740	19260	0.037	13	0.00065	1	1	740	estimated	13	727
pluspf8-mock-c020-h2	pluspf8	mock	0.20	2	150	Yes	No	99991	28	99963	0.00028002520226820413	9	9.000810072906561e-05	8	0	0	no_eligible_species_above_threshold	0	0
pluspf8-human-c020-h2	pluspf8	human	0.20	2	100	Yes	No	20000	5	19995	0.00025	3	0.00015	1	0	0	no_eligible_species_above_threshold	3	2
pluspf8-mock-c050-h2	pluspf8	mock	0.50	2	150	Yes	No	99991	0	99991	0.0	0	0.0	0	0	0	no_eligible_species_above_threshold	0	0
pluspf8-human-c050-h2	pluspf8	human	0.50	2	100	Yes	No	20000	0	20000	0.0	0	0.0	0	0	0	no_eligible_species_above_threshold	0	0
standard16-mock-c010-h1	standard16	mock	0.10	1	150	No	Yes	99991	65883	34108	0.6588893000370033	31766	0.3176885919732776	63	49	61591	estimated	1	237
standard16-human-c010-h1	standard16	human	0.10	1	100	No	Yes	20000	10728	9272	0.5364	70	0.0035	2	1	10727	estimated	69	10658
standard16-mock-c010-h3	standard16	mock	0.10	3	150	No	Yes	99991	65877	34114	0.6588292946365173	31762	0.31764858837295357	63	49	61586	estimated	1	237
standard16-human-c010-h3	standard16	human	0.10	3	100	No	Yes	20000	10728	9272	0.5364	70	0.0035	2	1	10727	estimated	69	10658
standard16-mock-c010-h4	standard16	mock	0.10	4	150	No	Yes	99991	65873	34118	0.6587892910361932	31760	0.3176285865727915	63	49	61583	estimated	1	237
standard16-human-c010-h4	standard16	human	0.10	4	100	No	Yes	20000	10726	9274	0.5363	70	0.0035	2	1	10725	estimated	69	10656
