cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
67	MB008;MB009	MT147;MT106;MT123;MT107;MT120	1.2521482017882552e-05
68	MB028;MB092;MB025;MB091;MB090;MB057;MB077	MT017	1.339419421053502e-05
69	MB165;MB118;MB151	MT126;MT104;MT070;MT081	1.4202862864207906e-05
70	MB153	MT083;MT142;MT150;MT151;MT152;MT006;MT063;MT003;MT078	1.4563723027783484e-05
71	MB003	MT089	1.4563723027783484e-05
72	MB116	MT092;MT072;MT115;MT049;MT062;MT055;MT053;MT048;MT069	1.4790960288795755e-05
73	MB017;MB022;MB021;MB012;MB016;MB011;MB013;MB014;MB010;MB018	MT025	1.4790960288795755e-05
74	MB136	MT042;MT045;MT057;MT131;MT041;MT098;MT136	1.5633645796181594e-05
75	MB032	MT111;MT134;MT105;MT089;MT110;MT054;MT121	1.5851715304565374e-05
76	MB136	MT130;MT146	1.6283216115024978e-05
77	MB087;MB081;MB084;MB076;MB055;MB058	MT009;MT016	1.689311105281729e-05
78	MB154;MB155;MB137;MB142;MB003;MB004;MB163;MB164;MB161;MB162	MT068	1.6899648181983366e-05
79	MB003;MB004;MB163;MB164;MB161;MB162	MT114	1.7069416367773767e-05
80	MB050	MT120	1.7459414294954862e-05
81	MB065;MB048;MB113;MB117;MB114;MB115	MT071	1.7818280656836334e-05
82	MB112	MT060	2.076224649856495e-05
83	MB091;MB090;MB057;MB077	MT006	2.0969018786126607e-05
84	MB008	MT038;MT039	2.1024945732881914e-05
85	MB118	MT118;MT130;MT146	2.1024945732881914e-05
86	MB135;MB165;MB118;MB151	MT032;MT097	2.2045308481363724e-05
87	MB045	MT027;MT035;MT037;MT036;MT038;MT039	2.408595513442835e-05
88	MB019	MT021;MT023;MT083;MT142;MT150;MT151;MT152;MT006;MT063;MT003;MT078	2.408595513442835e-05
89	MB017	MT044	2.408595513442835e-05
90	MB122	MT100;MT090;MT093	2.425745502804031e-05
91	MB124	MT042;MT045;MT057;MT131;MT041;MT098;MT136	2.6778541439966094e-05
92	MB003;MB004;MB163;MB164;MB161;MB162	MT088	2.8471103582699705e-05
93	MB060;MB062;MB089;MB059;MB082	MT044	2.8471103582699705e-05
94	MB038;MB034;MB036	MT104	2.9041891080562204e-05
95	MB019;MB020	MT025	3.083199815169784e-05
96	MB028;MB092;MB025;MB091;MB090;MB057;MB077	MT023	3.2751328890276496e-05
97	MB050	MT011;MT088;MT021;MT023;MT083;MT142;MT150;MT151;MT152;MT006;MT063;MT003;MT078	3.343976902477058e-05
98	MB101	MT038;MT039	3.360652787950234e-05
99	MB113;MB117;MB114;MB115	MT050;MT067	3.40105368914097e-05
100	MB048;MB113;MB117;MB114;MB115	MT001;MT127;MT128	3.4468874323633644e-05
101	MB092	MT090	3.9774799622145843e-05
102	MB092	MT006;MT063;MT003;MT078	3.9967206036392346e-05
103	MB001;MB027	MT148;MT149;MT007;MT012;MT044;MT059	4.038030780570783e-05
104	MB133	MT029	4.051644662700855e-05
105	MB003;MB004	MT021;MT023	4.4772126530591076e-05
106	MB157	MT063;MT003;MT078	4.664469412012863e-05
107	MB028;MB092;MB025;MB091;MB090;MB057;MB077	MT150;MT151;MT152	4.99196596206758e-05
108	MB017;MB022;MB021;MB012;MB016;MB011;MB013	MT105;MT089;MT110;MT054;MT121	5.086654322063621e-05
109	MB055;MB058	MT033	5.1668313994169906e-05
110	MB017;MB022;MB021;MB012;MB016;MB011;MB013;MB014;MB010;MB018	MT084	5.1668313994169906e-05
111	MB035;MB033;MB037	MT150;MT151;MT152;MT006;MT063;MT003;MT078	5.791841591775744e-05
112	MB001	MT068;MT030;MT032;MT097	5.9426365136238224e-05
113	MB133	MT028	6.634226252885014e-05
114	MB116	MT100;MT090;MT093	6.672393001792131e-05
115	MB072;MB086	MT107;MT120	6.672393001792131e-05
116	MB097;MB107;MB132	MT035;MT037	6.756285451838054e-05
117	MB153	MT004;MT043;MT080;MT139;MT084;MT108;MT040;MT066;MT092;MT072;MT115;MT049;MT062;MT055;MT053;MT048;MT069	6.78353569533929e-05
118	MB008;MB009	MT028;MT026;MT029	6.885040173532882e-05
119	MB035;MB033;MB037	MT050;MT067	6.914947000819398e-05
120	MB065;MB048;MB113;MB117;MB114;MB115	MT019	6.956307889496586e-05
121	MB019	MT036	6.956307889496586e-05
122	MB116	MT018;MT009;MT016	7.620482255642143e-05
123	MB019	MT089	7.94806580266281e-05
124	MB092	MT068;MT030;MT032;MT097	8.019135383851774e-05
125	MB152	MT083;MT142;MT150;MT151;MT152;MT006;MT063;MT003;MT078	8.099044710399759e-05
126	MB003;MB004	MT147	8.208442880298732e-05
127	MB065;MB048;MB113;MB117;MB114;MB115	MT118;MT130;MT146	8.236852216759671e-05
128	MB046;MB124	MT118;MT130;MT146	8.702842760545333e-05
129	MB129	MT100;MT090;MT093;MT073;MT103;MT109;MT042;MT045;MT057;MT131;MT041;MT098;MT136	8.74841081939367e-05
130	MB154;MB155;MB137;MB142;MB003;MB004;MB163;MB164;MB161;MB162	MT011	9.036733482546405e-05
131	MB003;MB004;MB163;MB164;MB161;MB162	MT044	9.055291567304212e-05
132	MB035;MB033;MB037;MB032;MB038;MB034;MB036	MT068;MT030;MT032;MT097	9.088208287247589e-05
133	MB054;MB070;MB071	MT026	9.396674720546123e-05
134	MB103	MT049	0.00010286196541230147
135	MB040	MT103;MT109	0.00010467563779494375
136	MB073	MT150;MT151;MT152;MT006;MT063;MT003;MT078	0.00010892181498159918
137	MB116	MT025	0.00010956965273100715
138	MB133	MT108	0.00010960206271804456
139	MB017	MT130;MT146	0.0001109489994272693
140	MB165;MB118;MB151	MT086;MT135	0.00011259679639048315
141	MB151	MT146	0.00011938042368085869
142	MB019	MT019;MT020	0.00012822115331275011
143	MB149	MT130;MT146	0.0001303380868245638
144	MB077	MT011	0.00013557352665679372
145	MB116;MB120;MB122;MB127;MB121;MB125;MB103;MB133;MB098;MB099	MT032;MT097	0.00013823666640503448
146	MB127;MB121;MB125;MB103;MB133;MB098;MB099	MT148;MT149;MT007;MT012;MT044;MT059	0.000139035143864246
147	MB154	MT023	0.0001398867523224976
148	MB047;MB079;MB066;MB073	MT023	0.00014545086778043736
149	MB133	MT049	0.0001477273074387506
150	MB017;MB022;MB021;MB012;MB016;MB011;MB013	MT043	0.0001477273074387506
151	MB165	MT124;MT137;MT052;MT058	0.00015010811653494544
152	MB135;MB165;MB118;MB151	MT071;MT050;MT067	0.00015282658207541765
153	MB091;MB090;MB057;MB077	MT003	0.00015282658207541765
154	MB072;MB086	MT108	0.00015282658207541765
155	MB017;MB022;MB021;MB012;MB016;MB011;MB013	MT092;MT072;MT115;MT049;MT062;MT055;MT053;MT048;MT069	0.00015599970113712184
156	MB092;MB025;MB091;MB090;MB057;MB077	MT044;MT059	0.00016416870748233323
157	MB032	MT086;MT135	0.00016477543673382104
158	MB038	MT070;MT081	0.00016765844352995205
159	MB027	MT100;MT090;MT093;MT073;MT103;MT109;MT042;MT045;MT057;MT131;MT041;MT098;MT136	0.00017454473122697808
160	MB022;MB021;MB012;MB016;MB011;MB013	MT130	0.00017454473122697808
161	MB019;MB020	MT106	0.00018258903285019696
162	MB104	MT149	0.00018258903285019696
163	MB097;MB107;MB132	MT149;MT007;MT012	0.0001831724328286945
164	MB152	MT115	0.00019032734475618268
165	MB034;MB036	MT114	0.00019270713614332258
166	MB154;MB155	MT149;MT007;MT012	0.00019454996899645536
167	MB065;MB048;MB113;MB117;MB114;MB115	MT017	0.00019576033501306233
168	MB116	MT102	0.00019576033501306233
169	MB077	MT101	0.0001962727540434348
170	MB034;MB036	MT102	0.00019975244264803526
171	MB032	MT056	0.00020752325560893252
172	MB053	MT116;MT143;MT099;MT118;MT130;MT146	0.00021249745808970028
173	MB137	MT096;MT124;MT137;MT052;MT058	0.00021593116820399304
174	MB116	MT074	0.00021854456184803962
175	MB006;MB109	MT114	0.00021868057151462782
176	MB111	MT001	0.00022843950260956203
177	MB147	MT032;MT097	0.00022865016728808822
178	MB069;MB096	MT072	0.00022865016728808822
179	MB096	MT149	0.00023466892687524842
180	MB004	MT104	0.00023868718305990864
181	MB116;MB120;MB122	MT060	0.0002392526403411026
182	MB001;MB027	MT123	0.00025160659399583427
183	MB072	MT028;MT026;MT029	0.0002549865202280148
184	MB111	MT031;MT033;MT028;MT026;MT029	0.0002666045669926001
185	MB128;MB123;MB126	MT114	0.0002850625135487386
186	MB135;MB165;MB118;MB151;MB006;MB109	MT027	0.0002861458167884523
187	MB121;MB125	MT104;MT070;MT081	0.00028618874881155193
188	MB046;MB124	MT059	0.00028618874881155193
189	MB001	MT131	0.0002864605665949985
190	MB003;MB004	MT086;MT135	0.000299280934550354
191	MB127;MB121;MB125;MB103;MB133;MB098;MB099	MT051	0.000299280934550354
192	MB040	MT131	0.00029982704028678277
193	MB040	MT026;MT029	0.00030118134432607707
194	MB135;MB165;MB118;MB151	MT051;MT065	0.0003184355870553613
195	MB020	MT019;MT020;MT001;MT127;MT128;MT027;MT035;MT037;MT036;MT038;MT039	0.0003184355870553613
196	MB048;MB113;MB117;MB114;MB115	MT057;MT131;MT041;MT098;MT136	0.0003217266461019793
197	MB003;MB004	MT047	0.00032341366606937683
198	MB025;MB091;MB090;MB057;MB077	MT130	0.00033166600856520745
199	MB120;MB122	MT026	0.00034943996324389426
200	MB059;MB082	MT138	0.000356505964545378
201	MB017	MT080	0.0003568807159831914
202	MB054	MT040;MT066;MT092;MT072;MT115;MT049;MT062;MT055;MT053;MT048;MT069	0.0003572218076354429
203	MB148	MT098	0.00037824266086827296
204	MB153;MB157	MT030;MT032;MT097	0.00038377597947902154
205	MB153	MT073;MT103;MT109	0.0003891541301979244
206	MB035;MB033;MB037	MT103;MT109	0.0003962721358257325
207	MB019;MB020	MT102	0.0004057572178045902
208	MB017	MT102	0.0004063821563054704
209	MB037	MT057	0.00041213583406966197
210	MB133	MT147	0.0004137156396422236
211	MB087;MB081;MB084;MB076;MB055;MB058	MT084	0.0004152315939657969
212	MB022;MB021;MB012;MB016;MB011;MB013	MT131	0.00041722144042578255
213	MB027	MT146	0.00042048851832701814
214	MB157	MT028	0.00042208678915189635
215	MB122	MT007;MT012	0.0004324437015533659
216	MB066;MB073	MT017	0.00043998482129431276
217	MB024	MT027	0.00045216062655504283
218	MB154	MT147	0.0004530574144205783
219	MB121;MB125	MT100;MT090;MT093	0.00045603580551861555
220	MB163	MT101	0.0004596044567657199
221	MB055;MB058	MT025	0.0004597372230928524
222	MB163;MB164;MB161;MB162	MT002	0.0004758677713289823
223	MB133;MB098;MB099	MT090	0.00047964464854875153
224	MB152	MT147;MT106;MT123;MT107;MT120	0.000488723442554515
225	MB045	MT006	0.0004887305174516254
226	MB020	MT049;MT062	0.0004982467688817255
227	MB152	MT026	0.0004992112099469075
228	MB133	MT026	0.0005079826648510555
229	MB046;MB124	MT003	0.0005079826648510555
230	MB164	MT028	0.0005085116825928047
231	MB124	MT102	0.0005169422909515228
232	MB165	MT093	0.0005170992661841389
233	MB074;MB094;MB134;MB097;MB107;MB132	MT006	0.000523677832482416
234	MB066;MB073	MT070	0.000538583822916348
235	MB055;MB058	MT115	0.0005718594266498208
236	MB034;MB036	MT150	0.0005721353066023188
237	MB118;MB151	MT028	0.0005754684389994291
238	MB119;MB130;MB046;MB124;MB105;MB045;MB100	MT023	0.0005933595657818948
239	MB025;MB091;MB090;MB057;MB077	MT099	0.0006017949562939353
240	MB050	MT081	0.0006044551037508628
241	MB049;MB050	MT090	0.0006204996531348551
242	MB120;MB122	MT010	0.0006238929083493867
243	MB114	MT022	0.0006324646113565634
244	MB119	MT112	0.0006324646113565634
245	MB016	MT020	0.000636171159258366
246	MB149	MT123	0.0006451423928563465
247	MB001	MT006	0.0006560977663558915
248	MB101	MT029	0.0006621334282445972
249	MB043	MT059	0.000663329098222301
250	MB084	MT128	0.0006652956537623835
251	MB023;MB136;MB017;MB022;MB021;MB012;MB016;MB011;MB013;MB014;MB010;MB018;MB015;MB019;MB020	MT141	0.0006719172488919243
252	MB033	MT115	0.000677387794303444
253	MB058	MT119	0.0006913865649405587
254	MB098;MB099	MT042;MT045	0.0007002975975482573
255	MB025;MB091;MB090;MB057;MB077	MT098;MT136	0.0007117013792514088
256	MB038;MB034;MB036	MT089	0.0007248529103649177
257	MB050	MT114	0.0007252901982984156
258	MB119	MT073;MT103;MT109;MT042;MT045;MT057;MT131;MT041;MT098;MT136	0.0007280392588912001
259	MB019	MT103;MT109	0.0007310832614050884
260	MB072;MB086	MT104	0.0007372625334522264
261	MB027	MT106	0.000740695076885041
262	MB154;MB155;MB137;MB142	MT086;MT135	0.0007446182892517127
263	MB038	MT126	0.0007483281551945268
264	MB003;MB004	MT100	0.0007487475023183123
265	MB154;MB155;MB137;MB142	MT089	0.0007525771248633758
266	MB065;MB048;MB113;MB117;MB114;MB115	MT086	0.0007560968210102144
267	MB003;MB004;MB163;MB164;MB161;MB162	MT149;MT007;MT012	0.000784842495767064
268	MB008	MT116	0.000794118474444736
269	MB017;MB022;MB021;MB012;MB016;MB011;MB013	MT111	0.0007967051779171102
270	MB116	MT143;MT099;MT118;MT130;MT146	0.0008069915939205554
271	MB008;MB009	MT109	0.0008074592925983048
272	MB050	MT106;MT123	0.0008082372780267964
273	MB008	MT035	0.0008161699311175909
274	MB038	MT124;MT137;MT052;MT058	0.0008176121403696169
275	MB100	MT035	0.0008311861961411487
276	MB133	MT058	0.0008338136615657075
277	MB089	MT031	0.0008338136615657075
278	MB098	MT081	0.00086213589995934
279	MB154	MT124;MT137	0.0008665776903471581
280	MB105	MT148;MT149;MT007;MT012	0.0008780233846509418
281	MB157	MT130	0.0008825406731621764
282	MB034	MT081	0.0008917709216909628
283	MB036	MT120	0.0008922561176293677
284	MB120	MT023	0.0008970425352736525
285	MB096	MT027	0.0008970425352736525
286	MB135	MT143;MT099;MT118;MT130;MT146	0.0009100662778372618
287	MB154;MB155	MT071;MT050;MT067	0.0009149958273805445
288	MB144	MT123	0.0009209982295951595
289	MB049;MB050	MT149;MT007;MT012	0.0009209982295951595
290	MB153	MT079	0.0009233153783509263
291	MB103	MT076	0.0009303470944513702
292	MB017;MB022;MB021;MB012;MB016;MB011;MB013;MB014;MB010;MB018	MT139	0.0009303470944513702
293	MB118;MB151	MT058	0.0009326926824933473
294	MB103	MT083;MT142	0.0009373470619020289
295	MB024	MT148	0.0009519140461957488
296	MB103	MT079	0.0009616058208838707
297	MB018	MT043	0.0009755630011464775
298	MB153	MT050;MT067	0.0009842275894713665
299	MB011;MB013	MT091;MT094;MT145	0.0009938879624629459
300	MB049;MB050	MT104	0.0009938879624629459
301	MB030	MT150	0.000994512911036829
302	MB117	MT022	0.0009964471437854496
303	MB055	MT031	0.001010530846774493
304	MB147	MT150;MT151;MT152;MT006;MT063;MT003;MT078	0.0010261646770582708
305	MB050	MT032;MT097	0.00102680668256737
306	MB038	MT127	0.0010333722973778177
307	MB073	MT149	0.0010489092362005114
308	MB065	MT056	0.001052076601511788
309	MB008	MT033	0.0010588680849603002
310	MB007	MT086;MT135	0.001088615021553827
311	MB158	MT110	0.0010907962343107529
312	MB133	MT083;MT142	0.0010944217624393549
313	MB078	MT031;MT033;MT028;MT026;MT029	0.0010944217624393549
314	MB133	MT137	0.0010948370830951143
315	MB136	MT043	0.0010948370830951143
316	MB076;MB055;MB058	MT141	0.0010971890407254067
317	MB091	MT010	0.001117873324715935
318	MB125	MT142	0.0011232149497122893
319	MB065;MB048;MB113;MB117;MB114;MB115	MT116	0.0011232149497122893
320	MB084	MT027;MT035;MT037	0.0011247492369457965
321	MB124	MT112	0.0011254175750594786
322	MB051	MT073;MT103;MT109	0.0011370938523571374
323	MB152	MT032;MT097	0.0011418326108319971
324	MB035;MB033;MB037	MT081	0.0011542499847363716
325	MB032	MT003	0.001177955355395525
326	MB017;MB022;MB021;MB012;MB016;MB011;MB013;MB014;MB010;MB018	MT005	0.0012001482105338018
327	MB157	MT083;MT142	0.0012148720798531047
328	MB137;MB142	MT023	0.0012148720798531047
329	MB049;MB050	MT071;MT050;MT067;MT096;MT124;MT137;MT052;MT058	0.0012187116429937216
330	MB074	MT023	0.001229578019245376
331	MB106	MT105;MT089;MT110;MT054;MT121	0.00123116386665998
332	MB149	MT102	0.00123116386665998
333	MB054	MT083;MT142;MT150;MT151;MT152;MT006;MT063;MT003;MT078	0.0012315810086795315
334	MB019;MB020	MT111	0.0012373718139864884
335	MB001	MT037	0.0012484764418631475
336	MB057;MB077	MT090	0.0012492929735800765
337	MB064	MT040	0.0012492929735800765
338	MB103	MT028	0.001251825915434656
339	MB153	MT120	0.001253163584395582
340	MB019	MT123	0.0012596230938599078
341	MB056	MT025	0.0012596230938599078
342	MB114	MT114	0.0012598566543733421
343	MB014	MT049;MT062	0.001274595159426624
344	MB058	MT043	0.001275052039194396
345	MB076;MB055;MB058	MT148	0.0012797018958892886
346	MB063;MB085	MT047	0.001285579530322547
347	MB089	MT026;MT029	0.0012886402616826022
348	MB028;MB092;MB025;MB091;MB090;MB057;MB077	MT060	0.0012914809326581961
349	MB094	MT014;MT015	0.0012917185330945523
350	MB112	MT119	0.001294669450637431
351	MB121;MB125	MT074	0.0013098585401384371
352	MB145;MB148;MB149	MT006	0.0013185377668567396
353	MB028;MB092;MB025;MB091;MB090;MB057;MB077;MB065;MB048;MB113;MB117;MB114;MB115	MT016	0.0013331251257042201
354	MB019	MT032	0.0013535487021697882
355	MB120	MT017	0.0013655098525349608
356	MB105	MT006	0.001372288331958398
357	MB035	MT090	0.0014068677871467649
358	MB048;MB113;MB117;MB114;MB115	MT102	0.0014652411850291506
359	MB152	MT067	0.001465883801424553
360	MB075	MT085	0.001481522557211887
361	MB028	MT099	0.0014824738892045856
362	MB153	MT110;MT054;MT121	0.001484310152416414
363	MB130	MT102	0.0014996888255517297
364	MB152	MT079	0.0015083354489642113
365	MB116	MT073;MT103;MT109	0.0015197000982646982
366	MB135	MT022	0.0015497107350982647
367	MB149	MT067	0.0015497107350982647
368	MB021	MT041;MT098;MT136	0.0015791370797860191
369	MB103	MT090	0.0015958578435543926
370	MB125	MT108	0.0015958578435543926
371	MB103	MT098;MT136	0.0015959062223475544
372	MB103	MT053;MT048;MT069	0.0015968201212739341
373	MB061	MT114	0.0016256176501962315
374	MB049	MT003	0.0016256176501962315
375	MB058	MT010	0.0016256176501962315
376	MB084	MT017	0.0016256176501962315
377	MB105	MT027	0.0016330176114387935
378	MB032	MT102	0.0016773769375266197
379	MB034;MB036	MT095	0.0016849456632316425
380	MB130	MT130;MT146	0.0017010550307279644
381	MB028;MB092;MB025;MB091;MB090;MB057;MB077;MB065;MB048;MB113;MB117;MB114;MB115	MT112	0.0017047573329935374
382	MB065;MB048;MB113;MB117;MB114;MB115	MT095	0.001723602695532128
383	MB117	MT089	0.0017263767593891821
384	MB010;MB018	MT080	0.0017319195138065597
385	MB154;MB155	MT146	0.0017329415177497586
386	MB097;MB107;MB132	MT027	0.0017543147777608452
387	MB103	MT146	0.0017592330255106292
388	MB049;MB050	MT087	0.0017812264215810482
389	MB120	MT038;MT039	0.0017856662385620852
390	MB064;MB068;MB083	MT115	0.001807542934414992
391	MB038	MT120	0.0018278893250682736
392	MB028	MT010	0.0018428600905527968
393	MB100	MT143;MT099;MT118;MT130;MT146	0.0018611199753735144
394	MB020	MT121	0.0018678304326987028
395	MB151	MT100	0.0018800551336197308
396	MB129	MT148;MT149;MT007;MT012;MT044;MT059	0.0018955747204700978
397	MB092	MT026	0.0019129994224060794
398	MB153;MB157	MT029	0.0019332512968458016
399	MB030	MT068	0.0019419627465764875
400	MB019;MB020	MT031;MT033	0.0019690025299309564
401	MB030;MB031	MT038	0.0019747635345476397
402	MB106	MT049	0.001990383636939748
403	MB074	MT017	0.001995146723599074
404	MB017	MT019;MT020	0.0020137351606110744
405	MB122	MT147	0.0020578772670881386
406	MB146	MT076	0.002063161819006433
407	MB147	MT044	0.002064241627743299
408	MB118;MB151	MT137	0.002065255079435311
409	MB076	MT001;MT127;MT128	0.002065255079435311
410	MB055;MB058	MT018	0.002081905115160698
411	MB084	MT001	0.0020874533293964064
412	MB103	MT088	0.002087720301949093
413	MB064	MT084	0.002096833322949977
414	MB098;MB099	MT135	0.0021275138642919216
415	MB135	MT068	0.0021275138642919216
416	MB019	MT100	0.0021369509269557724
417	MB034	MT127	0.0021492517583352783
418	MB064;MB068;MB083;MB095;MB063;MB085	MT130	0.0021492517583352783
419	MB094	MT097	0.002157663866025816
420	MB092	MT071;MT050;MT067	0.002157663866025816
421	MB053;MB075	MT026	0.002165349572794287
422	MB058	MT029	0.0021776437480792166
423	MB058	MT026	0.0021993488472087626
424	MB020	MT021	0.0021993488472087626
425	MB049;MB050	MT089	0.0022106863986999055
426	MB103	MT147	0.002230230171875653
427	MB062	MT090;MT093	0.002293098440206484
428	MB133;MB098;MB099	MT104	0.0023034012963441524
