EvidenceID	ClaimID	CitationKey	Year	EvidenceRole	Rung	Coverage	RungOrder	CoverageScore
E05	C2	buffie2015cscindens	2015	Direct	Isolation or defined product	Direct	5	2
E05	C2	buffie2015cscindens	2015	Direct	Host transfer or perturbation	Direct	6	2
E05	C2	buffie2015cscindens	2015	Direct	Molecular perturbation and rescue	Direct	7	2
E06	C2	theriot2014metabolome	2014	Supporting	Replicated association	Supporting	1	1
E06	C2	theriot2014metabolome	2014	Supporting	Temporality and reversibility	Direct	2	2
E06	C2	theriot2014metabolome	2014	Supporting	Human causal bridge	Not addressed	3	0
E06	C2	theriot2014metabolome	2014	Supporting	Randomized human intervention	Not addressed	4	0
E06	C2	theriot2014metabolome	2014	Supporting	Isolation or defined product	Not addressed	5	0
E06	C2	theriot2014metabolome	2014	Supporting	Host transfer or perturbation	Supporting	6	1
E06	C2	theriot2014metabolome	2014	Supporting	Molecular perturbation and rescue	Supporting	7	1
E07	C3	wirbel2019crc	2019	Supporting	Replicated association	Direct	1	2
E07	C3	wirbel2019crc	2019	Supporting	Temporality and reversibility	Not addressed	2	0
E07	C3	wirbel2019crc	2019	Supporting	Human causal bridge	Not addressed	3	0
E07	C3	wirbel2019crc	2019	Supporting	Randomized human intervention	Not addressed	4	0
E07	C3	wirbel2019crc	2019	Supporting	Isolation or defined product	Not addressed	5	0
E07	C3	wirbel2019crc	2019	Supporting	Host transfer or perturbation	Not addressed	6	0
E07	C3	wirbel2019crc	2019	Supporting	Molecular perturbation and rescue	Not addressed	7	0
E08	C3	kostic2013fusobacterium	2013	Direct	Replicated association	Supporting	1	1
E08	C3	kostic2013fusobacterium	2013	Direct	Temporality and reversibility	Supporting	2	1
E08	C3	kostic2013fusobacterium	2013	Direct	Human causal bridge	Not addressed	3	0
E08	C3	kostic2013fusobacterium	2013	Direct	Randomized human intervention	Not addressed	4	0
E08	C3	kostic2013fusobacterium	2013	Direct	Isolation or defined product	Direct	5	2
E08	C3	kostic2013fusobacterium	2013	Direct	Host transfer or perturbation	Direct	6	2
E08	C3	kostic2013fusobacterium	2013	Direct	Molecular perturbation and rescue	Supporting	7	1
E09	C3	rubinstein2013fada	2013	Direct	Replicated association	Supporting	1	1
E09	C3	rubinstein2013fada	2013	Direct	Temporality and reversibility	Not addressed	2	0
E09	C3	rubinstein2013fada	2013	Direct	Human causal bridge	Not addressed	3	0
E09	C3	rubinstein2013fada	2013	Direct	Randomized human intervention	Not addressed	4	0
E09	C3	rubinstein2013fada	2013	Direct	Isolation or defined product	Direct	5	2
E09	C3	rubinstein2013fada	2013	Direct	Host transfer or perturbation	Not addressed	6	0
E09	C3	rubinstein2013fada	2013	Direct	Molecular perturbation and rescue	Direct	7	2
E10	C3	bullman2017fusobacterium	2017	Direct	Replicated association	Direct	1	2
E10	C3	bullman2017fusobacterium	2017	Direct	Temporality and reversibility	Supporting	2	1
E10	C3	bullman2017fusobacterium	2017	Direct	Human causal bridge	Not addressed	3	0
E10	C3	bullman2017fusobacterium	2017	Direct	Randomized human intervention	Not addressed	4	0
E10	C3	bullman2017fusobacterium	2017	Direct	Isolation or defined product	Direct	5	2
E10	C3	bullman2017fusobacterium	2017	Direct	Host transfer or perturbation	Direct	6	2
E10	C3	bullman2017fusobacterium	2017	Direct	Molecular perturbation and rescue	Supporting	7	1
