LKTFeature	Gram	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	LKT	MediatorDefinition	CohortPrevalence
LKT__s__Anaerotruncus_colihominis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__Anaerotruncus_colihominis	LKT__s__Anaerotruncus_colihominis	Sensitivity: family Ruminococcaceae	0.9893617021276596
LKT__s__Ruminococcus_lactaris	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_lactaris	LKT__s__Ruminococcus_lactaris	Sensitivity: family Ruminococcaceae	0.9361702127659575
LKT__s__Fournierella_massiliensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Fournierella	s__Fournierella_massiliensis	LKT__s__Fournierella_massiliensis	Sensitivity: family Ruminococcaceae	0.9680851063829787
LKT__g__Faecalibacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Unclassified	LKT__g__Faecalibacterium	Sensitivity: family Ruminococcaceae	0.9680851063829787
LKT__s__Pseudoflavonifractor_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Pseudoflavonifractor	s__Pseudoflavonifractor_Unclassified_Marseille_P3106	LKT__s__Pseudoflavonifractor_Unclassified	Sensitivity: family Ruminococcaceae	0.9893617021276596
LKT__s__Anaerotruncus_massiliensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__Anaerotruncus_massiliensis	LKT__s__Anaerotruncus_massiliensis	Sensitivity: family Ruminococcaceae	0.8085106382978723
LKT__s__Ruminococcus_bromii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_bromii	LKT__s__Ruminococcus_bromii	Sensitivity: family Ruminococcaceae	0.8617021276595744
LKT__s__Subdoligranulum_variabile	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Subdoligranulum	s__Subdoligranulum_variabile	LKT__s__Subdoligranulum_variabile	Sensitivity: family Ruminococcaceae	0.9680851063829787
LKT__s__Angelakisella_massiliensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Angelakisella	s__Angelakisella_massiliensis	LKT__s__Angelakisella_massiliensis	Sensitivity: family Ruminococcaceae	0.9893617021276596
LKT__s__Neglecta_timonensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Neglecta	s__Neglecta_timonensis	LKT__s__Neglecta_timonensis	Sensitivity: family Ruminococcaceae	0.9361702127659575
LKT__s__Ruminococcus_callidus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_callidus	LKT__s__Ruminococcus_callidus	Sensitivity: family Ruminococcaceae	0.48936170212765956
LKT__s__Clostridium_sporosphaeroides	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Missing	s__Clostridium_sporosphaeroides	LKT__s__Clostridium_sporosphaeroides	Sensitivity: family Ruminococcaceae	0.851063829787234
LKT__s__Ruminococcus_champanellensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_champanellensis	LKT__s__Ruminococcus_champanellensis	Sensitivity: family Ruminococcaceae	0.8723404255319149
