SampleID	SubjectID	BroadBodySite	BodySubsite	Habitat	PrimaryHabitatIncluded	NumberReads	CandidateRank	Representative	SelectionReason
SRS012285	HMP_2012_158337416	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	74907376	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS012291	HMP_2012_158337416	Nasal cavity	anterior_nares	Anterior nares	TRUE	423745	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS012294	HMP_2012_158337416	Vagina	posterior_fornix	Posterior fornix	TRUE	1092012	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS012663	HMP_2012_158398106	Nasal cavity	anterior_nares	Anterior nares	TRUE	1602410	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS012902	HMP_2012_158883629	Stool	stool	Stool	TRUE	107161589	3	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013155	HMP_2012_159571453	Nasal cavity	anterior_nares	Anterior nares	TRUE	557555	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013158	HMP_2012_159369152	Stool	stool	Stool	TRUE	121750245	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013164	HMP_2012_159369152	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	93624169	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013170	HMP_2012_159369152	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	64227421	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013215	HMP_2012_159591683	Stool	stool	Stool	TRUE	112618559	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013234	HMP_2012_159591683	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	77030399	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013239	HMP_2012_159591683	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	12440071	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013252	HMP_2012_159591683	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	98179389	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013258	HMP_2012_159591683	Skin	l_retroauricular_crease	Retroauricular crease	TRUE	23548107	4	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013261	HMP_2012_159591683	Skin	r_retroauricular_crease	Retroauricular crease	TRUE	55078145	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013269	HMP_2012_159591683	Nasal cavity	anterior_nares	Anterior nares	TRUE	630555	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013476	HMP_2012_159207311	Stool	stool	Stool	TRUE	104987854	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013502	HMP_2012_159207311	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	38243669	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013506	HMP_2012_159207311	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	20214746	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013521	HMP_2012_159227541	Stool	stool	Stool	TRUE	115013916	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013533	HMP_2012_159227541	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	54306273	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013542	HMP_2012_159227541	Vagina	posterior_fornix	Posterior fornix	TRUE	3954345	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013637	HMP_2012_159207311	Nasal cavity	anterior_nares	Anterior nares	TRUE	662835	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013687	HMP_2012_159268001	Stool	stool	Stool	TRUE	118239204	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013705	HMP_2012_159268001	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	104261933	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013711	HMP_2012_159268001	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	10889756	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013723	HMP_2012_159268001	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	94436101	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013800	HMP_2012_159571453	Stool	stool	Stool	TRUE	112980841	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013818	HMP_2012_159571453	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	55992025	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013825	HMP_2012_159571453	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	8207997	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013836	HMP_2012_159571453	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	39453410	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013876	HMP_2012_763435843	Nasal cavity	anterior_nares	Anterior nares	TRUE	2774510	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013879	HMP_2012_763435843	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	91889937	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013881	HMP_2012_763435843	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	10058719	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013942	HMP_2012_763496533	Oral cavity	saliva		FALSE	8279284		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS013945	HMP_2012_763496533	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	32162427	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013946	HMP_2012_763496533	Oral cavity	keratinized_gingiva		FALSE	76400632		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS013947	HMP_2012_763496533	Oral cavity	palatine_tonsils		FALSE	28362606		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS013948	HMP_2012_763496533	Oral cavity	throat		FALSE	31107576		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS013949	HMP_2012_763496533	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	76484564	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS013950	HMP_2012_763496533	Oral cavity	subgingival_plaque		FALSE	28293689		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS013951	HMP_2012_763496533	Stool	stool	Stool	TRUE	93449603	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS013956	HMP_2012_763496533	Nasal cavity	anterior_nares	Anterior nares	TRUE	422781	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014107	HMP_2012_763435843	Oral cavity	subgingival_plaque		FALSE	11784578		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014124	HMP_2012_763820215	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	98989988	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014126	HMP_2012_763820215	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	13529379	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014235	HMP_2012_763678604	Stool	stool	Stool	TRUE	99987314	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014271	HMP_2012_763536994	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	85981142	3	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014287	HMP_2012_763536994	Stool	stool	Stool	TRUE	80513673	3	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014313	HMP_2012_763820215	Stool	stool	Stool	TRUE	109805437	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014343	HMP_2012_763820215	Vagina	posterior_fornix	Posterior fornix	TRUE	10794944	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014459	HMP_2012_763577454	Stool	stool	Stool	TRUE	86362260	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014464	HMP_2012_763577454	Nasal cavity	anterior_nares	Anterior nares	TRUE	898913	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014465	HMP_2012_763577454	Vagina	vaginal_introitus		FALSE	875954		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014466	HMP_2012_763577454	Vagina	mid_vagina		FALSE	746982		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014468	HMP_2012_763577454	Oral cavity	saliva		FALSE	2464625		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014470	HMP_2012_763577454	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	84590931	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014472	HMP_2012_763577454	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	2814655	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014473	HMP_2012_763577454	Oral cavity	keratinized_gingiva		FALSE	56399156		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014474	HMP_2012_763577454	Oral cavity	palatine_tonsils		FALSE	3712395		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014475	HMP_2012_763577454	Oral cavity	throat		FALSE	1485019		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014476	HMP_2012_763577454	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	47498085	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014477	HMP_2012_763577454	Oral cavity	subgingival_plaque		FALSE	11592657		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014494	HMP_2012_763577454	Vagina	posterior_fornix	Posterior fornix	TRUE	1153686	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014573	HMP_2012_763840445	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	82192656	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014575	HMP_2012_763840445	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	3346208	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014578	HMP_2012_763840445	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	50193503	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014613	HMP_2012_763840445	Stool	stool	Stool	TRUE	109953562	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014629	HMP_2012_763840445	Vagina	posterior_fornix	Posterior fornix	TRUE	1200952	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014682	HMP_2012_763961826	Nasal cavity	anterior_nares	Anterior nares	TRUE	5890583	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014683	HMP_2012_763961826	Stool	stool	Stool	TRUE	88986726	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014684	HMP_2012_763961826	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	116042118	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014686	HMP_2012_763961826	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	6248113	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014687	HMP_2012_763961826	Oral cavity	keratinized_gingiva		FALSE	99087632		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014689	HMP_2012_763961826	Oral cavity	throat		FALSE	21825317		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014690	HMP_2012_763961826	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	58341880	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014691	HMP_2012_763961826	Oral cavity	subgingival_plaque		FALSE	27845487		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014692	HMP_2012_763961826	Oral cavity	saliva		FALSE	14637415		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS014888	HMP_2012_763860675	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	83638232	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014890	HMP_2012_763860675	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	2440799	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014894	HMP_2012_763860675	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	35358997	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS014901	HMP_2012_763860675	Nasal cavity	anterior_nares	Anterior nares	TRUE	2950137	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014923	HMP_2012_763860675	Stool	stool	Stool	TRUE	107721245	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS014979	HMP_2012_764062976	Stool	stool	Stool	TRUE	103342965	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015038	HMP_2012_763901136	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	43681879	3	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015040	HMP_2012_763901136	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	10716312	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015044	HMP_2012_763901136	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	55282271	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015051	HMP_2012_763901136	Nasal cavity	anterior_nares	Anterior nares	TRUE	643717	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015054	HMP_2012_763901136	Vagina	posterior_fornix	Posterior fornix	TRUE	6585094	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015055	HMP_2012_763577454	Oral cavity	saliva		FALSE	8808132		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS015057	HMP_2012_763577454	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	104019514	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015059	HMP_2012_763577454	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	1131872	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015060	HMP_2012_763577454	Oral cavity	keratinized_gingiva		FALSE	37237621		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS015061	HMP_2012_763577454	Oral cavity	palatine_tonsils		FALSE	4010587		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS015062	HMP_2012_763577454	Oral cavity	throat		FALSE	1743965		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS015063	HMP_2012_763577454	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	61545968	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015065	HMP_2012_763577454	Stool	stool	Stool	TRUE	95551024	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015071	HMP_2012_763577454	Vagina	vaginal_introitus		FALSE	507176		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS015072	HMP_2012_763577454	Vagina	mid_vagina		FALSE	1067759		FALSE	body subsite is outside the seven HMP Figure 3 habitat columns
SRS015073	HMP_2012_763577454	Vagina	posterior_fornix	Posterior fornix	TRUE	652844	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015133	HMP_2012_763901136	Stool	stool	Stool	TRUE	105068636	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015154	HMP_2012_763759525	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	7440155	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015158	HMP_2012_763759525	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	69523614	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015168	HMP_2012_763759525	Vagina	posterior_fornix	Posterior fornix	TRUE	2815885	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015190	HMP_2012_763759525	Stool	stool	Stool	TRUE	130411120	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015209	HMP_2012_764143897	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	108501570	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015215	HMP_2012_764143897	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	53339694	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015217	HMP_2012_764143897	Stool	stool	Stool	TRUE	99801446	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015225	HMP_2012_764143897	Vagina	posterior_fornix	Posterior fornix	TRUE	1442967	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015264	HMP_2012_763982056	Stool	stool	Stool	TRUE	65564376	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015269	HMP_2012_763982056	Nasal cavity	anterior_nares	Anterior nares	TRUE	631824	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015272	HMP_2012_763982056	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	76624624	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015274	HMP_2012_763982056	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	3154449	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015278	HMP_2012_763982056	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	44566806	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015369	HMP_2012_764042746	Stool	stool	Stool	TRUE	78605201	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015374	HMP_2012_764042746	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	5620665	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015378	HMP_2012_764042746	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	26703378	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015381	HMP_2012_764042746	Skin	r_retroauricular_crease	Retroauricular crease	TRUE	20952929	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015395	HMP_2012_764042746	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	72950042	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015425	HMP_2012_764042746	Vagina	posterior_fornix	Posterior fornix	TRUE	5900320	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015430	HMP_2012_764083206	Nasal cavity	anterior_nares	Anterior nares	TRUE	609599	3	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015434	HMP_2012_764083206	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	106330133	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015436	HMP_2012_764083206	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	22694363	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015440	HMP_2012_764083206	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	60558362	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015450	HMP_2012_764083206	Nasal cavity	anterior_nares	Anterior nares	TRUE	337882	4	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015470	HMP_2012_764083206	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	71827728	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015537	HMP_2012_764285508	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	71509577	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015574	HMP_2012_764285508	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	58838982	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015578	HMP_2012_764285508	Stool	stool	Stool	TRUE	119603312	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015640	HMP_2012_764487809	Nasal cavity	anterior_nares	Anterior nares	TRUE	343059	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015644	HMP_2012_764487809	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	80650606	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015646	HMP_2012_764487809	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	17418039	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015650	HMP_2012_764487809	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	30165344	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015663	HMP_2012_764487809	Stool	stool	Stool	TRUE	111505215	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015745	HMP_2012_764224817	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	10613684	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015752	HMP_2012_764224817	Nasal cavity	anterior_nares	Anterior nares	TRUE	1119216	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015755	HMP_2012_764224817	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	21609178	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015762	HMP_2012_764224817	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	106294251	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015782	HMP_2012_764224817	Stool	stool	Stool	TRUE	106738994	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015793	HMP_2012_763435843	Nasal cavity	anterior_nares	Anterior nares	TRUE	911230	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015794	HMP_2012_763435843	Stool	stool	Stool	TRUE	118863364	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015797	HMP_2012_763435843	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	105532992	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015799	HMP_2012_763435843	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	14278174	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015803	HMP_2012_763435843	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	63147964	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015854	HMP_2012_764002286	Stool	stool	Stool	TRUE	100887935	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015893	HMP_2012_764305738	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	79231327	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS015895	HMP_2012_764305738	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	7973900	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS015899	HMP_2012_764305738	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	73609970	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
