MAG	X	Y	Taxonomy	Phylum	Class	Genus	Species	Module	Degree	Strength	StableDegree70	StableDegree80	BootstrapExpectedDegree	MeanIncidentStability	WithinModuleDegree	Zi	ZiEstimable	Pi	Role	Betweenness	HarmonicCentrality	TopologyPriority	CandidateEvidence	Label
AB31.MAG18	0.601950435097702	-0.742735647913657	Bacteria;Thermotogota;Thermotogae;Thermotogales;Fervidobacteriaceae;Fervidobacterium	Thermotogota	Thermotogae	Fervidobacterium	Unclassified	M2	4	0.111911007822304	2	1	6.963	0.71525	4	1.73205080756888	TRUE	0	Ultra-peripheral	0.0717171717171717	0.0106097026868074	FALSE	>=2 consensus edges	
AB31.MAG19	-0.574645292682067	0.239234304150922	Bacteria;Chloroflexota;Anaerolineae;B4-G1;DUEL01;SpSt-77	Chloroflexota	Anaerolineae	SpSt-77	Unclassified	M1	1	0.0632803377267362	1	1	5.465	0.807	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.0154109816021108	FALSE	none	
AM01.MAG017	0.824335253669569	-0.554482965876793	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	Chloroflexota	Chloroflexia	Chloroflexus	Chloroflexus sp000516515	M2	1	0.0394415547509547	1	0	4.931	0.722	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.00790167477976364	FALSE	none	
AM01.MAG083	0.340104541545368	-0.786456608648442	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;SG8-39	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	M2	2	0.146500888717951	2	2	5.095	0.8855	2	0	TRUE	0	Ultra-peripheral	0.103030303030303	0.0154526878594029	FALSE	>=2 consensus edges	
AM02.MAG09	0.143293250944813	-0.467535489675644	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;DSNY01	Pseudomonadota	Gammaproteobacteria	DSNY01	Unclassified	M2	5	0.266991061672488	3	3	9.627	0.7744	3	0.866025403784439	TRUE	0.56	Peripheral	0.195959595959596	0.0181737857272391	FALSE	>=2 consensus edges	DSNY01
AM02.MAG09
AM02.MAG24	-0.552307685617919	-0.877816911296723	Bacteria;Chloroflexota;Anaerolineae;J036;Brachytrichaceae;629B-23;629B-23 sp034434555	Chloroflexota	Anaerolineae	629B-23	629B-23 sp034434555	M1	1	0.0495737974554458	1	1	4.379	0.818	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.0121765664471012	FALSE	none	
AM02.MAG52	0.0529819582635191	-1	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Casimicrobiaceae	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	M5	1	0.0492025711904292	1	0	5.55	0.755	1	-0.912870929175277	TRUE	0	Ultra-peripheral	0	0.00905364352051508	FALSE	none	
AR01.MAG32	0.66279629537843	-0.303492833312568	Bacteria;Planctomycetota;Phycisphaerae;UBA1845;Fen-1342;CALGJV01	Planctomycetota	Phycisphaerae	CALGJV01	Unclassified	M5	1	0.00754753400650528	0	0	1.918	0.586	1	-0.912870929175277	TRUE	0	Ultra-peripheral	0	0.00333269162337967	FALSE	none	
AR10.MAG05	-0.47650289303922	0.00811681208221038	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;UBA2796;CP2-2F	Chloroflexota	Anaerolineae	CP2-2F	Unclassified	M3	4	0.125279058995122	1	1	8.522	0.664	2	-0.377964473009227	TRUE	0.625	Connector	0.00505050505050505	0.0153571269104881	FALSE	cross-module connector	
AR10.MAG39	-0.583361200841456	-0.404946735031059	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Thermoflexibacteraceae;Thermoflexibacter	Bacteroidota	Bacteroidia	Thermoflexibacter	Unclassified	M5	8	0.416563093154053	5	4	14.012	0.791875	2	0	TRUE	0.65625	Connector	0.233333333333333	0.0215650980015794	TRUE	cross-module connector; top-decile degree; >=2 consensus edges	Thermoflexibacter
AR10.MAG39
AR11.MAG12	-0.885957009339341	-0.42825930465046	Bacteria;Armatimonadota;HRBIN16;HRBIN16;HRBIN16;HRBIN16	Armatimonadota	HRBIN16	HRBIN16	Unclassified	M1	5	0.399154858924429	3	3	10.505	0.8162	3	0.332880742040642	TRUE	0.56	Peripheral	0.0474747474747475	0.0248020497136115	FALSE	>=2 consensus edges	HRBIN16
AR11.MAG12
AR11.MAG18	0.895751914438129	0.381820111706088	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp000016665	Chloroflexota	Chloroflexia	Roseiflexus	Roseiflexus sp000016665	M7	2	0.0648273644886143	0	0	3.534	0.655	2	0.866025403784439	TRUE	0	Ultra-peripheral	0.00202020202020202	0.00178949405050944	FALSE	none	
AW01.MAG04	0.130679998337472	0.285189339454037	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus	Chloroflexota	Chloroflexia	Chloroflexus	Unclassified	M4	2	0.0601608976971903	1	0	5.955	0.652	2	-0.207019667802706	TRUE	0	Ultra-peripheral	0	0.0118572410022668	FALSE	none	
AY03.MAG59	0.266283875664854	0.935203893469769	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae	Planctomycetota	Phycisphaerae	Unclassified	Unclassified	M2	1	0.0000714383607700142	0	0	2.379	0.459	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.0000579845517158004	FALSE	none	
AY04.MAG003	0.350597326403661	-0.199697061688021	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;JAJTHJ01	Pseudomonadota	Gammaproteobacteria	JAJTHJ01	Unclassified	M4	1	0.0181778942981583	0	0	6.095	0.539	1	-0.931588505112178	TRUE	0	Ultra-peripheral	0	0.00778467989896465	FALSE	none	
AY04.MAG035	-1	0.0548050643630957	Bacteria;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Thermogemmata	Planctomycetota	Planctomycetia	Thermogemmata	Unclassified	M3	6	0.423968399002405	3	2	9.998	0.7315	4	0.944911182523068	TRUE	0.444444444444444	Peripheral	0.138383838383838	0.0240381314017974	TRUE	top-decile degree; >=2 consensus edges	Thermogemmata
AY04.MAG035
AY05.MAG06	-0.177354244374174	-0.507735534962848	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Elioraea_A;Elioraea_A tepida	Pseudomonadota	Alphaproteobacteria	Elioraea_A	Elioraea_A tepida	M5	4	0.108440763109352	0	0	7.274	0.615	2	0	TRUE	0.625	Connector	0	0.0125524896237689	FALSE	cross-module connector	
AY06.MAG26	-0.108320066428627	0.524644964626511	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;Thermochlorobacter;Thermochlorobacter aerophilum	Bacteroidota_A	Chlorobiia	Thermochlorobacter	Thermochlorobacter aerophilum	M4	2	0.0331923042920309	0	0	5.763	0.574	1	-0.931588505112178	TRUE	0.5	Peripheral	0	0.00756334246186437	FALSE	none	
AY07.MAG42	-0.417582194579949	-0.658984140632317	Bacteria;Armatimonadota;HRBIN16;HRBIN16;HRBIN16;HRBIN16	Armatimonadota	HRBIN16	HRBIN16	Unclassified	M1	2	0.0679728994788828	0	0	6.662	0.6505	1	-0.713315875801377	TRUE	0.5	Peripheral	0	0.0123345753041503	FALSE	none	
AY07.MAG49	0.956932758486333	-0.257618163830229	Bacteria;Desulfobacterota;JdFR-97;JdFR-97;JdFR-97;JAPWUY01;JAPWUY01 sp028275295	Desulfobacterota	JdFR-97	JAPWUY01	JAPWUY01 sp028275295	M1	1	0.00252341852589582	0	0	4.809	0.498	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.00176392912856222	FALSE	none	
LB01.MAG12	0.495968267662039	0.800986483713966	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M6	1	0.0076786159450334	0	0	3.224	0.551	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.000387334424206569	FALSE	none	
LB02.MAG08	0.0793327848456544	-0.7626881133604	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Thermonemataceae;Raineya	Bacteroidota	Bacteroidia	Raineya	Unclassified	M5	2	0.0399352191484009	0	0	5.867	0.616	2	0	TRUE	0	Ultra-peripheral	0.0363636363636364	0.00793844449283393	FALSE	none	
LC04.MAG4	-0.765398911528923	-0.657375893759108	Bacteria;Chloroflexota;Anaerolineae;J036;Brachytrichaceae;629B-23;629B-23 sp017743375	Chloroflexota	Anaerolineae	629B-23	629B-23 sp017743375	M1	5	0.271328125711378	3	3	9.386	0.779	4	0.855979050961652	TRUE	0.32	Peripheral	0.0575757575757576	0.0200355569531015	FALSE	>=2 consensus edges	629B-23
LC04.MAG4
LC04.MAG8	-0.293828126082575	0.880721213100975	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M6	2	0.0414251094100241	0	0	3.661	0.554	2	0.866025403784439	TRUE	0	Ultra-peripheral	0.00202020202020202	0.00105931552274037	FALSE	none	
LD01.MAG01	-0.70062509628733	0.499292571450612	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	Chloroflexota	Chloroflexia	Chloroflexus	Chloroflexus sp000516515	M3	5	0.196693800679453	2	1	9.926	0.6442	5	1.60634901028922	TRUE	0	Ultra-peripheral	0.0717171717171717	0.0159955811909501	FALSE	>=2 consensus edges	
LD01.MAG15	-0.924909283543664	0.365033377228386	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp000016665	Chloroflexota	Chloroflexia	Roseiflexus	Roseiflexus sp000016665	M1	5	0.295278671052196	3	1	10.373	0.7312	3	0.332880742040642	TRUE	0.56	Peripheral	0.0555555555555556	0.0188454170651544	FALSE	>=2 consensus edges	Roseiflexus
LD01.MAG15
LE01.MAG05	0.743813485237228	0.661413093303213	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M7	1	0.0224318757290588	0	0	2.802	0.568	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.00100211363813677	FALSE	none	
LE01.MAG07	0.31783616631974	0.56406175960355	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylothermaceae;Methylohalobius	Pseudomonadota	Gammaproteobacteria	Methylohalobius	Unclassified	M3	1	0.00116548085896703	0	0	3.973	0.441	1	-1.03940230077537	TRUE	0	Ultra-peripheral	0	0.00085654451140248	FALSE	none	
LH02.MAG03	-0.84114585830424	0.69324266648945	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;Thermochlorobacter	Bacteroidota_A	Chlorobiia	Thermochlorobacter	Unclassified	M1	1	0.0567220080003661	1	0	3.752	0.778	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.0124577804252655	FALSE	none	
LH02.MAG08	-0.0655669902284519	1	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M6	1	0.00800226839606156	0	0	3.67	0.507	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.000399245508076784	FALSE	none	
LR01.MAG18	0.622298762782395	0.443696307133829	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M7	2	0.0747457597872408	0	0	2.666	0.633	2	0.866025403784439	TRUE	0	Ultra-peripheral	0.00202020202020202	0.00188541758269855	FALSE	none	
LS02.MAG09	-0.548196338615814	0.793707951267863	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	Chloroflexota	Chloroflexia	Chloroflexus	Chloroflexus sp000516515	M3	1	0.0918599552038813	1	1	6.546	0.871	1	-1.03940230077537	TRUE	0	Ultra-peripheral	0	0.0130084860744977	FALSE	none	
LT12.MAG12	0.605874123841585	0.168243420472557	Bacteria;Zhuqueibacterota;Zhuqueibacteria;Thermofontimicrobiales;Thermofontimicrobiaceae;Thermofontimicrobium	Zhuqueibacterota	Zhuqueibacteria	Thermofontimicrobium	Unclassified	M4	2	0.0627540150660617	1	1	6.673	0.695	2	-0.207019667802706	TRUE	0	Ultra-peripheral	0	0.0102620219698704	FALSE	none	
LV02.MAG19	-0.401044091327467	0.449579403602587	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus	Chloroflexota	Chloroflexia	Chloroflexus	Unclassified	M4	4	0.164241837894072	2	0	7.007	0.64425	3	0.517549169506766	TRUE	0.375	Peripheral	0.0262626262626263	0.0161531273375814	FALSE	>=2 consensus edges	
