MAG	Taxonomy	Phylum	Class	Genus	Species	Module	Degree	Strength	StableDegree70	StableDegree80	BootstrapExpectedDegree	MeanIncidentStability	WithinModuleDegree	Zi	ZiEstimable	Pi	Role	Betweenness	HarmonicCentrality	TopologyPriority	CandidateEvidence
AA01.MAG52	Bacteria;Chloroflexota;Anaerolineae;J036;Brachytrichaceae;629B-23;629B-23 sp034434555	Chloroflexota	Anaerolineae	629B-23	629B-23 sp034434555	M3	5	0.356944528994623	2	2	11.044	0.7888	3	0.28347335475692	TRUE	0.48	Peripheral	0.0303030303030303	0.0220131652865118	FALSE	>=2 consensus edges
LD01.MAG01	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	Chloroflexota	Chloroflexia	Chloroflexus	Chloroflexus sp000516515	M3	5	0.196693800679453	2	1	9.926	0.6442	5	1.60634901028922	TRUE	0	Ultra-peripheral	0.0717171717171717	0.0159955811909501	FALSE	>=2 consensus edges
LV02.MAG19	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus	Chloroflexota	Chloroflexia	Chloroflexus	Unclassified	M4	4	0.164241837894072	2	0	7.007	0.64425	3	0.517549169506766	TRUE	0.375	Peripheral	0.0262626262626263	0.0161531273375814	FALSE	>=2 consensus edges
AB31.MAG18	Bacteria;Thermotogota;Thermotogae;Thermotogales;Fervidobacteriaceae;Fervidobacterium	Thermotogota	Thermotogae	Fervidobacterium	Unclassified	M2	4	0.111911007822304	2	1	6.963	0.71525	4	1.73205080756888	TRUE	0	Ultra-peripheral	0.0717171717171717	0.0106097026868074	FALSE	>=2 consensus edges
AM01.MAG083	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;SG8-39	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	M2	2	0.146500888717951	2	2	5.095	0.8855	2	0	TRUE	0	Ultra-peripheral	0.103030303030303	0.0154526878594029	FALSE	>=2 consensus edges
AR10.MAG05	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;UBA2796;CP2-2F	Chloroflexota	Anaerolineae	CP2-2F	Unclassified	M3	4	0.125279058995122	1	1	8.522	0.664	2	-0.377964473009227	TRUE	0.625	Connector	0.00505050505050505	0.0153571269104881	FALSE	cross-module connector
AA03.MAG06	Bacteria;Spirochaetota;Leptospiria;Leptospirales;Leptospiraceae;CALDSP01	Spirochaetota	Leptospiria	CALDSP01	Unclassified	M5	4	0.136490277135782	1	0	7.645	0.65875	4	1.82574185835055	TRUE	0	Ultra-peripheral	0.105050505050505	0.0116516093359547	FALSE	none
LT12.MAG12	Bacteria;Zhuqueibacterota;Zhuqueibacteria;Thermofontimicrobiales;Thermofontimicrobiaceae;Thermofontimicrobium	Zhuqueibacterota	Zhuqueibacteria	Thermofontimicrobium	Unclassified	M4	2	0.0627540150660617	1	1	6.673	0.695	2	-0.207019667802706	TRUE	0	Ultra-peripheral	0	0.0102620219698704	FALSE	none
AB22.MAG102	Bacteria;Desulfobacterota_B;Binatia;DP-6;DP-6	Desulfobacterota_B	Binatia	Unclassified	Unclassified	M4	2	0.102988190410022	1	1	6.663	0.7645	2	-0.207019667802706	TRUE	0	Ultra-peripheral	0.0363636363636364	0.0127586617033004	FALSE	none
LS02.MAG09	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	Chloroflexota	Chloroflexia	Chloroflexus	Chloroflexus sp000516515	M3	1	0.0918599552038813	1	1	6.546	0.871	1	-1.03940230077537	TRUE	0	Ultra-peripheral	0	0.0130084860744977	FALSE	none
AW01.MAG04	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus	Chloroflexota	Chloroflexia	Chloroflexus	Unclassified	M4	2	0.0601608976971903	1	0	5.955	0.652	2	-0.207019667802706	TRUE	0	Ultra-peripheral	0	0.0118572410022668	FALSE	none
AM02.MAG52	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Casimicrobiaceae	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	M5	1	0.0492025711904292	1	0	5.55	0.755	1	-0.912870929175277	TRUE	0	Ultra-peripheral	0	0.00905364352051508	FALSE	none
AB31.MAG19	Bacteria;Chloroflexota;Anaerolineae;B4-G1;DUEL01;SpSt-77	Chloroflexota	Anaerolineae	SpSt-77	Unclassified	M1	1	0.0632803377267362	1	1	5.465	0.807	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.0154109816021108	FALSE	none
AM01.MAG017	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp000516515	Chloroflexota	Chloroflexia	Chloroflexus	Chloroflexus sp000516515	M2	1	0.0394415547509547	1	0	4.931	0.722	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.00790167477976364	FALSE	none
AA01.MAG30	Bacteria;Chloroflexota;Anaerolineae;B4-G1;DUEL01;SpSt-77	Chloroflexota	Anaerolineae	SpSt-77	Unclassified	M1	1	0.0354092363553083	1	0	4.482	0.7	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.0117865418021698	FALSE	none
AM02.MAG24	Bacteria;Chloroflexota;Anaerolineae;J036;Brachytrichaceae;629B-23;629B-23 sp034434555	Chloroflexota	Anaerolineae	629B-23	629B-23 sp034434555	M1	1	0.0495737974554458	1	1	4.379	0.818	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.0121765664471012	FALSE	none
LH02.MAG03	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;Thermochlorobacter	Bacteroidota_A	Chlorobiia	Thermochlorobacter	Unclassified	M1	1	0.0567220080003661	1	0	3.752	0.778	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.0124577804252655	FALSE	none
AY05.MAG06	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Elioraea_A;Elioraea_A tepida	Pseudomonadota	Alphaproteobacteria	Elioraea_A	Elioraea_A tepida	M5	4	0.108440763109352	0	0	7.274	0.615	2	0	TRUE	0.625	Connector	0	0.0125524896237689	FALSE	cross-module connector
AY07.MAG42	Bacteria;Armatimonadota;HRBIN16;HRBIN16;HRBIN16;HRBIN16	Armatimonadota	HRBIN16	HRBIN16	Unclassified	M1	2	0.0679728994788828	0	0	6.662	0.6505	1	-0.713315875801377	TRUE	0.5	Peripheral	0	0.0123345753041503	FALSE	none
AY04.MAG003	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;JAJTHJ01	Pseudomonadota	Gammaproteobacteria	JAJTHJ01	Unclassified	M4	1	0.0181778942981583	0	0	6.095	0.539	1	-0.931588505112178	TRUE	0	Ultra-peripheral	0	0.00778467989896465	FALSE	none
LB02.MAG08	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Thermonemataceae;Raineya	Bacteroidota	Bacteroidia	Raineya	Unclassified	M5	2	0.0399352191484009	0	0	5.867	0.616	2	0	TRUE	0	Ultra-peripheral	0.0363636363636364	0.00793844449283393	FALSE	none
AY06.MAG26	Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Thermochlorobacteraceae;Thermochlorobacter;Thermochlorobacter aerophilum	Bacteroidota_A	Chlorobiia	Thermochlorobacter	Thermochlorobacter aerophilum	M4	2	0.0331923042920309	0	0	5.763	0.574	1	-0.931588505112178	TRUE	0.5	Peripheral	0	0.00756334246186437	FALSE	none
AY07.MAG49	Bacteria;Desulfobacterota;JdFR-97;JdFR-97;JdFR-97;JAPWUY01;JAPWUY01 sp028275295	Desulfobacterota	JdFR-97	JAPWUY01	JAPWUY01 sp028275295	M1	1	0.00252341852589582	0	0	4.809	0.498	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.00176392912856222	FALSE	none
AB22.MAG098	Bacteria;Chloroflexota;Dehalococcoidia;Tepidiformales;Tepidiformaceae;Tepidiforma;Tepidiforma thermophila	Chloroflexota	Dehalococcoidia	Tepidiforma	Tepidiforma thermophila	M7	1	0.0125134804304323	0	0	4.086	0.612	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.000657219601498031	FALSE	none
AA01.MAG15	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Thiobacillaceae;JANWZL01	Pseudomonadota	Gammaproteobacteria	JANWZL01	Unclassified	M2	1	0.00782386709731912	0	0	4.065	0.611	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.00373920188527404	FALSE	none
LE01.MAG07	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylothermaceae;Methylohalobius	Pseudomonadota	Gammaproteobacteria	Methylohalobius	Unclassified	M3	1	0.00116548085896703	0	0	3.973	0.441	1	-1.03940230077537	TRUE	0	Ultra-peripheral	0	0.00085654451140248	FALSE	none
LH02.MAG08	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M6	1	0.00800226839606156	0	0	3.67	0.507	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.000399245508076784	FALSE	none
LC04.MAG8	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M6	2	0.0414251094100241	0	0	3.661	0.554	2	0.866025403784439	TRUE	0	Ultra-peripheral	0.00202020202020202	0.00105931552274037	FALSE	none
AR11.MAG18	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp000016665	Chloroflexota	Chloroflexia	Roseiflexus	Roseiflexus sp000016665	M7	2	0.0648273644886143	0	0	3.534	0.655	2	0.866025403784439	TRUE	0	Ultra-peripheral	0.00202020202020202	0.00178949405050944	FALSE	none
AB22.MAG084	Bacteria;Bacteroidota_A;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae	Bacteroidota_A	Ignavibacteria	Unclassified	Unclassified	M2	2	0.0104365706913577	0	0	3.411	0.483	2	0	TRUE	0	Ultra-peripheral	0.0363636363636364	0.00521514421720394	FALSE	none
LB01.MAG12	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M6	1	0.0076786159450334	0	0	3.224	0.551	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.000387334424206569	FALSE	none
AA01.MAG18	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp000016665	Chloroflexota	Chloroflexia	Roseiflexus	Roseiflexus sp000016665	M6	2	0.0411014569589959	0	0	3.193	0.576	2	0.866025403784439	TRUE	0	Ultra-peripheral	0.00202020202020202	0.00105684205323155	FALSE	none
LE01.MAG05	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M7	1	0.0224318757290588	0	0	2.802	0.568	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.00100211363813677	FALSE	none
LR01.MAG18	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	Chloroflexota	Chloroflexia	Roseiflexus	Unclassified	M7	2	0.0747457597872408	0	0	2.666	0.633	2	0.866025403784439	TRUE	0	Ultra-peripheral	0.00202020202020202	0.00188541758269855	FALSE	none
AY03.MAG59	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae	Planctomycetota	Phycisphaerae	Unclassified	Unclassified	M2	1	0.0000714383607700142	0	0	2.379	0.459	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.0000579845517158004	FALSE	none
AR01.MAG32	Bacteria;Planctomycetota;Phycisphaerae;UBA1845;Fen-1342;CALGJV01	Planctomycetota	Phycisphaerae	CALGJV01	Unclassified	M5	1	0.00754753400650528	0	0	1.918	0.586	1	-0.912870929175277	TRUE	0	Ultra-peripheral	0	0.00333269162337967	FALSE	none
