Source	Target	PrimaryEdge	PrimaryPartialCorrelation	SelectionFrequency	PositiveFrequency	NegativeFrequency	MeanPartialAcrossAllBootstraps	MeanPartialWhenSelected	SDPartialAcrossAllBootstraps	PrimarySignAgreement	Consensus70	HighStability80	EdgeKey	Sign	AbsolutePartialCorrelation
AB22.MAG021	AR10.MAG05	TRUE	0.03342120123398	0.593	0.593	0	0.0382338016831824	0.064475213630999	0.0455525014764307	1	FALSE	FALSE	AB22.MAG021||AR10.MAG05	Positive	0.03342120123398
AR01.MAG32	LB02.MAG08	TRUE	-0.00754753400650528	0.586	0	0.586	-0.0309983705029628	-0.0528982431791174	0.0364059221365094	1	FALSE	FALSE	AR01.MAG32||LB02.MAG08	Negative	0.00754753400650528
AB03.MAG30	AY04.MAG035	TRUE	0.0249643142436301	0.58	0.58	0	0.0303427084594731	0.0523150145852984	0.0365289214666751	1	FALSE	FALSE	AB03.MAG30||AY04.MAG035	Positive	0.0249643142436301
LE01.MAG05	LR01.MAG18	TRUE	0.0224318757290588	0.568	0.568	0	0.0415657149692494	0.0731790756500869	0.0526558362707898	1	FALSE	FALSE	LE01.MAG05||LR01.MAG18	Positive	0.0224318757290588
AW01.MAG04	LV02.MAG19	TRUE	0.0183546705493554	0.566	0.566	0	0.0403935104607607	0.071366626255761	0.0533427473394733	1	FALSE	FALSE	AW01.MAG04||LV02.MAG19	Positive	0.0183546705493554
AA03.MAG56	LC04.MAG4	TRUE	0.00239644830196042	0.563	0.563	0	0.0270915233107549	0.048119934832602	0.0346342947370511	1	FALSE	FALSE	AA03.MAG56||LC04.MAG4	Positive	0.00239644830196042
AA01.MAG18	LB01.MAG12	TRUE	0.0076786159450334	0.551	0.551	0	0.0398092076381432	0.0722490156772108	0.0519222385934185	1	FALSE	FALSE	AA01.MAG18||LB01.MAG12	Positive	0.0076786159450334
AB03.MAG30	LD01.MAG01	TRUE	0.0128314607194224	0.549	0.549	0	0.037732041381172	0.06872867282545	0.0529236741336316	1	FALSE	FALSE	AB03.MAG30||LD01.MAG01	Positive	0.0128314607194224
AR10.MAG05	AY05.MAG06	TRUE	0.0138432210459439	0.546	0.546	0	0.0301153231086152	0.0551562694296982	0.0402131530743646	1	FALSE	FALSE	AR10.MAG05||AY05.MAG06	Positive	0.0138432210459439
AB22.MAG021	LT12.MAG12	TRUE	0.000391472221115712	0.544	0.544	0	0.0312588330900552	0.057461090239072	0.0397324776374892	1	FALSE	FALSE	AB22.MAG021||LT12.MAG12	Positive	0.000391472221115712
AB22.MAG021	AY04.MAG003	TRUE	0.0181778942981583	0.539	0.539	0	0.0350217735198513	0.0649754610757909	0.0451040999072349	1	FALSE	FALSE	AB22.MAG021||AY04.MAG003	Positive	0.0181778942981583
AY06.MAG26	LV02.MAG19	TRUE	0.015510036054875	0.516	0.516	0	0.0343620938866164	0.0665932052066209	0.0482739477555702	1	FALSE	FALSE	AY06.MAG26||LV02.MAG19	Positive	0.015510036054875
AB22.MAG084	AM02.MAG09	TRUE	0.0103651323305877	0.507	0.507	0	0.0361342482794422	0.0712707066655664	0.0498599080930111	1	FALSE	FALSE	AB22.MAG084||AM02.MAG09	Positive	0.0103651323305877
LC04.MAG8	LH02.MAG08	TRUE	0.00800226839606156	0.507	0.507	0	0.0389410859927893	0.0768068757254227	0.0543221027917256	1	FALSE	FALSE	LC04.MAG8||LH02.MAG08	Positive	0.00800226839606156
AA03.MAG56	AY07.MAG49	TRUE	0.00252341852589582	0.498	0.498	0	0.0367098643252059	0.0737145869984054	0.0507435596866369	1	FALSE	FALSE	AA03.MAG56||AY07.MAG49	Positive	0.00252341852589582
AB03.MAG30	AR11.MAG12	TRUE	0.00259369410231125	0.478	0.478	0	0.0208978806291375	0.0437194155421287	0.0317991728001932	1	FALSE	FALSE	AB03.MAG30||AR11.MAG12	Positive	0.00259369410231125
AB22.MAG084	AY03.MAG59	TRUE	0.0000714383607700142	0.459	0.459	0	0.0257674137114189	0.0561381562340282	0.0393515129409736	1	FALSE	FALSE	AB22.MAG084||AY03.MAG59	Positive	0.0000714383607700142
LD01.MAG01	LE01.MAG07	TRUE	-0.00116548085896703	0.441	0	0.441	-0.0148496591722504	-0.0336726965357152	0.0231035056128396	1	FALSE	FALSE	LD01.MAG01||LE01.MAG07	Negative	0.00116548085896703
