	CCMD34381688ST-21-0	G78505	G88884	G88970	G89027	H2M514903	H3M518116	HD-1	HD-5	HV-6	LD-48	M1.48.ST	M2.48.ST	M2.58.ST	N021	S353	SID530054	SZAXPI003417-4	T2D-025	T2D-063	T2D-105	YSZC12003_36795
UniRef90_A0A0J1IZ44	-2	-3	-2	-2	-3	-3	-3	-3	-1	1	-3	-3	-3	-3	-3	-1	-2	-3	-3	1	-3	1
UniRef90_A0A0J1J7C8	-1	-1	-1	-1	-1	-1	-1	-3	-1	1	-1	1	-1	-1	1	-1	-3	-1	-1	-1	-1	-1
UniRef90_A0A0K2Y5T8	-2	1	-2	1	-3	-1	-1	-1	-1	1	-1	-3	-3	-3	1	1	1	-2	1	-1	1	1
UniRef90_A0A0K9N8F7	-3	-3	-3	-3	-2	-3	-1	-1	-2	-2	1	-3	-3	-3	-2	-3	-2	-3	1	-3	1	-1
UniRef90_A0A0K9NBB8	-1	1	-1	-2	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-3	1	-1
UniRef90_A0A0L0QLX7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M1IXJ3	-3	-3	-3	-3	-3	-3	1	-1	1	-3	1	-3	-3	1	-1	1	-1	-2	-3	1	-3	-3
UniRef90_A0A0M6W8Q5	1	1	1	1	1	1	1	1	-3	-3	1	1	1	1	-2	1	1	-3	1	1	1	1
UniRef90_A0A0M6W8V4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6W8X1	-3	-3	-3	1	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3	-3	1
UniRef90_A0A0M6W8Z6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-3	1
UniRef90_A0A0M6W908	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6W919	-3	1	1	1	1	-3	-3	1	1	-3	-3	1	1	1	-2	1	1	-3	-3	-3	1	1
UniRef90_A0A0M6W965	-3	-3	-3	-3	-3	1	-3	-3	-1	1	-2	-2	1	1	-2	-2	1	-2	-2	-3	-3	1
UniRef90_A0A0M6W975	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6W977	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6W983	-3	-3	-3	-3	-3	-2	-2	-3	1	-2	-3	-3	-2	1	-2	-2	1	-3	-2	-3	-3	1
UniRef90_A0A0M6W986	-3	-3	-3	-3	-2	1	-3	-3	-1	1	-2	-2	1	1	-2	1	1	-3	-2	-3	-3	1
UniRef90_A0A0M6W9C7	-3	-3	-3	-3	-3	-2	1	-3	-1	1	1	-2	-3	-2	1	-3	1	-2	-2	-3	-3	1
UniRef90_A0A0M6W9D9	-3	-3	-3	-3	-3	-2	-3	-3	-1	1	-2	-2	-2	-2	-2	-2	1	-3	-2	-3	-3	-2
UniRef90_A0A0M6W9H4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1
UniRef90_A0A0M6W9M0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6W9R2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-2	1	1	1	1	1	1	1
UniRef90_A0A0M6W9S3	-3	-3	-3	-3	-3	-2	-3	-3	1	-2	-3	-3	-2	-3	-3	-2	-2	-3	-2	-3	-3	-2
UniRef90_A0A0M6W9V3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6W9Y0	1	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6WA27	-3	-3	1	-3	-3	-3	-3	-3	-2	-3	1	-3	-3	-3	-2	-3	-2	-3	-3	-3	-3	-3
UniRef90_A0A0M6WAA1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	1	-3	1
UniRef90_A0A0M6WAA8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WAD4	-2	-3	1	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	1	-3	-3	1
UniRef90_A0A0M6WAD9	1	-2	1	-3	1	-3	1	-2	-3	-3	-3	-2	-2	-2	-3	1	-3	-1	1	-3	-3	-3
UniRef90_A0A0M6WAG0	-3	-3	1	1	1	-3	-3	-3	-3	-3	1	-2	1	1	1	1	1	-3	-3	-3	-3	1
UniRef90_A0A0M6WAG5	1	1	1	1	1	1	1	1	1	1	1	1	1	-3	1	1	1	1	1	1	-3	1
UniRef90_A0A0M6WAI1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WAJ5	-3	1	1	1	-3	-3	1	1	-3	1	-3	-3	-3	-3	-3	-1	1	-3	-2	-3	-2	1
UniRef90_A0A0M6WAK9	1	1	-1	-3	1	-3	-1	1	-3	-3	-3	1	-2	1	-3	1	-3	-1	1	-3	-3	-3
UniRef90_A0A0M6WAN0	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WAN3	-3	-3	-3	-3	-3	1	-3	-3	-1	-3	-2	-2	-2	1	-3	-2	1	-2	-2	-3	-3	1
UniRef90_A0A0M6WAN6	-2	-3	-3	-3	-2	1	-3	-3	-1	1	-2	-2	1	1	-2	-2	1	-2	-2	-3	-3	1
UniRef90_A0A0M6WAP0	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WAQ8	-1	1	-3	-3	-3	-3	1	1	-3	1	-1	-3	-3	-3	-3	-3	1	-2	-3	1	1	-2
UniRef90_A0A0M6WAR2	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3
UniRef90_A0A0M6WAS4	1	1	1	1	1	1	1	1	-2	-2	-2	1	1	1	-3	1	1	1	-2	-2	1	1
UniRef90_A0A0M6WAT4	-3	-3	-3	-3	-2	1	-3	-3	-1	1	-2	-2	1	1	-3	-2	1	-2	1	-3	-3	1
UniRef90_A0A0M6WAT5	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WAV6	-3	-3	-3	-3	-3	-2	-3	-3	-1	1	-2	-2	-2	-2	-3	-3	-2	-2	-2	-3	-3	-2
UniRef90_A0A0M6WAW2	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WAY3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	1	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6WAY9	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3	-3	-3
UniRef90_A0A0M6WB08	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WB40	-3	-3	-3	-3	-3	1	-3	-3	-1	-3	-3	-2	1	-2	-3	-3	-2	-2	-3	-3	-3	-2
UniRef90_A0A0M6WB74	1	-3	1	-3	-3	-3	-1	-1	1	-2	-1	-3	-2	1	1	1	-3	-1	-1	-2	-2	-1
UniRef90_A0A0M6WB81	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WBD9	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-2	-2	-3	-3	-2
UniRef90_A0A0M6WBH5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBJ4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBL9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBM4	-2	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-2	-3	-3	1
UniRef90_A0A0M6WBM9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBN1	-2	-2	-3	-3	-3	-3	-1	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-2	-3	-3	-3
UniRef90_A0A0M6WBN7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBP6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBP7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBQ6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WBS7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WBS9	1	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3	-3	-3	1	1	-3	-3	-3	-3	1
UniRef90_A0A0M6WBU0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBV3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBZ4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WBZ6	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WC03	-3	-3	-3	-3	-3	1	-3	-3	-1	1	-3	-3	-2	1	-3	-2	1	-2	-2	-3	-3	1
UniRef90_A0A0M6WC50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WC67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WC74	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WC88	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WC89	1	-3	-2	-2	-2	1	1	1	-1	-2	-1	-3	-3	-3	1	-3	-2	1	1	-2	-2	1
UniRef90_A0A0M6WCA7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1
UniRef90_A0A0M6WCB9	-3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCC3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6WCC7	-2	-2	1	1	1	1	-1	1	1	-2	1	1	-2	1	-3	1	-2	1	1	1	1	1
UniRef90_A0A0M6WCD0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6WCD6	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCD8	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	1	1	-3
UniRef90_A0A0M6WCG5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6WCI4	-2	-3	1	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	1
UniRef90_A0A0M6WCI9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCJ4	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6WCJ8	1	1	1	1	1	1	1	1	1	1	-2	1	1	1	-2	1	1	-2	-2	-2	1	1
UniRef90_A0A0M6WCL3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6WCM6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6WCM7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WCN8	1	-3	1	1	-3	1	-3	-2	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	1	-2	1
UniRef90_A0A0M6WCQ7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCR6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCS7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WCT9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCV3	1	1	1	1	1	1	1	1	1	1	-2	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCW1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCW4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCX0	1	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCX8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WCY0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCZ2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCZ7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WCZ8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WD07	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WD10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WD12	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WD39	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WD42	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WD45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WD47	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1
UniRef90_A0A0M6WD50	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WD53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WD58	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WD60	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WD90	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WDA4	-1	-1	-3	-3	-3	-3	-3	-2	-3	-2	-2	-3	-3	-3	-3	-3	1	-2	-3	1	1	1
UniRef90_A0A0M6WDC4	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDD3	1	-2	1	-2	1	-2	1	-2	-2	1	1	-2	-2	-2	1	-2	1	1	-2	-2	-2	-2
UniRef90_A0A0M6WDD4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WDE9	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDF1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WDJ5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WDK1	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	1	-3	1	-3	-3	1	-3	1	1	-3	-3	-3
UniRef90_A0A0M6WDK4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDM4	-3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDR3	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1
UniRef90_A0A0M6WDT0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WDT6	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	1	-3	-3	-3	-3	-3
UniRef90_A0A0M6WDY0	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1
UniRef90_A0A0M6WDY1	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	1
UniRef90_A0A0M6WDZ8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-2	-3	-3	-3	-3	-2
UniRef90_A0A0M6WE06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WE34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WE74	1	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	1	1	1	1	-3	-3	-3	1	-2
UniRef90_A0A0M6WEA3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEA5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEB0	-3	1	-3	-3	1	-3	-3	-3	-3	-3	-3	1	-3	1	-2	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEB4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEC0	-3	-3	-3	1	-2	-3	-3	-2	-3	-3	-3	-3	-3	-3	-2	-2	1	-1	-2	-3	-3	1
UniRef90_A0A0M6WEC8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEC9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WED6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEE6	1	1	1	1	1	-2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WEF3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEG1	-2	1	-2	1	1	-2	-2	1	-3	-2	-3	1	1	-2	-2	1	-2	-2	-3	-2	-3	1
UniRef90_A0A0M6WEG7	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WEI9	-3	1	-3	-3	1	-3	-3	-3	-3	-3	-3	1	-3	1	1	1	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEQ0	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WES9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3
UniRef90_A0A0M6WET6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WEV2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEV8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3
UniRef90_A0A0M6WEW8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEY4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WEZ8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WF01	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0M6WF02	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
