Dataset	Tool	RegionID	SequenceID	Start0	End0	LengthBp	Products	Categories	AtSequenceEdge	MeanProbability	MaximumProbability	TopMIBiGAccession	TopMIBiGDescription	TopMIBiGRiQ	TopKnownClusterAccession	TopKnownClusterDescription	TopKnownClusterSimilarityPercent	FractionalGenes	MappedFractionalGenes	MOCK1FractionalRawReads	MOCK2FractionalRawReads	MOCK1AssignedReadPercent	MOCK2AssignedReadPercent
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c003384::r1	megahit-co__c003384	1718	63937	62219	NRPS;T1PKS	PKS;NRPS	no			BGC0002286.3	ririwpeptide A, ririwpeptide B, ririwpeptide C	0.64307557	BGC0001053.5	tubulysin A	6	41.00000000	41.00000000	2189.00000000	2283.00000000	0.0786212653	0.0821979065
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c003598::r1	megahit-co__c003598	11758	41887	30129	T1PKS;NRPS	PKS;NRPS	yes			BGC0000342.4	enniatin	0.67930495	BGC0002711.2	nostovalerolactone/9-dehydronostovalerolactone	28	16.00000000	16.00000000	770.00000000	771.00000000	0.0276557215	0.0277593456
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c003646::r1	megahit-co__c003646	90299	110005	19706	terpene-precursor	Terpene	yes			BGC0002736.2	preaspterpenacid I	0.49070916				23.00000000	23.00000000	2359.00000000	2359.00000000	0.0847270739	0.0849342363
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c003683::r1	megahit-co__c003683	0	28134	28134	terpene	Terpene	yes			BGC0002397.2	astallatene	0.53762493				27.00000000	27.00000000	1155.00000000	1122.00000000	0.0414835822	0.0403968686
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c003789::r1	megahit-co__c003789	138870	159107	20237	RRE-containing	RiPP	no			BGC0000883.5	arginomycin	0.30216683				18.00000000	18.00000000	799.00000000	906.00000000	0.0286973006	0.0326199314
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c004022::r1	megahit-co__c004022	9114	30167	21053	terpene	Terpene	no			BGC0000751.3	capsular polysaccharide	0.46683128	BGC0000781.3	O-antigen	14	21.00000000	21.00000000	944.00000000	975.00000000	0.0339051962	0.0351042308
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c004062::r1	megahit-co__c004062	1471	26947	25476	NRPS-like	NRPS	yes			BGC0002274.2	aspulvinone H, aspulvinone B1	0.59577644				29.00000000	29.00000000	1062.00000000	1095.00000000	0.0381433457	0.0394247515
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c004127::r1	megahit-co__c004127	16718	26710	9992	RiPP-like	RiPP	yes			BGC0002013.4	curacozole	0.35734027				8.00000000	8.00000000	258.00000000	219.00000000	0.0092664625	0.0078849503
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c004451::r1	megahit-co__c004451	11947	22745	10798	RiPP-like	RiPP	no			BGC0000689.3	2-deoxystreptamine	0.24162364				14.00000000	14.00000000	1441.00000000	1385.00000000	0.0517557073	0.0498660099
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c005259::r1	megahit-co__c005259	73158	94043	20885	terpene-precursor	Terpene	no			BGC0002397.2	astallatene	0.47481254	BGC0001595.3	fischerindole	8	25.00000000	25.00000000	915.00000000	879.00000000	0.0328636171	0.0316478142
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c005259::r2	megahit-co__c005259	144070	165456	21386	ranthipeptide	RiPP	no			BGC0002306.2	freyrasin	0.46914292				24.00000000	24.00000000	925.00000000	886.00000000	0.0332227823	0.0318998446
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c005539::r1	megahit-co__c005539	4891	25890	20999	terpene-precursor	Terpene	no			BGC0002162.3	sesterfisherol, sesterfisheric acid, compound 6, compound 7a, compound 5, compound 8	0.49594508				23.00000000	23.00000000	596.00000000	526.00000000	0.0214062467	0.0189382824
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c005594::r1	megahit-co__c005594	1085	22471	21386	RRE-containing	RiPP	no			BGC0002306.2	freyrasin	0.46494923				21.00000000	21.00000000	1774.00000000	1720.00000000	0.0637159089	0.0619274635
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c005662::r1	megahit-co__c005662	15438	36406	20968	cyclic-lactone-autoinducer	RiPP	no			BGC0000504.5	cytolysin ClyLl, cytolysin ClyLs	0.39125644				23.00000000	23.00000000	961.00000000	934.00000000	0.0345157771	0.0336280529
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c006111::r1	megahit-co__c006111	18316	39284	20968	terpene-precursor	Terpene	no			BGC0002397.2	astallatene	0.52879152				23.00000000	23.00000000	1231.00000000	1132.00000000	0.0442132378	0.0407569120
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c006375::r1	megahit-co__c006375	7722	28622	20900	terpene-precursor	Terpene	no			BGC0000244.4	nonactin, monactin, dinactin, trinactin, tetranactin	0.47299574				25.00000000	25.00000000	3268.00000000	3241.00000000	0.1173751919	0.1166900635
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c006523::r1	megahit-co__c006523	0	16479	16479	microviridin	RiPP	yes			BGC0000593.4	microviridin J	0.71840364	BGC0002049.3	microviridin N9/microviridin N8/microviridin N7/microviridin N6/microviridin N5/microviridin N4/microviridin N3	33	19.00000000	19.00000000	615.00000000	587.00000000	0.0220886607	0.0211345471
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c007307::r1	megahit-co__c007307	0	20020	20020	NRPS-like	NRPS	yes			BGC0000871.4	VEPE, AEPE, TG-1	0.34732946				21.00000000	21.00000000	324.00000000	361.00000000	0.0116369529	0.0129975665
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c007850::r1	megahit-co__c007850	657907	698960	41053	T3PKS	PKS	no			BGC0000929.3	xanthothricin	0.36951835				39.00000000	39.00000000	1659.00000000	1684.00000000	0.0595855090	0.0606313073
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c007990::r1	megahit-co__c007990	0	17964	17964	terpene-precursor	Terpene	yes			BGC0002162.3	sesterfisherol, sesterfisheric acid, compound 6, compound 7a, compound 5, compound 8	0.49943869				15.00000000	15.00000000	568.00000000	507.00000000	0.0204005841	0.0182542000
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c008086::r1	megahit-co__c008086	46932	95579	48647	NRPS-like;NRPS	NRPS	no			BGC0002075.3	pyreudione A, pyreudione B, pyreudione C, pyreudione D, pyreudione E	0.74300103				34.00000000	34.00000000	1316.00000000	1130.00000000	0.0472661421	0.0406849033
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c008281::r1	megahit-co__c008281	11741	27959	16218	terpene	Terpene	yes			BGC0000706.3	kanamycin	0.42834196	BGC0001443.5	matlystatin A	11	20.00000000	20.00000000	324.00000000	311.00000000	0.0116369529	0.0111973495
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c008889::r1	megahit-co__c008889	16608	37358	20750	hserlactone	Other	no			BGC0000725.5	alginate	0.51564202				20.00000000	20.00000000	866.00000000	821.00000000	0.0311037075	0.0295595625
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c009355::r1	megahit-co__c009355	22394	44474	22080	terpene	Terpene	no			BGC0001746.3	pristinol	0.75396224				16.00000000	16.00000000	609.00000000	545.00000000	0.0218731615	0.0196223649
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c009821::r1	megahit-co__c009821	0	24752	24752	T3PKS	PKS	yes			BGC0001521.3	auriculamide	0.54832639	BGC0001521.3	auriculamide	9	20.00000000	20.00000000	582.00000000	535.00000000	0.0209034154	0.0192623215
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c009855::r1	megahit-co__c009855	0	23612	23612	NI-siderophore	Other	yes			BGC0001572.3	desferrioxamine E	0.60826363	BGC0002683.2	schizokinen	40	27.00000000	27.00000000	482.00000000	587.00000000	0.0173117633	0.0211345471
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c009855::r2	megahit-co__c009855	28464	48812	20348	RRE-containing	RiPP	no			BGC0001779.5	siamycin	0.38208701				19.00000000	19.00000000	417.00000000	413.00000000	0.0149771894	0.0148697921
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c009868::r1	megahit-co__c009868	0	21258	21258	arylpolyene	PKS	yes			BGC0002276.2	choline	0.57970468				23.00000000	23.00000000	708.00000000	748.00000000	0.0254288971	0.0269312458
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c010040::r1	megahit-co__c010040	0	26738	26738	NRPS	NRPS	yes			BGC0002135.2	bovienimide A	0.65892123				10.00000000	10.00000000	791.00000000	704.00000000	0.0284099684	0.0253470548
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c010574::r1	megahit-co__c010574	0	30148	30148	T1PKS	PKS	yes			BGC0001160.5	1-nonadecene, (14Z)-1,14-nonadecadiene	0.64705841				19.00000000	19.00000000	637.00000000	770.00000000	0.0228788241	0.0277233412
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c010577::r1	megahit-co__c010577	0	11682	11682	terpene	Terpene	yes			BGC0000656.5	zeaxanthin	0.51029247				12.00000000	12.00000000	304.00000000	264.00000000	0.0109186225	0.0095051456
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c010759::r1	megahit-co__c010759	20681	69143	48462	NRPS	NRPS	no			BGC0002286.3	ririwpeptide A, ririwpeptide B, ririwpeptide C	0.71044755	BGC0002286.3	ririwpeptide A/ririwpeptide B/ririwpeptide C	100	48.00000000	48.00000000	1341.00000000	1237.00000000	0.0481640552	0.0445373676
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c010947::r1	megahit-co__c010947	0	12627	12627	terpene	Terpene	yes			BGC0000719.5	tobramycin	0.32161217				10.00000000	10.00000000	267.00000000	229.00000000	0.0095897112	0.0082449937
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c011111::r1	megahit-co__c011111	42471	65230	22759	NRPS-like	NRPS	yes			BGC0001641.4	kolossin	0.63918881	BGC0002135.2	bovienimide A	100	17.00000000	17.00000000	561.00000000	528.00000000	0.0201491685	0.0190102911
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c011144::r1	megahit-co__c011144	0	20569	20569	terpene	Terpene	yes			BGC0000903.3	fluorometabolite	0.34587602				22.00000000	22.00000000	447.00000000	465.00000000	0.0160546851	0.0167420177
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c011261::r1	megahit-co__c011261	3959	15159	11200	RiPP-like	RiPP	no			BGC0000477.3	patellin 2, patellin 3	0.34072975				11.00000000	11.00000000	911.00000000	1013.00000000	0.0327199510	0.0364723957
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c011572::r1	megahit-co__c011572	90	21576	21486	T3PKS	PKS	yes			BGC0001962.3	hierridin B, hierridin C	0.58944336				19.00000000	19.00000000	437.00000000	432.00000000	0.0156955198	0.0155538746
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c012004::r1	megahit-co__c012004	173872	197274	23402	lanthipeptide-class-ii	RiPP	no			BGC0001210.5	pseudomycoicidin	0.50692777				24.00000000	24.00000000	1090.00000000	1177.00000000	0.0391490083	0.0423771073
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c012228::r1	megahit-co__c012228	0	23562	23562	NRPS-like;T1PKS	PKS;NRPS	yes			BGC0001284.4	alternariol	0.62518868				18.00000000	18.00000000	592.00000000	533.00000000	0.0212625807	0.0191903128
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c012230::r1	megahit-co__c012230	0	17560	17560	ranthipeptide	RiPP	yes			BGC0001929.2	WGK	0.43475636				18.00000000	18.00000000	1576.00000000	1600.00000000	0.0566044377	0.0576069428
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c012805::r1	megahit-co__c012805	116861	153844	36983	T1PKS	PKS	yes			BGC0001275.3	6-methylsalicyclic acid	0.66282353				30.00000000	30.00000000	1627.00000000	1585.00000000	0.0584361803	0.0570668777
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c012837::r1	megahit-co__c012837	0	17366	17366	terpene	Terpene	yes			BGC0000656.5	zeaxanthin	0.47133476				21.00000000	21.00000000	345.00000000	376.00000000	0.0123911999	0.0135376316
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c012934::r1	megahit-co__c012934	12231	33050	20819	terpene-precursor	Terpene	no			BGC0002397.2	astallatene	0.45953140				20.00000000	20.00000000	2361.00000000	2303.00000000	0.0847989070	0.0829179933
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c013804::r1	megahit-co__c013804	12662	23726	11064	terpene-precursor	Terpene	yes			BGC0002400.2	boleracene	0.42799093				11.00000000	11.00000000	315.00000000	283.00000000	0.0113137042	0.0101892280
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c014223::r1	megahit-co__c014223	104823	125120	20297	RRE-containing	RiPP	no			BGC0000602.5	subtilosin A	0.34504595				17.00000000	17.00000000	476.00000000	440.00000000	0.0170962642	0.0158419093
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c014827::r1	megahit-co__c014827	20566	34240	13674	azole-containing-RiPP	RiPP	yes			BGC0001849.4	thiovarsolin A, thiovarsolin B, thiovarsolin C, thiovarsolin D	0.37711575				15.00000000	15.00000000	1428.00000000	1361.00000000	0.0512887925	0.0490019057
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c015054::r1	megahit-co__c015054	393894	414767	20873	terpene-precursor	Terpene	no			BGC0002397.2	astallatene	0.46194194				26.00000000	26.00000000	832.00000000	778.00000000	0.0298825458	0.0280113759
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c015154::r1	megahit-co__c015154	12201	33020	20819	terpene-precursor	Terpene	no			BGC0002397.2	astallatene	0.45841948				20.00000000	20.00000000	3126.00000000	3280.00000000	0.1122750458	0.1180942327
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c015563::r1	megahit-co__c015563	0	26329	26329	T1PKS	PKS	yes			BGC0000056.3	esperamicin	0.63555693	BGC0001397.5	lidamycin	8	18.00000000	18.00000000	587.00000000	503.00000000	0.0210829981	0.0181101826
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c015858::r1	megahit-co__c015858	0	35826	35826	T1PKS	PKS	yes			BGC0002276.2	choline	0.61825804				22.00000000	22.00000000	794.00000000	822.00000000	0.0285177180	0.0295955669
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c015933::r1	megahit-co__c015933	20264	39791	19527	terpene	Terpene	yes			BGC0000647.3	carotenoid	0.57388097				24.00000000	24.00000000	490.00000000	427.00000000	0.0175990955	0.0153738529
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c016054::r1	megahit-co__c016054	0	68933	68933	NRPS	NRPS	yes			BGC0002135.2	bovienimide A	0.77521056	BGC0000973.5	collismycin A	7	43.00000000	43.00000000	1896.00000000	1662.00000000	0.0680977245	0.0598392118
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c016081::r1	megahit-co__c016081	12716	23709	10993	butyrolactone	Other	no			BGC0001685.3	N-acyloxyacyl lysine	0.45534441				9.00000000	9.00000000	327.00000000	311.00000000	0.0117447025	0.0111973495
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c016237::r1	megahit-co__c016237	37080	66905	29825	NRPS;T1PKS	PKS;NRPS	yes			BGC0000342.4	enniatin	0.71545679	BGC0000033.5	calicheamicin	4	19.00000000	19.00000000	737.00000000	678.00000000	0.0264704763	0.0244109420
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c016781::r1	megahit-co__c016781	0	23825	23825	NRPS;NRPS-like;T1PKS	PKS;NRPS	yes			BGC0000342.4	enniatin	0.69253737	BGC0001467.5	hapalosin A/hapalosin C/hapalosin D/hapalosin E/hapalosin F/hapalosin G	40	14.00000000	14.00000000	534.00000000	513.00000000	0.0191794224	0.0184702260
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c017077::r1	megahit-co__c017077	387712	399026	11314	terpene	Terpene	yes			BGC0001428.4	myxochromide A	0.20325781				10.00000000	10.00000000	462.00000000	524.00000000	0.0165934329	0.0188662738
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c017180::r1	megahit-co__c017180	0	20183	20183	terpene	Terpene	yes			BGC0000647.3	carotenoid	0.70229548				17.00000000	17.00000000	818.00000000	810.00000000	0.0293797145	0.0291635148
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c017180::r2	megahit-co__c017180	978585	1027185	48600	NRP-metallophore;NRPS	NRPS	no			BGC0002075.3	pyreudione A, pyreudione B, pyreudione C, pyreudione D, pyreudione E	0.73750299	BGC0002689.2	2,3-dihydroxybenzoylserine	26	37.00000000	37.00000000	2307.00000000	2359.00000000	0.0828594148	0.0849342363
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c017475::r1	megahit-co__c017475	48922	70494	21572	terpene	Terpene	no			BGC0001198.3	(+)-O-methylkolavelool	0.90856030	BGC0001198.3	(+)-O-methylkolavelool	100	16.00000000	16.00000000	618.00000000	598.00000000	0.0221964102	0.0215305949
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c017675::r1	megahit-co__c017675	19562	40474	20912	terpene-precursor	Terpene	no			BGC0002283.2	sodorifen	0.49537814	BGC0001595.3	fischerindole	8	16.00000000	16.00000000	675.00000000	714.00000000	0.0242436519	0.0257070982
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c018232::r1	megahit-co__c018232	15581	37460	21879	thioamitides	RiPP	no			BGC0000895.5	citrulline	0.51854265				22.00000000	22.00000000	1014.00000000	985.00000000	0.0364193527	0.0354642742
