Branch	Assembler	Platform	JunctionID	ContigID	LengthBp	JunctionEligible	JunctionFlankBp	SequenceSHA256	OriginalHeader	IdentityFloor	IdentityComputation	AuditedPrimaryPAFRecords	BaseLevelCigarPAFRecords	JunctionSpanningReads	SupportedByGE3Reads
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000028	contig_421	1238711	TRUE	5000	57d41717dce538f36abe3923982bce64580807dbd316fab6661211862eefdea2	contig_421	0.75	minimap2-c-paf-matches-over-block	632	632	35	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000029	contig_604	53369	TRUE	5000	72d64bc7d6138fc5e79e603daed8a905c7d82de2152cf36209d5995377f2fd7f	contig_604	0.75	minimap2-c-paf-matches-over-block	30	30	5	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000030	contig_610	11016	TRUE	5000	a877ea65044b114f0da483dfd10c8006008653615e8ced320b446a6d045127c0	contig_610	0.75	minimap2-c-paf-matches-over-block	139	139	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000031	contig_678	1967597	TRUE	5000	de2ab3a01ead241b569248e74d86cc5b1c5d8fb3872a8d6513911e137d1c97e7	contig_678	0.75	minimap2-c-paf-matches-over-block	3347	3347	20	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000032	contig_679	2150013	TRUE	5000	f6e6646cb15ae3284263f6809b01e24004462ff3754b4111c0c5f96c568c3d5e	contig_679	0.75	minimap2-c-paf-matches-over-block	92	92	5	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000033	contig_77	2176957	TRUE	5000	5ff926c27c93768c40415e8652e88638c5f3062946083a93021566d15f3a928a	contig_77	0.75	minimap2-c-paf-matches-over-block	225	225	14	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000034	contig_895	7136817	TRUE	5000	457f7eaaed06184c3ee036b14a6ba2f0e887e96896c3e7b4be6b47c2643617f3	contig_895	0.75	minimap2-c-paf-matches-over-block	56	56	10	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000035	contig_914	4803	FALSE	0	b17e898b305f99bf6a3296a76c9411eede8a1e3fc158cc99e3aab8f9487f4860	contig_914	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000036	contig_973	1674	FALSE	0	c9c59ee284da72e9d75b24201535bd8a66e81ebbffdd34b91b72d9fdf0f64d77	contig_973	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000001	contig_1	6722405	TRUE	5000	4895e02b1e37c7a5684e076a0ed86195e0e3186c76ebdbf1ab9919b4ede023c7	contig_1	0.95	minimap2-c-paf-matches-over-block	1119	1119	23	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000002	contig_102	1243911	TRUE	5000	ceae10ec9e24b95214afdc4aacb25336590d9d833d232426a2828f1117a67e1a	contig_102	0.95	minimap2-c-paf-matches-over-block	268	268	78	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000003	contig_136	2180123	TRUE	5000	eda51d389b9adcc0dfacc466a135f2946aeca2286a2cb825e6af4521a4308822	contig_136	0.95	minimap2-c-paf-matches-over-block	237	237	19	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000004	contig_161	1469853	TRUE	5000	9c632a37e9ecfb7ecf0e086770e7283ed0fe71b54214bbf0fdb27b1f4721993b	contig_161	0.95	minimap2-c-paf-matches-over-block	35	35	12	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000005	contig_169	8290	FALSE	0	8a631fe8eaeb492afac7882c55817dfe281c43adabc46e0654b19957e38c88ce	contig_169	0.95	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000006	contig_171	2774457	TRUE	5000	da409a819809f2b74d2faeaebd38b01fe4f50e13498b160ab92ad5b944459544	contig_171	0.95	minimap2-c-paf-matches-over-block	346	346	37	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000007	contig_179	2664203	TRUE	5000	27b4c1f6f4f483c22be5df53b0e17923772cbab7f972628906a8b1af42c2ff24	contig_179	0.95	minimap2-c-paf-matches-over-block	57	57	14	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000008	contig_2	1930070	TRUE	5000	aa170b4c2728cec3bc9d4d14d8e92bd1ddb8a09e601e18b22c45d49d045e0d60	contig_2	0.95	minimap2-c-paf-matches-over-block	291	291	65	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000009	contig_294	2362830	TRUE	5000	d34e9228627b648c6ec4b4dca0fae2ee57b97f26d05bcf8c29c644cd416ccafe	contig_294	0.95	minimap2-c-paf-matches-over-block	1552	1552	60	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000010	contig_320	2776917	TRUE	5000	b2f59d5c91b23c29caa7e2e53309b0530ac7691bc5fbd3552c023874d05da3e0	contig_320	0.95	minimap2-c-paf-matches-over-block	303	303	62	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000011	contig_370	3151210	TRUE	5000	bd4e780a794cc3e35cf67c301c72259b5304657ab6ebaf2257bd0e8ed5c625a0	contig_370	0.95	minimap2-c-paf-matches-over-block	261	261	23	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000012	contig_381	6185274	TRUE	5000	5983fe69e3b82143fde5e7e44d7e9fc2887fca35c520b2776ffdd66186427492	contig_381	0.95	minimap2-c-paf-matches-over-block	1479	1479	22	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000013	contig_395	2242428	TRUE	5000	4204f676c1d2aa69799dca90b1a05443761073ac7fd22de064b23fb4105f8cd9	contig_395	0.95	minimap2-c-paf-matches-over-block	2136	2136	56	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000014	contig_444	1080	FALSE	0	f42766093f48f888788370cccf588084a82b98e88ed17ee64c3dcf072a9efba5	contig_444	0.95	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000015	contig_454	1780768	TRUE	5000	5bfee66a1c3e7eb4b34d19663bb8a4431acad2484157b536e7d26d922bca3d9e	contig_454	0.95	minimap2-c-paf-matches-over-block	60	60	9	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000016	contig_459	2154838	TRUE	5000	e6c67acfa8c809a844b72cc121967dfba64fb5e18de8131d3b2b6dafd83fe59e	contig_459	0.95	minimap2-c-paf-matches-over-block	78	78	26	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000017	contig_501	1667125	TRUE	5000	a61865f006a39905d1eedb1270ad83b81f88cb36416fa93319249832928a660a	contig_501	0.95	minimap2-c-paf-matches-over-block	538	538	70	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000018	contig_539	1661144	TRUE	5000	4a1471510e29e2a0fccae1332f829278374220f9bdb5dca1bd8574a93b36ec12	contig_539	0.95	minimap2-c-paf-matches-over-block	72	72	7	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000019	contig_557	6346578	TRUE	5000	6455e8859aeef70a272ad5a1eeb57cfdf383c704346f47a92d7834822b544b00	contig_557	0.95	minimap2-c-paf-matches-over-block	90	90	42	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000020	contig_57	1884474	TRUE	5000	4b0ee698874e39b58e500e4e0818c04aae5d01a7eb7432231b970b67293b05ce	contig_57	0.95	minimap2-c-paf-matches-over-block	403	403	160	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000021	contig_58	1823526	TRUE	5000	9a8f4fd2b1d7c3dbf826e28e5c52f29a78ecba1cdfad07f3c239613a22ad9cec	contig_58	0.95	minimap2-c-paf-matches-over-block	260	260	108	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000022	contig_60	3361600	TRUE	5000	484a5ee8e7866bfb798b7bffb076ea6df26090f768ef4294194e1dda826286c6	contig_60	0.95	minimap2-c-paf-matches-over-block	74	74	12	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000023	contig_621	88315	TRUE	5000	d38e9608f78668c1a9d6de41ef5bb24b12aaa56c9ffcb7b4ad05d29bd8fd75c4	contig_621	0.95	minimap2-c-paf-matches-over-block	719	719	78	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000024	contig_653	83225	TRUE	5000	48bf265d79ae9a36e4f7b63fd206db885a2b7a7b083ae3dd03db059b3c1bf092	contig_653	0.95	minimap2-c-paf-matches-over-block	1794	1794	631	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000025	contig_670	21985	TRUE	5000	464d57e7a7fa7d8dc426a2d222811dea9f70f7a732138b404a7dca284c3d3025	contig_670	0.95	minimap2-c-paf-matches-over-block	10	10	1	FALSE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000026	contig_695	1969527	TRUE	5000	88809d0eafaa13bacb8d3aeeecd2ac6bcf8e23b0e1e00c5152be6927180b4b6d	contig_695	0.95	minimap2-c-paf-matches-over-block	167	167	22	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000027	contig_732	58631	TRUE	5000	fe650991d60a278ce9759c38f0080fde55b0c021ab5272d368c58db0945f2470	contig_732	0.95	minimap2-c-paf-matches-over-block	157	157	56	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000028	contig_75	7147007	TRUE	5000	3d1ba9e6b86c561d8b3f8b20cf9e12bf7afc07cc0c67191c6c0e2e487c79201d	contig_75	0.95	minimap2-c-paf-matches-over-block	247	247	24	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000029	contig_753	52971	TRUE	5000	d83dc8f16de1161ebf162905a54a27de372d870925674d919b8b0730eb1e24e5	contig_753	0.95	minimap2-c-paf-matches-over-block	278	278	116	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000030	contig_756	186613	TRUE	5000	3c3afaec2676e5f726646a0452778a223dcf75aa76dfee8b51481d251b036515	contig_756	0.95	minimap2-c-paf-matches-over-block	38	38	3	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000031	contig_764	16548	TRUE	5000	ede035ff70af81ec1d35478e0e16660e5652daf612047cf56b33cd882d736112	contig_764	0.95	minimap2-c-paf-matches-over-block	99	99	34	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000032	contig_767	4026	FALSE	0	d535bd68ff921696e2716250a80e68b40b669d615ca3a9e5d2c78c6a349fe90f	contig_767	0.95	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000033	contig_771	177365	TRUE	5000	59aa13883bfcc62e7f8b26001a19678d4d7754514bcd1ec3abaa4ee40a008971	contig_771	0.95	minimap2-c-paf-matches-over-block	24	24	9	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000034	contig_773	8285	FALSE	0	94c400cb09c7aa0c369587f4acbc4e1743af2225bff95c5c6aa1f343fef42e0b	contig_773	0.95	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000035	contig_804	1692	FALSE	0	980e9e2933740433a7d2ab22abbb2258dd071b09d74477f6ad794f8d5b0d9920	contig_804	0.95	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000036	contig_813	339564	TRUE	5000	0af285036f68e25196b66acf7f12a47b74028d7f7bff0083a08740265cb04e56	contig_813	0.95	minimap2-c-paf-matches-over-block	162	162	33	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000037	contig_814	412602	TRUE	5000	e026098f307529abcc2da0ad9cdf69c8d7c99aaec393afa3a528d2fe73f3f594	contig_814	0.95	minimap2-c-paf-matches-over-block	17	17	7	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000038	contig_822	101965	TRUE	5000	fc45134454a1a5a3dd8fc7555f1a97170b53eb5c6c7f7f7cdebde00c03c7b9eb	contig_822	0.95	minimap2-c-paf-matches-over-block	17	17	8	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000039	contig_827	53728	TRUE	5000	c925e7b67c6ba60a17f0769cd9a0290df45227ef701e7c7c0ffd342a2565bab7	contig_827	0.95	minimap2-c-paf-matches-over-block	41	41	12	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000040	contig_828	2013697	TRUE	5000	96dc1eda40bee1307a5b978fd2b7497dc9ea2a110e562e5abcb196b2502d7c32	contig_828	0.95	minimap2-c-paf-matches-over-block	127	127	51	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000041	contig_831	45503	TRUE	5000	b8b88ba84e348e4c0fbb00b5178d5f17c7b65c44b3be191f3aa33457019f9e2e	contig_831	0.95	minimap2-c-paf-matches-over-block	36	36	7	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000042	contig_832	408487	TRUE	5000	37fb18b93c3c6e0d3915da1e5c1b57017e87a5539e7de1a49187ff73e4c8bdcd	contig_832	0.95	minimap2-c-paf-matches-over-block	602	602	46	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000043	contig_836	40340	TRUE	5000	6ffe9a2926e51f86e14a16a36f34c808b294e4c66ed27b34f5e861b91312d240	contig_836	0.95	minimap2-c-paf-matches-over-block	20	20	4	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000044	contig_843	1394508	TRUE	5000	0e35fa87bdeb56982e70ac03c2f8d426ae4ceeae3a3466a2dafca3e11f34ec40	contig_843	0.95	minimap2-c-paf-matches-over-block	37	37	0	FALSE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000045	contig_846	4637184	TRUE	5000	98783ee389b7933dc91af696fefea92c01e0b5d63d86895c2aef143fdbbc5773	contig_846	0.95	minimap2-c-paf-matches-over-block	266	266	123	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000046	contig_847	59234	TRUE	5000	0a8e2563573545fc8be0ffa212f1a7e6f9245454377ac732a4aa3f1db0fb5d67	contig_847	0.95	minimap2-c-paf-matches-over-block	1013	1013	286	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000047	contig_848	99161	TRUE	5000	dd5acda87f51db9c69890925951114e3c2f4bb90444599677cd0914a76d2ef0c	contig_848	0.95	minimap2-c-paf-matches-over-block	59	59	25	TRUE
flye-hifi	Flye	PacBio HiFi	flye-hifi__junction_000048	contig_849	65443	TRUE	5000	a2c14bc2c868eecd246e4eb4d75693bfb264546679769b15039a76eec67dd032	contig_849	0.95	minimap2-c-paf-matches-over-block	1871	1871	380	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000001	s0.ctg000001c	1930055	TRUE	5000	cca36aa450536c17145bd654681e48c96f7d0c0c2c21ec5539bd3de300c8ca84	s0.ctg000001c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	147	147	65	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000002	s1.ctg000002c	2912456	TRUE	5000	2796a24129855ab7a2dae5fbe97933106ad14298045bf0c4e685757994197814	s1.ctg000002c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	243	243	10	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000003	s3.ctg000004c	6346578	TRUE	5000	3e1a7191103171dde10fb875d07b40d42d0e99f5bda383d1b6ef1d21a2fd6cbe	s3.ctg000004c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	74	74	24	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000004	s7.ctg000008c	6185275	TRUE	5000	9b0f7ea6ac61c46624bf83baedead167cef38f8a29c5c4c4dda3c5ac019f6378	s7.ctg000008c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	40	40	17	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000005	s8.ctg000009c	2180123	TRUE	5000	b1afe8419b0d7506578a8d27b8a3dae0ad7aefbb93787d81a902b7b7de04ab8f	s8.ctg000009c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	69	69	23	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000006	s10.ctg000011c	6722402	TRUE	5000	cda685f35a84be3d058df92e0091e59b4325c3233e6ea3dbed1feff0ef4d50a5	s10.ctg000011c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	66	66	35	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000007	s14.ctg000015c	339639	TRUE	5000	f0be56d0458419609738d2de64e45aff3e123667215f866feb6db0ddec9c5a28	s14.ctg000015c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	132	132	41	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000008	s19.ctg000020c	2362811	TRUE	5000	3dbbba2682f34c2ed6cb0a489d5f77925710d73072495359445b5045ebad33e0	s19.ctg000020c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	85	85	35	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000009	s24.ctg000025c	2242743	TRUE	5000	45781e54f83a5d8e9423e0c9c0336fe7fb750827acc1e5784306cb6b14ee07d0	s24.ctg000025c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	272	272	42	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000010	s25.ctg000026c	1243911	TRUE	5000	b33ce0b7b55a1b773a9270396676117d6b18624aea3987817d6cefd0108ecc2a	s25.ctg000026c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	338	338	65	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000011	s26.ctg000027c	186613	TRUE	5000	5ced936310cec63b44bc6b3c304c57c944a40a7db83edcbce429a6e58b1e8af0	s26.ctg000027c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	21	21	5	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000012	s34.ctg000035c	4867759	TRUE	5000	0c1803c23183545c7603e7295f7e7c22d24877fa70f70aa8038de1fad18357c0	s34.ctg000035c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	19	19	7	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000013	s37.ctg000038c	3361591	TRUE	5000	ec0885eef8b12917f111cf1d96a8baab0b6099e1ea1d7359ead9e73cd2c4b831	s37.ctg000038c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	26	26	10	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000014	s38.ctg000039c	1395151	TRUE	5000	e8bdee9ef64a132b44f1d621d6d8793e2dd50147b2ce5cb1ab9184f7281d5ec8	s38.ctg000039c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	36	36	10	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000015	s40.ctg000041c	7146998	TRUE	5000	bdc8db57d723cb18d564738ff119f33ef359d649ee09c0cb952893d70ae67ceb	s40.ctg000041c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	212	212	31	TRUE
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	hifiasm-meta-hifi__junction_000016	s42.ctg000043c	1297495	TRUE	5000	af31d9730d77001fa64fd689cb168dded476ff6363a56155955ace7986d006cb	s42.ctg000043c circular=yes source=primary_gfa	0.95	minimap2-c-paf-matches-over-block	16	16	3	TRUE
