Method	RefinedID	SourceBin	Contigs	BinBp	N50Bp	CheckM2Completeness	CheckM2Contamination	GUNCPass	ReferenceFreeMinimumPass	ReferenceFreeScore	TruthAssignedBinPct	DominantTruthAccession	DominantTruthReference	AlignedPurityPct	AlignedContaminationProxyPct	DominantGenomeRecoveryPct	TruthProxyTier	RefinedFASTA	RefinedSHA256
Binette	binette__012	article43_bin2.fa	77	2643322	47024	100.0	0.04	True	True	99.8	100.0	GCA_000009145.1	Nitrosomonas_europaea_ATCC_19718	100.0	0.0	95.72973022950157	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec
Binette	binette__013	article43_bin20.fa	70	418156	8323	87.33	0.21	True	True	86.28	100.0	GCA_000008085.1	Nanoarchaeum_equitans_Kin4-M	99.13142463578185	0.8685753642181453	84.4205873065993	MQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__013.fna	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c
Binette	binette__014	article43_bin21.fa	996	5073077	6633	99.5	7.36	True	True	62.699999999999996	99.95415011441774	GCA_000017325.1	Shewanella_baltica_OS185	56.956671704053306	43.043328295946694	74.56949204861365	Below MQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__014.fna	7a6bae8324de5738961f6cecc42d9e50801ce2de695f004f9549575464d2803c
Binette	binette__015	article43_bin22.fa	272	1083632	4753	78.95	0.29	True	True	77.5	100.0	GCA_000017945.1	Ignicoccus_hospitalis_KIN4_I	100.0	0.0	83.18060819798727	MQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__015.fna	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33
Binette	binette__017	article43_bin24.fa	361	1122363	3441	69.48	1.49	True	True	62.03	100.0	GCA_000020785.1	Hydrogenobaculum_sp._Y04AAS1	99.01707379876207	0.9829262012379303	71.91221111192333	MQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__017.fna	77dd3ddcb37573eca9b1c84cf2bce0633d5f5b3d67c5a271c1600632bf12a4f5
Binette	binette__018	article43_bin25.fa	380	1366218	4054	72.06	3.36	True	True	55.260000000000005	98.98910715566623	GCA_000016125.1	Methanococcus_maripaludis_C5	98.21666110867513	1.783338891324874	73.0768241845095	MQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__018.fna	60e4ebfabd300bea9ee4d66d50ec594098fcb7a39f6ae2a9dc070f7aeb967f6b
Binette	binette__019	article43_bin26.fa	324	946551	3170	59.42	0.0	True	True	59.42	100.0	GCA_001481685.1	Ignicoccus_islandicus_DSM_13165	98.29866536509918	1.7013346349008174	66.63540465660546	MQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__019.fna	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68
Binette	binette__021	article43_bin3.fa	48	1859642	48450	100.0	0.06	True	True	99.7	100.0	GCA_000016085.1	Chlorobium_phaeovibrioides_DSM_265	100.0	0.0	94.60733820133431	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__021.fna	ce8e021af9fa69702a64dde572c32832261e73f2f9da67008e0a4cccb395b33d
Binette	binette__022	article43_bin4.fa	94	2653984	55634	100.0	0.14	True	True	99.3	100.0	GCA_000020465.1	Chlorobium_limicola_DSM_245	99.76507017374634	0.2349298262536621	96.61748542712186	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__022.fna	7aa8352e35b8586d596ed820445898846b0c9ab7d02bef825b44ac27702e25a7
Binette	binette__023	article43_bin5.fa	43	1733559	79303	99.91	0.12	True	True	99.31	100.0	GCA_000091665.1	Methanocaldococcus_jannaschii_DSM_2661	99.1818565159882	0.8181434840117987	98.7828799714011	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__023.fna	e21379b05a2d8bfee13a32910f8ba4bbf89aa9f3f0c36ea9933e0e27cd5cf43b
Binette	binette__024	article43_bin6.fa	54	1698339	82868	99.93	0.15	True	True	99.18	100.0	GCA_000016785.1	Thermotoga_petrophila_RKU-1	99.06202471944647	0.9379752805535304	92.67243246681814	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__024.fna	77e8136b6b221277df458756be3ed1c72bf834589b89611b6a3292a4dc625947
Binette	binette__025	article43_bin7.fa	306	6481038	46222	99.97	0.28	True	True	98.57	100.0	GCA_000018565.1	Herpetosiphon_aurantiacus_DSM_785	99.7852041601978	0.21479583980220696	95.59103844561066	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__025.fna	322ff7a31426f03680bc0e500ef998b01f300b4174bc7635e79f2650e6e5b806
Binette	binette__026	article43_bin8.fa	65	2595739	59244	99.98	0.21	True	True	98.93	100.0	GCA_002952055.1	Desulfobulbus_oralis_sp._ONRL	100.0	0.0	94.07190771971193	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__026.fna	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14
