FeatureID	Taxon	Species	Prevalence	MeanRelativeAbundance	SelectedForMixedModel
S020	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_unclassified	s__Brachybacterium_unclassified	0.0006565988181221273	8.233750826001642e-08	False
S021	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia|s__Leifsonia_unclassified	s__Leifsonia_unclassified	0.0	4.5570163573592606e-08	False
S022	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria|s__Kocuria_unclassified	s__Kocuria_unclassified	0.0006565988181221273	1.3749182001313746e-07	False
S023	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus	s__Micrococcus_luteus	0.0	4.484570376231168e-08	False
S024	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	s__Rothia_dentocariosa	0.0	4.606018206095776e-09	False
S025	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	s__Rothia_mucilaginosa	0.030203545633617858	1.7225202575798802e-05	False
S026	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified	s__Rothia_unclassified	0.003939592908732764	9.970026573627355e-07	False
S027	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_unclassified	s__Nocardioides_unclassified	0.0006565988181221273	1.7177936561917439e-06	False
S028	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	s__Propionibacterium_acnes	0.07550886408404466	4.1588087786878185e-05	False
S029	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_granulosum	s__Propionibacterium_granulosum	0.0006565988181221273	1.433355425016448e-07	False
S030	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	s__Alloscardovia_omnicolens	0.0026263952724885093	6.285268800860047e-06	False
S031	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	s__Bifidobacterium_adolescentis	0.30860144451739985	0.0031092713723351374	True
S032	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	s__Bifidobacterium_angulatum	0.004596191726854892	4.2001018959046105e-06	False
S033	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	s__Bifidobacterium_animalis	0.03939592908732764	8.381079837409458e-05	False
S034	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_asteroides	s__Bifidobacterium_asteroides	0.0026263952724885093	9.206161547015006e-06	False
S035	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	s__Bifidobacterium_bifidum	0.24294156270518713	0.0008860783390335575	False
S036	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	s__Bifidobacterium_breve	0.043992120814182537	0.00030666228871127106	False
S037	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	s__Bifidobacterium_catenulatum	0.04202232435981615	0.00028812609849905487	False
S038	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	s__Bifidobacterium_dentium	0.046618516086671044	0.00040629590035699505	False
S039	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	s__Bifidobacterium_longum	0.5554826001313198	0.003087081528436752	True
S040	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	s__Bifidobacterium_pseudocatenulatum	0.12147078135259357	0.0004117778474116793	False
S041	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	s__Bifidobacterium_pseudolongum	0.001969796454366382	6.325724503776259e-07	False
S042	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	s__Gardnerella_vaginalis	0.003282994090610637	7.969659853076798e-07	False
S043	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_unclassified	s__Scardovia_unclassified	0.006565988181221274	1.4961494936553124e-06	False
S044	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	s__Scardovia_wiggsiae	0.003282994090610637	2.4521387294338113e-06	False
S045	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	s__Adlercreutzia_equolifaciens	0.05384110308601445	2.8789805674669258e-05	False
S046	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum	s__Atopobium_parvulum	0.0	5.74651653454259e-08	False
S047	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae	s__Atopobium_rimae	0.0006565988181221273	1.2113000110068975e-06	False
S048	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_vaginae	s__Atopobium_vaginae	0.0006565988181221273	1.1930390980966268e-07	False
S049	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	s__Collinsella_aerofaciens	0.4464871963230466	0.0013515544846253824	True
S050	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	s__Collinsella_intestinalis	0.048588312541037425	0.00014527118498770607	False
S051	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris	s__Collinsella_stercoris	0.009192383453709783	7.914740688270243e-06	False
S052	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei	s__Collinsella_tanakaei	0.02298095863427446	1.8886348952565396e-05	False
S053	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified	s__Collinsella_unclassified	0.03742613263296126	4.0446738390436934e-05	False
S054	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI	s__Coriobacteriaceae_bacterium_phI	0.006565988181221274	1.4608641461052022e-05	False
S055	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta	s__Eggerthella_lenta	0.014445173998686802	7.14402163296143e-06	False
S056	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified	s__Eggerthella_unclassified	0.13263296126066973	8.315855694763267e-05	False
S057	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	s__Gordonibacter_pamelaeae	0.003939592908732764	1.613367346883329e-06	False
S058	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified	s__Olsenella_unclassified	0.0	2.974136710635945e-08	False
S059	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis	s__Slackia_piriformis	0.001969796454366382	5.195303401971879e-07	False
S060	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_unclassified	s__Slackia_unclassified	0.0	3.014458387834341e-08	False
S061	k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname|s__Bacteroidetes_bacterium_oral_taxon_272	s__Bacteroidetes_bacterium_oral_taxon_272	0.0	2.7314527222596836e-08	False
S062	k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname|s__Bacteroidetes_oral_taxon_274	s__Bacteroidetes_oral_taxon_274	0.0013131976362442547	4.5942212116220806e-07	False
S063	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_barnesiae	s__Bacteroides_barnesiae	0.005909389363099146	0.00021269403494658323	False
S064	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	s__Bacteroides_caccae	0.650032829940906	0.029902121294707668	True
S065	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	s__Bacteroides_cellulosilyticus	0.31582403151674326	0.010300764909266751	True
S066	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	s__Bacteroides_clarus	0.02954694681549573	0.00020878645727743716	False
S067	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola	s__Bacteroides_coprocola	0.0695994747209455	0.0026305846131215826	False
S068	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus	s__Bacteroides_coprophilus	0.0	4.471439292843476e-08	False
S069	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	s__Bacteroides_dorei	0.5272488509520683	0.02576356574770446	True
S070	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	s__Bacteroides_eggerthii	0.15692711753118843	0.011346063147372661	False
S071	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	s__Bacteroides_faecis	0.31385423506237686	0.005054513485695329	True
S072	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	s__Bacteroides_finegoldii	0.20682862770847013	0.005452962323977655	True
S073	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fluxus	s__Bacteroides_fluxus	0.013788575180564675	0.0007316630925790853	False
S074	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	s__Bacteroides_fragilis	0.5239658568614577	0.030929677743270018	True
S075	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_gallinarum	s__Bacteroides_gallinarum	0.00984898227183191	7.768909768122682e-05	False
S076	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	s__Bacteroides_intestinalis	0.11293499671700591	0.0009994612713624747	False
S077	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	s__Bacteroides_massiliensis	0.2665791201575837	0.018492314657818917	True
S078	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	s__Bacteroides_nordii	0.08798424162836507	0.00020757999904309554	False
S079	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_oleiciplenus	s__Bacteroides_oleiciplenus	0.018384766907419567	9.298397590990504e-05	False
S080	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	s__Bacteroides_ovatus	0.7957977675640184	0.03682044389230769	True
S081	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	s__Bacteroides_plebeius	0.08601444517399869	0.0018601284782908314	False
S082	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	s__Bacteroides_salyersiae	0.09914642153644124	0.0013716900359928713	False
S083	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_30	s__Bacteroides_sp_1_1_30	0.008535784635587657	0.0004014091720014294	False
S084	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6	s__Bacteroides_sp_1_1_6	0.028233749179251477	0.0010546029745476828	False
S085	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22	s__Bacteroides_sp_2_1_22	0.0840446487196323	0.006893604830709495	False
S086	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_19	s__Bacteroides_sp_3_1_19	0.007222586999343401	4.788028813184619e-05	False
S087	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_2_5	s__Bacteroides_sp_3_2_5	0.007879185817465528	0.0005597233167912675	False
S088	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA	s__Bacteroides_sp_4_3_47FAA	0.05909389363099146	0.013029224598585302	False
S089	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_9_1_42FAA	s__Bacteroides_sp_9_1_42FAA	0.007879185817465528	0.0007064660355566826	False
S090	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	s__Bacteroides_stercoris	0.556795797767564	0.05965903093444262	True
S091	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	s__Bacteroides_thetaiotaomicron	0.6526592252133946	0.018149066370922676	True
S092	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	s__Bacteroides_uniformis	0.8115561391989494	0.0772108079561902	True
S093	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	s__Bacteroides_vulgatus	0.793827971109652	0.06966633770442052	True
S094	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	s__Bacteroides_xylanisolvens	0.6040709126723572	0.005936081390300621	True
S095	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8	s__Bacteroidales_bacterium_ph8	0.28233749179251477	0.0014910388178427949	True
S096	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis	s__Barnesiella_intestinihominis	0.2980958634274458	0.008168566412598787	True
S097	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica	s__Butyricimonas_synergistica	0.0013131976362442547	6.36342370710208e-07	False
S098	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus	s__Coprobacter_fastidiosus	0.09323703217334209	0.00035513584998679207	False
S099	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas|s__Dysgonomonas_gadei	s__Dysgonomonas_gadei	0.023637557452396585	0.0006804630998252243	False
S100	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas|s__Dysgonomonas_mossii	s__Dysgonomonas_mossii	0.019041365725541694	0.001202104167809418	False
S101	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas|s__Dysgonomonas_unclassified	s__Dysgonomonas_unclassified	0.011162179908076166	0.0002141169762776431	False
S102	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_laneus	s__Odoribacter_laneus	0.0334865397242285	0.00019212869822144265	False
S103	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus	s__Odoribacter_splanchnicus	0.4208798424162837	0.004867865518282348	True
S104	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified	s__Odoribacter_unclassified	0.07682206172028891	8.771515714885548e-05	False
S105	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	s__Parabacteroides_distasonis	0.5088640840446487	0.011256542177717785	True
S106	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	s__Parabacteroides_goldsteinii	0.10833880499015101	0.0010056936960574018	False
S107	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	s__Parabacteroides_johnsonii	0.08732764281024294	0.0005500784140564638	False
S108	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	s__Parabacteroides_merdae	0.562048588312541	0.018312881036346613	True
S109	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_sp_20_3	s__Parabacteroides_sp_20_3	0.003939592908732764	6.688149659079274e-05	False
S110	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_sp_D13	s__Parabacteroides_sp_D13	0.021667760998030205	0.0004613114717959199	False
S111	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	s__Parabacteroides_unclassified	0.4340118187787262	0.011314460271359442	True
S112	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica	s__Porphyromonas_asaccharolytica	0.05121470781352593	0.00037919245377907875	False
S113	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_bennonis	s__Porphyromonas_bennonis	0.01969796454366382	1.732211160859623e-05	False
S114	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis	s__Porphyromonas_endodontalis	0.0026263952724885093	4.648458806094099e-06	False
S115	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_somerae	s__Porphyromonas_somerae	0.011162179908076166	8.09198636922856e-06	False
S116	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_279	s__Porphyromonas_sp_oral_taxon_279	0.0006565988181221273	2.2703221874853175e-06	False
S117	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis	s__Porphyromonas_uenonis	0.021011162179908074	6.236473347909223e-05	False
S118	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava	s__Alloprevotella_rava	0.0	1.6021022376895574e-08	False
S119	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_tannerae	s__Alloprevotella_tannerae	0.001969796454366382	3.190064739871291e-06	False
