FeatureID	Species	Term	Estimate	SE	DF	TStatistic	PValue	QValueWithinTerm	QValueGlobal	CILower	CIUpper
S267	s__Clostridium_symbiosum	DiagnosisCD	1.70108988117204	0.697263682505005	104.869916740372	2.4396651135775	0.0163784361919816	0.136160888368209	0.0832130225882934	0.334453063462226	3.06772669888185
S281	s__Flavonifractor_plautii	DiagnosisCD	1.62844996892794	0.673328596789032	105.905773750457	2.41850706578288	0.0172902715388201	0.136160888368209	0.0864513576941007	0.30872591922144	2.94817401863445
S077	s__Bacteroides_massiliensis	AntibioticsYes	0.440524558588446	0.188286039629117	1427.77940454771	2.33965598010444	0.0194387159191459	0.0557928771731637	0.0944187152161232	0.0714839209153765	0.809565196261515
S345	s__Faecalibacterium_prausnitzii	AntibioticsYes	-0.405455196245966	0.173365530120893	1465.42369047284	-2.33873017296593	0.0194832269493588	0.0557928771731637	0.0944187152161232	-0.745251635282917	-0.0656587572090153
S111	s__Parabacteroides_unclassified	DiagnosisCD:WeekYearCentered	1.5929713250709	0.689334836828961	1418.22791186608	2.31088179497614	0.0209822300832747	0.0660940247623154	0.100142461761084	0.241875044886134	2.94406760525566
S330	s__Roseburia_unclassified	DiagnosisCD	1.08635523510752	0.467925880392719	109.367377125216	2.32163956008539	0.0221050501884616	0.154735351319231	0.103926728497991	0.169220509537793	2.00348996067725
S094	s__Bacteroides_xylanisolvens	AntibioticsYes	0.468332762866977	0.20960998259182	1442.96096703624	2.23430562359702	0.0256156146402418	0.0701645096667493	0.118660567818767	0.0574971969870097	0.879168328746944
S348	s__Ruminococcus_bromii	DiagnosisUC	-1.79091792317147	0.799751729773855	105.294510285425	-2.23934235650592	0.0272360290397087	0.174645743150296	0.124214976421637	-3.35843131352822	-0.223404532814715
S146	s__Alistipes_onderdonkii	DiagnosisCD:WeekYearCentered	0.942603507541688	0.427453647581551	1414.28713138774	2.20515958367592	0.0276033280936971	0.0828099842810912	0.124214976421637	0.104794358281847	1.78041265680153
S300	s__Ruminococcus_obeum	DiagnosisUC	1.02530165941107	0.462557965456084	106.751510591337	2.21659064588829	0.0287720833379101	0.174645743150296	0.127650792273827	0.118688047117149	1.931915271705
S144	s__Alistipes_finegoldii	DiagnosisUC	-1.85164252597924	0.838246619360867	104.644666289361	-2.20894720385637	0.0293586694995896	0.174645743150296	0.128444179060705	-3.49460589992654	-0.208679152031941
S300	s__Ruminococcus_obeum	DiagnosisUC:WeekYearCentered	0.915142650473257	0.429874575610306	1420.48830894625	2.12885967767226	0.0334375069921045	0.191505721863871	0.143071693709112	0.0725884822770566	1.75769681866946
S074	s__Bacteroides_fragilis	DiagnosisCD	2.23671754805312	1.04014471738483	104.540324581043	2.15039072031896	0.0338291860026804	0.213123871816887	0.143071693709112	0.198033901978858	4.27540119412739
S425	s__Bilophila_unclassified	DiagnosisUC	-1.6582118870104	0.772225773766194	105.20450014922	-2.14731487000647	0.0340646889783601	0.174645743150296	0.143071693709112	-3.17177440359214	-0.144649370428659
S327	s__Roseburia_hominis	DiagnosisUC	-1.37424334822643	0.644407197881101	106.74068930494	-2.13256982967466	0.0352526360326449	0.174645743150296	0.145093467994661	-2.63728145607338	-0.11120524037947
S111	s__Parabacteroides_unclassified	DiagnosisUC	2.14083343866	1.00497014286315	105.88280439154	2.13024581263757	0.0354672921764726	0.174645743150296	0.145093467994661	0.171091958648227	4.11057491867178
S412	s__Burkholderiales_bacterium_1_1_47	DiagnosisUC	1.6634756738425	0.783261447809032	104.957407166726	2.12378086333195	0.0360380104913309	0.174645743150296	0.145538119291913	0.128283236136793	3.1986681115482
S093	s__Bacteroides_vulgatus	AntibioticsYes	0.362230613890092	0.173794442992999	1432.23850630425	2.08424738818999	0.0373145146053292	0.0979506008389892	0.148785722793401	0.0215935056238138	0.70286772215637
S092	s__Bacteroides_uniformis	DiagnosisCD:WeekYearCentered	-0.943876106242797	0.456878909890099	1416.2283075527	-2.06592181387809	0.0390173785827734	0.111731584123396	0.15363092816967	-1.83935876962739	-0.0483934428582024
S327	s__Roseburia_hominis	DiagnosisCD	-1.18703806267586	0.579383915860886	106.217425126976	-2.04879360676088	0.0429475210116212	0.245972165793831	0.165532048289515	-2.3226305377632	-0.0514455875885282
S039	s__Bifidobacterium_longum	DiagnosisCD:WeekYearCentered	1.00259267979543	0.495193785441901	1416.74883169305	2.02464713667748	0.0430908824118739	0.115674733631265	0.165532048289515	0.0320128603292998	1.97317249926155
S290	s__Eubacterium_siraeum	DiagnosisCD:WeekYearCentered	1.07794920292436	0.535184342459208	1416.5326937496	2.01416431200343	0.0441810188685435	0.115674733631265	0.167674951127605	0.0289878917043127	2.12691051414441
S267	s__Clostridium_symbiosum	AntibioticsYes	0.491655522651399	0.246264927773824	1459.806345798	1.99644962478355	0.0460704464403653	0.111859132372641	0.169007241232631	0.00897626421470404	0.974334781088094
S255	s__Clostridium_leptum	AntibioticsYes	-0.458507463371346	0.229761072097155	1465.46336132683	-1.99558375657938	0.0461640863760106	0.111859132372641	0.169007241232631	-0.908839164681769	-0.00817576206092274
S399	s__Veillonella_parvula	DiagnosisCD:WeekYearCentered	1.14571386161833	0.574154658447304	1417.89365205255	1.99547951890995	0.0461816600944922	0.115674733631265	0.169007241232631	0.0203707310616184	2.27105699217505
S146	s__Alistipes_onderdonkii	DiagnosisUC	-1.8694193801061	0.928673023098037	104.822202835332	-2.01300062951085	0.0466781904356792	0.210051856960556	0.169007241232631	-3.68961850537825	-0.0492202548339418
S289	s__Eubacterium_rectale	DiagnosisCD:WeekYearCentered	-1.10488365241024	0.557626773271196	1419.03381568174	-1.9814035218013	0.0477387789589348	0.115674733631265	0.170883129228005	-2.19783212802179	-0.0119351767986973
S080	s__Bacteroides_ovatus	AntibioticsYes	0.338516569731629	0.173374068996342	1433.10816658019	1.95252134123224	0.0510707974265208	0.118843281849863	0.179363830187781	-0.00129660550120186	0.67832974496446
S348	s__Ruminococcus_bromii	DiagnosisCD	-1.41883023237897	0.719511035605608	105.013899307919	-1.97193672114389	0.0512468086250803	0.255779827734334	0.179363830187781	-2.82907186216596	-0.00858860259197458
S252	s__Clostridium_clostridioforme	DiagnosisCD:WeekYearCentered	0.97014087619736	0.499915494267651	1416.65902683351	1.94060973768889	0.0525038026928363	0.122508872949951	0.180714008725344	-0.0096934925672354	1.94997524496196
S355	s__Subdoligranulum_unclassified	DiagnosisCD	-0.656025695602595	0.33489731767127	104.926191672366	-1.95888608533598	0.0527799644531165	0.255779827734334	0.180714008725344	-1.31242443823828	0.000373047033094931
S425	s__Bilophila_unclassified	AntibioticsYes	-0.368565144301858	0.191230291347027	1442.25137045835	-1.92733662489181	0.0541339004525838	0.118843281849863	0.182346772242529	-0.743376515342031	0.00624622673831543
S031	s__Bifidobacterium_adolescentis	AntibioticsYes	-0.400986689507647	0.208547424828072	1451.61614668667	-1.92276020592545	0.0547056376769209	0.118843281849863	0.182346772242529	-0.809739642170669	0.00776626315537482
S080	s__Bacteroides_ovatus	DiagnosisUC	1.64185604276157	0.84609239381039	105.199521328546	1.9405162542207	0.0549934709937787	0.229471626280049	0.182346772242529	-0.0164850491067985	3.30019713462993
S248	s__Clostridium_bolteae	AntibioticsYes	0.471334800961946	0.248849721053436	1456.59089566397	1.89405396544823	0.0584158068316483	0.122673194346462	0.191676866166346	-0.016410652302789	0.959080254226682
S146	s__Alistipes_onderdonkii	DiagnosisUC:WeekYearCentered	0.887135935033427	0.474450560182849	1413.93739609044	1.86981744671464	0.0617156942541769	0.267410560164457	0.195670546428084	-0.0427871629249565	1.81705903299181
S248	s__Clostridium_bolteae	DiagnosisUC	1.53946105321902	0.815337452930822	105.372982201694	1.88812748351649	0.0617594343811031	0.229471626280049	0.195670546428084	-0.0586003545253944	3.13752246096343
S103	s__Odoribacter_splanchnicus	DiagnosisUC	-1.71418428136934	0.908423877415184	105.118785619921	-1.88698725780619	0.0619209150279498	0.229471626280049	0.195670546428084	-3.4946950811031	0.0663265183644164
S345	s__Faecalibacterium_prausnitzii	DiagnosisUC:WeekYearCentered	-0.807011452134707	0.432266803607617	1418.62052561369	-1.86692904798504	0.0621176337866933	0.267410560164457	0.195670546428084	-1.65425438720564	0.0402314829362226
S074	s__Bacteroides_fragilis	AntibioticsYes	-0.477895269378989	0.257026551816996	1436.29935018097	-1.85932257193122	0.0631857918984504	0.128409835148464	0.196434044490834	-0.981667310940301	0.0258767721823229
S255	s__Clostridium_leptum	DiagnosisUC:WeekYearCentered	-1.0603846945528	0.572844654249609	1419.22368157307	-1.85108595617749	0.0643648284582859	0.267410560164457	0.196434044490834	-2.18316021688204	0.0623908277764298
S255	s__Clostridium_leptum	DiagnosisCD	-1.14862367199906	0.615464693516352	106.385834352974	-1.86627061486922	0.0647576861805331	0.265006244281165	0.196434044490834	-2.35493447129111	0.0576871272929911
S147	s__Alistipes_putredinis	DiagnosisCD	-1.81793820847903	0.974269858503883	104.441664858454	-1.86594934926008	0.0648544146890372	0.265006244281165	0.196434044490834	-3.72750713114664	0.0916307141885842
S252	s__Clostridium_clostridioforme	DiagnosisUC:WeekYearCentered	-1.01305496654403	0.554902415363077	1416.09084317604	-1.82564526391758	0.0681142287702181	0.267410560164457	0.204342686310654	-2.10066370065566	0.0745537675676018
S253	s__Clostridium_hathewayi	DiagnosisCD	1.17778551398151	0.643429775875506	106.393137405316	1.830480276389	0.0699773383617095	0.265006244281165	0.206707398317315	-0.0833368467344813	2.4389078746975
S289	s__Eubacterium_rectale	DiagnosisUC:WeekYearCentered	-1.1215465854155	0.618993240566031	1418.20367681743	-1.81188825970041	0.0702148940315959	0.267410560164457	0.206707398317315	-2.33477333692492	0.0916801660939202
S450	s__Escherichia_coli	DiagnosisCD	1.49246655593873	0.819762848513501	105.186353715958	1.82060770214832	0.0715096214726954	0.265006244281165	0.207209100552124	-0.114268627147733	3.09920173902519
S096	s__Barnesiella_intestinihominis	DiagnosisUC	-1.85876791108708	1.02157230547846	104.310505680489	-1.81951674014548	0.0717009268577192	0.246295730190444	0.207209100552124	-3.86104962982486	0.143513807650707
S253	s__Clostridium_hathewayi	DiagnosisUC:WeekYearCentered	-1.06402236882265	0.595615566320012	1419.16801197908	-1.78642471585602	0.074243928384875	0.267410560164457	0.210793642955785	-2.23142887880988	0.103384141164573
S105	s__Parabacteroides_distasonis	DiagnosisUC	1.74366038914464	0.967188000088232	105.226767095411	1.8028143328759	0.07427966466061	0.246295730190444	0.210793642955785	-0.152028091028295	3.63934886931757
S149	s__Alistipes_shahii	DiagnosisUC:WeekYearCentered	0.797809191008788	0.454194015855134	1413.88150336567	1.75653831437367	0.079212996210055	0.267410560164457	0.22278655184078	-0.0924110800672755	1.68802946208485
S352	s__Ruminococcus_lactaris	DiagnosisUC:WeekYearCentered	-0.750402734932777	0.433178008094185	1414.21990049014	-1.73231955665122	0.0834347078232293	0.267410560164457	0.23258347756033	-1.59943163079738	0.0986261609318257
S286	s__Eubacterium_hallii	DiagnosisUC:WeekYearCentered	0.974006410030623	0.564908881869806	1421.10730949507	1.72418321129371	0.0848922413220498	0.267410560164457	0.234570666810927	-0.133214998434197	2.08122781849544
S090	s__Bacteroides_stercoris	AntibioticsYes	0.348069990228449	0.205109330388592	1427.34954792439	1.69699735048138	0.0899151767951005	0.177020504315354	0.246289397308319	-0.0539442973331906	0.75008427779009
S335	s__Oscillibacter_unclassified	DiagnosisUC	0.931733329922867	0.547338369990782	108.863527085493	1.70229857983199	0.0915533352140351	0.288393005924211	0.248614660279492	-0.141049875259066	2.0045165351048
S031	s__Bifidobacterium_adolescentis	DiagnosisCD:WeekYearCentered	0.785572214865284	0.467140988157419	1417.26402478307	1.68165978747418	0.0928551384898017	0.208924061602054	0.249994603626389	-0.130024121923258	1.70116855165383
S144	s__Alistipes_finegoldii	AntibioticsYes	0.27124728198346	0.163067530900062	1430.65373560399	1.66340460597087	0.0964504889054028	0.184132751546678	0.256250365181572	-0.0483650785806619	0.590859642547583
S031	s__Bifidobacterium_adolescentis	DiagnosisCD	-1.10163738788349	0.657504055663605	105.327593604929	-1.67548379115567	0.0968056935130382	0.326078643926372	0.256250365181572	-2.39034533698415	0.187070561217178
S384	s__Dialister_invisus	DiagnosisCD	1.69230887526564	1.01468208022825	104.637897929243	1.66782178205508	0.0983411783270012	0.326078643926372	0.258145593108378	-0.296468001981736	3.68108575251302
S281	s__Flavonifractor_plautii	DiagnosisUC	1.22436278800273	0.748424945082217	106.191712742292	1.63591926758698	0.104817120331353	0.31445136099406	0.272871015738647	-0.242550104358417	2.69127568036387
S292	s__Eubacterium_ventriosum	DiagnosisCD	-1.1051679339679	0.68063274696419	104.949338933786	-1.62373605868547	0.107432051697214	0.337859525271601	0.277386035119855	-2.43920811801771	0.228872250081913
S094	s__Bacteroides_xylanisolvens	DiagnosisCD	1.20612700684099	0.755090553012058	105.301722254906	1.59732763445357	0.113189332843302	0.337859525271601	0.289875120696261	-0.273850477062648	2.68610449074462
S484	s__Haemophilus_parainfluenzae	DiagnosisCD:WeekYearCentered	1.00741799562376	0.638479646658185	1421.41523645096	1.57783885656592	0.114825141835301	0.249447721918067	0.29088488800682	-0.244002111826279	2.25883810307381
S252	s__Clostridium_clostridioforme	AntibioticsYes	0.351880297699014	0.223388668398578	1446.69700792567	1.5751931385847	0.115430511113817	0.213885947063838	0.29088488800682	-0.0859614923621992	0.789722087760227
S129	s__Prevotella_copri	DiagnosisUC:WeekYearCentered	-0.813280170916891	0.519776165040947	1413.2718425951	-1.56467384542887	0.117883276939715	0.353649830819145	0.292634234487213	-1.83204145439715	0.205481112563364
S416	s__Sutterella_wadsworthensis	DiagnosisCD	-1.31271227860316	0.83279759108775	104.636852444267	-1.5762681024192	0.117982691364686	0.337859525271601	0.292634234487213	-2.94499555713515	0.319570999928825
S096	s__Barnesiella_intestinihominis	DiagnosisCD:WeekYearCentered	0.518533904142027	0.336770456958837	1412.58895706793	1.5397250365266	0.12385135512692	0.254712985805743	0.304790444257656	-0.141536191497294	1.17860399978135
S355	s__Subdoligranulum_unclassified	AntibioticsYes	0.218787813885849	0.14364899181845	1478.60221561242	1.52307239414783	0.127954426518763	0.230317967733774	0.306421637059541	-0.0627642100783125	0.50033983785001
S093	s__Bacteroides_vulgatus	DiagnosisCD:WeekYearCentered	0.590779951444643	0.387958192376553	1414.27598553007	1.52279282421038	0.128034099132747	0.254712985805743	0.306421637059541	-0.169618105613401	1.35117800850269
