FeatureID	Block	Component	SelectedBootstraps	Bootstraps	SelectionFrequency	DisplayName	Modality	Phylum	HMDB	ChemicalClass
MT095	metabolome	1	7	100	0.07	lactose	Metabolome		HMDB0000186	O-glycosyl compounds
MT011	metabolome	1	5	100	0.05	1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid	Metabolome		HMDB0032102	
MT010	metabolome	1	4	100	0.04	tetradecanedioate	Metabolome		HMDB0000872	Long-chain fatty acids
MT120	metabolome	1	4	100	0.04	acetylcholine	Metabolome		HMDB0000895	Quaternary ammonium salts
MT047	metabolome	1	3	100	0.03	pyrocatechol	Metabolome		HMDB0000957	Benzenediols
MT137	metabolome	1	3	100	0.03	C2 carnitine	Metabolome		HMDB0000201	
MT146	metabolome	1	3	100	0.03	diacetylspermine	Metabolome		HMDB0002172	Acetamides
MT002	metabolome	1	2	100	0.02	p-hydroxyphenylacetate	Metabolome		HMDB0000020	Phenols
MT106	metabolome	1	2	100	0.02	pipecolic acid	Metabolome		HMDB0000070	L-alpha-amino acids
MT118	metabolome	1	2	100	0.02	4-guanidinobutanoic acid	Metabolome		HMDB0003464	Gamma amino acids and derivatives
MT014	metabolome	1	1	100	0.01	linoleic acid	Metabolome		HMDB0000673	
MT020	metabolome	1	1	100	0.01	9.10-diHOME	Metabolome		HMDB0004704	Long-chain fatty acids
MT029	metabolome	1	1	100	0.01	glycodeoxycholic acid	Metabolome		HMDB0000631	
MT041	metabolome	1	1	100	0.01	oxalate	Metabolome		HMDB0002329	Dicarboxylic acids and derivatives
MT042	metabolome	1	1	100	0.01	lactate	Metabolome		HMDB0000190	Hydroxy acids and derivatives
MT043	metabolome	1	1	100	0.01	2-aminobutyric acid	Metabolome		HMDB0000452	L-alpha-amino acids
MT052	metabolome	1	1	100	0.01	4-methylcatechol	Metabolome		HMDB0000873	Phenols
MT091	metabolome	1	1	100	0.01	uridine	Metabolome		HMDB0000296	
MT094	metabolome	1	1	100	0.01	guanosine	Metabolome		HMDB0000133	Purine nucleosides
MT107	metabolome	1	1	100	0.01	N-methylproline	Metabolome		HMDB0094696	
MT059	metabolome	2	54	100	0.54	salicylate	Metabolome		HMDB0000840	Benzoic acids and derivatives
MT144	metabolome	2	53	100	0.53	ethyl 9-hexadecenoate	Metabolome		HMDB0059871	Fatty acid esters
MT147	metabolome	2	39	100	0.39	sphinganine	Metabolome		HMDB0000269	Organonitrogen compounds
MT010	metabolome	2	37	100	0.37	tetradecanedioate	Metabolome		HMDB0000872	Long-chain fatty acids
MT072	metabolome	2	35	100	0.35	orotate	Metabolome		HMDB0000226	Pyrimidines and pyrimidine derivatives
MT017	metabolome	2	20	100	0.2	hexadecanedioic acid	Metabolome		HMDB0000672	Long-chain fatty acids
MT022	metabolome	2	19	100	0.19	carnosol	Metabolome		HMDB0002121	Diterpene lactones
MT040	metabolome	2	14	100	0.14	propionate	Metabolome		HMDB0000237	Carboxylic acids
MT142	metabolome	2	13	100	0.13	thiamine	Metabolome		HMDB0000235	Pyrimidines and pyrimidine derivatives
MT036	metabolome	2	12	100	0.12	palmitoyl glycerol	Metabolome		HMDB0011564	2-monoacylglycerols
MT061	metabolome	2	12	100	0.12	caprylic acid	Metabolome		HMDB0000482	Medium-chain fatty acids
MT138	metabolome	2	12	100	0.12	N-acetyl-L-arginine	Metabolome		HMDB0004620	N-acyl-L-alpha-amino acids
MT101	metabolome	2	11	100	0.11	cytosine	Metabolome		HMDB0000630	
MT052	metabolome	2	10	100	0.1	4-methylcatechol	Metabolome		HMDB0000873	Phenols
MT066	metabolome	2	10	100	0.1	xylose	Metabolome		HMDB0000098	Pentoses
MT069	metabolome	2	9	100	0.09	xanthine	Metabolome		HMDB0000292	Imidazopyrimidines
MT104	metabolome	2	9	100	0.09	betaine	Metabolome		HMDB0000043	Amino acids, peptides, and analogues
MT008	metabolome	2	8	100	0.08	palmitoleic acid	Metabolome		HMDB0003229	Long-chain fatty acids
MT034	metabolome	2	8	100	0.08	7-hexadecenoic acid methyl ester	Metabolome		HMDB0061858	Fatty acid methyl esters
MT065	metabolome	2	7	100	0.07	tartarate	Metabolome		HMDB0000956	
MT139	metabolome	2	7	100	0.07	carnosine	Metabolome		HMDB0000033	Peptidomimetics
MT060	metabolome	2	6	100	0.06	4-nitrophenol	Metabolome		HMDB0001232	Nitrophenols
MT087	metabolome	2	6	100	0.06	ethyl glucuronide	Metabolome		HMDB0010325	O-glucuronides
MT130	metabolome	2	6	100	0.06	N-acetylspermidine	Metabolome		HMDB0001276	Carboximidic acids and derivatives
MT076	metabolome	2	5	100	0.05	urate	Metabolome		HMDB0000289	Purines and purine derivatives
MT090	metabolome	2	5	100	0.05	pentadecanoate	Metabolome		HMDB0000826	Long-chain fatty acids
MT044	metabolome	2	4	100	0.04	malonate	Metabolome		HMDB0000691	Dicarboxylic acids and derivatives
MT053	metabolome	2	4	100	0.04	thymine	Metabolome		HMDB0000262	Diazines
MT014	metabolome	2	3	100	0.03	linoleic acid	Metabolome		HMDB0000673	
MT058	metabolome	2	3	100	0.03	phenylacetate	Metabolome		HMDB0000209	
MT086	metabolome	2	3	100	0.03	1-3-7-trimethylurate	Metabolome		HMDB0002123	Imidazopyrimidines
MT103	metabolome	2	3	100	0.03	creatinine	Metabolome		HMDB0000562	Amino acids, peptides, and analogues
MT107	metabolome	2	3	100	0.03	N-methylproline	Metabolome		HMDB0094696	
MT140	metabolome	2	3	100	0.03	anserine	Metabolome		HMDB0000194	Peptidomimetics
MT141	metabolome	2	3	100	0.03	2-deoxyadenosine	Metabolome		HMDB0000101	Purine nucleosides
MT028	metabolome	2	2	100	0.02	glycolithocholic acid	Metabolome		HMDB0000698	
MT067	metabolome	2	2	100	0.02	hydrocinnamic acid	Metabolome		HMDB0000764	
MT083	metabolome	2	2	100	0.02	4-pyridoxate	Metabolome		HMDB0000017	Pyridines and derivatives
MT092	metabolome	2	2	100	0.02	pseudouridine	Metabolome		HMDB0000767	Nucleoside and nucleotide analogues
MT100	metabolome	2	2	100	0.02	choline	Metabolome		HMDB0000097	Quaternary ammonium salts
MT109	metabolome	2	2	100	0.02	creatine	Metabolome		HMDB0000064	Alpha amino acids and derivatives
MT110	metabolome	2	2	100	0.02	isoleucine	Metabolome		HMDB0000172	Isoleucine and derivatives
MT117	metabolome	2	2	100	0.02	proline betaine	Metabolome		HMDB0004827	Proline and derivatives
MT127	metabolome	2	2	100	0.02	7-methylguanine	Metabolome		HMDB0000897	Imidazopyrimidines
MT131	metabolome	2	2	100	0.02	trimethyllysine	Metabolome		HMDB0001325	L-alpha-amino acids
MT133	metabolome	2	2	100	0.02	caffeine	Metabolome		HMDB0001847	Purines and purine derivatives
MT135	metabolome	2	2	100	0.02	5-acetylamino-6-amino-3-methyluracil	Metabolome		HMDB0004400	Organonitrogen compounds
MT137	metabolome	2	2	100	0.02	C2 carnitine	Metabolome		HMDB0000201	
MT011	metabolome	2	1	100	0.01	1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid	Metabolome		HMDB0032102	
MT015	metabolome	2	1	100	0.01	oleic acid	Metabolome		HMDB0000207	
MT020	metabolome	2	1	100	0.01	9.10-diHOME	Metabolome		HMDB0004704	Long-chain fatty acids
MT038	metabolome	2	1	100	0.01	cholesterol	Metabolome		HMDB0000067	
MT041	metabolome	2	1	100	0.01	oxalate	Metabolome		HMDB0002329	Dicarboxylic acids and derivatives
MT042	metabolome	2	1	100	0.01	lactate	Metabolome		HMDB0000190	Hydroxy acids and derivatives
MT045	metabolome	2	1	100	0.01	alpha-hydroxybutyrate	Metabolome		HMDB0000008	
MT047	metabolome	2	1	100	0.01	pyrocatechol	Metabolome		HMDB0000957	Benzenediols
MT048	metabolome	2	1	100	0.01	uracil	Metabolome		HMDB0000300	Pyrimidines and pyrimidine derivatives
MT049	metabolome	2	1	100	0.01	alpha-ketoisovalerate	Metabolome		HMDB0000019	Keto acids and derivatives
MT063	metabolome	2	1	100	0.01	2-methylglutaric acid	Metabolome		HMDB0000422	Methyl-branched fatty acids
MT080	metabolome	2	1	100	0.01	homovanillate	Metabolome		HMDB0000118	Phenols
MT097	metabolome	2	1	100	0.01	glycocholate	Metabolome		HMDB0000138	
MT111	metabolome	2	1	100	0.01	ornithine	Metabolome		HMDB0000214	Amino acids, peptides, and analogues
MT115	metabolome	2	1	100	0.01	urocanic acid	Metabolome		HMDB0000301	Imidazoles
MT128	metabolome	2	1	100	0.01	3-methylxanthine	Metabolome		HMDB0001886	Imidazopyrimidines
MT143	metabolome	2	1	100	0.01	atenolol	Metabolome		HMDB0001924	Phenylacetamides
MT148	metabolome	2	1	100	0.01	phytosphingosine	Metabolome		HMDB0004610	Organonitrogen compounds
MB048	microbiome	1	100	100	1	Ventricola	Microbiome	Firmicutes_A		
MB115	microbiome	1	100	100	1	CAG-83	Microbiome	Firmicutes_A		
MB114	microbiome	1	98	100	0.98	CAG-170	Microbiome	Firmicutes_A		
MB037	microbiome	1	97	100	0.97	Pediococcus	Microbiome	Firmicutes		
MB161	microbiome	1	94	100	0.94	Citrobacter	Microbiome	Proteobacteria		
MB077	microbiome	1	92	100	0.92	Faecalimonas	Microbiome	Firmicutes_A		
MB117	microbiome	1	92	100	0.92	ER4	Microbiome	Firmicutes_A		
MB109	microbiome	1	90	100	0.9	UBA1417	Microbiome	Firmicutes_A		
MB135	microbiome	1	89	100	0.89	Copromorpha	Microbiome	Firmicutes_A		
MB036	microbiome	1	88	100	0.88	Limosilactobacillus	Microbiome	Firmicutes		
MB090	microbiome	1	82	100	0.82	Ruminococcus_B	Microbiome	Firmicutes_A		
MB119	microbiome	1	74	100	0.74	Faecousia	Microbiome	Firmicutes_A		
MB149	microbiome	1	69	100	0.69	Anaeroglobus	Microbiome	Firmicutes_C		
MB073	microbiome	1	63	100	0.63	Enterocloster	Microbiome	Firmicutes_A		
MB034	microbiome	1	59	100	0.59	Lactobacillus	Microbiome	Firmicutes		
MB007	microbiome	1	54	100	0.54	CAG-1427	Microbiome	Actinobacteriota		
MB074	microbiome	1	53	100	0.53	Eubacterium_F	Microbiome	Firmicutes_A		
MB154	microbiome	1	53	100	0.53	Fusobacterium	Microbiome	Fusobacteriota		
MB128	microbiome	1	52	100	0.52	Gemmiger	Microbiome	Firmicutes_A		
MB092	microbiome	1	47	100	0.47	Scybalomonas	Microbiome	Firmicutes_A		
MB094	microbiome	1	39	100	0.39	UBA11774	Microbiome	Firmicutes_A		
MB131	microbiome	1	35	100	0.35	Ruminococcus_C	Microbiome	Firmicutes_A		
MB163	microbiome	1	35	100	0.35	Escherichia	Microbiome	Proteobacteria		
MB162	microbiome	1	27	100	0.27	Enterobacter	Microbiome	Proteobacteria		
MB083	microbiome	1	26	100	0.26	Limivivens	Microbiome	Firmicutes_A		
MB068	microbiome	1	24	100	0.24	Coprococcus_A	Microbiome	Firmicutes_A		
MB006	microbiome	1	23	100	0.23	Adlercreutzia	Microbiome	Actinobacteriota		
MB057	microbiome	1	22	100	0.22	Blautia	Microbiome	Firmicutes_A		
MB091	microbiome	1	19	100	0.19	Schaedlerella	Microbiome	Firmicutes_A		
MB151	microbiome	1	18	100	0.18	Veillonella	Microbiome	Firmicutes_C		
MB080	microbiome	1	17	100	0.17	KLE1615	Microbiome	Firmicutes_A		
MB047	microbiome	1	15	100	0.15	UBA11524	Microbiome	Firmicutes_A		
MB025	microbiome	1	14	100	0.14	Erysipelatoclostridium	Microbiome	Firmicutes		
MB164	microbiome	1	14	100	0.14	Klebsiella	Microbiome	Proteobacteria		
MB020	microbiome	1	11	100	0.11	Alistipes_A	Microbiome	Bacteroidota		
MB033	microbiome	1	11	100	0.11	Lactiplantibacillus	Microbiome	Firmicutes		
MB046	microbiome	1	11	100	0.11	Limiplasma	Microbiome	Firmicutes_A		
MB070	microbiome	1	10	100	0.1	Dorea	Microbiome	Firmicutes_A		
MB126	microbiome	1	9	100	0.09	Faecalibacterium	Microbiome	Firmicutes_A		
MB009	microbiome	1	8	100	0.08	Gordonibacter	Microbiome	Actinobacteriota		
MB107	microbiome	1	8	100	0.08	Ruminococcus_E	Microbiome	Firmicutes_A		
MB019	microbiome	1	6	100	0.06	Alistipes	Microbiome	Bacteroidota		
MB028	microbiome	1	6	100	0.06	Clostridium_AQ	Microbiome	Firmicutes		
MB130	microbiome	1	6	100	0.06	Ruminiclostridium_E	Microbiome	Firmicutes_A		
MB064	microbiome	1	5	100	0.05	Choladousia	Microbiome	Firmicutes_A		
MB015	microbiome	1	4	100	0.04	Barnesiella	Microbiome	Bacteroidota		
MB113	microbiome	1	4	100	0.04	CAG-103	Microbiome	Firmicutes_A		
MB118	microbiome	1	4	100	0.04	Evtepia	Microbiome	Firmicutes_A		
MB132	microbiome	1	4	100	0.04	Ruminococcus_D	Microbiome	Firmicutes_A		
MB035	microbiome	1	3	100	0.03	Ligilactobacillus	Microbiome	Firmicutes		
MB124	microbiome	1	3	100	0.03	Scatomorpha	Microbiome	Firmicutes_A		
MB038	microbiome	1	2	100	0.02	Streptococcus	Microbiome	Firmicutes		
MB152	microbiome	1	2	100	0.02	Veillonella_A	Microbiome	Firmicutes_C		
MB003	microbiome	1	1	100	0.01	Mycobacterium	Microbiome	Actinobacteriota		
MB032	microbiome	1	1	100	0.01	Enterococcus_B	Microbiome	Firmicutes		
MB056	microbiome	1	1	100	0.01	Bariatricus	Microbiome	Firmicutes_A		
MB067	microbiome	1	1	100	0.01	Coprococcus	Microbiome	Firmicutes_A		
MB100	microbiome	1	1	100	0.01	CAG-177	Microbiome	Firmicutes_A		
MB123	microbiome	1	1	100	0.01	Onthomonas	Microbiome	Firmicutes_A		
MB143	microbiome	1	1	100	0.01	CAG-41	Microbiome	Firmicutes_A		
MB155	microbiome	1	1	100	0.01	Fusobacterium_C	Microbiome	Fusobacteriota		
MB165	microbiome	1	1	100	0.01	Haemophilus_D	Microbiome	Proteobacteria		
MB078	microbiome	2	95	100	0.95	Fusicatenibacter	Microbiome	Firmicutes_A		
MB102	microbiome	2	92	100	0.92	Caproicibacterium	Microbiome	Firmicutes_A		
MB003	microbiome	2	89	100	0.89	Mycobacterium	Microbiome	Actinobacteriota		
MB049	microbiome	2	80	100	0.8	Clostridium	Microbiome	Firmicutes_A		
MB138	microbiome	2	78	100	0.78	Romboutsia	Microbiome	Firmicutes_A		
MB004	microbiome	2	76	100	0.76	Streptomyces	Microbiome	Actinobacteriota		
MB127	microbiome	2	62	100	0.62	Fournierella	Microbiome	Firmicutes_A		
MB041	microbiome	2	61	100	0.61	Faecimonas	Microbiome	Firmicutes		
MB159	microbiome	2	54	100	0.54	Parasutterella	Microbiome	Proteobacteria		
MB045	microbiome	2	51	100	0.51	UBA1685	Microbiome	Firmicutes_A		
MB141	microbiome	2	50	100	0.5	Merdicola	Microbiome	Firmicutes_A		
MB059	microbiome	2	43	100	0.43	Butyribacter	Microbiome	Firmicutes_A		
MB103	microbiome	2	42	100	0.42	Clostridium_A	Microbiome	Firmicutes_A		
MB002	microbiome	2	41	100	0.41	Bifidobacterium	Microbiome	Actinobacteriota		
MB042	microbiome	2	41	100	0.41	UBA5026	Microbiome	Firmicutes		
MB133	microbiome	2	39	100	0.39	Ruthenibacterium	Microbiome	Firmicutes_A		
MB124	microbiome	2	38	100	0.38	Scatomorpha	Microbiome	Firmicutes_A		
MB027	microbiome	2	37	100	0.37	Bulleidia	Microbiome	Firmicutes		
MB082	microbiome	2	36	100	0.36	Lachnospira	Microbiome	Firmicutes_A		
MB106	microbiome	2	36	100	0.36	Fimivicinus	Microbiome	Firmicutes_A		
MB118	microbiome	2	31	100	0.31	Evtepia	Microbiome	Firmicutes_A		
MB165	microbiome	2	30	100	0.3	Haemophilus_D	Microbiome	Proteobacteria		
MB031	microbiome	2	27	100	0.27	Longicatena	Microbiome	Firmicutes		
MB051	microbiome	2	26	100	0.26	Anaerotignum	Microbiome	Firmicutes_A		
MB083	microbiome	2	26	100	0.26	Limivivens	Microbiome	Firmicutes_A		
MB050	microbiome	2	25	100	0.25	Clostridium_P	Microbiome	Firmicutes_A		
MB130	microbiome	2	25	100	0.25	Ruminiclostridium_E	Microbiome	Firmicutes_A		
MB060	microbiome	2	21	100	0.21	CAG-127	Microbiome	Firmicutes_A		
MB089	microbiome	2	21	100	0.21	Roseburia	Microbiome	Firmicutes_A		
MB094	microbiome	2	21	100	0.21	UBA11774	Microbiome	Firmicutes_A		
MB158	microbiome	2	21	100	0.21	Scatocola	Microbiome	Proteobacteria		
MB080	microbiome	2	20	100	0.2	KLE1615	Microbiome	Firmicutes_A		
MB001	microbiome	2	19	100	0.19	Pauljensenia	Microbiome	Actinobacteriota		
MB054	microbiome	2	17	100	0.17	Anaerobutyricum	Microbiome	Firmicutes_A		
MB093	microbiome	2	17	100	0.17	Sellimonas	Microbiome	Firmicutes_A		
MB166	microbiome	2	17	100	0.17	Akkermansia	Microbiome	Verrucomicrobiota		
MB029	microbiome	2	16	100	0.16	Holdemanella	Microbiome	Firmicutes		
MB084	microbiome	2	15	100	0.15	Mediterraneibacter	Microbiome	Firmicutes_A		
MB098	microbiome	2	15	100	0.15	Acutalibacter	Microbiome	Firmicutes_A		
MB040	microbiome	2	14	100	0.14	CAG-417	Microbiome	Firmicutes		
MB053	microbiome	2	14	100	0.14	Agathobacter	Microbiome	Firmicutes_A		
MB062	microbiome	2	14	100	0.14	CAG-95	Microbiome	Firmicutes_A		
MB063	microbiome	2	14	100	0.14	Choladocola	Microbiome	Firmicutes_A		
MB112	microbiome	2	14	100	0.14	Butyricicoccus	Microbiome	Firmicutes_A		
MB116	microbiome	2	14	100	0.14	Dysosmobacter	Microbiome	Firmicutes_A		
MB022	microbiome	2	12	100	0.12	Cryptobacteroides	Microbiome	Bacteroidota		
MB069	microbiome	2	12	100	0.12	Copromonas	Microbiome	Firmicutes_A		
MB095	microbiome	2	12	100	0.12	UMGS1375	Microbiome	Firmicutes_A		
MB136	microbiome	2	12	100	0.12	Intestinibacter	Microbiome	Firmicutes_A		
MB142	microbiome	2	12	100	0.12	Parvimonas	Microbiome	Firmicutes_A		
MB030	microbiome	2	11	100	0.11	Holdemania	Microbiome	Firmicutes		
MB156	microbiome	2	11	100	0.11	MWCK01	Microbiome	Patescibacteria		
MB071	microbiome	2	9	100	0.09	Dorea_A	Microbiome	Firmicutes_A		
MB121	microbiome	2	9	100	0.09	Intestinimonas	Microbiome	Firmicutes_A		
MB144	microbiome	2	9	100	0.09	Acidaminococcus	Microbiome	Firmicutes_C		
MB081	microbiome	2	8	100	0.08	Lachnoclostridium_B	Microbiome	Firmicutes_A		
MB139	microbiome	2	8	100	0.08	CAG-269	Microbiome	Firmicutes_A		
MB010	microbiome	2	7	100	0.07	Alloprevotella	Microbiome	Bacteroidota		
MB013	microbiome	2	7	100	0.07	Phocaeicola	Microbiome	Bacteroidota		
MB096	microbiome	2	7	100	0.07	Ventrimonas	Microbiome	Firmicutes_A		
MB111	microbiome	2	7	100	0.07	Agathobaculum	Microbiome	Firmicutes_A		
MB120	microbiome	2	7	100	0.07	Flavonifractor	Microbiome	Firmicutes_A		
MB140	microbiome	2	7	100	0.07	CAG-273	Microbiome	Firmicutes_A		
MB146	microbiome	2	7	100	0.07	Phascolarctobacterium_A	Microbiome	Firmicutes_C		
MB147	microbiome	2	7	100	0.07	Megamonas	Microbiome	Firmicutes_C		
MB148	microbiome	2	7	100	0.07	Dialister	Microbiome	Firmicutes_C		
MB023	microbiome	2	6	100	0.06	Bilophila	Microbiome	Desulfobacterota_I		
MB072	microbiome	2	6	100	0.06	Eisenbergiella	Microbiome	Firmicutes_A		
MB099	microbiome	2	6	100	0.06	Anaeromassilibacillus	Microbiome	Firmicutes_A		
MB126	microbiome	2	6	100	0.06	Faecalibacterium	Microbiome	Firmicutes_A		
MB008	microbiome	2	5	100	0.05	Eggerthella	Microbiome	Actinobacteriota		
MB024	microbiome	2	5	100	0.05	Catenibacterium	Microbiome	Firmicutes		
MB043	microbiome	2	5	100	0.05	Coproplasma	Microbiome	Firmicutes_A		
MB064	microbiome	2	5	100	0.05	Choladousia	Microbiome	Firmicutes_A		
MB076	microbiome	2	5	100	0.05	Eubacterium_I	Microbiome	Firmicutes_A		
MB087	microbiome	2	5	100	0.05	Oliverpabstia	Microbiome	Firmicutes_A		
MB108	microbiome	2	5	100	0.05	Scatavimonas	Microbiome	Firmicutes_A		
MB129	microbiome	2	5	100	0.05	Negativibacillus	Microbiome	Firmicutes_A		
MB150	microbiome	2	5	100	0.05	Megasphaera	Microbiome	Firmicutes_C		
MB160	microbiome	2	5	100	0.05	Sutterella	Microbiome	Proteobacteria		
MB005	microbiome	2	4	100	0.04	Collinsella	Microbiome	Actinobacteriota		
MB017	microbiome	2	4	100	0.04	Odoribacter	Microbiome	Bacteroidota		
MB075	microbiome	2	4	100	0.04	Eubacterium_G	Microbiome	Firmicutes_A		
MB088	microbiome	2	4	100	0.04	RUG115	Microbiome	Firmicutes_A		
MB125	microbiome	2	4	100	0.04	Anaerotruncus	Microbiome	Firmicutes_A		
MB145	microbiome	2	4	100	0.04	Phascolarctobacterium	Microbiome	Firmicutes_C		
MB157	microbiome	2	4	100	0.04	Scatacola_A	Microbiome	Proteobacteria		
MB011	microbiome	2	3	100	0.03	Bacteroides	Microbiome	Bacteroidota		
MB012	microbiome	2	3	100	0.03	Paraprevotella	Microbiome	Bacteroidota		
MB048	microbiome	2	3	100	0.03	Ventricola	Microbiome	Firmicutes_A		
MB056	microbiome	2	3	100	0.03	Bariatricus	Microbiome	Firmicutes_A		
MB079	microbiome	2	3	100	0.03	Hungatella	Microbiome	Firmicutes_A		
MB085	microbiome	2	3	100	0.03	Merdisoma	Microbiome	Firmicutes_A		
MB100	microbiome	2	3	100	0.03	CAG-177	Microbiome	Firmicutes_A		
MB113	microbiome	2	3	100	0.03	CAG-103	Microbiome	Firmicutes_A		
MB122	microbiome	2	3	100	0.03	Lawsonibacter	Microbiome	Firmicutes_A		
MB153	microbiome	2	3	100	0.03	Cetobacterium_A	Microbiome	Fusobacteriota		
MB007	microbiome	2	2	100	0.02	CAG-1427	Microbiome	Actinobacteriota		
MB016	microbiome	2	2	100	0.02	Butyricimonas	Microbiome	Bacteroidota		
MB018	microbiome	2	2	100	0.02	Limisoma	Microbiome	Bacteroidota		
MB019	microbiome	2	2	100	0.02	Alistipes	Microbiome	Bacteroidota		
MB026	microbiome	2	2	100	0.02	Faecalibacillus	Microbiome	Firmicutes		
MB046	microbiome	2	2	100	0.02	Limiplasma	Microbiome	Firmicutes_A		
MB065	microbiome	2	2	100	0.02	Clostridium_AP	Microbiome	Firmicutes_A		
MB066	microbiome	2	2	100	0.02	Clostridium_Q	Microbiome	Firmicutes_A		
MB070	microbiome	2	2	100	0.02	Dorea	Microbiome	Firmicutes_A		
MB074	microbiome	2	2	100	0.02	Eubacterium_F	Microbiome	Firmicutes_A		
MB086	microbiome	2	2	100	0.02	Muricomes	Microbiome	Firmicutes_A		
MB104	microbiome	2	2	100	0.02	Eubacterium_R	Microbiome	Firmicutes_A		
MB110	microbiome	2	2	100	0.02	UMGS1071	Microbiome	Firmicutes_A		
MB021	microbiome	2	1	100	0.01	Parabacteroides	Microbiome	Bacteroidota		
MB028	microbiome	2	1	100	0.01	Clostridium_AQ	Microbiome	Firmicutes		
MB034	microbiome	2	1	100	0.01	Lactobacillus	Microbiome	Firmicutes		
