Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1785514481.539	    25.603	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_006.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_006.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_006.gff -f gff -p meta -q
26	:	1785514481.603	    27.001	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/TRUNC_070.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/TRUNC_070.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/TRUNC_070.gff -f gff -p meta -q
4	:	1785514481.534	    32.710	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_004.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_004.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_004.gff -f gff -p meta -q
5	:	1785514481.537	    37.180	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_005.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_005.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_005.gff -f gff -p meta -q
27	:	1785514481.606	    37.498	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/TRUNC_090.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/TRUNC_090.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/TRUNC_090.gff -f gff -p meta -q
28	:	1785514481.609	    38.171	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/TRUNC_100.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/TRUNC_100.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/TRUNC_100.gff -f gff -p meta -q
2	:	1785514481.528	    41.263	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_002.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_002.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_002.gff -f gff -p meta -q
1	:	1785514481.525	    44.688	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_001.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_001.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_001.gff -f gff -p meta -q
22	:	1785514481.589	    89.472	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_022.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_022.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_022.gff -f gff -p meta -q
7	:	1785514481.543	   105.256	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_007.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_007.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_007.gff -f gff -p meta -q
21	:	1785514481.585	   130.141	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_021.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_021.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_021.gff -f gff -p meta -q
