community	medium	receiver	donor	compound	scs	mus	mps	smetana	Compound	CompoundName	PositiveSMETANA
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_vcz_glc_e	0.0	0.0	0	0.0	4oh_vcz_glc	4oh vcz glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4ohmdz_e	0.0	0.0	0	0.0	4ohmdz	4ohmdz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_5oh_sulfp_e	0.0	0.0	0	0.0	5oh_sulfp	5oh sulfp	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_5oh_sulfp_glc_e	0.0	0.0	0	0.0	5oh_sulfp_glc	5oh sulfp glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_5ohfvs_e	0.0	0.0	0	0.0	5ohfvs	5ohfvs	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_5ohfvsglu_e	0.0	0.0	0	0.0	5ohfvsglu	5ohfvsglu	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_6bhglz_e	0.0	0.0	0	0.0	6bhglz	6bhglz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_6bhglzglc_e	0.0	0.0	0	0.0	6bhglzglc	6bhglzglc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_6ohfvs_e	0.0	0.0	0	0.0	6ohfvs	6ohfvs	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_6ohfvsglu_e	0.0	0.0	0	0.0	6ohfvsglu	6ohfvsglu	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_7a_czp_e	0.0	0.0	1	0.0	7a_czp	7a czp	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_7bhglz_e	0.0	0.0	0	0.0	7bhglz	7bhglz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_7bhglzglc_e	0.0	0.0	0	0.0	7bhglzglc	7bhglzglc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_7oh_efv_e	0.0	0.0	0	0.0	7oh_efv	7oh efv	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_7oh_efv_glc_e	0.0	0.0	0	0.0	7oh_efv_glc	7oh efv glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_814dioh_efv_e	0.0	0.0	0	0.0	814dioh_efv	814dioh efv	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_814dioh_efv_glc_e	0.0	0.0	0	0.0	814dioh_efv_glc	814dioh efv glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_8oh_efv_e	0.0	0.0	0	0.0	8oh_efv	8oh efv	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_8oh_efv_glc_e	0.0	0.0	0	0.0	8oh_efv_glc	8oh efv glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_C02528_e	0.0	0.0	0	0.0	C02528	C02528	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_N_oh_phtn_e	0.0	0.0	0	0.0	N_oh_phtn	N oh phtn	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_N_oh_phtn_glc_e	0.0	0.0	0	0.0	N_oh_phtn_glc	N oh phtn glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_R_6oh_warf_e	0.0	0.0	0	0.0	R_6oh_warf	R 6oh warf	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_R_6oh_warf_glc_e	0.0	0.0	0	0.0	R_6oh_warf_glc	R 6oh warf glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_R_7oh_warf_e	0.0	0.0	0	0.0	R_7oh_warf	R 7oh warf	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_R_7oh_warf_glc_e	0.0	0.0	0	0.0	R_7oh_warf_glc	R 7oh warf glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_R_8oh_warf_e	0.0	0.0	0	0.0	R_8oh_warf	R 8oh warf	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_R_8oh_warf_glc_e	0.0	0.0	0	0.0	R_8oh_warf_glc	R 8oh warf glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_S_4oh_warf_e	0.0	0.0	0	0.0	S_4oh_warf	S 4oh warf	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_S_4oh_warf_glc_e	0.0	0.0	0	0.0	S_4oh_warf_glc	S 4oh warf glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_S_6oh_warf_e	0.0	0.0	0	0.0	S_6oh_warf	S 6oh warf	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_S_6oh_warf_glc_e	0.0	0.0	0	0.0	S_6oh_warf_glc	S 6oh warf glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_ac_amn_b_gly_e	0.0	0.0	0	0.0	ac_amn_b_gly	ac amn b gly	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_ac_amn_b_gly_glc_e	0.0	0.0	0	0.0	ac_amn_b_gly_glc	ac amn b gly glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_ac_e	0.0	0.07	0	0.0	ac	Acetate	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_acmp_e	0.0	0.0	0	0.0	acmp	acmp	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_acmp_glc_e	0.0	0.0	0	0.0	acmp_glc	acmp glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_acmpglu_e	0.0	0.0	0	0.0	acmpglu	acmpglu	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_ade_e	0.0	0.0	0	0.0	ade	ade	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_adn_e	0.0	0.0	0	0.0	adn	adn	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_adocbl_e	0.0	0.0	0	0.0	adocbl	adocbl	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_ala_L_e	0.0	0.13	0	0.0	ala_L	ala L	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_alpz_4oh_e	0.0	0.0	0	0.0	alpz_4oh	alpz 4oh	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_alpz_4oh_glc_e	0.0	0.0	0	0.0	alpz_4oh_glc	alpz 4oh glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_alpz_aoh_e	0.0	0.0	0	0.0	alpz_aoh	alpz aoh	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_alpz_aoh_glc_e	0.0	0.0	0	0.0	alpz_aoh_glc	alpz aoh glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_am14_e	0.0	0.0	0	0.0	am14	am14	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_am14_glc_e	0.0	0.0	0	0.0	am14_glc	am14 glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_am1ccs_e	0.0	0.0	0	0.0	am1ccs	am1ccs	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_am1cglc_e	0.0	0.0	0	0.0	am1cglc	am1cglc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_am5_e	0.0	0.0	0	0.0	am5	am5	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_am5_glc_e	0.0	0.0	0	0.0	am5_glc	am5 glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_am6_e	0.0	0.0	0	0.0	am6	am6	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_am6_glc_e	0.0	0.0	0	0.0	am6_glc	am6 glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_amio_c_e	0.0	0.0	0	0.0	amio_c	amio c	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_amio_c_glc_e	0.0	0.0	0	0.0	amio_c_glc	amio c glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_amio_e	0.0	0.0	0	0.0	amio	amio	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_amio_glc_e	0.0	0.0	0	0.0	amio_glc	amio glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_amn_b_gly_e	0.0	0.0	0	0.0	amn_b_gly	amn b gly	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_amn_b_gly_glc_e	0.0	0.0	0	0.0	amn_b_gly_glc	amn b gly glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_amntd_m6_e	0.0	0.0	0	0.0	amntd_m6	amntd m6	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_amntd_m6_glc_e	0.0	0.0	0	0.0	amntd_m6_glc	amntd m6 glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_anzp_e	0.0	0.0	1	0.0	anzp	anzp	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_arab_L_e	0.0	0.13	0	0.0	arab_L	arab L	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_arabttr_e	0.0	0.0	0	0.0	arabttr	arabttr	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_arg_L_e	0.0	0.0	0	0.0	arg_L	arg L	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_asn_L_e	0.0	0.09	0	0.0	asn_L	asn L	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_asp_L_e	0.0	0.09	0	0.0	asp_L	asp L	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_atvacid_e	0.0	0.0	0	0.0	atvacid	atvacid	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_atvacylgluc_e	0.0	0.0	0	0.0	atvacylgluc	atvacylgluc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_atvethgluc_e	0.0	0.0	0	0.0	atvethgluc	atvethgluc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_atvlac_e	0.0	0.0	0	0.0	atvlac	atvlac	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_atvlacgluc_e	0.0	0.0	0	0.0	atvlacgluc	atvlacgluc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bhpm_e	0.0	0.0	0	0.0	bhpm	bhpm	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bhpm_glc_e	0.0	0.0	0	0.0	bhpm_glc	bhpm glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bilr_355_e	0.0	0.0	0	0.0	bilr_355	bilr 355	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bilr_M10_e	0.0	0.0	0	0.0	bilr_M10	bilr M10	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bilr_M12_e	0.0	0.0	0	0.0	bilr_M12	bilr M12	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bilr_M14_e	0.0	0.0	0	0.0	bilr_M14	bilr M14	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bilr_M15_e	0.0	0.0	0	0.0	bilr_M15	bilr M15	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bilr_M16_e	0.0	0.0	0	0.0	bilr_M16	bilr M16	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bilr_M7_e	0.0	0.0	0	0.0	bilr_M7	bilr M7	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_brv_e	0.0	0.0	0	0.0	brv	brv	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bsn_e	0.0	0.0	0	0.0	bsn	bsn	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bsn_glc_e	0.0	0.0	0	0.0	bsn_glc	bsn glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_btn_e	0.0	0.0	0	0.0	btn	btn	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_but_e	0.0	0.0	0	0.0	but	Butyrate	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bvu_e	0.0	0.0	0	0.0	bvu	bvu	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bz_e	0.0	0.0	0	0.0	bz	bz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_bz_glc_e	0.0	0.0	0	0.0	bz_glc	bz glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_ca2_e	0.0	1.0	0	0.0	ca2	ca2	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_caribup_s_e	0.0	0.0	0	0.0	caribup_s	caribup s	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_caribupglu_S_e	0.0	0.0	0	0.0	caribupglu_S	caribupglu S	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cbl1_e	0.0	0.0	0	0.0	cbl1	cbl1	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cbl2_e	0.0	0.0	0	0.0	cbl2	cbl2	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cbz_e	0.0	0.0	0	0.0	cbz	cbz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cbz_glc_e	0.0	0.0	0	0.0	cbz_glc	cbz glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cd2_e	0.0	0.0	0	0.0	cd2	cd2	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cd6168_e	0.0	0.0	0	0.0	cd6168	cd6168	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cd6168_glc_e	0.0	0.0	0	0.0	cd6168_glc	cd6168 glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cellb_e	0.0	0.0	0	0.0	cellb	cellb	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_chlphncl_e	0.0	0.0	1	0.0	chlphncl	chlphncl	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_chlphncl_glc_e	0.0	0.0	0	0.0	chlphncl_glc	chlphncl glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cholate_e	0.0	0.0	0	0.0	cholate	cholate	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cl_e	0.0	1.0	0	0.0	cl	cl	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_clcxb_c_e	0.0	0.0	0	0.0	clcxb_c	clcxb c	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_clcxb_c_glc_e	0.0	0.0	0	0.0	clcxb_c_glc	clcxb c glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_clcxb_e	0.0	0.0	0	0.0	clcxb	clcxb	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_clcxb_glc_e	0.0	0.0	0	0.0	clcxb_glc	clcxb glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_clobi_c_e	0.0	0.0	0	0.0	clobi_c	clobi c	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_clobi_glc_e	0.0	0.0	0	0.0	clobi_glc	clobi glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_co2_e	0.0	0.0	1	0.0	co2	Carbon dioxide	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cobalt2_e	0.0	1.0	0	0.0	cobalt2	cobalt2	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cro4_e	0.0	0.0	0	0.0	cro4	cro4	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_crvsm1_e	0.0	0.0	0	0.0	crvsm1	crvsm1	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_crvsm23_e	0.0	0.0	0	0.0	crvsm23	crvsm23	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cu2_e	0.0	1.0	0	0.0	cu2	cu2	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cvm1gluc_e	0.0	0.0	0	0.0	cvm1gluc	cvm1gluc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cvm23gluc_e	0.0	0.0	0	0.0	cvm23gluc	cvm23gluc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cys_L_e	0.0	0.63	0	0.0	cys_L	cys L	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_cytd_e	0.0	0.0	0	0.0	cytd	cytd	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_czp_e	0.0	0.0	1	0.0	czp	czp	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_daa_e	0.0	0.0	0	0.0	daa	daa	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_daa_glc_e	0.0	0.0	0	0.0	daa_glc	daa glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_dad_2_e	0.0	0.0	0	0.0	dad_2	dad 2	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_dcf_e	0.0	0.0	0	0.0	dcf	dcf	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_dcf_glc_e	0.0	0.0	0	0.0	dcf_glc	dcf glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_dcyt_e	0.0	0.0	0	0.0	dcyt	dcyt	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_ddea_e	0.0	0.0	0	0.0	ddea	ddea	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_ddea_glc_e	0.0	0.0	0	0.0	ddea_glc	ddea glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_des_astzl_e	0.0	0.0	0	0.0	des_astzl	des astzl	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_des_astzl_glc_e	0.0	0.0	0	0.0	des_astzl_glc	des astzl glc	False
