Branch	Sequence	Gene	Accession	VirulenceFactor	VFCCategory	ReferenceCoveragePercent	IdentityPercent	AlignedBp
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	hsiB1/vipA/tssB	NP_248773	HSI-1	Effector delivery system	100.00	97.50	519
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	hsiA1	NP_248772	HSI-1	Effector delivery system	99.71	92.56	1032
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	fha1	NP_248771	HSI-1	Effector delivery system	100.00	93.23	1521
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	lip1	NP_248770	HSI-1	Effector delivery system	100.00	95.48	465
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	hsiJ1	NP_248769	HSI-1	Effector delivery system	100.00	96.18	1335
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	dotU1	NP_248768	HSI-1	Effector delivery system	100.00	96.22	1350
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	icmF1/tssM1	NP_248767	HSI-1	Effector delivery system	100.00	97.43	3306
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	tagF/pppB	NP_248766	HSI-1	Effector delivery system	100.00	95.30	681
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	pppA	NP_248765	HSI-1	Effector delivery system	100.00	96.43	729
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	ppkA	NP_248764	HSI-1	Effector delivery system	100.00	98.03	3099
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	tagT	NP_248763	HSI-1	Effector delivery system	100.00	97.50	720
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	tagS	NP_248762	HSI-1	Effector delivery system	100.00	96.25	1200
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	tagR	NP_248761	HSI-1	Effector delivery system	100.00	97.43	1713
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	tagQ	NP_248760	HSI-1	Effector delivery system	100.00	97.16	915
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	algB	NP_254170	Alginate	Biofilm	100.00	93.85	1350
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000006.1	exlB	WP_003155066	Exolysin	Exotoxin	100.00	99.59	1713
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000006.1	exlA	WP_012076956	Exolysin	Exotoxin	100.00	99.50	4956
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000006.1	mucD	NP_249457	Alginate	Biofilm	100.00	96.00	1425
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000006.1	mucC	NP_249456	Alginate	Biofilm	100.00	91.89	456
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000006.1	mucB	NP_249455	Alginate	Biofilm	100.00	90.01	951
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000006.1	mucA	NP_249454	Alginate	Biofilm	100.00	94.70	585
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000006.1	algU	NP_249453	Alginate	Biofilm	100.00	97.42	582
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	PA3348	NP_252038	Flagella	Motility	100.00	94.91	825
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	PA3349	NP_252039	Flagella	Motility	100.00	96.78	933
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	flgA	NP_252040	Flagella	Motility	100.00	91.56	699
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	flgM	NP_252041	Flagella	Motility	100.00	94.75	324
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	rhlI	NP_252166	Quorum sensing	Biofilm	100.00	92.28	609
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	rhlR	NP_252167	Quorum sensing	Biofilm	100.00	94.49	726
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	rhlB	NP_252168	Rhamnolipid	Immune modulation	100.00	90.24	1281
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	rhlA	NP_252169	Rhamnolipid	Immune modulation	100.00	91.78	888
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	tse3	NP_252174	HSI-1 T6SS secreted effectors	Effector delivery system	100.00	96.74	1227
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000007.1	motY	NP_252216	Flagella	Motility	100.00	92.75	966
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	vfr	NP_249343	Type IV pili	Adherence	100.00	96.74	645
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	chpE	NP_249108	Type IV pili	Adherence	100.00	93.79	612
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	chpD	NP_249107	Type IV pili	Adherence	100.00	95.60	795
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	chpC	NP_249106	Type IV pili	Adherence	100.00	94.87	507
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	chpB	NP_249105	Type IV pili	Adherence	100.00	94.57	1032
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	chpA	NP_249104	Type IV pili	Adherence	99.88	93.86	7419
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	pilK	NP_249103	Type IV pili	Adherence	100.00	94.64	876
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	pilJ	NP_249102	Type IV pili	Adherence	100.00	97.41	2049
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	pilI	NP_249101	Type IV pili	Adherence	100.00	97.21	537
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	pilH	NP_249100	Type IV pili	Adherence	100.00	97.00	366
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	pilG	NP_249099	Type IV pili	Adherence	100.00	97.06	408
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	pilU	NP_249087	Type IV pili	Adherence	100.00	97.39	1149
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000008.1	pilT	NP_249086	Type IV pili	Adherence	100.00	97.97	1035
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000009.1	xcpA/pilD	NP_253218	Type IV pili	Adherence	100.00	95.53	873
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000009.1	rpoN	NP_253152	Type IV pili	Adherence	100.00	94.71	1494
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000009.1	algW	NP_253136	Alginate	Biofilm	99.83	94.61	1168
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000011.1	ptxR	NP_250948	Pyoverdine	Nutritional/Metabolic factor	100.00	92.12	939
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000011.1	pvcD	NP_250947	Pyoverdine	Nutritional/Metabolic factor	100.00	95.99	648
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000011.1	pvcC	NP_250946	Pyoverdine	Nutritional/Metabolic factor	100.00	97.67	1503
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000011.1	pvcB	NP_250945	Pyoverdine	Nutritional/Metabolic factor	100.00	97.60	876
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000011.1	pvcA	NP_250944	Pyoverdine	Nutritional/Metabolic factor	100.00	98.48	987
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000013.1	crc	NP_254019	Type IV pili	Adherence	100.00	98.08	780
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000013.1	algC	NP_254009	Alginate	Biofilm	100.00	94.52	2607
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000013.1	algZ	NP_253949	Alginate	Biofilm	100.00	95.73	1077
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000013.1	algR	NP_253948	Alginate	Biofilm	100.00	95.31	747
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000013.1	algQ	NP_253942	Alginate	Biofilm	100.00	92.96	483
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	waaA	NP_253675	LPS	Immune modulation	100.00	93.43	1278
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	waaP	NP_253696	LPS	Immune modulation	100.00	93.19	807
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	waaG	NP_253697	LPS	Immune modulation	100.00	92.60	1122
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	waaC	NP_253698	LPS	Immune modulation	100.00	92.32	1068
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	waaF	NP_253699	LPS	Immune modulation	100.00	96.15	1038
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	pilQ	NP_253727	Type IV pili	Adherence	100.00	92.49	2145
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	pilP	NP_253728	Type IV pili	Adherence	100.00	96.38	525
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	pilO	NP_253729	Type IV pili	Adherence	100.00	95.03	624
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	pilN	NP_253730	Type IV pili	Adherence	100.00	92.97	597
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000014.1	pilM	NP_253731	Type IV pili	Adherence	100.00	96.15	1065
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000015.1	motB	NP_253640	Flagella	Motility	98.56	91.86	1029
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000015.1	motA	NP_253641	Flagella	Motility	100.00	92.96	852
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000015.1	fimX	NP_253646	Type IV pili	Adherence	100.00	94.99	2076
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000019.1	PA2383	NP_251073	Pyoverdine	Nutritional/Metabolic factor	100.00	96.09	921
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000019.1	pvdQ	NP_251075	Pyoverdine	Nutritional/Metabolic factor	100.00	92.36	2289
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000019.1	pvdM	NP_251083	Pyoverdine	Nutritional/Metabolic factor	99.78	92.67	1347
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000019.1	pvdN	NP_251084	Pyoverdine	Nutritional/Metabolic factor	100.00	96.89	1284
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000019.1	pvdO	NP_251085	Pyoverdine	Nutritional/Metabolic factor	100.00	96.61	855
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000019.1	mbtH-like	NP_251102	Pyoverdine	Nutritional/Metabolic factor	100.00	99.09	219
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000019.1	pvdH	NP_251103	Pyoverdine	Nutritional/Metabolic factor	100.00	94.75	1410
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000019.1	pvdL	NP_251114	Pyoverdine	Nutritional/Metabolic factor	99.98	96.92	13029
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000019.1	pvdS	NP_251116	Pyoverdine	Nutritional/Metabolic factor	100.00	93.79	564
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000021.1	pilE	NP_253246	Type IV pili	Adherence	100.00	92.49	426
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000021.1	pilX	NP_253243	Type IV pili	Adherence	96.43	90.65	567
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000021.1	pilV	NP_253241	Type IV pili	Adherence	99.82	92.67	558
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000021.1	pilR	NP_253237	Type IV pili	Adherence	100.00	93.27	1338
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000021.1	pilS	NP_253236	Type IV pili	Adherence	100.00	91.71	1593
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	pchB	NP_252920	Pyochelin	Nutritional/Metabolic factor	100.00	93.46	306
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	pchC	NP_252919	Pyochelin	Nutritional/Metabolic factor	100.00	91.14	756
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	pchD	NP_252918	Pyochelin	Nutritional/Metabolic factor	100.00	92.21	1644
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	pchR	NP_252917	Pyochelin	Nutritional/Metabolic factor	99.66	92.14	888
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	pchE	NP_252916	Pyochelin	Nutritional/Metabolic factor	99.86	93.61	4311
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	pchF	NP_252915	Pyochelin	Nutritional/Metabolic factor	100.00	96.56	5430
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	pchG	NP_252914	Pyochelin	Nutritional/Metabolic factor	100.00	97.14	1050
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	pchH	NP_252913	Pyochelin	Nutritional/Metabolic factor	100.00	91.30	1713
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	pchI	NP_252912	Pyochelin	Nutritional/Metabolic factor	100.00	93.28	1725
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	fptA	NP_252911	Pyochelin	Nutritional/Metabolic factor	99.86	92.46	2160
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	PA4218	NP_252908	Pyochelin	Nutritional/Metabolic factor	100.00	95.10	1245
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000026.1	phzS	NP_252907	Pyocyanin	Nutritional/Metabolic factor	100.00	96.03	1209
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000029.1	vgrG2b	NP_248953	HSI-2 T6SS secreted effectors	Effector delivery system	100.00	93.95	3060
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000029.1	hcpA	NP_250203	HSI-2	Effector delivery system	100.00	96.15	519
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000030.1	phzB2	NP_250591	Pyocyanin	Nutritional/Metabolic factor	100.00	94.89	489
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000030.1	phzA2	NP_250590	Pyocyanin	Nutritional/Metabolic factor	100.00	95.71	489
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000034.1	phzB1	NP_252900	Pyocyanin	Nutritional/Metabolic factor	91.21	90.14	446
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000036.1	phzG1	NP_252906	Pyocyanin	Nutritional/Metabolic factor	94.73	94.76	611
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000036.1	phzF1	NP_252904	Pyocyanin	Nutritional/Metabolic factor	100.00	98.45	837
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000036.1	phzE1	NP_252903	Pyocyanin	Nutritional/Metabolic factor	100.00	96.50	1884
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000036.1	phzD1	NP_252902	Pyocyanin	Nutritional/Metabolic factor	100.00	95.67	624
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000036.1	phzC1	NP_252901	Pyocyanin	Nutritional/Metabolic factor	100.00	96.31	1218
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	adsA	WP_000645781	AdsA	Immune modulation	100.00	96.72	2319
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	spa	WP_000728751	SpA	Exotoxin	100.00	94.96	1527
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	capA		Capsule	Immune modulation	100.00	99.55	669
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8B	WP_000037328	Capsule	Immune modulation	100.00	98.98	687
Staphylococcus core 90/80	GCA_000013465.1|CP000255.1	cap8C	WP_000565297	Capsule	Immune modulation	100.00	99.61	765
