Branch	Sequence	Gene	Accession	VirulenceFactor	VFCCategory	ReferenceCoveragePercent	IdentityPercent	AlignedBp
Core 90/80	megahit-co__c010699_32	wbpB	WP_012457298	LPS	Immune modulation	100.00	100.00	972
Core 90/80	megahit-co__c010699_42	fimA	WP_012457306	FimA fimbriae	Adherence	100.00	100.00	1152
Core 90/80	megahit-co__c010699_44	fimC	WP_039417483	FimA fimbriae	Adherence	100.00	100.00	1362
Core 90/80	megahit-co__c010699_45	fimD	WP_012457310	FimA fimbriae	Adherence	100.00	100.00	2013
Core 90/80	megahit-co__c010699_46	fimE	WP_012457311	FimA fimbriae	Adherence	100.00	100.00	1653
Core 90/80	megahit-co__c011981_32	porY	WP_012458675	T9SS	Effector delivery system	100.00	99.92	1188
Core 90/80	megahit-co__c012159_5	porU	WP_012457177	T9SS	Effector delivery system	100.00	99.94	3477
Core 90/80	megahit-co__c012338_4	wbaP	WP_012458596	LPS	Immune modulation	100.00	100.00	1407
Core 90/80	megahit-co__c012339_5	husD	WP_012458742	Hus system	Nutritional/Metabolic factor	100.00	100.00	597
Core 90/80	megahit-co__c012339_7	husB	WP_012458743	Hus system	Nutritional/Metabolic factor	97.44	100.00	2166
Core 90/80	megahit-co__c012339_8	husA	WP_012458744	Hus system	Nutritional/Metabolic factor	100.00	100.00	657
Core 90/80	megahit-co__c012373_48	PGN_RS07665	WP_012458403	Sialidase	Enzyme	100.00	100.00	1581
Core 90/80	megahit-co__c012475_10	vimA	WP_012457991	LPS	Immune modulation	100.00	100.00	966
Core 90/80	megahit-co__c012475_8	vimF	WP_012457989	LPS	Immune modulation	100.00	100.00	1251
Core 90/80	megahit-co__c013301_2	gtfB	WP_230846995	LPS	Immune modulation	100.00	100.00	1158
Core 90/80	megahit-co__c013374_1	cmpA	WP_106877174	CmpA	Adherence	89.42	95.36	6366
Core 90/80	megahit-co__c013455_12	PG_RS00555	WP_005875308	Capsule/K-antigen	Immune modulation	100.00	94.13	699
Core 90/80	megahit-co__c013455_13	wecB	WP_005875256	Capsule/K-antigen	Immune modulation	98.97	98.78	1149
Core 90/80	megahit-co__c014079_10	cbpF	WP_005902104	CbpF	Adherence	97.16	92.98	1440
Core 90/80	megahit-co__c014906_19	hmuT	WP_004585352	Hmu system	Nutritional/Metabolic factor	100.00	100.00	678
Core 90/80	megahit-co__c014906_9	prtC	WP_039416961	PrtC	Enzyme	98.07	100.00	1221
Core 90/80	megahit-co__c015875_5	porF	WP_012458269	T9SS	Effector delivery system	100.00	100.00	2484
Core 90/80	megahit-co__c017892_16	porE	WP_012458162	T9SS	Effector delivery system	100.00	100.00	2019
Core 90/80	megahit-m1__c000612_1	hmuS	WP_012457595	Hmu system	Nutritional/Metabolic factor	100.00	99.98	4410
Core 90/80	megahit-m1__c000612_2	hmuR	WP_012457596	Hmu system	Nutritional/Metabolic factor	100.00	99.90	1941
Core 90/80	megahit-m1__c000612_3	hmuY	WP_012457597	Hmu system	Nutritional/Metabolic factor	100.00	100.00	651
Core 90/80	megahit-m1__c001146_2	eutC	WP_005904029	Eut locus	Nutritional/Metabolic factor	100.00	99.89	888
Core 90/80	megahit-m1__c001449_4	wecC	WP_010955925	Capsule/K-antigen	Immune modulation	99.83	96.69	1208
Core 90/80	megahit-m1__c005281_2	hmuV	WP_004585349	Hmu system	Nutritional/Metabolic factor	100.00	100.00	327
Core 90/80	megahit-m1__c005718_3	ragA	WP_012457400	RagAB	Nutritional/Metabolic factor	99.71	99.97	3102
Core 90/80	megahit-m1__c005718_4	ragB	WP_012457401	RagAB	Nutritional/Metabolic factor	100.00	99.54	1512
Core 90/80	megahit-m1__c007536_3	porL	WP_012458450	T9SS	Effector delivery system	100.00	100.00	930
Core 90/80	megahit-m1__c008106_2	porQ	WP_043876356	T9SS	Effector delivery system	100.00	100.00	993
Core 90/80	megahit-m1__c008441_4	porV/lptO	WP_004583425	T9SS	Effector delivery system	100.00	100.00	1176
Core 90/80	megahit-m1__c009094_6	php1	WP_012458344	Php1	Post-translational modification	99.73	100.00	742
Core 90/80	megahit-m1__c009442_3	porT	WP_005873603	T9SS	Effector delivery system	100.00	100.00	735
Core 90/80	megahit-m1__c010745_5	wbpD	WP_004583405	LPS	Immune modulation	100.00	100.00	573
Core 90/80	megahit-m1__c011006_2	husC	WP_005874754	Hus system	Nutritional/Metabolic factor	100.00	100.00	297
Core 90/80	megahit-m1__c011006_3	husD	WP_012458742	Hus system	Nutritional/Metabolic factor	100.00	100.00	597
Core 90/80	megahit-m1__c012536_1	PG_RS00495	WP_010955924	Capsule/K-antigen	Immune modulation	97.63	98.56	1110
Core 90/80	megahit-m1__c013160_2	eutV	WP_005904034	Eut locus	Nutritional/Metabolic factor	100.00	99.83	579
Core 90/80	megahit-m1__c014450_3	wbpA/ugdA	WP_039417146	LPS	Immune modulation	100.00	100.00	1335
Core 90/80	megahit-m2__c001637_2	gtfF	WP_012458445	LPS	Immune modulation	100.00	100.00	897
Core 90/80	megahit-m2__c001695_2	vimE	WP_012457990	LPS	Immune modulation	100.00	99.93	1362
Core 90/80	megahit-m2__c003229_5	porG	WP_012457404	T9SS	Effector delivery system	100.00	100.00	708
Core 90/80	megahit-m2__c005688_2	gtfC	WP_004583909	LPS	Immune modulation	100.00	100.00	1068
Core 90/80	megahit-m2__c006530_4	porS	WP_230455971	LPS	Immune modulation	100.00	100.00	1245
Core 90/80	megahit-m2__c007217_2	eutP	WP_005904035	Eut locus	Nutritional/Metabolic factor	100.00	100.00	438
Core 90/80	megahit-m2__c007572_2	ltp1	WP_012457551	Ltp1	Post-translational modification	90.48	100.00	456
Core 90/80	megahit-m2__c007966_2	mfa2	WP_010955942	Mfa1 fimbriae	Adherence	98.15	100.00	957
Core 90/80	megahit-m2__c008358_3	hagC	WP_012458605	HagC	Adherence	100.00	100.00	1053
Core 90/80	megahit-m2__c010557_2	hmuU	WP_010956341	Hmu system	Nutritional/Metabolic factor	100.00	100.00	579
Core 90/80	megahit-m2__c010980_2	mfa4	WP_012457398	Mfa1 fimbriae	Adherence	100.00	99.90	1002
Core 90/80	megahit-m2__c011647_3	fadA	WP_005903511	FadA	Adherence	100.00	99.74	390
Core 80/80	megahit-co__c001098_2	fliM	NP_250134	Flagella	Motility	99.59	86.33	969
Core 80/80	megahit-co__c001359_15	fomA	WP_005902984	FomA	Adherence	100.00	99.55	1107
Core 80/80	megahit-co__c001537_10	ppaD	WP_005873463	PPAD	Enzyme	100.00	100.00	1671
Core 80/80	megahit-co__c001743_2	waaF	NP_253699	LPS	Immune modulation	94.03	80.16	977
Core 80/80	megahit-co__c001971_1	eutA	WP_005904031	Eut locus	Nutritional/Metabolic factor	100.00	99.65	1431
Core 80/80	megahit-co__c001971_2	eutW	WP_005904032	Eut locus	Nutritional/Metabolic factor	100.00	99.71	1389
Core 80/80	megahit-co__c001971_5	eutS	WP_005904036	Eut locus	Nutritional/Metabolic factor	100.00	100.00	369
Core 80/80	megahit-co__c002108_10	wbpE/porR	WP_005873685	LPS	Immune modulation	100.00	100.00	1125
Core 80/80	megahit-co__c002108_12	wbpS	WP_005873629	LPS	Immune modulation	100.00	100.00	1629
Core 80/80	megahit-co__c002108_13	wbaQ	WP_012458125	LPS	Immune modulation	100.00	100.00	615
Core 80/80	megahit-co__c002108_5	wzy	WP_012458132	LPS	Immune modulation	100.00	100.00	1044
Core 80/80	megahit-co__c002108_7	gtfE	WP_012458130	LPS	Immune modulation	100.00	100.00	1152
Core 80/80	megahit-co__c002108_8	gtfD	WP_012458129	LPS	Immune modulation	100.00	100.00	861
Core 80/80	megahit-co__c002108_9	PGN_RS05945	WP_012458128	LPS	Immune modulation	99.21	100.00	1128
Core 80/80	megahit-co__c002392_2	Fn-Dps	WP_005902929	Fn-Dps	Stress survival	100.00	99.77	435
Core 80/80	megahit-co__c002557_3	mbtH-like	NP_251102	Pyoverdine	Nutritional/Metabolic factor	97.72	86.45	214
Core 80/80	megahit-co__c003173_4	porX	WP_012457962	T9SS	Effector delivery system	99.23	100.00	1545
Core 80/80	megahit-co__c003369_2	waaF	NP_253699	LPS	Immune modulation	92.87	81.47	965
Core 80/80	megahit-co__c003392_5	porA	WP_043876308	T9SS	Effector delivery system	100.00	100.00	720
Core 80/80	megahit-co__c004576_1	motC	NP_250151	Flagella	Motility	95.28	80.93	707
Core 80/80	megahit-co__c004997_1	eutM1	WP_005904027	Eut locus	Nutritional/Metabolic factor	82.35	86.13	375
Core 80/80	megahit-co__c004997_2	eutM2	WP_005895463	Eut locus	Nutritional/Metabolic factor	100.00	98.25	285
Core 80/80	megahit-co__c004997_3	eutE	WP_005904025	Eut locus	Nutritional/Metabolic factor	100.00	97.37	1443
Core 80/80	megahit-co__c005132_23	serB	WP_004585202	SerB	Enzyme	100.00	100.00	1242
Core 80/80	megahit-co__c005296_1	eutL	WP_011016126	Eut locus	Nutritional/Metabolic factor	100.00	98.62	654
Core 80/80	megahit-co__c005296_3	eutB	WP_023040837	Eut locus	Nutritional/Metabolic factor	95.83	99.69	1311
Core 80/80	megahit-co__c006115_13	mfa5	WP_012457399	Mfa1 fimbriae	Adherence	99.92	100.00	3684
Core 80/80	megahit-co__c006115_15	mfa3	WP_012457397	Mfa1 fimbriae	Adherence	100.00	100.00	1341
Core 80/80	megahit-co__c006115_17	mfa1	WP_012457396	Mfa1 fimbriae	Adherence	100.00	100.00	1692
Core 80/80	megahit-co__c006352_1	rpoN	NP_253152	Type IV pili	Adherence	99.67	83.72	1494
Core 80/80	megahit-co__c007074_28	ptk1	WP_012458343	Ptk1	Post-translational modification	100.00	100.00	2466
Core 80/80	megahit-co__c007520_2	PA3348	NP_252038	Flagella	Motility	99.76	80.44	827
Core 80/80	megahit-co__c007662_2	C4N14_RS02810	WP_005904022	Eut locus	Nutritional/Metabolic factor	100.00	95.43	591
Core 80/80	megahit-co__c007662_3	eutN	WP_005904021	Eut locus	Nutritional/Metabolic factor	100.00	97.99	249
Core 80/80	megahit-co__c007662_5	eutH	WP_005904019	Eut locus	Nutritional/Metabolic factor	100.00	95.11	1083
Core 80/80	megahit-co__c007662_6	eutQ	WP_005904018	Eut locus	Nutritional/Metabolic factor	100.00	100.00	450
Core 80/80	megahit-co__c007662_8	eutG	WP_005903662	Eut locus	Nutritional/Metabolic factor	100.00	99.82	1119
Core 80/80	megahit-co__c007713_37	porW	WP_012458585	T9SS	Effector delivery system	100.00	100.00	3483
Core 80/80	megahit-co__c007846_1	waaG	NP_253697	LPS	Immune modulation	93.40	80.15	1053
Core 80/80	megahit-co__c007847_1	pvdH	NP_251103	Pyoverdine	Nutritional/Metabolic factor	91.13	82.08	1287
Core 80/80	megahit-co__c007847_2	mbtH-like	NP_251102	Pyoverdine	Nutritional/Metabolic factor	84.93	83.33	186
Core 80/80	megahit-co__c008102_3	gbp	WP_005903112	Gbp	Adherence	100.00	99.71	1026
Core 80/80	megahit-co__c008447_23	ltp1	WP_012457551	Ltp1	Post-translational modification	100.00	100.00	504
Core 80/80	megahit-co__c008447_9	porZ	WP_039416951	T9SS	Effector delivery system	98.97	100.00	2307
Core 80/80	megahit-co__c009858_4	algU	NP_249453	Alginate	Biofilm	100.00	81.44	582
Core 80/80	megahit-co__c009936_17	porP	WP_012458452	T9SS	Effector delivery system	100.00	100.00	942
Core 80/80	megahit-co__c009936_18	porK	WP_012458451	T9SS	Effector delivery system	100.00	100.00	1476
Core 80/80	megahit-co__c009936_20	porM	WP_004584766	T9SS	Effector delivery system	100.00	100.00	1551
Core 80/80	megahit-co__c009936_21	porN	WP_012458449	T9SS	Effector delivery system	100.00	100.00	1080
Core 80/80	megahit-co__c010596_1	sov	WP_012457811	T9SS	Effector delivery system	100.00	99.97	7500
Core 80/80	megahit-co__c010683_2	fliG	NP_249793	Flagella	Motility	99.31	85.19	1013
Core 80/80	megahit-co__c010699_14	plug	WP_012457276	T9SS	Effector delivery system	100.00	100.00	1260
Core 80/80	megahit-co__c010699_32	wbpB	WP_012457298	LPS	Immune modulation	100.00	100.00	972
Core 80/80	megahit-co__c010699_42	fimA	WP_012457306	FimA fimbriae	Adherence	100.00	100.00	1152
Core 80/80	megahit-co__c010699_44	fimC	WP_039417483	FimA fimbriae	Adherence	100.00	100.00	1362
Core 80/80	megahit-co__c010699_45	fimD	WP_012457310	FimA fimbriae	Adherence	100.00	100.00	2013
Core 80/80	megahit-co__c010699_46	fimE	WP_012457311	FimA fimbriae	Adherence	100.00	100.00	1653
Core 80/80	megahit-co__c011103_2	flgI	NP_249775	Flagella	Motility	94.86	84.90	1053
Core 80/80	megahit-co__c011981_32	porY	WP_012458675	T9SS	Effector delivery system	100.00	99.92	1188
Core 80/80	megahit-co__c012159_5	porU	WP_012457177	T9SS	Effector delivery system	100.00	99.94	3477
Core 80/80	megahit-co__c012338_4	wbaP	WP_012458596	LPS	Immune modulation	100.00	100.00	1407
Core 80/80	megahit-co__c012339_5	husD	WP_012458742	Hus system	Nutritional/Metabolic factor	100.00	100.00	597
Core 80/80	megahit-co__c012339_7	husB	WP_012458743	Hus system	Nutritional/Metabolic factor	97.44	100.00	2166
Core 80/80	megahit-co__c012339_8	husA	WP_012458744	Hus system	Nutritional/Metabolic factor	100.00	100.00	657
Core 80/80	megahit-co__c012373_48	PGN_RS07665	WP_012458403	Sialidase	Enzyme	100.00	100.00	1581
Core 80/80	megahit-co__c012475_10	vimA	WP_012457991	LPS	Immune modulation	100.00	100.00	966
Core 80/80	megahit-co__c012475_8	vimF	WP_012457989	LPS	Immune modulation	100.00	100.00	1251
Core 80/80	megahit-co__c012965_2	flgG	NP_249773	Flagella	Motility	98.35	82.11	775
Core 80/80	megahit-co__c013261_3	pilG	NP_249099	Type IV pili	Adherence	96.81	83.54	395
Core 80/80	megahit-co__c013261_4	pilH	NP_249100	Type IV pili	Adherence	100.00	82.24	366
Core 80/80	megahit-co__c013301_2	gtfB	WP_230846995	LPS	Immune modulation	100.00	100.00	1158
Core 80/80	megahit-co__c013374_1	cmpA	WP_106877174	CmpA	Adherence	89.42	95.36	6366
Core 80/80	megahit-co__c013455_10	PG_RS00540	WP_005875344	Capsule/K-antigen	Immune modulation	96.57	88.20	1184
Core 80/80	megahit-co__c013455_12	PG_RS00555	WP_005875308	Capsule/K-antigen	Immune modulation	100.00	94.13	699
Core 80/80	megahit-co__c013455_13	wecB	WP_005875256	Capsule/K-antigen	Immune modulation	98.97	98.78	1149
Core 80/80	megahit-co__c014079_10	cbpF	WP_005902104	CbpF	Adherence	97.16	92.98	1440
Core 80/80	megahit-co__c014906_19	hmuT	WP_004585352	Hmu system	Nutritional/Metabolic factor	100.00	100.00	678
Core 80/80	megahit-co__c014906_9	prtC	WP_039416961	PrtC	Enzyme	98.07	100.00	1221
Core 80/80	megahit-co__c015165_1	PA3348	NP_252038	Flagella	Motility	99.88	82.47	827
Core 80/80	megahit-co__c015165_3	flgC	NP_249769	Flagella	Motility	99.77	81.12	444
Core 80/80	megahit-co__c015711_2	fliP	NP_250137	Flagella	Motility	92.45	83.71	711
Core 80/80	megahit-co__c015711_3	fliQ	NP_250138	Flagella	Motility	100.00	81.48	270
Core 80/80	megahit-co__c015875_5	porF	WP_012458269	T9SS	Effector delivery system	100.00	100.00	2484
Core 80/80	megahit-co__c016606_4	fliI	NP_249795	Flagella	Motility	89.09	83.69	1208
Core 80/80	megahit-co__c017103_2	flgH	NP_249774	Flagella	Motility	93.25	81.16	651
Core 80/80	megahit-co__c017688_3	flgC	NP_249769	Flagella	Motility	80.95	81.11	360
Core 80/80	megahit-co__c017892_16	porE	WP_012458162	T9SS	Effector delivery system	100.00	100.00	2019
Core 80/80	megahit-m1__c000419_4	PG_RS00535	WP_010955928	Capsule/K-antigen	Immune modulation	99.32	87.90	435
Core 80/80	megahit-m1__c000612_1	hmuS	WP_012457595	Hmu system	Nutritional/Metabolic factor	100.00	99.98	4410
Core 80/80	megahit-m1__c000612_2	hmuR	WP_012457596	Hmu system	Nutritional/Metabolic factor	100.00	99.90	1941
Core 80/80	megahit-m1__c000612_3	hmuY	WP_012457597	Hmu system	Nutritional/Metabolic factor	100.00	100.00	651
Core 80/80	megahit-m1__c001146_2	eutC	WP_005904029	Eut locus	Nutritional/Metabolic factor	100.00	99.89	888
Core 80/80	megahit-m1__c001449_4	wecC	WP_010955925	Capsule/K-antigen	Immune modulation	99.83	96.69	1208
Core 80/80	megahit-m1__c005281_2	hmuV	WP_004585349	Hmu system	Nutritional/Metabolic factor	100.00	100.00	327
Core 80/80	megahit-m1__c005718_3	ragA	WP_012457400	RagAB	Nutritional/Metabolic factor	99.71	99.97	3102
Core 80/80	megahit-m1__c005718_4	ragB	WP_012457401	RagAB	Nutritional/Metabolic factor	100.00	99.54	1512
Core 80/80	megahit-m1__c006529_1	fliG	NP_249793	Flagella	Motility	97.44	84.79	992
Core 80/80	megahit-m1__c007536_3	porL	WP_012458450	T9SS	Effector delivery system	100.00	100.00	930
Core 80/80	megahit-m1__c008106_2	porQ	WP_043876356	T9SS	Effector delivery system	100.00	100.00	993
Core 80/80	megahit-m1__c008441_4	porV/lptO	WP_004583425	T9SS	Effector delivery system	100.00	100.00	1176
Core 80/80	megahit-m1__c008556_2	flgI	NP_249775	Flagella	Motility	82.70	86.49	918
Core 80/80	megahit-m1__c009094_6	php1	WP_012458344	Php1	Post-translational modification	99.73	100.00	742
Core 80/80	megahit-m1__c009442_3	porT	WP_005873603	T9SS	Effector delivery system	100.00	100.00	735
Core 80/80	megahit-m1__c010745_5	wbpD	WP_004583405	LPS	Immune modulation	100.00	100.00	573
Core 80/80	megahit-m1__c011006_2	husC	WP_005874754	Hus system	Nutritional/Metabolic factor	100.00	100.00	297
Core 80/80	megahit-m1__c011006_3	husD	WP_012458742	Hus system	Nutritional/Metabolic factor	100.00	100.00	597
Core 80/80	megahit-m1__c012536_1	PG_RS00495	WP_010955924	Capsule/K-antigen	Immune modulation	97.63	98.56	1110
Core 80/80	megahit-m1__c013160_2	eutV	WP_005904034	Eut locus	Nutritional/Metabolic factor	100.00	99.83	579
Core 80/80	megahit-m1__c014450_3	wbpA/ugdA	WP_039417146	LPS	Immune modulation	100.00	100.00	1335
Core 80/80	megahit-m2__c001637_2	gtfF	WP_012458445	LPS	Immune modulation	100.00	100.00	897
Core 80/80	megahit-m2__c001695_2	vimE	WP_012457990	LPS	Immune modulation	100.00	99.93	1362
Core 80/80	megahit-m2__c002422_1	rpoN	NP_253152	Type IV pili	Adherence	91.03	83.11	1364
Core 80/80	megahit-m2__c003229_5	porG	WP_012457404	T9SS	Effector delivery system	100.00	100.00	708
Core 80/80	megahit-m2__c005688_2	gtfC	WP_004583909	LPS	Immune modulation	100.00	100.00	1068
Core 80/80	megahit-m2__c006530_4	porS	WP_230455971	LPS	Immune modulation	100.00	100.00	1245
Core 80/80	megahit-m2__c007217_2	eutP	WP_005904035	Eut locus	Nutritional/Metabolic factor	100.00	100.00	438
Core 80/80	megahit-m2__c007572_2	ltp1	WP_012457551	Ltp1	Post-translational modification	90.48	100.00	456
Core 80/80	megahit-m2__c007966_2	mfa2	WP_010955942	Mfa1 fimbriae	Adherence	98.15	100.00	957
Core 80/80	megahit-m2__c008358_3	hagC	WP_012458605	HagC	Adherence	100.00	100.00	1053
Core 80/80	megahit-m2__c009528_1	crc	NP_254019	Type IV pili	Adherence	99.62	82.41	778
Core 80/80	megahit-m2__c010557_2	hmuU	WP_010956341	Hmu system	Nutritional/Metabolic factor	100.00	100.00	579
Core 80/80	megahit-m2__c010980_2	mfa4	WP_012457398	Mfa1 fimbriae	Adherence	100.00	99.90	1002
Core 80/80	megahit-m2__c011647_3	fadA	WP_005903511	FadA	Adherence	100.00	99.74	390
Full 90/80	megahit-co__c000303_2	pilA	WP_043206123	Type IV pili	Adherence	100.00	100.00	414
Full 90/80	megahit-co__c000303_3	pilC	WP_043204767	Type IV pili	Adherence	100.00	99.92	1209
Full 90/80	megahit-co__c000303_4	xcpA/pilD	WP_163825659	Type IV pili	Adherence	100.00	100.00	825
Full 90/80	megahit-co__c001098_2	fliM	WP_003254418	Flagella	Motility	100.00	96.59	969
Full 90/80	megahit-co__c001109_2	fpvA	WP_012723749	Pyoverdine	Nutritional/Metabolic factor	100.00	99.80	2436
Full 90/80	megahit-co__c001168_2	hdtS	WP_010951467	Acylhomoserine lactone synthase	Biofilm	88.17	99.57	693
Full 90/80	megahit-co__c001359_15	fomA	NP_602659	FomA	Adherence	100.00	100.00	1107
Full 90/80	megahit-co__c001537_10	ppaD	WP_005873463	PPAD	Enzyme	100.00	100.00	1671
Full 90/80	megahit-co__c001800_2	tke9	WP_010954260	Putida-T6SS secreted effectors	Effector delivery system	100.00	99.63	2673
Full 90/80	megahit-co__c001971_1	eutA	NP_602992	Eut locus	Nutritional/Metabolic factor	100.00	100.00	1431
Full 90/80	megahit-co__c001971_2	eutW	NP_602991	Eut locus	Nutritional/Metabolic factor	100.00	100.00	1389
Full 90/80	megahit-co__c001971_5	eutS	WP_005904036	Eut locus	Nutritional/Metabolic factor	100.00	100.00	369
Full 90/80	megahit-co__c002108_10	wbpE/porR	WP_005873685	LPS	Immune modulation	100.00	100.00	1125
Full 90/80	megahit-co__c002108_12	wbpS	WP_005873629	LPS	Immune modulation	100.00	100.00	1629
Full 90/80	megahit-co__c002108_13	wbaQ	WP_012458125	LPS	Immune modulation	100.00	100.00	615
Full 90/80	megahit-co__c002108_5	wzy	WP_012458132	LPS	Immune modulation	100.00	100.00	1044
Full 90/80	megahit-co__c002108_7	gtfE	WP_012458130	LPS	Immune modulation	100.00	100.00	1152
Full 90/80	megahit-co__c002108_8	gtfD	WP_012458129	LPS	Immune modulation	100.00	100.00	861
Full 90/80	megahit-co__c002108_9	PGN_RS05945	WP_012458128	LPS	Immune modulation	99.21	100.00	1128
Full 90/80	megahit-co__c002392_2	Fn-Dps	NP_603976	Fn-Dps	Stress survival	100.00	100.00	435
Full 90/80	megahit-co__c003173_4	porX	WP_012457962	T9SS	Effector delivery system	99.23	100.00	1545
Full 90/80	megahit-co__c003297_1	pilR	WP_012722471	Type IV pili	Adherence	100.00	99.86	1398
Full 90/80	megahit-co__c003392_5	porA	WP_043876308	T9SS	Effector delivery system	100.00	100.00	720
Full 90/80	megahit-co__c004326_3	algR	WP_015886493	Alginate	Biofilm	100.00	100.00	747
Full 90/80	megahit-co__c004470_1	motB	WP_012721906	Flagella	Motility	100.00	100.00	1020
Full 90/80	megahit-co__c004470_2	motA	WP_012721905	Flagella	Motility	100.00	99.18	852
Full 90/80	megahit-co__c004576_1	motC	WP_010955066	Flagella	Motility	95.95	100.00	711
Full 90/80	megahit-co__c004576_2	motD	WP_010955065	Flagella	Motility	94.76	99.75	813
Full 90/80	megahit-co__c004997_1	eutM1	NP_602996	Eut locus	Nutritional/Metabolic factor	83.89	100.00	375
Full 90/80	megahit-co__c004997_2	eutM2	NP_602997	Eut locus	Nutritional/Metabolic factor	100.00	100.00	285
Full 90/80	megahit-co__c004997_3	eutE	NP_602998	Eut locus	Nutritional/Metabolic factor	100.00	100.00	1443
Full 90/80	megahit-co__c005030_2	hcp1	WP_049586088	Putida K1-T6SS	Effector delivery system	100.00	99.61	519
Full 90/80	megahit-co__c005132_23	serB	WP_004585202	SerB	Enzyme	100.00	100.00	1242
