EvaluationSet	Reference	GenBankAssembly	ExpectedAbundancePct	AbundanceBin	Branch	EvidenceClass	GenomeFractionPct	RecoveredGe90Pct	FullGenomeGe99Pct	MismatchesPer100Kbp	IndelsPer100Kbp	ReferenceReportPresent	BranchReportPresent
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	sr-megahit-m1	biological	0	no	no	NA	NA	yes	no
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	sr-metaspades-m1	biological	0	no	no	NA	NA	yes	no
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	lr-flye-ont	biological	1.216	no	no	946.5	2369.95	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	lr-flye-hifi	biological	42.403	no	no	10.29	68.52	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	lr-hifiasm-hifi	biological	69.885	no	no	14.74	133.82	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	lr-metamdbg-hifi	biological	70.744	no	no	22.95	50.87	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	sr-spades-10m	biological	0.834	no	no	259.47	32.43	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	hybrid-illumina-ont	biological	2.086	no	no	685.98	849.41	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	hybrid-illumina-hifi	biological	22.292	no	no	179.14	68.19	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	lr-ont-polypolish	biological	1.216	no	no	946.5	2369.95	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	lr-ont-careful	biological	1.216	no	no	946.5	2369.95	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	diagnostic-fragmented-50kb	diagnostic	42.403	no	no	10.29	68.52	yes	yes
MOCK1	Pyrobaculum_aerophilum_IM2	GCA_000007225.1	0.229024505381	0.1-<1%	diagnostic-chimeric-rotation	diagnostic	42.403	no	no	10.29	68.52	yes	yes
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	sr-megahit-m1	biological	0	no	no	NA	NA	yes	no
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	sr-metaspades-m1	biological	0.079	no	no	200.27	66.76	yes	yes
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	lr-flye-ont	biological	0	no	no	NA	NA	yes	no
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	lr-flye-hifi	biological	0.707	no	no	0	29.65	yes	yes
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	lr-hifiasm-hifi	biological	3.433	no	no	113.51	93.84	yes	yes
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	lr-metamdbg-hifi	biological	5.929	no	no	70.34	73.86	yes	yes
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	sr-spades-10m	biological	0.35	no	no	29.96	59.92	yes	yes
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	hybrid-illumina-ont	biological	0.491	no	no	298.16	585.67	yes	yes
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	hybrid-illumina-hifi	biological	0.927	no	no	322.16	90.43	yes	yes
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	lr-ont-polypolish	biological	0	no	no	NA	NA	yes	no
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	lr-ont-careful	biological	0	no	no	NA	NA	yes	no
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	diagnostic-fragmented-50kb	diagnostic	0.707	no	no	0	29.65	yes	yes
MOCK1	Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	0.401834945916	0.1-<1%	diagnostic-chimeric-rotation	diagnostic	0.707	no	no	0	29.65	yes	yes
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	sr-megahit-m1	biological	0	no	no	NA	NA	yes	no
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	sr-metaspades-m1	biological	0	no	no	NA	NA	yes	no
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	lr-flye-ont	biological	0	no	no	NA	NA	yes	no
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	lr-flye-hifi	biological	0	no	no	NA	NA	yes	no
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	lr-hifiasm-hifi	biological	0	no	no	NA	NA	yes	no
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	lr-metamdbg-hifi	biological	0	no	no	NA	NA	yes	no
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	sr-spades-10m	biological	0.023	no	no	827.69	0	yes	yes
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	hybrid-illumina-ont	biological	0.023	no	no	827.69	0	yes	yes
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	hybrid-illumina-hifi	biological	0.023	no	no	827.69	0	yes	yes
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	lr-ont-polypolish	biological	0	no	no	NA	NA	yes	no
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	lr-ont-careful	biological	0	no	no	NA	NA	yes	no
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	diagnostic-fragmented-50kb	diagnostic	0	no	no	NA	NA	yes	no
MOCK1	Methanosarcina_acetivorans_C2A	GCA_000007345.1	0.176994459347	0.1-<1%	diagnostic-chimeric-rotation	diagnostic	0	no	no	NA	NA	yes	no
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	sr-megahit-m1	biological	5.057	no	no	300.94	7.36	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	sr-metaspades-m1	biological	7.52	no	no	261.21	12.06	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	lr-flye-ont	biological	99.636	yes	yes	255.87	617.25	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	lr-flye-hifi	biological	99.999	yes	yes	2.41	0.52	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	lr-hifiasm-hifi	biological	99.999	yes	yes	2.41	0.52	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	lr-metamdbg-hifi	biological	99.967	yes	yes	0.95	0.4	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	sr-spades-10m	biological	97.692	yes	no	35.77	3.39	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	hybrid-illumina-ont	biological	98.628	yes	no	43.2	5.83	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	hybrid-illumina-hifi	biological	98.843	yes	no	40.96	1.85	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	lr-ont-polypolish	biological	99.636	yes	yes	88.66	198.78	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	lr-ont-careful	biological	99.636	yes	yes	101.21	226.74	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	diagnostic-fragmented-50kb	diagnostic	99.999	yes	yes	2.41	0.52	yes	yes
MOCK1	Pseudomonas_putida_KT2440	GCA_000007565.2	1.48249785872	>=1%	diagnostic-chimeric-rotation	diagnostic	99.999	yes	yes	2.41	0.52	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	sr-megahit-m1	biological	0.218	no	no	144.33	0	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	sr-metaspades-m1	biological	0.31	no	no	186	8.45	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	lr-flye-ont	biological	31.932	no	no	721.16	1857.26	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	lr-flye-hifi	biological	86.749	no	no	1.98	47.13	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	lr-hifiasm-hifi	biological	83.302	no	no	6.81	83.96	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	lr-metamdbg-hifi	biological	90.673	yes	no	1.18	24.07	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	sr-spades-10m	biological	78.881	no	no	117.85	16.69	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	hybrid-illumina-ont	biological	92.446	yes	no	237.46	189.94	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	hybrid-illumina-hifi	biological	96.35	yes	no	135.68	15.34	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	lr-ont-polypolish	biological	35.274	no	no	666.02	1616.99	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	lr-ont-careful	biological	35.274	no	no	667.04	1619.76	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	diagnostic-fragmented-50kb	diagnostic	86.749	no	no	1.98	47.13	yes	yes
MOCK1	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	0.1-<1%	diagnostic-chimeric-rotation	diagnostic	86.749	no	no	1.98	47.13	yes	yes
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	sr-megahit-m1	biological	67.958	no	no	42.25	0.6	yes	yes
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	sr-metaspades-m1	biological	73.974	no	no	47.65	3.31	yes	yes
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	lr-flye-ont	biological	2.283	no	no	26.85	590.71	yes	yes
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	lr-flye-hifi	biological	0	no	no	NA	NA	yes	no
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	lr-hifiasm-hifi	biological	0	no	no	NA	NA	yes	no
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	lr-metamdbg-hifi	biological	0	no	no	NA	NA	yes	no
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	sr-spades-10m	biological	99.263	yes	yes	8	0.62	yes	yes
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	hybrid-illumina-ont	biological	99.271	yes	yes	9.23	1.03	yes	yes
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	hybrid-illumina-hifi	biological	99.263	yes	yes	8	0.62	yes	yes
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	lr-ont-polypolish	biological	2.283	no	no	0	62.48	yes	yes
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	lr-ont-careful	biological	2.283	no	no	0	62.48	yes	yes
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	diagnostic-fragmented-50kb	diagnostic	0	no	no	NA	NA	yes	no
MOCK1	Nanoarchaeum_equitans_Kin4-M	GCA_000008085.1	0.955656442804	0.1-<1%	diagnostic-chimeric-rotation	diagnostic	0	no	no	NA	NA	yes	no
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	sr-megahit-m1	biological	1.139	no	no	333.4	0	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	sr-metaspades-m1	biological	1.909	no	no	265.42	16.59	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	lr-flye-ont	biological	62.12	no	no	862.93	2240.87	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	lr-flye-hifi	biological	79.779	no	no	6.68	37.81	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	lr-hifiasm-hifi	biological	92.928	yes	no	8.19	57.61	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	lr-metamdbg-hifi	biological	85.099	no	no	2.44	22.6	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	sr-spades-10m	biological	96.024	yes	no	84.28	11.76	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	hybrid-illumina-ont	biological	98.466	yes	no	112.28	57.71	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	hybrid-illumina-hifi	biological	98.241	yes	no	87.64	7.71	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	lr-ont-polypolish	biological	76.131	no	no	722.76	1699	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	lr-ont-careful	biological	76.131	no	no	728.03	1716.91	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	diagnostic-fragmented-50kb	diagnostic	79.779	no	no	6.68	37.81	yes	yes
MOCK1	Treponema_denticola_ATCC_35405	GCA_000008185.1	1.26746475625	>=1%	diagnostic-chimeric-rotation	diagnostic	79.779	no	no	6.68	37.81	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	sr-megahit-m1	biological	0.066	no	no	276.75	92.25	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	sr-metaspades-m1	biological	0	no	no	NA	NA	yes	no
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	lr-flye-ont	biological	7.775	no	no	879.15	2009.49	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	lr-flye-hifi	biological	98.628	yes	no	2.4	32.55	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	lr-hifiasm-hifi	biological	92.908	yes	no	9.01	54.3	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	lr-metamdbg-hifi	biological	97.018	yes	no	2.35	18.29	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	sr-spades-10m	biological	14.219	no	no	196.11	35.11	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	hybrid-illumina-ont	biological	30.129	no	no	604.91	736.95	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	hybrid-illumina-hifi	biological	77.226	no	no	269.81	52.09	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	lr-ont-polypolish	biological	7.775	no	no	835.87	1913.29	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	lr-ont-careful	biological	7.775	no	no	839.34	1924.89	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	diagnostic-fragmented-50kb	diagnostic	98.628	yes	no	2.4	32.55	yes	yes
MOCK1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	0.1-<1%	diagnostic-chimeric-rotation	diagnostic	98.628	yes	no	2.4	32.55	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	sr-megahit-m1	biological	0.355	no	no	401.03	12.94	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	sr-metaspades-m1	biological	0.813	no	no	243.25	22.63	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	lr-flye-ont	biological	88.284	no	no	617.1	1784.62	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	lr-flye-hifi	biological	99.855	yes	yes	1.33	12.33	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	lr-hifiasm-hifi	biological	99.821	yes	yes	2.35	12.88	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	lr-metamdbg-hifi	biological	99.414	yes	yes	1.62	8.13	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	sr-spades-10m	biological	92.387	yes	no	85.23	19.14	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	hybrid-illumina-ont	biological	98.752	yes	no	129.91	91.73	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	hybrid-illumina-hifi	biological	99.043	yes	yes	94.98	7.95	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	lr-ont-polypolish	biological	90.249	yes	no	520.74	1383	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	lr-ont-careful	biological	90.249	yes	no	522.69	1392.42	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	diagnostic-fragmented-50kb	diagnostic	99.855	yes	yes	1.33	12.33	yes	yes
MOCK1	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	>=1%	diagnostic-chimeric-rotation	diagnostic	99.855	yes	yes	1.33	12.33	yes	yes
MOCK1	Nitrosomonas_europaea_ATCC_19718	GCA_000009145.1	5.68342949511	>=1%	sr-megahit-m1	biological	95.733	yes	no	19.52	0.71	yes	yes
MOCK1	Nitrosomonas_europaea_ATCC_19718	GCA_000009145.1	5.68342949511	>=1%	sr-metaspades-m1	biological	95.601	yes	no	31.73	1.37	yes	yes
MOCK1	Nitrosomonas_europaea_ATCC_19718	GCA_000009145.1	5.68342949511	>=1%	lr-flye-ont	biological	99.125	yes	yes	20.74	239.76	yes	yes
MOCK1	Nitrosomonas_europaea_ATCC_19718	GCA_000009145.1	5.68342949511	>=1%	lr-flye-hifi	biological	99.127	yes	yes	11.95	1.11	yes	yes
MOCK1	Nitrosomonas_europaea_ATCC_19718	GCA_000009145.1	5.68342949511	>=1%	lr-hifiasm-hifi	biological	99.266	yes	yes	1.2	1.06	yes	yes
