CAZyFamily	GenesWithLabel	FractionalGeneEquivalent	MOCK1ReadsFromGenesWithLabel	MOCK1FractionalRawReads	MOCK2ReadsFromGenesWithLabel	MOCK2FractionalRawReads
GH13	10.0	10.0	1011.0	1011.0	958.0	958.0
GH4	10.0	10.0	1562.0	1562.0	1579.0	1579.0
GH77	10.0	10.0	402.0	402.0	448.0	448.0
GT117	10.0	10.0	746.0	746.0	564.0	564.0
GH18	13.0	9.66666667	846.0	480.66666667	904.0	510.5
GT41	10.0	9.5	427.0	351.5	399.0	316.5
AA1	9.0	9.0	485.0	485.0	455.0	455.0
GH15	9.0	9.0	670.0	670.0	664.0	664.0
GH38	9.0	9.0	2297.0	2297.0	2241.0	2241.0
GT81	9.0	9.0	813.0	813.0	774.0	774.0
CBM32	13.0	8.66666667	656.0	359.0	581.0	321.0
CE1	9.0	8.5	446.0	430.5	508.0	488.5
CBM2	14.0	8.16666667	724.0	397.66666667	723.0	399.5
AA2	8.0	8.0	534.0	534.0	537.0	537.0
AA4	8.0	8.0	338.0	338.0	337.0	337.0
GH130_6	8.0	8.0	701.0	701.0	778.0	778.0
GH186	8.0	8.0	313.0	313.0	304.0	304.0
GH36	8.0	8.0	831.0	831.0	875.0	875.0
GH73	8.0	7.5	279.0	269.0	281.0	272.0
AA3_2	7.0	7.0	216.0	216.0	245.0	245.0
GH13_16	7.0	7.0	329.0	329.0	377.0	377.0
GH13_20	8.0	7.0	719.0	682.5	749.0	697.0
GH24	7.0	7.0	125.0	125.0	91.0	91.0
GH2_10	7.0	7.0	1602.0	1602.0	1419.0	1419.0
GH57_3	7.0	7.0	277.0	277.0	270.0	270.0
GH13_11	9.0	6.5	335.0	194.0	343.0	199.0
GH29	7.0	6.5	713.0	689.0	699.0	676.5
CE20	6.0	6.0	425.0	425.0	405.0	405.0
GH13_9	11.0	6.0	628.0	321.5	757.0	387.5
GH2_13	6.0	6.0	1219.0	1219.0	1099.0	1099.0
GH32	6.0	6.0	501.0	501.0	503.0	503.0
GH74	7.0	6.0	1017.0	848.5	1029.0	865.5
GH94	7.0	6.0	2230.0	1711.5	2298.0	1769.0
GH97	6.0	6.0	120.0	120.0	176.0	176.0
CBM67	6.0	5.5	665.0	495.0	670.0	504.0
GH78	6.0	5.5	552.0	382.0	571.0	405.0
GH127	5.0	5.0	788.0	788.0	761.0	761.0
GH130_12	5.0	5.0	333.0	333.0	302.0	302.0
GH13_3	5.0	5.0	192.0	192.0	160.0	160.0
GH13_36	5.0	5.0	971.0	971.0	1033.0	1033.0
GH28	5.0	5.0	513.0	513.0	473.0	473.0
GH42	5.0	5.0	1261.0	1261.0	1234.0	1234.0
GH57_5	5.0	5.0	600.0	600.0	605.0	605.0
GT122	5.0	5.0	448.0	448.0	393.0	393.0
CBM20	9.0	4.91666667	1104.0	386.83333333	1208.0	427.16666667
CBM51	4.0	4.0	110.0	110.0	100.0	100.0
CBM57	4.0	4.0	374.0	374.0	429.0	429.0
CE19	4.0	4.0	182.0	182.0	184.0	184.0
CE7	4.0	4.0	394.0	394.0	423.0	423.0
GH12	4.0	4.0	473.0	473.0	452.0	452.0
GH13_2	5.0	4.0	1073.0	1009.5	1048.0	978.0
GH140	4.0	4.0	447.0	447.0	465.0	465.0
GH146	4.0	4.0	56.0	56.0	37.0	37.0
GH17	5.0	4.0	176.0	109.0	182.0	121.0
GH19	4.0	4.0	51.0	51.0	70.0	70.0
GH191	4.0	4.0	237.0	237.0	273.0	273.0
GH31_3	4.0	4.0	914.0	914.0	997.0	997.0
GH43_26	4.0	4.0	52.0	52.0	73.0	73.0
GH43_4	4.0	4.0	543.0	543.0	551.0	551.0
GH57_1	4.0	4.0	305.0	305.0	259.0	259.0
GH63	4.0	4.0	282.0	282.0	326.0	326.0
GH92	4.0	4.0	217.0	217.0	219.0	219.0
GT104	4.0	4.0	105.0	105.0	129.0	129.0
CBM22	7.0	3.53333333	1816.0	751.53333333	1728.0	712.76666667
CBM13	4.0	3.5	218.0	162.0	177.0	128.5
GH2_1	4.0	3.5	346.0	338.0	322.0	315.0
GH8	4.0	3.5	123.0	97.5	112.0	96.0
GH9	6.0	3.5	810.0	413.5	769.0	388.5
PL11	4.0	3.5	279.0	248.0	317.0	294.0
CBM3	7.0	3.33333333	1423.0	655.83333333	1375.0	626.5
AA6	3.0	3.0	24.0	24.0	19.0	19.0
GH105	3.0	3.0	176.0	176.0	155.0	155.0
GH106	3.0	3.0	1235.0	1235.0	1182.0	1182.0
GH108	3.0	3.0	20.0	20.0	26.0	26.0
GH130_2	3.0	3.0	265.0	265.0	234.0	234.0
GH133	3.0	3.0	138.0	138.0	121.0	121.0
GH13_38	3.0	3.0	114.0	114.0	121.0	121.0
GH13_4	3.0	3.0	96.0	96.0	107.0	107.0
GH141	3.0	3.0	104.0	104.0	90.0	90.0
GH154	3.0	3.0	392.0	392.0	361.0	361.0
GH19_1	3.0	3.0	43.0	43.0	34.0	34.0
GH27	3.0	3.0	87.0	87.0	57.0	57.0
GH31_1	3.0	3.0	260.0	260.0	244.0	244.0
GH31_4	3.0	3.0	342.0	342.0	373.0	373.0
GH35	3.0	3.0	156.0	156.0	203.0	203.0
GH5	3.0	3.0	232.0	232.0	247.0	247.0
GH50	3.0	3.0	49.0	49.0	40.0	40.0
GH51_1	3.0	3.0	464.0	464.0	400.0	400.0
GH57_6	3.0	3.0	133.0	133.0	89.0	89.0
GH5_8	3.0	3.0	119.0	119.0	123.0	123.0
GH67	3.0	3.0	813.0	813.0	828.0	828.0
GH88	3.0	3.0	180.0	180.0	182.0	182.0
GH95	3.0	3.0	57.0	57.0	77.0	77.0
GT11	3.0	3.0	46.0	46.0	54.0	54.0
GT12	3.0	3.0	33.0	33.0	31.0	31.0
GT20	3.0	3.0	117.0	117.0	121.0	121.0
GT21	3.0	3.0	57.0	57.0	73.0	73.0
GT25	3.0	3.0	73.0	73.0	73.0	73.0
GT39	3.0	3.0	224.0	224.0	232.0	232.0
CBM4	5.0	2.83333333	937.0	417.83333333	981.0	434.33333333
GH26	4.0	2.83333333	436.0	373.16666667	379.0	330.0
CBM34	6.0	2.66666667	664.0	255.33333333	787.0	298.66666667
GH43_34	3.0	2.5	16.0	11.0	18.0	11.5
GH6	3.0	2.5	65.0	48.0	76.0	56.0
AA12	2.0	2.0	36.0	36.0	41.0	41.0
AA7	2.0	2.0	101.0	101.0	96.0	96.0
CBM5	3.0	2.0	102.0	55.0	86.0	47.5
CBM66	2.0	2.0	171.0	171.0	181.0	181.0
GH104	2.0	2.0	8.0	8.0	19.0	19.0
GH116	2.0	2.0	87.0	87.0	62.0	62.0
GH117	2.0	2.0	36.0	36.0	36.0	36.0
GH130_8	2.0	2.0	24.0	24.0	23.0	23.0
GH130_9	2.0	2.0	88.0	88.0	101.0	101.0
GH13_13	3.0	2.0	134.0	72.5	123.0	66.5
GH13_18	2.0	2.0	86.0	86.0	68.0	68.0
GH13_23	2.0	2.0	61.0	61.0	64.0	64.0
GH13_26	2.0	2.0	35.0	35.0	33.0	33.0
GH13_46	2.0	2.0	70.0	70.0	56.0	56.0
GH144	2.0	2.0	38.0	38.0	38.0	38.0
GH147	2.0	2.0	84.0	84.0	68.0	68.0
GH2_3	2.0	2.0	493.0	493.0	516.0	516.0
GH2_6	2.0	2.0	84.0	84.0	87.0	87.0
GH43_24	2.0	2.0	21.0	21.0	22.0	22.0
GH57_2	2.0	2.0	70.0	70.0	82.0	82.0
GH5_36	2.0	2.0	139.0	139.0	122.0	122.0
GH66	2.0	2.0	211.0	211.0	202.0	202.0
GT102	2.0	2.0	30.0	30.0	38.0	38.0
GT107	2.0	2.0	23.0	23.0	29.0	29.0
GT32	2.0	2.0	42.0	42.0	37.0	37.0
GT55	2.0	2.0	143.0	143.0	179.0	179.0
GT8	2.0	2.0	22.0	22.0	20.0	20.0
GH16_3	4.0	1.83333333	937.0	413.83333333	931.0	405.83333333
GH5_1	3.0	1.83333333	459.0	208.83333333	485.0	207.5
AA10	2.0	1.5	70.0	48.5	74.0	48.0
CBM12	3.0	1.5	178.0	89.0	168.0	84.0
CBM35	2.0	1.5	364.0	184.5	400.0	206.5
CBM63	2.0	1.5	71.0	49.0	58.0	39.5
CE15	2.0	1.5	102.0	65.5	89.0	59.0
CE21	2.0	1.5	152.0	83.5	135.0	75.0
GH13_10	3.0	1.5	109.0	54.5	91.0	45.5
GH13_8	2.0	1.5	76.0	47.0	69.0	40.0
GH48	3.0	1.5	229.0	114.5	216.0	108.0
GH51_14	2.0	1.5	52.0	40.0	37.0	26.5
GT116	2.0	1.5	81.0	45.5	64.0	42.5
PL1	2.0	1.5	70.0	48.0	54.0	34.0
CBM41	4.0	1.41666667	1207.0	374.16666667	1153.0	357.83333333
GH13_14	4.0	1.41666667	1444.0	492.66666667	1325.0	443.83333333
CBM91	3.0	1.2	645.0	188.7	630.0	189.6
GH13_39	3.0	1.16666667	561.0	203.83333333	625.0	217.66666667
AA18	1.0	1.0	23.0	23.0	13.0	13.0
AA3	1.0	1.0	27.0	27.0	26.0	26.0
CBM27	2.0	1.0	513.0	256.5	531.0	265.5
CBM54	1.0	1.0	162.0	162.0	181.0	181.0
CBM60	1.0	1.0	72.0	72.0	90.0	90.0
CBM61	2.0	1.0	511.0	255.5	489.0	244.5
CBM85	2.0	1.0	182.0	91.0	174.0	87.0
CE12	1.0	1.0	15.0	15.0	13.0	13.0
CE16	1.0	1.0	9.0	9.0	14.0	14.0
CE17	1.0	1.0	33.0	33.0	30.0	30.0
CE3	1.0	1.0	6.0	6.0	13.0	13.0
CE6	1.0	1.0	12.0	12.0	13.0	13.0
Cohesin	1.0	1.0	23.0	23.0	17.0	17.0
GH102	1.0	1.0	66.0	66.0	60.0	60.0
GH110	1.0	1.0	9.0	9.0	8.0	8.0
GH114	1.0	1.0	28.0	28.0	19.0	19.0
GH122	1.0	1.0	81.0	81.0	56.0	56.0
GH126	1.0	1.0	4.0	4.0	0.0	0.0
GH130_1	1.0	1.0	2.0	2.0	4.0	4.0
GH130_3	1.0	1.0	45.0	45.0	33.0	33.0
GH130_4	1.0	1.0	20.0	20.0	19.0	19.0
GH130_5	1.0	1.0	119.0	119.0	130.0	130.0
GH13_1	1.0	1.0	38.0	38.0	59.0	59.0
GH13_24	1.0	1.0	16.0	16.0	9.0	9.0
GH13_31	1.0	1.0	169.0	169.0	188.0	188.0
GH13_47	2.0	1.0	66.0	33.0	67.0	33.5
GH148	1.0	1.0	28.0	28.0	17.0	17.0
GH159	1.0	1.0	86.0	86.0	81.0	81.0
GH161	1.0	1.0	328.0	328.0	372.0	372.0
GH163	1.0	1.0	13.0	13.0	10.0	10.0
GH168	1.0	1.0	19.0	19.0	11.0	11.0
GH16_17	1.0	1.0	10.0	10.0	24.0	24.0
GH16_24	1.0	1.0	22.0	22.0	30.0	30.0
GH174	1.0	1.0	43.0	43.0	73.0	73.0
GH176	1.0	1.0	83.0	83.0	72.0	72.0
GH181	1.0	1.0	9.0	9.0	10.0	10.0
GH189	2.0	1.0	1037.0	518.5	1058.0	529.0
GH2_18	1.0	1.0	33.0	33.0	39.0	39.0
GH2_2	1.0	1.0	8.0	8.0	11.0	11.0
GH2_5	1.0	1.0	130.0	130.0	109.0	109.0
GH30_1	1.0	1.0	136.0	136.0	125.0	125.0
GH31_13	1.0	1.0	294.0	294.0	296.0	296.0
GH31_20	1.0	1.0	59.0	59.0	46.0	46.0
GH37	1.0	1.0	27.0	27.0	27.0	27.0
GH43	1.0	1.0	96.0	96.0	62.0	62.0
GH43_29	1.0	1.0	13.0	13.0	22.0	22.0
GH43_5	1.0	1.0	18.0	18.0	14.0	14.0
GH44	1.0	1.0	183.0	183.0	200.0	200.0
GH51_2	1.0	1.0	259.0	259.0	283.0	283.0
GH53	2.0	1.0	511.0	255.5	489.0	244.5
GH57_10	1.0	1.0	51.0	51.0	29.0	29.0
GH57_4	1.0	1.0	46.0	46.0	48.0	48.0
GH57_8	1.0	1.0	73.0	73.0	97.0	97.0
GH5_19	1.0	1.0	132.0	132.0	119.0	119.0
GH5_25	1.0	1.0	40.0	40.0	37.0	37.0
GH5_39	1.0	1.0	24.0	24.0	26.0	26.0
GH5_42	1.0	1.0	65.0	65.0	66.0	66.0
GH5_7	2.0	1.0	513.0	256.5	531.0	265.5
GH68	1.0	1.0	18.0	18.0	9.0	9.0
GH86	1.0	1.0	47.0	47.0	44.0	44.0
GH99	1.0	1.0	31.0	31.0	29.0	29.0
GT10	1.0	1.0	7.0	7.0	6.0	6.0
GT105	1.0	1.0	40.0	40.0	39.0	39.0
GT115	1.0	1.0	24.0	24.0	11.0	11.0
GT14	1.0	1.0	6.0	6.0	6.0	6.0
GT23	1.0	1.0	11.0	11.0	8.0	8.0
GT3	1.0	1.0	40.0	40.0	43.0	43.0
GT75	1.0	1.0	31.0	31.0	19.0	19.0
GT76	1.0	1.0	4.0	4.0	10.0	10.0
GT87	1.0	1.0	33.0	33.0	35.0	35.0
GT89	1.0	1.0	59.0	59.0	74.0	74.0
GT94	1.0	1.0	27.0	27.0	23.0	23.0
PL10_1	1.0	1.0	18.0	18.0	13.0	13.0
PL10_2	1.0	1.0	13.0	13.0	14.0	14.0
PL10_3	1.0	1.0	43.0	43.0	29.0	29.0
PL14	1.0	1.0	9.0	9.0	21.0	21.0
PL17_4	1.0	1.0	125.0	125.0	141.0	141.0
PL1_2	1.0	1.0	26.0	26.0	26.0	26.0
PL1_4	1.0	1.0	7.0	7.0	8.0	8.0
PL1_6	1.0	1.0	12.0	12.0	16.0	16.0
PL1_8	1.0	1.0	5.0	5.0	10.0	10.0
PL38	1.0	1.0	9.0	9.0	14.0	14.0
PL42	1.0	1.0	33.0	33.0	33.0	33.0
PL43	1.0	1.0	64.0	64.0	46.0	46.0
PL4_1	1.0	1.0	22.0	22.0	14.0	14.0
PL5_1	1.0	1.0	15.0	15.0	14.0	14.0
PL7_1	1.0	1.0	3.0	3.0	7.0	7.0
PL7_3	1.0	1.0	11.0	11.0	20.0	20.0
PL9_3	1.0	1.0	57.0	57.0	36.0	36.0
CBM59	2.0	0.83333333	105.0	42.16666667	83.0	34.0
CBM9	2.0	0.83333333	970.0	424.33333333	918.0	402.66666667
GH43_10	2.0	0.7	602.0	167.2	584.0	166.6
CBM92	2.0	0.58333333	134.0	39.75	119.0	35.0
CBM6	2.0	0.53333333	774.0	198.53333333	776.0	202.93333333
CBM16	1.0	0.5	19.0	9.5	36.0	18.0
CBM28	1.0	0.5	221.0	110.5	230.0	115.0
CBM69	1.0	0.5	42.0	21.0	43.0	21.5
CBM73	1.0	0.5	43.0	21.5	52.0	26.0
CBM8	1.0	0.5	24.0	12.0	21.0	10.5
GH13_21	1.0	0.5	30.0	15.0	58.0	29.0
GH13_32	1.0	0.5	66.0	33.0	63.0	31.5
GH166	1.0	0.5	137.0	68.5	120.0	60.0
GH16_13	1.0	0.5	19.0	9.5	36.0	18.0
GH173	1.0	0.5	174.0	87.0	172.0	86.0
GH43_12	1.0	0.5	43.0	21.5	46.0	23.0
GH43_19	1.0	0.5	10.0	5.0	13.0	6.5
GH5_2	1.0	0.5	221.0	110.5	230.0	115.0
GH81	1.0	0.5	112.0	56.0	97.0	48.5
PL29	1.0	0.5	64.0	32.0	57.0	28.5
GH16	1.0	0.33333333	48.0	16.0	54.0	18.0
GH5_54	1.0	0.33333333	75.0	25.0	63.0	21.0
CBM56	1.0	0.25	59.0	14.75	56.0	14.0
GH55	1.0	0.25	59.0	14.75	56.0	14.0
GH55_1	1.0	0.25	59.0	14.75	56.0	14.0
GH43_16	1.0	0.2	446.0	89.2	418.0	83.6
